,date,PM2.5,NO2,CO
0,2018-01-01,338.07,8.48,1.96
1,2018-02-01,293.25,8.48,1.42
2,2018-03-01,218.55,8.13,1.33
3,2018-04-01,220.73,8.48,1.19
4,2018-05-01,235.6,8.47,1.14
5,2018-06-01,243.49,8.49,1.73
6,2018-07-01,157.4,8.49,1.13
7,2018-08-01,131.22,8.48,0.95
8,2018-09-01,192.8,8.48,1.53
9,2018-10-01,169.25,8.48,1.14
10,2018-11-01,136.78,8.48,0.68
11,2018-12-01,137.8,8.49,1.12
12,2018-01-13,169.98,8.48,2.27
13,2018-01-14,149.18,8.48,1.48
14,2018-01-15,161.05,12.51,1.11
15,2018-01-16,99.7,16.25,1.27
16,2018-01-17,206.94,14.81,1.78
17,2018-01-18,224.38,14.53,1.74
18,2018-01-19,190.9,14.93,1.32
19,2018-01-20,122.7,13.84,0.94
20,2018-01-21,121.18,13.6,1.08
21,2018-01-22,175.36,15.28,1.64
22,2018-01-23,165.93,14.31,0.97
23,2018-01-24,144.79,13.03,0.56
24,2018-01-25,93.95,12.94,0.16
25,2018-01-26,121.42,13.25,0.67
26,2018-01-27,144.67,13.61,0.7
27,2018-01-28,124.44,13.29,0.91
28,2018-01-29,125.49,13.33,0.87
29,2018-01-30,101.71,12.49,0.48
30,2018-01-31,101.42,12.33,0.52
31,2018-01-02,104.47,13.78,0.66
32,2018-02-02,93.63,14.66,0.51
33,2018-03-02,70.45,21.56,0.55
34,2018-04-02,78.3,21.79,1.16
35,2018-05-02,117.22,32.79,1.01
36,2018-06-02,98.17,40.32,1.04
37,2018-07-02,74.92,32.62,1.77
38,2018-08-02,123.74,48.98,2.5
39,2018-09-02,121.29,52.38,2.22
40,2018-10-02,127.65,64.42,3.15
41,2018-11-02,104.9,25.73,2.44
42,2018-12-02,52.31,14.69,1.36
43,2018-02-13,66.95,17.58,1.56
44,2018-02-14,52.54,14.18,1.17
45,2018-02-15,48.28,14.25,1.18
46,2018-02-16,74.97,14.75,1.51
47,2018-02-17,86.46,15.45,1.61
48,2018-02-18,65.57,15.14,1.66
49,2018-02-19,100.67,19.03,2.45
50,2018-02-20,113.09,22.66,2.26
51,2018-02-21,112.14,36.69,2.73
52,2018-02-22,109.72,25.66,1.95
53,2018-02-23,122.18,33.33,1.7
54,2018-02-24,130.87,24.21,1.04
55,2018-02-25,79.9,17.86,0.77
56,2018-02-26,39.46,15.03,0.57
57,2018-02-27,56.37,19.34,2.13
58,2018-02-28,88.42,21.87,4.04
59,2018-01-03,79.4,22.93,2.72
60,2018-02-03,84.26,20.12,2.62
