,date,SO2,NO2,CO
0,2018-01-01,11.574865525672372,37.33564040889958,1.3662025316455695
1,2018-02-01,11.574865525672372,37.33564040889958,1.3662025316455695
2,2018-03-01,11.574865525672372,37.33564040889958,1.3662025316455695
3,2018-04-01,11.574865525672372,37.33564040889958,1.3662025316455695
4,2018-05-01,11.574865525672372,37.33564040889958,1.3662025316455695
5,2018-06-01,11.574865525672372,37.33564040889958,1.3662025316455695
6,2018-07-01,11.574865525672372,37.33564040889958,1.3662025316455695
7,2018-08-01,11.574865525672372,37.33564040889958,1.3662025316455695
8,2018-09-01,11.574865525672372,37.33564040889958,1.3662025316455695
9,2018-10-01,11.574865525672372,37.33564040889958,1.3662025316455695
10,2018-11-01,11.574865525672372,37.33564040889958,1.3662025316455695
11,2018-12-01,11.574865525672372,37.33564040889958,1.3662025316455695
12,2018-01-13,11.574865525672372,37.33564040889958,1.3662025316455695
13,2018-01-14,11.574865525672372,37.33564040889958,1.3662025316455695
14,2018-01-15,11.574865525672372,37.33564040889958,1.3662025316455695
15,2018-01-16,11.574865525672372,37.33564040889958,1.3662025316455695
16,2018-01-17,11.574865525672372,37.33564040889958,1.3662025316455695
17,2018-01-18,11.574865525672372,37.33564040889958,1.3662025316455695
18,2018-01-19,11.574865525672372,37.33564040889958,1.3662025316455695
19,2018-01-20,11.574865525672372,37.33564040889958,1.3662025316455695
20,2018-01-21,11.574865525672372,37.33564040889958,1.3662025316455695
21,2018-01-22,11.574865525672372,37.33564040889958,1.3662025316455695
22,2018-01-23,11.574865525672372,37.33564040889958,1.3662025316455695
23,2018-01-24,11.574865525672372,37.33564040889958,1.3662025316455695
24,2018-01-25,11.574865525672372,37.33564040889958,1.3662025316455695
25,2018-01-26,11.574865525672372,37.33564040889958,1.3662025316455695
26,2018-01-27,11.574865525672372,37.33564040889958,1.3662025316455695
27,2018-01-28,11.574865525672372,37.33564040889958,1.3662025316455695
28,2018-01-29,11.574865525672372,37.33564040889958,1.3662025316455695
29,2018-01-30,11.574865525672372,37.33564040889958,1.3662025316455695
30,2018-01-31,11.574865525672372,37.33564040889958,1.3662025316455695
31,2018-01-02,3.58,91.35,4.49
32,2018-02-02,5.24,20.26,1.68
33,2018-03-02,5.46,20.04,1.99
34,2018-04-02,4.62,23.01,2.02
35,2018-05-02,5.97,46.33,2.77
36,2018-06-02,3.43,23.48,2.21
37,2018-07-02,5.01,58.17,2.56
38,2018-08-02,3.47,92.26,3.1
39,2018-09-02,4.61,79.13,3.0
40,2018-10-02,4.94,218.16,4.45
41,2018-11-02,6.32,37.6,2.03
42,2018-12-02,2.49,16.58,1.58
43,2018-02-13,4.07,37.18,1.99
44,2018-02-14,2.84,18.27,1.58
45,2018-02-15,5.49,20.89,1.99
46,2018-02-16,6.37,26.15,2.24
47,2018-02-17,4.68,35.49,2.16
48,2018-02-18,4.18,68.42,2.28
49,2018-02-19,3.89,88.02,2.69
50,2018-02-20,6.58,90.18,2.78
51,2018-02-21,4.55,171.48,3.9
52,2018-02-22,5.88,73.71,2.95
53,2018-02-23,5.99,103.3,3.05
54,2018-02-24,6.6,44.28,2.56
55,2018-02-25,5.91,25.58,1.92
56,2018-02-26,2.23,18.02,1.68
57,2018-02-27,3.92,30.89,1.61
58,2018-02-28,5.25,26.04,1.23
59,2018-01-03,9.86,33.71,1.57
60,2018-02-03,3.69,34.86,1.47
61,2018-03-03,5.98,22.84,1.14
62,2018-04-03,4.91,19.92,0.7
63,2018-05-03,5.17,23.15,0.97
64,2018-06-03,5.18,21.31,0.75
65,2018-07-03,6.71,40.33,1.18
66,2018-08-03,7.07,82.82,1.8
67,2018-09-03,7.53,73.54,1.68
68,2018-10-03,5.76,19.12,0.7
69,2018-11-03,4.3,49.37,1.19
70,2018-12-03,8.57,31.91,1.24
71,2018-03-13,6.04,91.73,2.0
72,2018-03-14,7.35,39.12,1.31
73,2018-03-15,5.32,30.96,0.87
74,2018-03-16,7.99,20.24,0.88
75,2018-03-17,14.96,16.77,0.96
76,2018-03-18,2.22,18.12,0.65
77,2018-03-19,5.87,24.4,1.01
78,2018-03-20,8.12,42.73,1.52
79,2018-03-21,11.08,28.93,1.29
80,2018-03-22,5.33,14.88,0.86
81,2018-03-23,4.43,23.94,0.76
82,2018-03-24,6.86,21.44,0.99
83,2018-03-25,7.03,19.61,0.65
84,2018-03-26,7.19,23.53,1.17
85,2018-03-27,5.18,74.26,2.04
86,2018-03-28,4.5,87.58,1.63
87,2018-03-29,3.01,35.97,1.29
88,2018-03-30,5.41,38.8,1.21
89,2018-03-31,6.31,27.45,1.08
90,2018-01-04,3.78,28.3,0.86
91,2018-02-04,6.74,31.61,1.12
92,2018-03-04,5.93,33.92,1.26
93,2018-04-04,5.48,54.38,1.83
94,2018-05-04,2.82,58.73,1.72
95,2018-06-04,1.62,22.57,1.2
96,2018-07-04,3.32,21.14,0.97
97,2018-08-04,3.59,16.62,0.72
98,2018-09-04,3.53,46.6,1.32
99,2018-10-04,4.83,33.07,1.28
100,2018-11-04,3.91,15.5,0.65
101,2018-12-04,4.12,26.3,0.96
102,2018-04-13,5.03,70.86,1.49
103,2018-04-14,8.67,34.18,1.18
104,2018-04-15,7.54,83.21,2.02
105,2018-04-16,7.64,56.71,1.57
106,2018-04-17,5.89,33.93,1.32
107,2018-04-18,9.68,21.63,0.95
108,2018-04-19,8.39,25.41,1.11
109,2018-04-20,6.57,19.74,0.7
110,2018-04-21,3.56,15.63,0.87
111,2018-04-22,6.29,18.19,0.84
112,2018-04-23,5.28,43.52,1.25
113,2018-04-24,5.54,76.68,1.88
114,2018-04-25,2.16,170.2,2.01
115,2018-04-26,5.77,61.75,1.58
116,2018-04-27,6.75,27.93,1.45
117,2018-04-28,4.76,18.83,1.11
118,2018-04-29,5.93,24.33,1.16
119,2018-04-30,2.36,31.28,0.84
120,2018-01-05,2.38,19.16,0.56
121,2018-02-05,3.63,14.95,1.18
122,2018-03-05,5.36,17.83,0.91
123,2018-04-05,4.1,20.96,1.12
124,2018-05-05,4.41,44.51,1.83
125,2018-06-05,6.04,50.72,1.58
126,2018-07-05,8.08,40.66,1.75
127,2018-08-05,2.8,15.73,0.85
128,2018-09-05,6.5,31.34,1.44
129,2018-10-05,6.72,36.28,1.56
130,2018-11-05,7.88,48.36,2.02
131,2018-12-05,8.68,44.46,1.93
132,2018-05-13,3.3,14.89,1.22
133,2018-05-14,4.35,24.67,1.05
134,2018-05-15,6.84,26.92,1.3
135,2018-05-16,3.7,23.48,1.06
136,2018-05-17,5.76,26.25,1.28
137,2018-05-18,5.24,28.49,1.31
138,2018-05-19,5.89,43.12,1.43
139,2018-05-20,3.75,30.88,1.21
140,2018-05-21,4.87,18.69,1.28
141,2018-05-22,7.45,54.02,1.76
142,2018-05-23,6.59,74.41,1.93
143,2018-05-24,10.36,33.44,1.46
144,2018-05-25,6.15,51.62,1.61
145,2018-05-26,9.79,62.05,2.02
146,2018-05-27,8.03,35.17,1.34
147,2018-05-28,11.57,59.02,2.03
148,2018-05-29,6.9,50.67,1.94
149,2018-05-30,2.31,17.89,1.06
150,2018-05-31,2.53,32.9,0.7
151,2018-01-06,2.32,14.66,0.58
152,2018-02-06,1.58,13.89,1.07
153,2018-03-06,1.2,15.62,1.08
154,2018-04-06,0.88,15.32,1.21
155,2018-05-06,1.27,14.41,1.34
156,2018-06-06,0.5,17.9,1.37
157,2018-07-06,1.87,21.57,1.25
158,2018-08-06,1.13,13.36,1.2
159,2018-09-06,0.41,32.61,0.87
160,2018-10-06,1.05,49.34,0.07
161,2018-11-06,0.89,53.91,0.17
162,2018-12-06,1.41,37.78,0.03
163,2018-06-13,2.92,40.93,0.12
164,2018-06-14,2.56,28.32,0.03
165,2018-06-15,3.27,28.7,0.04
166,2018-06-16,2.96,28.52,0.08
167,2018-06-17,3.22,27.95,0.05
168,2018-06-18,2.58,26.78,0.06
169,2018-06-19,2.91,29.72,0.08
170,2018-06-20,3.27,25.63,0.08
171,2018-06-21,2.99,33.01,0.1
172,2018-06-22,5.28,26.57,0.1
173,2018-06-23,3.44,36.05,0.14
174,2018-06-24,3.48,31.68,0.09
175,2018-06-25,3.22,36.88,0.07
176,2018-06-26,11.574865525672372,37.33564040889958,1.3662025316455695
177,2018-06-27,8.29,21.7,0.8859999999999999
178,2018-06-28,7.83,23.47,1.1520000000000001
179,2018-06-29,6.81,26.4,1.96
180,2018-06-30,9.84,29.65,1.21
181,2018-01-07,9.97,20.2,0.62
182,2018-02-07,9.63,22.58,0.68
183,2018-03-07,9.77,32.51,1.2
184,2018-04-07,9.35,24.74,0.81
185,2018-05-07,11.58,32.82,1.12
186,2018-06-07,10.47,28.37,1.0
187,2018-07-07,13.66,26.74,1.02
188,2018-08-07,11.53,38.57,1.17
189,2018-09-07,9.82,29.81,1.03
190,2018-10-07,12.8,23.31,0.79
191,2018-11-07,12.92,28.25,0.87
192,2018-12-07,10.57,27.59,0.89
193,2018-07-13,16.38,32.52,1.13
194,2018-07-14,12.93,34.03,1.07
