,date,NO2
0,2018-01-01,54.917740805604204
1,2018-02-01,54.917740805604204
2,2018-03-01,54.917740805604204
3,2018-04-01,54.917740805604204
4,2018-05-01,54.917740805604204
5,2018-06-01,54.917740805604204
6,2018-07-01,54.917740805604204
7,2018-08-01,54.917740805604204
8,2018-09-01,54.917740805604204
9,2018-10-01,54.917740805604204
10,2018-11-01,54.917740805604204
11,2018-12-01,54.917740805604204
12,2018-01-13,54.917740805604204
13,2018-01-14,54.917740805604204
14,2018-01-15,54.917740805604204
15,2018-01-16,54.917740805604204
16,2018-01-17,54.917740805604204
17,2018-01-18,54.917740805604204
18,2018-01-19,54.917740805604204
19,2018-01-20,54.917740805604204
20,2018-01-21,54.917740805604204
21,2018-01-22,54.917740805604204
22,2018-01-23,54.917740805604204
23,2018-01-24,54.917740805604204
24,2018-01-25,54.917740805604204
25,2018-01-26,54.917740805604204
26,2018-01-27,54.917740805604204
27,2018-01-28,54.917740805604204
28,2018-01-29,54.917740805604204
29,2018-01-30,54.917740805604204
30,2018-01-31,54.917740805604204
31,2018-01-02,54.917740805604204
32,2018-02-02,54.917740805604204
33,2018-03-02,54.917740805604204
34,2018-04-02,54.917740805604204
35,2018-05-02,54.917740805604204
36,2018-06-02,54.917740805604204
37,2018-07-02,54.917740805604204
38,2018-08-02,54.917740805604204
39,2018-09-02,54.917740805604204
40,2018-10-02,54.917740805604204
41,2018-11-02,54.917740805604204
42,2018-12-02,54.917740805604204
43,2018-02-13,54.917740805604204
44,2018-02-14,54.917740805604204
45,2018-02-15,54.917740805604204
46,2018-02-16,54.917740805604204
47,2018-02-17,54.917740805604204
48,2018-02-18,54.917740805604204
49,2018-02-19,54.917740805604204
50,2018-02-20,54.917740805604204
51,2018-02-21,54.917740805604204
52,2018-02-22,54.917740805604204
53,2018-02-23,54.917740805604204
54,2018-02-24,54.917740805604204
55,2018-02-25,54.917740805604204
56,2018-02-26,54.917740805604204
57,2018-02-27,54.917740805604204
58,2018-02-28,54.917740805604204
59,2018-01-03,54.917740805604204
60,2018-02-03,54.917740805604204
61,2018-03-03,54.917740805604204
62,2018-04-03,54.917740805604204
63,2018-05-03,54.917740805604204
64,2018-06-03,54.917740805604204
65,2018-07-03,54.917740805604204
66,2018-08-03,54.917740805604204
67,2018-09-03,54.917740805604204
68,2018-10-03,54.917740805604204
69,2018-11-03,54.917740805604204
70,2018-12-03,54.917740805604204
71,2018-03-13,54.917740805604204
72,2018-03-14,54.917740805604204
