,date,PM2.5,NO2,CO
0,2018-01-01,84.65881481481482,52.75245339747445,1.1697232250300844
1,2018-02-01,84.65881481481482,52.75245339747445,1.1697232250300844
2,2018-03-01,84.65881481481482,52.75245339747445,1.1697232250300844
3,2018-04-01,84.65881481481482,52.75245339747445,1.1697232250300844
4,2018-05-01,84.65881481481482,52.75245339747445,1.1697232250300844
5,2018-06-01,84.65881481481482,52.75245339747445,1.1697232250300844
6,2018-07-01,84.65881481481482,52.75245339747445,1.1697232250300844
7,2018-08-01,84.65881481481482,52.75245339747445,1.1697232250300844
8,2018-09-01,84.65881481481482,52.75245339747445,1.1697232250300844
9,2018-10-01,84.65881481481482,52.75245339747445,1.1697232250300844
10,2018-11-01,84.65881481481482,52.75245339747445,1.1697232250300844
11,2018-12-01,84.65881481481482,52.75245339747445,1.1697232250300844
12,2018-01-13,84.65881481481482,52.75245339747445,1.1697232250300844
13,2018-01-14,84.65881481481482,52.75245339747445,1.1697232250300844
14,2018-01-15,84.65881481481482,52.75245339747445,1.1697232250300844
15,2018-01-16,84.65881481481482,52.75245339747445,1.1697232250300844
16,2018-01-17,84.65881481481482,52.75245339747445,1.1697232250300844
17,2018-01-18,84.65881481481482,52.75245339747445,1.1697232250300844
18,2018-01-19,84.65881481481482,52.75245339747445,1.1697232250300844
19,2018-01-20,84.65881481481482,52.75245339747445,1.1697232250300844
20,2018-01-21,84.65881481481482,52.75245339747445,1.1697232250300844
21,2018-01-22,84.65881481481482,52.75245339747445,1.1697232250300844
22,2018-01-23,84.65881481481482,52.75245339747445,1.1697232250300844
23,2018-01-24,84.65881481481482,52.75245339747445,1.1697232250300844
24,2018-01-25,84.65881481481482,52.75245339747445,1.1697232250300844
25,2018-01-26,84.65881481481482,52.75245339747445,1.1697232250300844
26,2018-01-27,84.65881481481482,52.75245339747445,1.1697232250300844
27,2018-01-28,84.65881481481482,52.75245339747445,1.1697232250300844
28,2018-01-29,84.65881481481482,52.75245339747445,1.1697232250300844
29,2018-01-30,84.65881481481482,52.75245339747445,1.1697232250300844
30,2018-01-31,84.65881481481482,52.75245339747445,1.1697232250300844
31,2018-01-02,269.06,194.65,2.34
32,2018-02-02,81.536,90.37,1.48
33,2018-03-02,56.5,92.29,1.45
34,2018-04-02,88.28999999999999,71.59,0.92
35,2018-05-02,221.60999999999999,133.54,1.67
36,2018-06-02,57.67,91.2,1.34
37,2018-07-02,150.708,105.42,1.7
38,2018-08-02,53.0,149.19,2.08
39,2018-09-02,184.51399999999998,161.68,1.94
40,2018-10-02,58.0,148.9,1.95
41,2018-11-02,140.46800000000002,93.73,1.26
42,2018-12-02,59.0,28.92,0.86
43,2018-02-13,94.806,70.13,1.39
44,2018-02-14,41.88,54.8,0.84
45,2018-02-15,52.67,62.81,1.06
46,2018-02-16,68.376,75.28,1.23
47,2018-02-17,150.942,91.65,1.39
48,2018-02-18,50.43,82.63,1.31
49,2018-02-19,55.5,131.13,1.91
50,2018-02-20,52.5,110.14,2.15
51,2018-02-21,59.0,117.29,2.37
52,2018-02-22,175.072,148.87,2.45
