,date,PM2.5,NO2,CO
0,2018-01-01,142.51,66.5,0.73
1,2018-02-01,194.66,76.44,0.69
2,2018-03-01,152.67,69.9,0.7
3,2018-04-01,196.35,76.18,0.68
4,2018-05-01,206.43,76.61,0.66
5,2018-06-01,199.48,76.31,0.66
6,2018-07-01,117.84,61.52,0.77
7,2018-08-01,107.21,58.91,0.8
8,2018-09-01,150.46,68.3,0.72
9,2018-10-01,129.66,64.51,0.74
10,2018-11-01,102.65,58.58,0.79
11,2018-12-01,110.73,60.38,0.77
12,2018-01-13,164.82,70.83,0.72
13,2018-01-14,124.66,65.85,0.74
14,2018-01-15,116.94,60.82,0.78
15,2018-01-16,97.16,54.63,0.86
16,2018-01-17,198.04,76.53,0.65
17,2018-01-18,224.89,80.29,0.63
18,2018-01-19,156.69,69.65,0.7
19,2018-01-20,103.71,58.12,0.8
20,2018-01-21,124.5,63.47,0.76
21,2018-01-22,137.5,66.53,0.72
22,2018-01-23,111.3,61.9,0.86
23,2018-01-24,75.38,49.51,0.92
24,2018-01-25,70.38,47.46,0.96
25,2018-01-26,79.5,50.59,0.92
26,2018-01-27,120.53,62.37,0.76
27,2018-01-28,93.98,54.34,0.9
28,2018-01-29,114.17,60.12,0.79
29,2018-01-30,82.31,51.37,0.9
30,2018-01-31,77.81,50.64,0.89
31,2018-01-02,118.4,59.55,0.77
32,2018-02-02,76.11,38.31,0.93
33,2018-03-02,71.08,37.86,0.96
34,2018-04-02,78.12,38.97,0.9
35,2018-05-02,105.67,42.22,0.84
36,2018-06-02,78.66,39.23,0.89
37,2018-07-02,86.96,40.22,0.87
38,2018-08-02,125.79,45.14,0.76
39,2018-09-02,113.93,43.87,0.78
40,2018-10-02,113.47,43.89,0.78
41,2018-11-02,82.22,38.72,0.95
42,2018-12-02,42.11,29.73,1.69
43,2018-02-13,64.04,34.86,1.14
44,2018-02-14,40.97,29.06,1.56
45,2018-02-15,55.05,34.05,1.07
46,2018-02-16,61.07,34.92,1.07
47,2018-02-17,66.43,36.69,0.97
48,2018-02-18,93.35,39.11,0.95
49,2018-02-19,148.33,46.18,0.75
50,2018-02-20,136.56,45.43,0.76
51,2018-02-21,131.15,46.07,0.74
52,2018-02-22,98.52,41.03,0.87
53,2018-02-23,111.22,43.55,0.79
54,2018-02-24,137.29,51.76,0.66
55,2018-02-25,107.42,55.43,0.66
56,2018-02-26,73.19,37.23,0.98
57,2018-02-27,86.08,40.34,0.86
58,2018-02-28,113.89,45.47,0.79
