,date,SO2,NO2
0,2018-01-01,2.78,30.43
1,2018-02-01,2.95,30.82
2,2018-03-01,3.67,29.99
3,2018-04-01,10.746602067183463,20.483573591762568
4,2018-05-01,10.746602067183463,20.483573591762568
5,2018-06-01,10.746602067183463,20.483573591762568
6,2018-07-01,10.746602067183463,20.483573591762568
7,2018-08-01,10.746602067183463,20.483573591762568
8,2018-09-01,10.746602067183463,20.483573591762568
9,2018-10-01,10.746602067183463,20.483573591762568
10,2018-11-01,10.746602067183463,20.483573591762568
11,2018-12-01,5.53,76.19
12,2018-01-13,3.34,78.13
13,2018-01-14,5.5,95.4
14,2018-01-15,3.27,85.74
15,2018-01-16,9.83,79.2
16,2018-01-17,3.31,77.4
17,2018-01-18,5.05,78.11
18,2018-01-19,3.57,77.49
19,2018-01-20,3.97,77.09
20,2018-01-21,3.17,76.94
21,2018-01-22,2.88,77.11
22,2018-01-23,3.16,78.68
23,2018-01-24,2.96,78.53
24,2018-01-25,3.09,79.24
25,2018-01-26,2.59,79.11
26,2018-01-27,5.41,60.11
27,2018-01-28,3.81,36.86
28,2018-01-29,3.4,46.06
29,2018-01-30,3.59,48.67
30,2018-01-31,3.02,53.39
31,2018-01-02,3.44,54.84
32,2018-02-02,2.43,59.47
33,2018-03-02,2.81,66.32
34,2018-04-02,2.77,71.46
35,2018-05-02,3.23,56.31
36,2018-06-02,2.83,49.11
37,2018-07-02,3.96,42.63
38,2018-08-02,3.43,50.75
39,2018-09-02,7.84,51.55
40,2018-10-02,4.29,62.43
41,2018-11-02,5.75,48.55
42,2018-12-02,2.8,34.5
43,2018-02-13,2.7,28.77
44,2018-02-14,2.64,33.57
45,2018-02-15,2.72,33.35
46,2018-02-16,5.04,29.29
47,2018-02-17,3.04,9.16
48,2018-02-18,3.09,11.65
49,2018-02-19,3.33,13.01
50,2018-02-20,3.89,13.21
51,2018-02-21,4.92,9.83
52,2018-02-22,4.78,10.26
53,2018-02-23,4.57,13.32
54,2018-02-24,4.26,11.04
55,2018-02-25,10.746602067183463,20.483573591762568
56,2018-02-26,3.87,6.2
57,2018-02-27,4.1,9.88
58,2018-02-28,3.48,9.28
59,2018-01-03,3.91,9.45
60,2018-02-03,3.54,7.5
61,2018-03-03,3.51,9.03
62,2018-04-03,4.24,9.6
63,2018-05-03,3.51,6.34
64,2018-06-03,2.9,5.13
65,2018-07-03,3.8,9.49
66,2018-08-03,3.9,10.45
67,2018-09-03,3.55,9.23
68,2018-10-03,3.79,9.07
69,2018-11-03,3.84,9.54
70,2018-12-03,7.75,8.5
71,2018-03-13,3.55,8.08
72,2018-03-14,3.06,8.47
73,2018-03-15,3.83,7.12
74,2018-03-16,5.91,13.9
75,2018-03-17,1.95,14.23
76,2018-03-18,2.36,15.51
77,2018-03-19,2.62,14.46
78,2018-03-20,2.57,12.55
79,2018-03-21,2.72,4.88
80,2018-03-22,2.26,4.86
81,2018-03-23,2.66,6.12
82,2018-03-24,6.62,11.42
83,2018-03-25,1.79,13.78
84,2018-03-26,3.22,13.86
85,2018-03-27,7.24,12.95
86,2018-03-28,5.44,12.83
87,2018-03-29,1.21,13.63
88,2018-03-30,5.94,27.676
89,2018-03-31,4.11,6.46
90,2018-01-04,4.94,8.92
91,2018-02-04,3.8,6.54
92,2018-03-04,4.2,6.26
93,2018-04-04,5.5,2.44
94,2018-05-04,5.63,16.91
95,2018-06-04,5.75,17.62
96,2018-07-04,4.21,17.77
97,2018-08-04,5.27,17.47
98,2018-09-04,4.54,11.57
99,2018-10-04,6.23,2.58
100,2018-11-04,4.89,4.58
101,2018-12-04,4.67,237.27
102,2018-04-13,5.1,25.06
103,2018-04-14,4.63,22.42
104,2018-04-15,4.49,21.27
105,2018-04-16,4.33,16.17
106,2018-04-17,6.19,16.99
107,2018-04-18,5.05,4.89
108,2018-04-19,4.11,9.02
109,2018-04-20,4.95,9.46
110,2018-04-21,4.65,8.67
111,2018-04-22,4.82,8.81
112,2018-04-23,4.29,8.82
113,2018-04-24,4.87,8.63
114,2018-04-25,4.85,9.26
115,2018-04-26,4.75,8.67
116,2018-04-27,5.42,10.0
117,2018-04-28,4.2,10.58
118,2018-04-29,5.99,10.57
119,2018-04-30,8.05,10.64
120,2018-01-05,8.8,11.05
121,2018-02-05,13.09,10.22
122,2018-03-05,6.97,8.35
123,2018-04-05,4.78,8.23
124,2018-05-05,5.74,8.23
125,2018-06-05,5.07,8.22
126,2018-07-05,6.53,8.24
127,2018-08-05,5.1,8.21
128,2018-09-05,4.79,8.25
129,2018-10-05,4.72,8.25
130,2018-11-05,5.84,8.24
131,2018-12-05,5.67,8.25
132,2018-05-13,6.33,8.23
133,2018-05-14,5.38,8.21
134,2018-05-15,5.3,8.23
135,2018-05-16,6.06,8.27
136,2018-05-17,6.14,8.36
137,2018-05-18,5.42,8.4
138,2018-05-19,5.83,8.26
139,2018-05-20,4.82,8.47
140,2018-05-21,5.98,8.61
141,2018-05-22,5.1,8.39
142,2018-05-23,5.9,8.32
143,2018-05-24,5.46,8.33
144,2018-05-25,6.62,8.57
145,2018-05-26,5.94,8.34
146,2018-05-27,5.77,8.3
147,2018-05-28,7.0,8.25
148,2018-05-29,6.61,8.37
149,2018-05-30,6.42,8.68
150,2018-05-31,5.13,17.64
151,2018-01-06,6.73,8.52
152,2018-02-06,6.06,8.58
153,2018-03-06,6.3,8.42
154,2018-04-06,6.25,9.36
155,2018-05-06,3.15,9.63
156,2018-06-06,10.746602067183463,20.483573591762568
157,2018-07-06,5.77,12.52
158,2018-08-06,6.62,17.8
159,2018-09-06,11.27,7.1
160,2018-10-06,10.19,18.57
161,2018-11-06,13.2,40.82
162,2018-12-06,5.77,93.6
163,2018-06-13,7.72,14.87
164,2018-06-14,6.95,17.24
165,2018-06-15,5.14,14.46
166,2018-06-16,9.06,13.24
167,2018-06-17,4.56,13.17
168,2018-06-18,6.38,14.18
169,2018-06-19,7.17,15.12
170,2018-06-20,6.67,16.43
171,2018-06-21,5.42,17.25
172,2018-06-22,7.57,16.93
173,2018-06-23,7.56,16.42
174,2018-06-24,6.6,16.58
175,2018-06-25,4.57,16.09
176,2018-06-26,6.55,15.8
177,2018-06-27,7.34,16.28
178,2018-06-28,12.36,16.4
179,2018-06-29,8.37,16.84
180,2018-06-30,10.43,17.67
181,2018-01-07,3.68,18.89
182,2018-02-07,4.66,18.81
183,2018-03-07,9.45,18.69
184,2018-04-07,11.63,18.33
185,2018-05-07,4.99,7.44
186,2018-06-07,10.59,9.15
187,2018-07-07,7.24,9.29
188,2018-08-07,6.35,9.2
189,2018-09-07,9.48,9.24
190,2018-10-07,7.19,10.78
191,2018-11-07,7.2,9.96
192,2018-12-07,5.99,8.77
193,2018-07-13,13.03,8.97
194,2018-07-14,6.97,9.17
195,2018-07-15,6.3,9.44
196,2018-07-16,3.19,9.42
197,2018-07-17,2.55,9.31
198,2018-07-18,4.1,8.81
199,2018-07-19,2.86,8.71
200,2018-07-20,9.19,7.94
201,2018-07-21,6.12,5.99
202,2018-07-22,3.95,6.07
203,2018-07-23,3.91,6.04
204,2018-07-24,4.1,5.21
205,2018-07-25,3.49,4.82
206,2018-07-26,3.39,4.82
207,2018-07-27,2.55,5.74
208,2018-07-28,1.83,6.71
209,2018-07-29,1.96,6.65
210,2018-07-30,2.05,6.6
211,2018-07-31,2.22,6.61
212,2018-01-08,2.15,7.29
213,2018-02-08,3.69,8.55
214,2018-03-08,2.65,8.91
215,2018-04-08,4.55,8.62
216,2018-05-08,5.33,8.12
217,2018-06-08,6.78,8.08
218,2018-07-08,8.94,7.92
219,2018-08-08,7.45,7.1
220,2018-09-08,7.0,7.16
221,2018-10-08,8.75,7.67
222,2018-11-08,8.54,7.76
223,2018-12-08,8.46,7.84
224,2018-08-13,6.79,8.84
225,2018-08-14,7.01,10.35
226,2018-08-15,8.87,10.38
227,2018-08-16,6.39,10.27
228,2018-08-17,3.52,9.47
229,2018-08-18,6.36,9.46
230,2018-08-19,5.07,9.47
231,2018-08-20,6.0,10.17
232,2018-08-21,8.41,12.17
233,2018-08-22,7.1,13.84
234,2018-08-23,5.81,12.21
235,2018-08-24,6.27,13.53
236,2018-08-25,10.746602067183463,20.483573591762568
237,2018-08-26,10.746602067183463,20.483573591762568
238,2018-08-27,27.73,26.52
239,2018-08-28,6.32,12.09
240,2018-08-29,5.13,11.74
241,2018-08-30,5.22,10.66
242,2018-08-31,5.96,9.89
243,2018-01-09,5.27,19.25
244,2018-02-09,2.55,10.25
245,2018-03-09,3.05,14.08
246,2018-04-09,3.15,10.86
247,2018-05-09,1.97,10.86
248,2018-06-09,2.39,8.34
249,2018-07-09,2.79,7.31
250,2018-08-09,3.31,7.98
251,2018-09-09,2.88,10.7
252,2018-10-09,4.14,10.78
253,2018-11-09,2.59,15.79
254,2018-12-09,2.92,14.57
255,2018-09-13,3.09,10.9
256,2018-09-14,2.3,11.37
257,2018-09-15,2.73,11.57
258,2018-09-16,2.36,11.37
259,2018-09-17,3.5,11.48
260,2018-09-18,1.94,11.79
261,2018-09-19,3.37,11.69
262,2018-09-20,2.7,11.29
263,2018-09-21,2.68,11.04
264,2018-09-22,4.33,10.55
265,2018-09-23,5.47,3.77
266,2018-09-24,5.2,0.76
267,2018-09-25,2.93,1.42
268,2018-09-26,6.71,1.35
269,2018-09-27,4.56,5.28
270,2018-09-28,5.94,11.66
271,2018-09-29,6.48,14.47
272,2018-09-30,6.25,14.11
273,2018-01-10,6.49,14.79
274,2018-02-10,5.85,15.01
275,2018-03-10,6.55,14.41
276,2018-04-10,6.61,18.48
277,2018-05-10,6.57,17.46
278,2018-06-10,6.35,16.27
279,2018-07-10,6.83,15.2
280,2018-08-10,4.75,12.41
281,2018-09-10,3.72,11.03
282,2018-10-10,4.17,14.58
283,2018-11-10,6.42,21.48
284,2018-12-10,6.39,27.49
285,2018-10-13,5.53,26.11
286,2018-10-14,6.88,26.5
287,2018-10-15,6.43,23.02
288,2018-10-16,6.09,18.19
289,2018-10-17,6.04,20.14
290,2018-10-18,5.55,20.94
291,2018-10-19,6.56,23.09
292,2018-10-20,6.26,25.39
293,2018-10-21,5.59,29.72
294,2018-10-22,5.25,29.43
295,2018-10-23,6.25,23.87
296,2018-10-24,6.6,24.91
297,2018-10-25,6.45,26.76
298,2018-10-26,5.89,26.95
299,2018-10-27,5.84,26.16
300,2018-10-28,5.84,28.84
301,2018-10-29,5.94,25.8
302,2018-10-30,6.36,21.06
303,2018-10-31,6.24,22.62
304,2018-01-11,6.31,21.48
305,2018-02-11,6.02,21.34
306,2018-03-11,6.48,28.13
307,2018-04-11,5.78,32.34
308,2018-05-11,6.17,26.75
309,2018-06-11,9.306000000000001,38.49
310,2018-07-11,20.41,43.14
311,2018-08-11,7.72,31.88
312,2018-09-11,3.17,38.61
313,2018-10-11,3.87,37.68
314,2018-11-11,3.5,34.59
315,2018-12-11,2.31,37.02
316,2018-11-13,6.858,38.87
317,2018-11-14,4.354000000000001,36.97
318,2018-11-15,3.89,24.46
319,2018-11-16,11.192,35.67
320,2018-11-17,9.306000000000001,38.51
321,2018-11-18,9.712,38.46
322,2018-11-19,8.56,29.48
323,2018-11-20,0.71,27.58
324,2018-11-21,5.36,29.45
325,2018-11-22,6.94,34.07
326,2018-11-23,15.4,31.13
327,2018-11-24,9.754,33.65
328,2018-11-25,10.886000000000001,36.39
329,2018-11-26,4.71,33.27
330,2018-11-27,13.585999999999999,36.12
331,2018-11-28,9.248,34.05
332,2018-11-29,3.23,32.65
333,2018-11-30,7.56,31.84
334,2018-01-12,5.91,36.81
335,2018-02-12,12.565999999999999,37.58
336,2018-03-12,9.49,33.23
337,2018-04-12,7.11,27.31
338,2018-05-12,4.06,33.8
339,2018-06-12,14.122,43.48
340,2018-07-12,9.248000000000001,34.04
341,2018-08-12,6.2,37.78
342,2018-09-12,7.330000000000001,41.2
343,2018-10-12,3.5,41.38
344,2018-11-12,3.75,40.89
345,2018-12-12,0.87,39.31
346,2018-12-13,7.330000000000001,41.26
347,2018-12-14,6.35,31.14
348,2018-12-15,9.248000000000001,30.06
349,2018-12-16,7.5840000000000005,32.32
350,2018-12-17,4.16,31.48
351,2018-12-18,4.08,35.29
352,2018-12-19,2.73,37.48
353,2018-12-20,4.48,34.85
354,2018-12-21,23.54,38.11
355,2018-12-22,2.4,28.57
356,2018-12-23,17.544,21.08
357,2018-12-24,2.07,22.08
358,2018-12-25,8.428,22.78
359,2018-12-26,1.32,24.74
360,2018-12-27,1.97,26.6
361,2018-12-28,4.17,28.22
362,2018-12-29,4.354000000000001,37.05
363,2018-12-30,11.224,32.51
364,2018-12-31,2.98,33.74
365,2019-01-01,2.89,20.93
366,2019-02-01,3.41,21.02
367,2019-03-01,3.51,27.79
368,2019-04-01,3.49,32.32
369,2019-05-01,2.26,29.09
370,2019-06-01,1.61,31.6
371,2019-07-01,1.83,28.09
372,2019-08-01,2.94,25.9
373,2019-09-01,3.19,21.27
374,2019-10-01,2.86,24.98
375,2019-11-01,4.13,29.73
376,2019-12-01,3.37,23.75
377,2019-01-13,2.83,36.87
378,2019-01-14,4.33,27.82
379,2019-01-15,11.98,30.98
380,2019-01-16,13.585999999999999,36.09
381,2019-01-17,3.34,27.95
382,2019-01-18,15.841999999999999,25.59
383,2019-01-19,9.184000000000001,26.87
384,2019-01-20,10.328,25.67
385,2019-01-21,6.882,18.08
386,2019-01-22,12.478,18.29
387,2019-01-23,11.754,21.48
388,2019-01-24,12.01,21.01
389,2019-01-25,10.565999999999999,24.21
390,2019-01-26,8.4,26.75
391,2019-01-27,10.565999999999999,24.26
392,2019-01-28,9.35,21.37
393,2019-01-29,14.1,22.54
394,2019-01-30,12.996,22.33
395,2019-01-31,7.2379999999999995,16.44
396,2019-01-02,8.681999999999999,13.68
397,2019-02-02,6.954000000000001,15.0
398,2019-03-02,12.674000000000001,13.4
399,2019-04-02,10.462,15.21
400,2019-05-02,12.788,15.14
401,2019-06-02,10.536000000000001,14.61
402,2019-07-02,12.754,14.64
403,2019-08-02,9.498000000000001,12.31
404,2019-09-02,8.922,16.0
405,2019-10-02,14.001999999999999,18.61
406,2019-11-02,4.66,18.1
407,2019-12-02,7.15,19.12
408,2019-02-13,13.192000000000002,19.67
409,2019-02-14,3.85,16.43
410,2019-02-15,10.904,14.0
411,2019-02-16,7.558,13.76
412,2019-02-17,8.282,15.49
413,2019-02-18,10.4,15.57
414,2019-02-19,10.548,17.62
415,2019-02-20,10.08,17.53
416,2019-02-21,11.814,17.03
417,2019-02-22,10.85,18.72
418,2019-02-23,14.331999999999999,20.74
419,2019-02-24,15.680000000000001,21.83
420,2019-02-25,15.847999999999999,21.77
421,2019-02-26,8.24,15.77
422,2019-02-27,2.58,13.43
423,2019-02-28,8.956,9.67
424,2019-01-03,10.564,10.51
425,2019-02-03,12.096,9.9
426,2019-03-03,12.190000000000001,12.2
427,2019-04-03,7.58,16.43
428,2019-05-03,11.74,18.55
429,2019-06-03,12.459999999999999,19.27
430,2019-07-03,11.521999999999998,14.85
431,2019-08-03,9.392,7.16
432,2019-09-03,13.248,22.37
433,2019-10-03,11.306,8.09
434,2019-11-03,2.35,10.72
435,2019-12-03,13.034,12.18
436,2019-03-13,10.058,20.96
437,2019-03-14,11.132000000000001,12.83
438,2019-03-15,5.2379999999999995,11.85
439,2019-03-16,12.17,10.75
440,2019-03-17,10.864,10.41
441,2019-03-18,9.758,12.03
442,2019-03-19,4.74,25.02
443,2019-03-20,12.478,18.27
444,2019-03-21,10.3,14.3
445,2019-03-22,15.094000000000003,20.24
446,2019-03-23,11.309999999999999,15.7
447,2019-03-24,11.522,14.84
448,2019-03-25,13.751999999999999,14.92
449,2019-03-26,5.47,15.01
450,2019-03-27,14.322,26.51
451,2019-03-28,10.780000000000001,27.14
452,2019-03-29,12.254,15.82
453,2019-03-30,11.786000000000001,11.54
454,2019-03-31,8.616,14.56
455,2019-01-04,9.754,33.61
456,2019-02-04,16.639999999999997,66.59
457,2019-03-04,17.34,139.71
458,2019-04-04,5.9,59.26
459,2019-05-04,15.238,69.05
460,2019-06-04,8.04,23.63
461,2019-07-04,18.548000000000002,20.26
462,2019-08-04,12.122,22.91
463,2019-09-04,11.575999999999999,19.42
464,2019-10-04,7.5760000000000005,18.15
465,2019-11-04,26.386000000000003,16.65
466,2019-12-04,8.921999999999999,15.97
467,2019-04-13,9.682,18.0
468,2019-04-14,11.496,19.46
469,2019-04-15,9.022,18.04
470,2019-04-16,6.558,13.94
471,2019-04-17,15.930000000000001,13.35
472,2019-04-18,11.478000000000002,17.17
473,2019-04-19,8.28,18.78
474,2019-04-20,8.428,15.44
475,2019-04-21,8.193999999999999,15.45
476,2019-04-22,8.193999999999999,15.45
477,2019-04-23,8.193999999999999,15.45
478,2019-04-24,11.838,17.66
479,2019-04-25,7.703999999999999,16.8
480,2019-04-26,7.558,13.76
481,2019-04-27,7.558,13.76
482,2019-04-28,7.558,13.76
483,2019-04-29,12.344000000000001,16.26
484,2019-04-30,9.464,18.39
485,2019-01-05,10.398,17.34
486,2019-02-05,57.97,16.64
487,2019-03-05,52.81,16.64
488,2019-04-05,33.65,28.81
489,2019-05-05,8.63,38.62
490,2019-06-05,13.99,42.3
491,2019-07-05,50.26,38.15
492,2019-08-05,57.07,66.68
493,2019-09-05,28.79,27.31
494,2019-10-05,13.27,32.5
495,2019-11-05,27.61,12.19
496,2019-12-05,24.56,19.33
497,2019-05-13,23.99,11.54
498,2019-05-14,5.35,10.48
499,2019-05-15,25.22,9.05
500,2019-05-16,11.58,44.63
501,2019-05-17,16.77,15.09
502,2019-05-18,18.93,9.78
503,2019-05-19,20.2,9.31
504,2019-05-20,13.6,10.23
505,2019-05-21,25.16,31.7
506,2019-05-22,26.45,53.19
507,2019-05-23,13.67,45.79
508,2019-05-24,15.93,10.73
509,2019-05-25,15.23,8.38
510,2019-05-26,17.38,8.63
511,2019-05-27,16.43,14.7
