,date,NO2
0,2018-01-01,43.545841423948225
1,2018-02-01,43.545841423948225
2,2018-03-01,43.545841423948225
3,2018-04-01,43.545841423948225
4,2018-05-01,43.545841423948225
5,2018-06-01,43.545841423948225
6,2018-07-01,43.545841423948225
7,2018-08-01,43.545841423948225
8,2018-09-01,43.545841423948225
9,2018-10-01,43.545841423948225
10,2018-11-01,43.545841423948225
11,2018-12-01,43.545841423948225
12,2018-01-13,43.545841423948225
13,2018-01-14,43.545841423948225
14,2018-01-15,43.545841423948225
15,2018-01-16,43.545841423948225
16,2018-01-17,43.545841423948225
17,2018-01-18,43.545841423948225
18,2018-01-19,43.545841423948225
19,2018-01-20,43.545841423948225
20,2018-01-21,43.545841423948225
21,2018-01-22,43.545841423948225
22,2018-01-23,43.545841423948225
23,2018-01-24,43.545841423948225
24,2018-01-25,43.545841423948225
25,2018-01-26,43.545841423948225
26,2018-01-27,43.545841423948225
27,2018-01-28,43.545841423948225
28,2018-01-29,43.545841423948225
29,2018-01-30,43.545841423948225
30,2018-01-31,43.545841423948225
31,2018-01-02,43.545841423948225
32,2018-02-02,43.545841423948225
33,2018-03-02,43.545841423948225
34,2018-04-02,43.545841423948225
35,2018-05-02,43.545841423948225
36,2018-06-02,43.545841423948225
37,2018-07-02,43.545841423948225
38,2018-08-02,43.545841423948225
39,2018-09-02,43.545841423948225
40,2018-10-02,43.545841423948225
41,2018-11-02,43.545841423948225
42,2018-12-02,43.545841423948225
43,2018-02-13,43.545841423948225
44,2018-02-14,43.545841423948225
45,2018-02-15,43.545841423948225
46,2018-02-16,43.545841423948225
47,2018-02-17,43.545841423948225
48,2018-02-18,43.545841423948225
49,2018-02-19,43.545841423948225
50,2018-02-20,43.545841423948225
51,2018-02-21,43.545841423948225
52,2018-02-22,43.545841423948225
53,2018-02-23,43.545841423948225
54,2018-02-24,43.545841423948225
55,2018-02-25,43.545841423948225
56,2018-02-26,43.545841423948225
57,2018-02-27,43.545841423948225
58,2018-02-28,43.545841423948225
59,2018-01-03,43.545841423948225
60,2018-02-03,43.545841423948225
61,2018-03-03,43.545841423948225
62,2018-04-03,43.545841423948225
63,2018-05-03,43.545841423948225
64,2018-06-03,43.545841423948225
65,2018-07-03,43.545841423948225
66,2018-08-03,43.545841423948225
67,2018-09-03,43.545841423948225
68,2018-10-03,43.545841423948225
69,2018-11-03,43.545841423948225
70,2018-12-03,43.545841423948225
71,2018-03-13,43.545841423948225
72,2018-03-14,43.545841423948225
73,2018-03-15,43.545841423948225
74,2018-03-16,43.545841423948225
75,2018-03-17,43.545841423948225
76,2018-03-18,43.545841423948225
77,2018-03-19,43.545841423948225
78,2018-03-20,43.545841423948225
79,2018-03-21,43.545841423948225
80,2018-03-22,43.545841423948225
81,2018-03-23,43.545841423948225
82,2018-03-24,43.545841423948225
83,2018-03-25,43.545841423948225
84,2018-03-26,43.545841423948225
85,2018-03-27,43.545841423948225
86,2018-03-28,43.545841423948225
87,2018-03-29,43.545841423948225
88,2018-03-30,43.545841423948225
89,2018-03-31,43.545841423948225
90,2018-01-04,43.545841423948225
91,2018-02-04,43.545841423948225
92,2018-03-04,43.545841423948225
93,2018-04-04,43.545841423948225
94,2018-05-04,43.545841423948225
95,2018-06-04,43.545841423948225
96,2018-07-04,43.545841423948225
97,2018-08-04,43.545841423948225
98,2018-09-04,43.545841423948225
99,2018-10-04,43.545841423948225
100,2018-11-04,43.545841423948225
101,2018-12-04,43.545841423948225
102,2018-04-13,43.545841423948225
103,2018-04-14,43.545841423948225
104,2018-04-15,43.545841423948225
105,2018-04-16,43.545841423948225
106,2018-04-17,43.545841423948225
107,2018-04-18,43.545841423948225
108,2018-04-19,43.545841423948225
109,2018-04-20,43.545841423948225
110,2018-04-21,43.545841423948225
111,2018-04-22,43.545841423948225
112,2018-04-23,43.545841423948225
113,2018-04-24,43.545841423948225
114,2018-04-25,43.545841423948225
115,2018-04-26,43.545841423948225
116,2018-04-27,43.545841423948225
117,2018-04-28,43.545841423948225
118,2018-04-29,43.545841423948225
119,2018-04-30,43.545841423948225
120,2018-01-05,43.545841423948225
121,2018-02-05,43.545841423948225
122,2018-03-05,43.545841423948225
123,2018-04-05,43.545841423948225
124,2018-05-05,43.545841423948225
125,2018-06-05,43.545841423948225
126,2018-07-05,43.545841423948225
127,2018-08-05,43.545841423948225
128,2018-09-05,43.545841423948225
129,2018-10-05,43.545841423948225
130,2018-11-05,43.545841423948225
131,2018-12-05,43.545841423948225
132,2018-05-13,43.545841423948225
133,2018-05-14,43.545841423948225
134,2018-05-15,43.545841423948225
135,2018-05-16,43.545841423948225
136,2018-05-17,43.545841423948225
137,2018-05-18,43.545841423948225
138,2018-05-19,43.545841423948225
139,2018-05-20,43.545841423948225
140,2018-05-21,43.545841423948225
141,2018-05-22,43.545841423948225
142,2018-05-23,43.545841423948225
143,2018-05-24,43.545841423948225
144,2018-05-25,43.545841423948225
145,2018-05-26,43.545841423948225
146,2018-05-27,43.545841423948225
147,2018-05-28,43.545841423948225
148,2018-05-29,43.545841423948225
149,2018-05-30,43.545841423948225
150,2018-05-31,43.545841423948225
151,2018-01-06,43.545841423948225
152,2018-02-06,43.545841423948225
153,2018-03-06,43.545841423948225
154,2018-04-06,43.545841423948225
155,2018-05-06,43.545841423948225
156,2018-06-06,43.545841423948225
157,2018-07-06,43.545841423948225
158,2018-08-06,43.545841423948225
159,2018-09-06,43.545841423948225
160,2018-10-06,43.545841423948225
161,2018-11-06,43.545841423948225
162,2018-12-06,43.545841423948225
163,2018-06-13,43.545841423948225
