,date,PM2.5,NO2,CO
0,2018-01-01,264.23,17.7,1.12
1,2018-02-01,213.34,18.1,1.15
2,2018-03-01,163.06,17.26,1.09
3,2018-04-01,159.68,16.53,1.02
4,2018-05-01,176.3,16.52,1.02
5,2018-06-01,182.93,16.17,0.99
6,2018-07-01,144.45,15.97,0.98
7,2018-08-01,140.48,15.89,0.97
8,2018-09-01,179.06,16.02,0.98
9,2018-10-01,139.66,15.44,0.94
10,2018-11-01,109.41,15.88,0.97
11,2018-12-01,134.5,16.49,1.02
12,2018-01-13,177.84,16.06,0.99
13,2018-01-14,137.66,16.34,1.01
14,2018-01-15,141.07,15.58,0.95
15,2018-01-16,111.61,15.62,0.95
16,2018-01-17,202.35,16.9,1.05
17,2018-01-18,185.18,17.1,1.07
18,2018-01-19,226.74,16.75,1.04
19,2018-01-20,139.19,16.66,1.03
20,2018-01-21,135.11,17.15,1.07
21,2018-01-22,156.08,17.1,1.07
22,2018-01-23,130.8,17.28,1.08
23,2018-01-24,109.71,18.35,1.17
24,2018-01-25,82.75,18.51,1.18
25,2018-01-26,90.63,18.58,1.19
26,2018-01-27,125.39,17.59,1.11
27,2018-01-28,137.58,17.88,1.13
28,2018-01-29,152.78,17.65,1.11
29,2018-01-30,120.39,16.83,1.05
30,2018-01-31,114.71,17.22,1.08
31,2018-01-02,111.3,18.06,1.14
32,2018-02-02,127.54,18.49,1.16
33,2018-03-02,111.13,17.81,1.12
34,2018-04-02,135.32,17.03,1.06
35,2018-05-02,129.43,17.6,1.11
36,2018-06-02,125.34,17.24,1.08
37,2018-07-02,102.78,16.42,1.01
38,2018-08-02,136.35,17.35,1.09
39,2018-09-02,153.4,17.18,1.07
40,2018-10-02,154.75,17.63,1.11
41,2018-11-02,120.31,17.68,1.11
42,2018-12-02,57.36,18.02,1.14
43,2018-02-13,70.99,18.78,1.2
44,2018-02-14,60.09,17.89,1.13
45,2018-02-15,81.05,17.06,1.06
46,2018-02-16,68.67,16.74,1.04
47,2018-02-17,88.23,17.56,1.11
48,2018-02-18,92.45,17.7,1.12
49,2018-02-19,137.42,17.82,1.13
50,2018-02-20,151.53,17.79,1.12
51,2018-02-21,144.24,18.11,1.15
52,2018-02-22,135.81,18.53,1.18
53,2018-02-23,131.76,17.75,1.12
54,2018-02-24,147.8,15.3,0.92
55,2018-02-25,108.61,15.63,0.95
56,2018-02-26,51.58,16.26,1.0
57,2018-02-27,58.85,16.75,1.04
58,2018-02-28,130.05,16.87,1.05
59,2018-01-03,101.4,17.38,1.09
60,2018-02-03,83.4,16.92,1.05
61,2018-03-03,80.82,17.62,1.11
62,2018-04-03,69.3,18.11,1.15
63,2018-05-03,63.38,17.68,1.11
64,2018-06-03,54.69,17.15,1.07
65,2018-07-03,63.68,17.03,1.06
66,2018-08-03,89.58,16.5,1.02
67,2018-09-03,102.03,16.41,1.01
68,2018-10-03,62.16,17.29,1.08
69,2018-11-03,63.67,16.97,1.06
70,2018-12-03,61.91,16.78,1.04
71,2018-03-13,8.0,17.19,1.08
72,2018-03-14,8.0,17.54,1.1
73,2018-03-15,8.0,17.66,1.11
74,2018-03-16,30.5,17.12,1.07
75,2018-03-17,66.4,17.24,1.08
76,2018-03-18,68.21,16.87,1.05
77,2018-03-19,64.86,17.35,1.09
78,2018-03-20,89.43,16.81,1.04
79,2018-03-21,108.94,16.39,1.01
80,2018-03-22,57.11,22.44,1.5
81,2018-03-23,8.0,16.8,1.18
82,2018-03-24,8.0,15.06,0.9
83,2018-03-25,8.0,14.37,0.85
84,2018-03-26,8.0,15.66,0.95
85,2018-03-27,54.4,15.71,0.96
86,2018-03-28,121.67,15.5,0.94
87,2018-03-29,49.99,15.05,0.9
88,2018-03-30,45.86,15.06,0.9
89,2018-03-31,62.56,15.03,0.9
90,2018-01-04,97.24600000000001,14.5,0.86
91,2018-02-04,139.1,14.81,0.88
92,2018-03-04,109.65,14.46,0.86
93,2018-04-04,286.31,14.43,0.85
94,2018-05-04,54.44,13.93,0.81
95,2018-06-04,46.88,15.46,0.94
96,2018-07-04,49.11,15.56,0.94
97,2018-08-04,30.42,14.42,0.85
98,2018-09-04,317.06,16.53,1.05
99,2018-10-04,273.74,15.28,1.16
100,2018-11-04,12.14,14.93,1.12
101,2018-12-04,20.62,15.89,1.13
102,2018-04-13,31.098000000000003,15.72,1.14
103,2018-04-14,28.74,15.58,1.04
104,2018-04-15,55.47,15.47,1.05
105,2018-04-16,61.71,15.98,1.36
106,2018-04-17,33.07,15.65,1.32
107,2018-04-18,56.56,15.14,0.65
108,2018-04-19,39.53,15.86,0.76
109,2018-04-20,59.56,15.72,0.72
110,2018-04-21,88.47,18.69,0.73
111,2018-04-22,44.007999999999996,17.62,0.64
112,2018-04-23,249.92,16.6,0.7
113,2018-04-24,51.47,18.38,0.58
114,2018-04-25,58.444,20.19,1.0
115,2018-04-26,298.08,19.2,0.67
116,2018-04-27,45.92999999999999,17.77,0.68
117,2018-04-28,35.14,18.1,0.6
118,2018-04-29,38.57,18.15,0.68
119,2018-04-30,97.61,18.58,0.8
120,2018-01-05,62.3,18.71,0.98
121,2018-02-05,140.51,79.42,2.17
122,2018-03-05,122.84,18.14,3.39
123,2018-04-05,96.48,21.08,2.85
124,2018-05-05,25.8,18.84,1.74
125,2018-06-05,140.07,45.35,1.83
126,2018-07-05,66.82,48.75,2.2
127,2018-08-05,113.2,18.68,0.82
128,2018-09-05,65.66,20.53,2.07
129,2018-10-05,24.55,46.87,1.45
130,2018-11-05,62.15,58.68,1.47
131,2018-12-05,62.66,57.31,1.33
132,2018-05-13,46.93,33.88,1.36
133,2018-05-14,73.22,103.43,2.51
134,2018-05-15,72.98,62.23,3.06
135,2018-05-16,97.24,62.33,2.45
136,2018-05-17,67.68,62.35,2.49
137,2018-05-18,170.53,62.27,3.45
138,2018-05-19,47.09,62.03,4.52
139,2018-05-20,33.03,62.06,4.37
140,2018-05-21,52.39,53.32,3.1
141,2018-05-22,80.6,24.36,1.75
142,2018-05-23,92.85,24.36,2.28
143,2018-05-24,80.38,24.37,2.27
144,2018-05-25,91.81,24.36,2.14
145,2018-05-26,228.19,24.42,2.46
146,2018-05-27,106.74,24.37,2.5
147,2018-05-28,112.43,24.4,3.27
148,2018-05-29,104.58,24.42,3.1
149,2018-05-30,91.46,24.4,2.25
150,2018-05-31,89.56,24.43,2.35
151,2018-01-06,88.35,24.43,2.33
152,2018-02-06,51.44,24.37,3.16
153,2018-03-06,55.71,24.38,2.28
154,2018-04-06,67.84,24.38,2.96
155,2018-05-06,54.38,24.42,3.06
156,2018-06-06,59.0,24.38,2.69
157,2018-07-06,80.3982416918429,21.04750599520384,1.2004773269689737
158,2018-08-06,52.31,24.49,2.6
159,2018-09-06,57.42,24.33,2.47
160,2018-10-06,57.43,20.554,2.46
161,2018-11-06,73.92,36.804,2.37
162,2018-12-06,192.84,26.51,2.52
163,2018-06-13,392.56,26.46,2.99
164,2018-06-14,268.87,26.42,2.7
165,2018-06-15,174.75,26.47,2.78
166,2018-06-16,153.21,26.43,2.76
167,2018-06-17,116.94,26.41,3.0
168,2018-06-18,67.44,26.43,2.78
169,2018-06-19,67.96,25.93,2.2
170,2018-06-20,73.57,25.56,0.75
171,2018-06-21,88.37,25.59,0.77
172,2018-06-22,124.18,25.6,0.94
173,2018-06-23,104.8,25.7,1.0
174,2018-06-24,84.72,25.56,0.94
175,2018-06-25,115.85,25.66,1.0
176,2018-06-26,54.2,25.49,0.87
177,2018-06-27,50.44,29.2,1.47
178,2018-06-28,60.144000000000005,50.15,8.9
179,2018-06-29,61.18,47.46,4.9
180,2018-06-30,67.1,46.5,1.99
181,2018-01-07,33.94,46.63,1.4
182,2018-02-07,47.26,46.73,1.43
183,2018-03-07,53.96,46.81,1.54
184,2018-04-07,55.35,47.6,1.73
185,2018-05-07,54.37,46.76,1.63
186,2018-06-07,85.03,46.32,1.76
187,2018-07-07,56.1,47.16,1.9
188,2018-08-07,73.82,47.87,2.09
189,2018-09-07,69.37,47.36,1.94
190,2018-10-07,43.54,47.45,1.86
191,2018-11-07,39.52,47.75,1.53
192,2018-12-07,50.38,47.4,1.09
193,2018-07-13,26.66,48.38,1.32
194,2018-07-14,33.87,47.97,1.6
195,2018-07-15,30.8,48.03,1.56
196,2018-07-16,33.48,48.21,1.79
197,2018-07-17,30.56,47.42,1.6
198,2018-07-18,36.53,47.3,1.79
199,2018-07-19,38.05,47.15,1.66
200,2018-07-20,33.4,48.06,2.03
201,2018-07-21,35.35,47.98,2.18
202,2018-07-22,19.76,48.52,2.17
203,2018-07-23,30.06,48.42,1.82
204,2018-07-24,25.88,23.354000000000003,1.47
205,2018-07-25,25.23,22.24,1.29
206,2018-07-26,30.46,14.44,1.33
207,2018-07-27,15.47,14.92,1.45
208,2018-07-28,24.67,16.77,1.35
209,2018-07-29,85.01,14.65,1.0
210,2018-07-30,40.87,17.62,1.31
211,2018-07-31,53.17,18.23,1.46
212,2018-01-08,78.7,19.44,1.64
213,2018-02-08,99.5,19.16,1.6
214,2018-03-08,86.58,19.37,1.59
215,2018-04-08,93.38,18.89,1.59
216,2018-05-08,85.1,16.57,1.89
217,2018-06-08,62.12,19.42,2.02
218,2018-07-08,48.39,17.59,2.16
219,2018-08-08,32.16,23.99,2.1
220,2018-09-08,83.61,23.51,1.62
221,2018-10-08,37.62,31.3,1.73
222,2018-11-08,41.53,27.52,1.41
223,2018-12-08,27.07,25.1,1.62
224,2018-08-13,31.44,26.26,1.6
