,date,SO2,NO2
0,2018-01-01,4.169470304975923,18.903297682709447
1,2018-02-01,4.169470304975923,18.903297682709447
2,2018-03-01,4.169470304975923,18.903297682709447
3,2018-04-01,4.169470304975923,18.903297682709447
4,2018-05-01,4.169470304975923,18.903297682709447
5,2018-06-01,4.169470304975923,18.903297682709447
6,2018-07-01,4.169470304975923,18.903297682709447
7,2018-08-01,4.169470304975923,18.903297682709447
8,2018-09-01,4.169470304975923,18.903297682709447
9,2018-10-01,4.169470304975923,18.903297682709447
10,2018-11-01,4.169470304975923,18.903297682709447
11,2018-12-01,4.169470304975923,18.903297682709447
12,2018-01-13,4.169470304975923,18.903297682709447
13,2018-01-14,4.169470304975923,18.903297682709447
14,2018-01-15,4.169470304975923,18.903297682709447
15,2018-01-16,4.169470304975923,18.903297682709447
16,2018-01-17,4.169470304975923,18.903297682709447
17,2018-01-18,4.169470304975923,18.903297682709447
18,2018-01-19,4.169470304975923,18.903297682709447
19,2018-01-20,4.169470304975923,18.903297682709447
20,2018-01-21,4.169470304975923,18.903297682709447
21,2018-01-22,4.169470304975923,18.903297682709447
22,2018-01-23,4.169470304975923,18.903297682709447
23,2018-01-24,4.169470304975923,18.903297682709447
24,2018-01-25,4.169470304975923,18.903297682709447
25,2018-01-26,4.169470304975923,18.903297682709447
26,2018-01-27,4.169470304975923,18.903297682709447
27,2018-01-28,4.169470304975923,18.903297682709447
28,2018-01-29,4.169470304975923,18.903297682709447
29,2018-01-30,4.169470304975923,18.903297682709447
30,2018-01-31,4.169470304975923,18.903297682709447
31,2018-01-02,4.169470304975923,18.903297682709447
32,2018-02-02,4.169470304975923,18.903297682709447
33,2018-03-02,4.169470304975923,18.903297682709447
34,2018-04-02,4.169470304975923,18.903297682709447
35,2018-05-02,4.169470304975923,18.903297682709447
36,2018-06-02,4.169470304975923,18.903297682709447
37,2018-07-02,4.169470304975923,18.903297682709447
38,2018-08-02,4.169470304975923,18.903297682709447
39,2018-09-02,4.169470304975923,18.903297682709447
