,date,Agartala,Agra,Aizwal,Amritsar,Asansol,Aurangabad,Bareilly,Belgaum,Bengaluru,Bhopal,Chandigarh,Chennai,Coimbatore,Dehradun,DurgBhilai,Faridabad,Gandhinagar,Gangtok,Ghaziabad,Gorakhpur,Gwalior,Hyderabad,Imphal,Indore,Jabalpur,Jaipur,Jalandhar,Jodhpur,Kanpur,Kochi,Kohima,Kolkata,Kota,Kozhikode,Lucknow,Ludhiana,Mangaluru,Meerut,Moradabad,Mumbai,Mysuru,Nashik,NewDelhi,Patna,Pondicherry,Prayagraj,Pune,Shillong,Solapur,Srinagar,Thiruvananthapuram,Varanasi,Vijaywada,Visakhapatnam
0,10/1/2004,3.17929E+15,5.02047E+15,2.06413E+15,-1.27E+30,7.65722E+15,4.71702E+15,5.58349E+15,1.92205E+15,-1.27E+30,2.46602E+15,7.58399E+15,2.38778E+15,-1.27E+30,5.21261E+15,-1.27E+30,1.27E+16,5.40252E+15,3.27807E+15,1.15E+16,-1.27E+30,4.959E+15,-1.27E+30,3.39389E+15,4.48498E+15,3.19087E+15,4.23852E+15,-1.27E+30,3.18836E+15,4.26445E+15,-1.27E+30,3.67608E+15,5.58896E+15,4.58983E+15,3.15179E+15,4.9792E+15,-1.27E+30,2.54388E+15,7.67467E+15,6.18209E+15,3.99138E+15,-1.27E+30,3.80141E+15,9.05892E+15,4.5191E+15,-1.27E+30,5.30161E+15,2.90389E+15,-1.27E+30,2.62667E+15,-1.27E+30,-1.27E+30,3.77956E+15,3.11365E+15,4.02539E+15
1,10/2/2004,3.4239E+15,5.33268E+15,2.59847E+15,-1.27E+30,5.20731E+15,-1.27E+30,3.5225E+15,-1.27E+30,-1.27E+30,3.45749E+15,-1.27E+30,-1.27E+30,4.30338E+15,-1.27E+30,3.42958E+15,3.51463E+15,4.88684E+15,-1.27E+30,6.43137E+15,7.45866E+15,3.08606E+15,-1.27E+30,-1.27E+30,5.91827E+15,3.69447E+15,5.85563E+15,-1.27E+30,4.69814E+15,4.29552E+15,-1.27E+30,-1.27E+30,4.51485E+15,4.61736E+15,-1.27E+30,4.17928E+15,-1.27E+30,-1.27E+30,4.89838E+15,5.13236E+15,4.70704E+15,2.00495E+15,4.30473E+15,6.55714E+15,5.02508E+15,-1.27E+30,5.94029E+15,3.02479E+15,6.52725E+15,2.86604E+15,-1.27E+30,2.66662E+15,6.12735E+15,4.33811E+15,-1.27E+30
2,10/4/2004,3.13068E+15,2.89455E+15,2.23377E+15,5.2356E+15,-1.27E+30,3.93873E+15,4.10995E+15,-1.27E+30,-1.27E+30,3.92976E+15,5.00962E+15,3.90739E+15,-1.27E+30,2.95333E+15,4.23469E+15,1.36E+16,5.50067E+15,-1.27E+30,5.73794E+15,3.71036E+15,3.01574E+15,-1.27E+30,2.7463E+15,4.89696E+15,3.923E+15,-1.27E+30,4.71076E+15,4.35144E+15,4.57827E+15,-1.27E+30,2.87894E+15,-1.27E+30,4.79525E+15,-1.27E+30,6.56671E+15,4.23221E+15,-1.27E+30,4.05663E+15,3.86348E+15,-1.27E+30,-1.27E+30,3.3718E+15,8.04499E+15,4.70899E+15,2.20025E+15,4.88943E+15,-1.27E+30,3.72604E+15,1.42794E+15,4.43289E+15,-1.27E+30,5.35472E+15,-1.27E+30,-1.27E+30
3,10/5/2004,-1.27E+30,4.74138E+15,-1.27E+30,7.56887E+15,-1.27E+30,3.45357E+15,5.23709E+15,2.65522E+15,3.54049E+15,3.25518E+15,7.95384E+15,-1.27E+30,3.51096E+15,5.03948E+15,-1.27E+30,9.59754E+15,4.71433E+15,-1.27E+30,9.49954E+15,3.97565E+15,3.95074E+15,3.38372E+15,-1.27E+30,4.36707E+15,3.27377E+15,5.47212E+15,7.41415E+15,3.74484E+15,-1.27E+30,2.06485E+15,-1.27E+30,-1.27E+30,4.38076E+15,-1.27E+30,3.5591E+15,6.96203E+15,2.56682E+15,5.98779E+15,4.34713E+15,2.66584E+15,-1.27E+30,3.91652E+15,8.36927E+15,4.03742E+15,1.26706E+15,3.57884E+15,-1.27E+30,-1.27E+30,2.7209E+15,4.0828E+15,1.56225E+15,3.61284E+15,-1.27E+30,2.82661E+15
4,10/7/2004,-1.27E+30,5.42897E+15,-1.27E+30,7.91723E+15,-1.27E+30,3.44005E+15,7.17133E+15,2.57063E+15,4.02221E+15,4.69455E+15,7.24785E+15,5.25849E+15,3.55583E+15,5.20411E+15,2.3774E+15,9.11678E+15,6.15811E+15,-1.27E+30,8.91415E+15,4.0066E+15,4.73338E+15,3.22804E+15,-1.27E+30,4.80304E+15,3.37948E+15,5.02315E+15,7.50294E+15,4.33209E+15,6.31626E+15,3.37242E+15,-1.27E+30,-1.27E+30,5.13994E+15,2.31487E+15,5.11783E+15,5.49099E+15,2.96418E+15,7.90974E+15,7.58705E+15,4.80329E+15,3.14598E+15,2.67177E+15,7.42418E+15,-1.27E+30,3.14632E+15,4.43434E+15,3.04785E+15,-1.27E+30,4.21557E+15,3.63025E+15,2.06947E+15,-1.27E+30,4.17573E+15,-1.27E+30
5,10/8/2004,-1.27E+30,5.4934E+15,-1.27E+30,7.04815E+15,5.73885E+15,3.23059E+15,5.55882E+15,2.64176E+15,3.17809E+15,3.87627E+15,8.77096E+15,3.37283E+15,3.05226E+15,3.51298E+15,4.56468E+15,1.24E+16,4.615E+15,-1.27E+30,1.34E+16,4.13273E+15,5.62335E+15,2.48555E+15,-1.27E+30,3.75432E+15,3.92258E+15,4.54925E+15,6.81304E+15,3.53894E+15,5.09052E+15,1.97828E+15,-1.27E+30,4.98923E+15,4.38696E+15,2.38462E+15,5.02723E+15,6.94311E+15,2.54113E+15,7.1507E+15,7.03149E+15,3.08188E+15,2.47274E+15,-1.27E+30,9.37494E+15,4.53754E+15,3.54559E+15,5.07895E+15,2.88476E+15,-1.27E+30,3.15334E+15,3.10148E+15,2.32041E+15,5.54825E+15,2.52521E+15,4.80649E+15
6,10/9/2004,3.35591E+15,4.36861E+15,1.61988E+15,8.76041E+15,4.22707E+15,3.41242E+15,5.64131E+15,3.19251E+15,4.14799E+15,5.06072E+15,5.42717E+15,4.7932E+15,5.89542E+15,3.68712E+15,3.62861E+15,-1.27E+30,3.96725E+15,-1.27E+30,-1.27E+30,5.94818E+15,3.44159E+15,4.49582E+15,-1.27E+30,4.03651E+15,3.47524E+15,4.55194E+15,7.90519E+15,2.87031E+15,4.52969E+15,2.95506E+15,-1.27E+30,4.26752E+15,4.61124E+15,2.28766E+15,5.10191E+15,7.65087E+15,2.74229E+15,5.74263E+15,6.84576E+15,4.54213E+15,2.88889E+15,4.53198E+15,2.05E+15,4.42012E+15,4.89568E+15,5.21453E+15,2.9095E+15,2.83772E+15,3.49859E+15,4.44763E+15,2.46352E+15,4.5485E+15,5.37832E+15,3.89972E+15
7,10/11/2004,3.1286E+15,-1.27E+30,2.95894E+15,4.38476E+15,5.48492E+15,3.20787E+15,-1.27E+30,2.64812E+15,3.17598E+15,1.27125E+15,-1.27E+30,8.43428E+15,5.24997E+15,3.83552E+15,4.6637E+15,-1.27E+30,6.83129E+15,1.87423E+15,-1.27E+30,3.44339E+15,-1.27E+30,3.48614E+15,2.47173E+15,3.31502E+15,3.36934E+15,3.2312E+15,4.70397E+15,3.48193E+15,3.21781E+15,2.46196E+15,2.4704E+15,7.39105E+15,3.22039E+15,2.79635E+15,-1.27E+30,-1.27E+30,2.78179E+15,4.05783E+15,3.20392E+15,4.21103E+15,5.36874E+15,4.01245E+15,6.94742E+15,3.4451E+15,2.99585E+15,3.57667E+15,3.37406E+15,2.31181E+15,4.63921E+15,-1.27E+30,2.82996E+15,3.0994E+15,3.95514E+15,3.78341E+15
8,10/12/2004,3.87945E+15,-1.27E+30,3.56326E+15,6.57902E+15,4.19261E+15,3.21813E+15,4.7652E+15,2.34378E+15,-1.27E+30,3.05366E+15,9.63608E+15,-1.27E+30,5.23619E+15,9.65024E+15,3.51514E+15,5.96261E+15,6.01573E+15,3.16874E+15,8.36952E+15,-1.27E+30,-1.27E+30,2.5419E+15,2.84632E+15,3.37853E+15,2.58153E+15,3.49146E+15,7.1195E+15,3.58371E+15,-1.27E+30,3.44443E+15,3.86304E+15,-1.27E+30,4.45439E+15,2.51906E+15,3.76321E+15,7.59936E+15,1.80617E+15,6.71058E+15,-1.27E+30,4.61541E+15,2.07839E+15,4.51973E+15,8.11297E+15,-1.27E+30,3.32155E+15,3.43363E+15,3.2612E+15,3.7185E+15,2.88815E+15,-1.27E+30,2.47567E+15,-1.27E+30,-1.27E+30,3.52306E+15
9,10/13/2004,2.98585E+15,4.16212E+15,2.54682E+15,5.17521E+15,5.80795E+15,3.06766E+15,4.00486E+15,3.25093E+15,3.96195E+15,2.47303E+15,7.53383E+15,4.63272E+15,4.07131E+15,3.36554E+15,5.22123E+15,1.21E+16,5.01516E+15,6.67094E+15,1.06E+16,2.52915E+15,3.3051E+15,3.65678E+15,2.63325E+15,4.18643E+15,2.79232E+15,4.65299E+15,5.43045E+15,3.63121E+15,3.95867E+15,-1.27E+30,2.98159E+15,-1.27E+30,5.24815E+15,3.10294E+15,3.45012E+15,6.31315E+15,2.51946E+15,4.13137E+15,4.08531E+15,3.43426E+15,3.0688E+15,2.57248E+15,9.89516E+15,3.60625E+15,3.34264E+15,3.18822E+15,2.71935E+15,2.70563E+15,3.21498E+15,4.53444E+15,3.15282E+15,2.94131E+15,4.64115E+15,2.62443E+15
