date,open_NO2,sate_NO2,"T T Nagar, Bhopal - MPPCB"
2020-11-24,8.870000000000001,4520510000000000.0,57.15
2020-11-25,14.987916666666663,4529570000000000.0,50.78
2020-11-26,6.824166666666669,4223220000000000.0,14.23
2020-11-27,5.692500000000002,4163402000000000.0,12.56
2020-11-28,8.047916666666667,5078800000000000.0,11.99
2020-11-29,10.18416666666667,3759362000000000.0,12.2
2020-11-30,16.05875,3983940000000000.0,3.37
2020-12-01,17.300833333333333,4149160000000000.0,5.32
2020-12-02,24.913333333333338,4085770000000000.0,15.34
2020-12-03,27.328333333333333,4254520000000000.0,26.36
2020-12-04,24.460833333333337,3686438000000000.0,64.4
2020-12-05,18.540416666666665,4490850000000000.0,47.38
2020-12-06,26.91708333333333,4322442000000000.0,56.41
2020-12-07,26.344166666666663,4310620000000000.0,120.16
2020-12-08,24.14124999999999,4028326000000000.0,105.41
2020-12-09,21.4325,5448630000000000.0,89.21
2020-12-10,19.146666666666665,4563680000000000.0,51.04
2020-12-11,12.620416666666666,3621062000000000.0,54.22
2020-12-12,16.184583333333336,4300230000000000.0,40.79
2020-12-13,13.457916666666664,3991244000000000.0,39.81
2020-12-14,12.728750000000003,3935454000000000.0,37.0
2020-12-15,11.595833333333331,4255130000000000.0,35.34
2020-12-16,7.9375,4586818000000000.0,36.08
2020-12-17,15.350833333333334,3569650000000000.0,50.86
2020-12-18,22.539583333333336,3772324000000000.0,51.92
2020-12-19,15.747083333333336,3235430000000000.0,55.21
2020-12-20,17.16333333333333,3055834000000000.0,58.7
2020-12-21,21.51375,3247630000000000.0,58.84
2020-12-22,21.92708333333333,4233748000000000.0,45.62
2020-12-23,14.612083333333336,4539870000000000.0,39.48
2020-12-24,12.693333333333335,4155820000000000.0,47.37
2020-12-25,20.177083333333336,4799820000000000.0,46.75
2020-12-26,12.49875,4322700000000000.0,52.76
2020-12-27,6.075416666666668,4024780000000000.0,40.64
2020-12-28,10.718333333333334,3008400000000000.0,35.45
2020-12-29,7.43,3697008000000000.0,38.58
2020-12-30,6.9175,3561424000000000.0,35.91
2020-12-31,13.537916666666662,4448720000000000.0,41.61
2021-01-01,9.087083333333334,4346570000000000.0,46.77
2021-01-02,11.854166666666666,4380090000000000.0,55.47
2021-01-03,10.770833333333334,2678158000000000.0,51.38
2021-01-04,16.586666666666662,5499850000000000.0,48.87
2021-01-05,10.564583333333331,4254570000000000.0,44.75
2021-01-06,15.854999999999997,4757050000000000.0,49.51
2021-01-07,16.125833333333336,3796808000000000.0,32.91
2021-01-08,8.270416666666668,4534120000000000.0,37.22
2021-01-09,8.81875,3939710000000000.0,38.39
2021-01-10,12.500833333333333,4759100000000000.0,25.18
2021-01-11,12.312916666666668,3169860000000000.0,24.87
2021-01-12,19.32583333333333,4015224000000000.0,50.77
2021-01-13,18.34583333333333,2694930000000000.0,64.33
2021-01-14,19.695833333333336,3772836000000000.0,31.61
2021-01-15,12.525833333333331,4212090000000000.0,32.9
2021-01-16,13.324999999999998,4576480000000000.0,39.27
2021-01-17,5.857083333333333,4053290000000000.0,30.89
2021-01-18,16.349166666666665,2581690000000000.0,24.24
2021-01-19,12.579999999999998,3228502000000000.0,26.12
2021-01-20,19.22,3600060000000000.0,38.25
2021-01-21,27.968750000000004,3639720000000000.0,40.87
2021-01-22,20.68875,3751310000000000.0,38.09
2021-01-23,8.413333333333332,4124582000000000.0,16.0
2021-01-24,7.508750000000002,4119620000000000.0,18.96
2021-01-25,11.386666666666668,3809622000000000.0,18.29
