date,open_NO2,sate_NO2,"Kariavattom, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram - Kerala PCB"
2020-11-24,1.5675,3714250000000000.0,21.11,21.11
2020-11-25,0.5599999999999999,3080294000000000.0,22.08,22.08
2020-11-26,1.43,2223940000000000.0,15.3,19.94
2020-11-27,1.3925,2304188000000000.0,9.44,3.16
2020-11-28,3.240416666666667,2763630000000000.0,13.05,10.15
2020-11-29,3.38625,3033920000000000.0,15.1,16.04
2020-11-30,3.659583333333333,2627232000000000.0,3.85,3.85
2020-12-01,4.078333333333333,2576110000000000.0,10.66,8.07
2020-12-02,3.902083333333334,2757354000000000.0,11.53,6.56
2020-12-03,5.687500000000001,2880120000000000.0,12.79,11.11
2020-12-04,7.405833333333334,2337834000000000.0,16.47,17.66
2020-12-05,3.567500000000001,2654178000000000.0,20.27,19.1
2020-12-06,3.4512500000000004,2865420000000000.0,23.2,19.42
2020-12-07,5.704583333333333,3264862000000000.0,15.17,12.75
2020-12-08,10.480833333333337,3852280000000000.0,15.7,15.02
2020-12-09,7.366250000000001,2743292000000000.0,12.24,12.72
2020-12-10,6.429166666666667,2404210000000000.0,13.55,14.09
2020-12-11,2.8316666666666666,2621412000000000.0,15.96,19.43
2020-12-12,1.831666666666667,2575960000000000.0,15.86,15.01
2020-12-13,1.892083333333333,2404560000000000.0,11.35,11.59
2020-12-14,3.8274999999999992,2858590000000000.0,15.5,16.79
2020-12-15,4.238333333333333,2487000000000000.0,13.8,18.08
2020-12-16,4.089166666666666,2731866000000000.0,14.51,17.15
2020-12-17,2.5245833333333327,3280260000000000.0,13.92,14.89
2020-12-18,7.253750000000001,2825756000000000.0,15.86,23.38
2020-12-19,5.007083333333333,2369060000000000.0,17.73,12.5
2020-12-20,4.426666666666667,2458690000000000.0,14.95,14.54
2020-12-21,7.5625,2419760000000000.0,22.02,20.0
2020-12-22,6.842500000000001,2793202000000000.0,17.35,22.48
2020-12-23,9.678333333333333,2891720000000000.0,17.46,18.22
2020-12-24,5.0925,2040810000000000.0,16.19,17.8
2020-12-25,5.189166666666668,2450528000000000.0,14.94,13.84
2020-12-26,3.9041666666666672,3137440000000000.0,16.62,16.62
2020-12-27,4.772083333333333,2887260000000000.0,12.75,12.75
2020-12-28,5.362916666666667,2295450000000000.0,19.06,19.06
2020-12-29,4.514166666666666,2769194000000000.0,17.64,12.99
2020-12-30,4.940833333333333,3003880000000000.0,18.6,18.29
2020-12-31,6.523750000000002,1442740000000000.0,16.82,15.14
2021-01-01,7.107083333333332,2362732000000000.0,15.11,20.35
2021-01-02,3.5900000000000003,2184150000000000.0,14.07,21.28
2021-01-03,4.122083333333333,3138138000000000.0,15.89,15.71
2021-01-04,5.595416666666666,2961226000000000.0,14.86,18.01
2021-01-05,2.24375,2769328000000000.0,11.42,21.63
2021-01-06,6.41125,2392000000000000.0,16.25,19.58
2021-01-07,5.7375,2871356000000000.0,13.46,14.86
2021-01-08,4.652083333333333,2627320000000000.0,12.43,14.53
2021-01-09,5.290833333333333,2728108000000000.0,12.47,18.85
2021-01-10,6.21375,2660686000000000.0,11.27,12.74
2021-01-11,7.041666666666665,2764174000000000.0,16.24,22.56
2021-01-12,6.782916666666668,2705046000000000.0,16.42,24.44
2021-01-13,7.170416666666665,2704202000000000.0,15.17,19.99
2021-01-14,11.274166666666668,2839548000000000.0,13.06,17.7
2021-01-15,12.735,2044190000000000.0,14.87,21.22
2021-01-16,7.528333333333333,1179020000000000.0,13.26,21.39
2021-01-17,6.78375,2865068000000000.0,13.1,19.6
2021-01-18,5.158333333333333,2047130000000000.0,16.26,19.08
2021-01-19,2.51625,2741552000000000.0,16.46,18.95
2021-01-20,2.7212499999999995,3864760000000000.0,19.72,18.62
2021-01-21,4.2025,2882952000000000.0,16.83,20.07
2021-01-22,2.9150000000000005,2662880000000000.0,12.44,16.72
2021-01-23,3.893333333333333,2678704000000000.0,16.95,16.48
2021-01-24,3.5741666666666663,2924500000000000.0,14.77,15.82
2021-01-25,5.754583333333334,1998630000000000.0,18.79,22.62
2021-01-26,3.6715,2936210000000000.0,17.89,15.64
2021-01-27,3.9425,2076130000000000.0,18.19,18.37
2021-01-28,2.2983333333333333,2765262000000000.0,21.4,21.4
2021-01-29,2.512916666666667,2248270000000000.0,23.13,23.13
2021-01-30,1.71875,2578432000000000.0,16.87,18.53
2021-01-31,2.5620833333333333,3073640000000000.0,15.98,12.4
2021-02-01,4.6475,2584040000000000.0,17.31,29.83
2021-02-02,5.751666666666666,2872470000000000.0,17.53,21.39
2021-02-03,6.387083333333332,2728510000000000.0,18.54,18.96
2021-02-04,4.802083333333334,1841070000000000.0,18.19,20.07
2021-02-05,3.82375,2922360000000000.0,19.44,19.68
2021-02-06,3.143333333333334,2626912000000000.0,17.5,18.0
2021-02-07,2.9445833333333336,2947860000000000.0,18.76,14.88
2021-02-08,5.161666666666668,2421550000000000.0,11.51,8.18
2021-02-09,3.8545833333333337,2424500000000000.0,18.21,28.93
2021-02-10,3.992083333333333,2802390000000000.0,20.74,30.46
2021-02-11,5.260416666666667,2903140000000000.0,20.04,25.26
2021-02-12,3.3191666666666677,2154560000000000.0,19.39,23.85
2021-02-13,2.2100000000000004,2643526000000000.0,17.03,23.84
2021-02-14,2.565,2575520000000000.0,15.7,21.17
2021-02-15,2.2558333333333334,2686040000000000.0,19.77,22.36
2021-02-16,2.1562500000000004,2863570000000000.0,18.23,21.12
2021-02-17,2.4020833333333336,2445980000000000.0,15.88,21.35
2021-02-18,2.7975,3813540000000000.0,18.33,22.61
2021-02-19,1.4058333333333335,3838970000000000.0,17.84,22.16
2021-02-20,1.9441666666666664,3532010000000000.0,16.2,23.47
2021-02-21,2.766666666666666,2571210000000000.0,15.78,19.55
2021-02-22,2.609583333333333,2696632000000000.0,15.25,24.02
2021-02-23,2.474166666666666,2062740000000000.0,16.05,21.96
2021-02-24,1.7295833333333333,2358200000000000.0,14.84,23.05
2021-02-25,3.387916666666667,2597270000000000.0,18.02,20.02
2021-02-26,3.5841666666666665,3713330000000000.0,19.15,21.45
2021-02-27,1.567083333333333,3429610000000000.0,12.49,20.42
2021-02-28,4.432083333333334,2954830000000000.0,12.48,16.78
2021-03-01,3.297083333333333,2766450000000000.0,12.5,25.2
2021-03-02,3.0362500000000003,2965940000000000.0,12.51,19.79
2021-03-03,5.192083333333334,2561112000000000.0,12.45,18.66
2021-03-04,6.190833333333334,2599520000000000.0,12.54,26.51
2021-03-05,2.6991666666666667,2393020000000000.0,12.49,23.15
2021-03-06,1.96875,2963450000000000.0,12.49,26.74
