date,open_NO2,sate_NO2,"Bardowali, Agartala - Tripura SPCB","Kunjaban, Agartala - Tripura SPCB"
2020-11-24,14.91,5230930000000000.0,34.39,34.39
2020-11-25,23.77,5666110000000000.0,53.3,53.3
2020-11-26,24.251249999999995,5609676000000000.0,1.36,1.36
2020-11-27,23.68625,5157880000000000.0,0.12,0.12
2020-11-28,20.64166666666667,5325036000000000.0,0.47,0.47
2020-11-29,22.530416666666667,8060410000000000.0,0.32,0.32
2020-11-30,32.775000000000006,4931756000000000.0,0.08,0.08
2020-12-01,20.977083333333336,8115200000000000.0,0.29,0.29
2020-12-02,24.35416666666666,4662470000000000.0,0.12,0.12
2020-12-03,33.30083333333334,4728126000000000.0,2.28,2.28
2020-12-04,33.42916666666666,7020210000000000.0,7.68,7.68
2020-12-05,18.079166666666666,5431888000000000.0,13.19,13.19
2020-12-06,22.775,5310100000000000.0,10.8,10.8
2020-12-07,16.822083333333335,5361130000000000.0,8.89,8.89
2020-12-08,26.521666666666665,3305718000000000.0,11.21,11.21
2020-12-09,29.18916666666666,5095120000000000.0,10.32,10.32
2020-12-10,25.561666666666664,4299850000000000.0,11.8,11.8
2020-12-11,23.23875,5198240000000000.0,13.34,13.34
2020-12-12,17.65791666666667,5050008000000000.0,7.92,7.92
2020-12-13,21.109166666666667,5403740000000000.0,11.47,11.47
2020-12-14,25.27083333333334,5202692000000000.0,13.58,13.58
2020-12-15,22.476250000000004,1.02e+16,10.81,10.81
2020-12-16,22.227499999999992,4024288000000000.0,14.33,14.33
2020-12-17,27.377916666666675,6606080000000000.0,14.83,14.83
2020-12-18,27.144166666666678,4914136000000000.0,17.33,17.33
2020-12-19,15.111249999999991,4350220000000000.0,16.94,16.94
2020-12-20,23.3725,5276050000000000.0,14.92,14.92
2020-12-21,30.95833333333333,4495124000000000.0,15.9,15.9
2020-12-22,22.48125,9433920000000000.0,17.6,17.6
2020-12-23,25.40875,6946132000000000.0,17.18,17.18
2020-12-24,23.47583333333333,5440830000000000.0,12.78,12.78
2020-12-25,29.96166666666667,5402148000000000.0,12.87,12.87
2020-12-26,20.27541666666667,5119980000000000.0,14.69,14.69
2020-12-27,30.307083333333345,8177790000000000.0,15.32,15.32
2020-12-28,32.86625,4387702000000000.0,17.13,17.13
2020-12-29,25.64458333333334,6302090000000000.0,15.66,15.66
2020-12-30,27.472500000000007,5032100000000000.0,13.96,13.96
2020-12-31,27.90083333333333,1.13e+16,15.7,15.7
2021-01-01,31.394166666666678,5767638000000000.0,14.3,14.3
2021-01-02,30.81750000000001,9266180000000000.0,13.79,13.79
2021-01-03,20.41708333333333,8122326000000000.0,13.62,13.62
2021-01-04,30.138333333333332,4414662000000000.0,14.47,14.47
2021-01-05,28.95625000000001,5216720000000000.0,13.49,13.49
2021-01-06,34.86375,4751852000000000.0,13.87,13.87
2021-01-07,31.40625,8099120000000000.0,15.87,15.87
2021-01-08,31.97499999999999,5528788000000000.0,13.47,13.47
2021-01-09,24.726666666666677,5660030000000000.0,13.89,13.89
2021-01-10,23.351250000000007,6031534000000000.0,16.09,16.09
2021-01-11,24.01,5180390000000000.0,13.16,13.16
2021-01-12,22.070833333333336,1.05e+16,12.89,12.89
2021-01-13,20.31458333333333,5383636000000000.0,16.08,16.08
2021-01-14,21.22625,6376130000000000.0,13.72,13.72
2021-01-15,33.1375,3572496000000000.0,18.77,18.77
2021-01-16,28.97625,3515740000000000.0,23.27,23.27
2021-01-17,27.764166666666668,3597524000000000.0,0.64,0.64
2021-01-18,17.239583333333332,9065620000000000.0,23.46,23.46
2021-01-19,14.275416666666668,4945038000000000.0,19.85,19.85
2021-01-20,6.127499999999999,5194352000000000.0,14.48,14.48
2021-01-21,26.810416666666665,7372220000000000.0,17.55,17.55
2021-01-22,27.010833333333338,4009326000000000.0,15.09,15.09
2021-01-23,22.293749999999992,6603160000000000.0,16.64,16.64
2021-01-24,20.73416666666667,4868690000000000.0,13.83,13.83
