date,open_NO2,sate_NO2,"Bardowali, Agartala - Tripura SPCB","Kunjaban, Agartala - Tripura SPCB"
2021-01-25,21.74375,4274270000000000.0,13.93,13.93
2021-01-26,28.7635,4305368000000000.0,14.86,14.86
2021-01-27,19.365,4625540000000000.0,15.71,15.71
2021-01-28,24.315416666666664,6294090000000000.0,14.21,14.21
2021-01-29,27.262500000000006,5327688000000000.0,17.48,17.48
2021-01-30,20.449166666666667,7972530000000000.0,15.74,15.74
2021-01-31,24.41666666666666,4377092000000000.0,16.2,16.2
2021-02-01,25.59041666666667,9171310000000000.0,22.38,22.38
2021-02-02,24.98041666666666,5699170000000000.0,25.62,25.62
2021-02-03,26.46541666666667,6431280000000000.0,20.69,20.69
2021-02-04,21.855833333333337,6295982000000000.0,17.39,17.39
2021-02-05,25.85291666666667,4136006000000000.0,17.33,17.33
2021-02-06,18.53291666666667,7447460000000000.0,18.86,18.86
2021-02-07,18.547083333333333,5848746000000000.0,17.56,17.56
2021-02-08,22.695416666666663,4433320000000000.0,13.2,13.2
2021-02-09,29.324166666666677,5732288000000000.0,19.3,19.3
2021-02-10,30.2675,4441720000000000.0,21.16,21.16
2021-02-11,30.06,3738388000000000.0,19.71,19.71
2021-02-12,31.946666666666676,3854800000000000.0,22.03,22.03
2021-02-13,28.460833333333337,5261230000000000.0,16.09,16.09
2021-02-14,22.62625,4287204000000000.0,17.16,17.16
2021-02-15,27.911249999999995,4896950000000000.0,21.0,21.0
2021-02-16,25.600833333333338,4482374000000000.0,18.56,18.56
2021-02-17,18.035,3594650000000000.0,14.12,14.12
2021-02-18,30.82541666666666,5057884000000000.0,17.22,17.22
2021-02-19,28.9,6228200000000000.0,18.01,18.01
2021-02-20,19.34708333333333,4793166000000000.0,16.69,16.69
2021-02-21,25.556249999999995,4634484000000000.0,14.22,14.22
2021-02-22,31.795000000000005,4173480000000000.0,19.12,19.12
2021-02-23,35.598333333333336,4259776000000000.0,20.44,20.44
2021-02-24,18.645000000000003,6296340000000000.0,19.15,19.15
2021-02-25,10.4675,3756306000000000.0,9.97,9.97
2021-02-26,8.865,5246440000000000.0,8.1,8.1
2021-02-27,7.240000000000001,4746726000000000.0,5.08,5.08
2021-02-28,5.355,5606650000000000.0,4.82,4.82
2021-03-01,5.2683333333333335,4523680000000000.0,6.43,6.43
2021-03-02,24.25083333333332,3567560000000000.0,10.96,10.96
2021-03-03,20.27333333333333,5395790000000000.0,14.13,14.13
2021-03-04,10.1575,5664002000000000.0,10.73,10.73
2021-03-05,3.0820833333333337,6513890000000000.0,6.65,6.65
2021-03-06,3.334583333333334,3655120000000000.0,4.54,4.54
2021-03-07,5.0425,4172190000000000.0,5.64,5.64
2021-03-08,8.677083333333334,3470750000000000.0,8.38,8.38
2021-03-09,7.950833333333335,4617208000000000.0,6.36,6.36
2021-03-10,7.567916666666666,4405540000000000.0,10.0,10.0
2021-03-11,18.70583333333333,5633394000000000.0,7.2,7.2
2021-03-12,11.30958333333333,6459910000000000.0,12.09,12.09
2021-03-13,8.515833333333335,5166644000000000.0,8.62,8.62
2021-03-14,15.671304347826087,4958880000000000.0,12.26,12.26
2021-03-15,19.243333333333336,3539598000000000.0,14.86,14.86
2021-03-16,24.14125,6168460000000000.0,16.62,16.62
2021-03-17,21.609166666666663,4238280000000000.0,15.53,15.53
2021-03-18,30.329583333333336,6570920000000000.0,15.61,15.61
2021-03-19,23.47958333333333,8552180000000000.0,20.83,20.83
2021-03-20,19.14,5541660000000000.0,15.06,15.06
2021-03-21,19.56416666666666,8951460000000000.0,16.77,16.77
2021-03-22,22.297083333333333,4083206800000000.0,19.1,19.1
2021-03-23,22.63916666666667,1.03e+16,17.12,17.12
2021-03-24,18.79125,6004850000000000.0,15.03,15.03
2021-03-25,23.671666666666667,7822240000000000.0,18.02,18.02
2021-03-26,33.04291666666668,9376060000000000.0,18.24,18.24
2021-03-27,18.49833333333334,8557250000000000.0,13.57,13.57
2021-03-28,22.1975,7023660000000000.0,11.87,11.87
2021-03-29,6.9075000000000015,5251540000000000.0,9.65,9.65
2021-03-30,2.0795833333333333,7529560000000000.0,6.08,6.08
2021-03-31,1.92875,4333658800000000.0,4.21,4.21
2021-04-01,3.125,6116540000000000.0,5.53,5.53
2021-04-02,6.2825000000000015,5036230000000000.0,5.81,5.81
2021-04-03,12.12625,3607754000000000.0,9.06,9.06
2021-04-04,8.29875,5378160000000000.0,6.1,6.1
2021-04-05,12.7725,4705900000000000.0,9.13,9.13
2021-04-06,17.865,7446350000000000.0,13.67,13.67
2021-04-07,11.1075,5084508000000000.0,9.08,9.08
2021-04-08,6.607500000000001,4779350000000000.0,7.76,7.76
2021-04-09,18.16125,4579070000000000.0,6.47,6.47
2021-04-10,12.822083333333332,5906134000000000.0,9.77,9.77
2021-04-11,11.477916666666664,6137100000000000.0,8.32,8.32
2021-04-12,20.609583333333333,5761130000000000.0,9.15,9.15
2021-04-13,11.5125,5264890000000000.0,9.14,9.14
2021-04-14,6.34375,5231376000000000.0,5.73,5.73
2021-04-15,7.714166666666665,5179680000000000.0,6.48,6.48
2021-04-16,10.135000000000002,5294204000000000.0,5.42,5.42
2021-04-17,12.075833333333335,5707180000000000.0,8.46,8.46
2021-04-18,4.9245833333333335,4643040000000000.0,11.0,11.0
2021-04-19,3.639583333333333,5335494000000000.0,6.64,6.64
2021-04-20,4.394583333333334,5387540000000000.0,5.62,5.62
2021-04-21,11.114166666666664,2119020000000000.0,8.84,8.84
2021-04-22,12.954583333333332,4265240000000000.0,10.35,10.35
2021-04-23,17.477500000000003,4494330000000000.0,17.09,17.09
2021-04-24,11.775416666666668,7460610000000000.0,13.42,13.42
2021-04-25,11.447083333333332,4816390000000000.0,14.11,14.11
2021-04-26,14.409166666666666,6195220000000000.0,14.16,14.16
2021-04-27,5.40875,4779070000000000.0,7.89,7.89
2021-04-28,11.140416666666669,6185110000000000.0,6.26,6.26
2021-04-29,10.7075,7320500000000000.0,8.63,8.63
2021-04-30,6.939166666666666,4253316000000000.0,7.52,7.52
2021-05-01,4.9158333333333335,5407720000000000.0,5.81,5.81
2021-05-02,10.435833333333337,4293200000000000.0,5.62,5.62
2021-05-03,6.772916666666666,4631630000000000.0,7.79,7.79
2021-05-04,10.162916666666666,7567760000000000.0,6.95,6.95
2021-05-05,7.512916666666666,4454636000000000.0,5.73,5.73
2021-05-06,9.921666666666669,3876612000000000.0,9.6,9.6
2021-05-07,9.977083333333333,4208428000000000.0,5.79,5.79
2021-05-08,8.386666666666667,3721820000000000.0,5.49,5.49
2021-05-09,15.226250000000002,5165590000000000.0,5.37,5.37
2021-05-10,5.00875,6089600000000000.0,4.85,4.85
2021-05-11,8.320000000000002,5213740000000000.0,4.27,4.27
2021-05-12,9.912083333333332,5975390000000000.0,4.63,4.63
2021-05-13,5.809166666666669,6021586000000000.0,4.62,4.62
2021-05-14,4.935416666666666,3991560000000000.0,3.83,3.83
2021-05-15,7.929583333333331,4079960000000000.0,4.55,4.55
2021-05-16,12.392499999999998,4768344000000000.0,3.09,3.09
2021-05-17,5.598333333333334,4022130000000000.0,3.33,3.33
2021-05-18,8.158750000000001,6566990000000000.0,5.07,5.07
2021-05-19,6.447916666666667,5571290000000000.0,4.18,4.18
2021-05-20,7.710833333333334,4507800000000000.0,3.56,3.56
2021-05-21,6.8625,3603752000000000.0,3.71,3.71
2021-05-22,12.165416666666664,3392830000000000.0,4.72,4.72
2021-05-23,11.12625,-2408150000000000.0,7.2,7.2
2021-05-24,6.297916666666667,4869910000000000.0,3.92,3.92
2021-05-25,2.4516666666666667,3912744000000000.0,3.46,3.46
2021-05-26,2.790833333333333,3335820000000000.0,1.96,1.96
2021-05-27,3.32375,5606688000000000.0,1.95,1.95
2021-05-28,4.468333333333333,3739540000000000.0,2.94,2.94
2021-05-29,4.361666666666666,5671850000000000.0,2.88,2.88
2021-05-30,2.9779166666666668,4540420000000000.0,3.93,3.93
2021-05-31,2.5708333333333333,5686020000000000.0,3.44,3.44
2021-06-01,5.3325000000000005,4502226000000000.0,3.92,3.92
2021-06-02,4.320416666666668,6303280000000000.0,2.38,2.38
2021-06-03,4.583749999999999,4463550000000000.0,3.52,3.52
2021-06-04,4.3525,5182440000000000.0,2.4,2.4
2021-06-05,3.872083333333333,5840696000000000.0,3.42,3.42
2021-06-06,4.144583333333334,4832954000000000.0,2.16,2.16
2021-06-07,4.355416666666667,5034548000000000.0,3.59,3.59
2021-06-08,6.110416666666666,6083544000000000.0,4.02,4.02
2021-06-09,6.24625,5375070000000000.0,5.0,5.0
2021-06-10,4.694999999999999,8302502000000000.0,2.6,2.6
2021-06-11,2.3166666666666664,4720640000000000.0,2.51,2.51
2021-06-12,3.742500000000001,6490890000000000.0,1.83,1.83
2021-06-13,2.2570833333333336,4719672000000000.0,1.69,1.69
2021-06-14,3.412083333333333,2872380000000000.0,2.32,2.32
2021-06-15,3.5241666666666664,3579430000000000.0,2.28,2.28
2021-06-16,4.52875,3338980000000000.0,2.19,2.19
2021-06-17,3.892083333333333,4248788000000000.0,2.53,2.53
2021-06-18,2.647916666666666,3239334000000000.0,1.79,1.79
2021-06-19,3.3425,4416590000000000.0,2.09,2.09
2021-06-20,4.434583333333332,4165340000000000.0,1.81,1.81
2021-06-21,5.402916666666666,3883336000000000.0,3.02,3.02
2021-06-22,4.0,4133154000000000.0,3.14,3.14
2021-06-23,3.5287500000000005,3540390000000000.0,2.3,2.3
2021-06-24,3.4395833333333337,2127760000000000.0,3.34,3.34
2021-06-25,3.022083333333334,3766458000000000.0,2.83,2.83
2021-06-26,2.9633333333333334,5062564000000000.0,3.01,3.01
2021-06-27,3.3425,4312790000000000.0,2.54,2.54
2021-06-28,3.330416666666667,3885778000000000.0,3.44,3.44
2021-06-29,3.880416666666666,4890748000000000.0,3.32,3.32
2021-06-30,3.889166666666668,4918168000000000.0,3.65,3.65
2021-07-01,4.364583333333332,4203738000000000.0,2.55,2.55
2021-07-02,3.662916666666666,4338954000000000.0,2.76,2.76
2021-07-03,3.4725000000000006,4842790000000000.0,2.63,2.63
2021-07-04,2.96375,4019652000000000.0,1.35,1.35
2021-07-05,3.4179166666666667,3512150000000000.0,3.51,3.51
2021-07-06,3.7325,4355292000000000.0,2.75,2.75
2021-07-07,4.245416666666666,4350102000000000.0,2.22,2.22
2021-07-08,4.418333333333334,4711634000000000.0,2.69,2.69
2021-07-09,5.15,3272070000000000.0,2.53,2.53
2021-07-10,6.836250000000001,-4646080000000000.0,2.01,2.01
2021-07-11,13.354999999999997,4264630000000000.0,1.77,1.77
2021-07-12,5.5687500000000005,4518398000000000.0,2.32,2.32
2021-07-13,3.4512500000000004,4625498000000000.0,2.12,2.12
2021-07-14,5.395416666666667,4918940000000000.0,3.26,3.26
2021-07-15,7.119166666666666,5378950000000000.0,3.15,3.15
2021-07-16,5.772500000000001,2902754000000000.0,3.86,3.86
2021-07-17,5.531666666666666,5428174000000000.0,2.42,2.42
2021-07-18,5.442499999999999,3582034000000000.0,2.42,2.42
2021-07-19,4.984583333333334,4276448000000000.0,2.43,2.43
2021-07-20,5.416249999999999,4194246000000000.0,2.97,2.97
2021-07-21,9.174166666666666,3809694000000000.0,2.89,2.89
2021-07-22,2.364583333333333,3794670000000000.0,1.78,1.78
2021-07-23,3.285,5111862000000000.0,1.46,1.46
2021-07-24,3.0420833333333337,6097792000000000.0,0.44,0.44
2021-07-25,3.505416666666666,5598890000000000.0,1.21,1.21
2021-07-26,12.952083333333334,2708610000000000.0,2.65,2.65
2021-07-27,4.167500000000001,3833710000000000.0,2.16,2.16
2021-07-28,3.59125,4689150000000000.0,1.45,1.45
2021-07-29,2.6254166666666663,4416730000000000.0,1.04,1.04
2021-07-30,3.849583333333333,4899002000000000.0,1.49,1.49
2021-07-31,3.70625,4212596000000000.0,1.22,1.22
2021-08-01,3.955833333333333,6389894000000000.0,1.32,1.32
2021-08-02,5.385833333333332,4642916000000000.0,3.92,3.92
2021-08-03,4.815833333333334,4260370000000000.0,2.37,2.37
2021-08-04,5.624583333333333,3970204000000000.0,1.99,1.99
2021-08-05,5.017083333333333,5797920000000000.0,2.85,2.85
2021-08-06,3.6366666666666654,3329836000000000.0,2.12,2.12
2021-08-07,2.692916666666666,4924876000000000.0,2.95,2.95
2021-08-08,3.30125,7700748000000000.0,2.66,2.66
2021-08-09,4.853333333333334,5406492000000000.0,2.43,2.43
2021-08-10,3.665,4792522000000000.0,3.03,3.03
2021-08-11,3.097916666666667,-284616000000000.0,2.58,2.58
2021-08-12,2.6625,4879092000000000.0,3.09,3.09
2021-08-13,3.8108333333333326,3438122000000000.0,3.14,3.14
2021-08-14,3.560833333333333,5137384000000000.0,2.72,2.72
2021-08-15,5.740416666666668,5250928000000000.0,2.43,2.43
2021-08-16,5.889166666666668,6577900000000000.0,2.78,2.78
2021-08-17,3.4404166666666662,4469908000000000.0,3.67,3.67
2021-08-18,3.176666666666667,6666740000000000.0,2.4,2.4
2021-08-19,5.3812500000000005,4354228000000000.0,1.92,1.92
2021-08-20,6.358333333333334,4096438000000000.0,4.56,4.56
2021-08-21,5.538750000000001,3957262000000000.0,3.03,3.03
2021-08-22,4.365833333333334,4905400000000000.0,2.23,2.23
2021-08-23,4.841666666666668,5511152000000000.0,3.36,3.36
2021-08-24,5.284166666666667,5194360000000000.0,3.27,3.27
2021-08-25,4.685833333333333,5456288000000000.0,3.13,3.13
2021-08-26,4.93375,5022920000000000.0,3.88,3.88
2021-08-27,7.429166666666666,-178573000000000.0,3.22,3.22
2021-08-28,4.654583333333333,3733400000000000.0,2.97,2.97
2021-08-29,6.372500000000001,5820756000000000.0,2.53,2.53
2021-08-30,7.210416666666668,4210590000000000.0,3.62,3.62
2021-08-31,7.625,4820180000000000.0,2.98,2.98
2021-09-01,10.079583333333332,5604024000000000.0,7.6,7.6
2021-09-02,16.194166666666664,6870270000000000.0,5.65,5.65
2021-09-03,7.432083333333335,5700370000000000.0,4.91,4.91
2021-09-04,7.340416666666669,6262720000000000.0,5.56,5.56
2021-09-05,7.937083333333335,3775784000000000.0,4.97,4.97
2021-09-06,3.660833333333334,5564770000000000.0,3.41,3.41
2021-09-07,6.196666666666666,5270534000000000.0,3.26,3.26
2021-09-08,7.003333333333334,4553640000000000.0,4.85,4.85
2021-09-09,15.553333333333336,3327670000000000.0,6.48,6.48
2021-09-10,8.14375,4636298000000000.0,5.36,5.36
2021-09-11,6.44125,3390300000000000.0,3.77,3.77
2021-09-12,2.8145833333333337,3631950000000000.0,3.05,3.05
2021-09-13,3.810833333333333,5878310000000000.0,3.99,3.99
2021-09-14,5.148749999999999,4950714000000000.0,4.56,4.56
2021-09-15,7.110833333333332,5214520000000000.0,6.09,6.09
2021-09-16,9.4125,5173250000000000.0,6.31,6.31
2021-09-17,8.752500000000001,4180940000000000.0,3.99,3.99
2021-09-18,5.274583333333331,4599010000000000.0,3.29,3.29
2021-09-19,4.182916666666666,4033828000000000.0,4.42,4.42
2021-09-20,6.295000000000002,4030072000000000.0,4.69,4.69
2021-09-21,7.684999999999999,7239752000000000.0,6.46,6.46
2021-09-22,7.865833333333331,4591120000000000.0,4.96,4.96
2021-09-23,16.05833333333333,4099606000000000.0,9.28,9.28
2021-09-24,17.775833333333335,4995520000000000.0,8.37,8.37
2021-09-25,6.0666666666666655,6002480000000000.0,4.22,4.22
2021-09-26,4.887083333333334,3387886000000000.0,0.09,0.09
2021-09-27,6.16375,3895010000000000.0,8.11,8.11
2021-09-28,5.521666666666667,5415088000000000.0,5.7,5.7
2021-09-29,9.611666666666666,3257780000000000.0,4.74,4.74
2021-09-30,31.584166666666665,4123572000000000.0,8.39,8.39
2021-10-01,16.112083333333338,7908560000000000.0,11.84,11.84
2021-10-02,7.903333333333333,4634476000000000.0,8.55,8.55
2021-10-03,4.682500000000001,4524026000000000.0,4.85,4.85
2021-10-04,6.124166666666667,6685500000000000.0,6.09,6.09
2021-10-05,10.02875,4989096000000000.0,8.27,8.27
2021-10-06,12.976666666666665,5482820000000000.0,6.97,6.97
2021-10-07,14.280833333333332,5172742000000000.0,11.68,11.68
2021-10-08,13.795833333333334,7523180000000000.0,12.11,12.11
2021-10-09,10.4875,6107394000000000.0,9.0,9.0
2021-10-10,17.478333333333335,5030670000000000.0,9.86,9.86
2021-10-11,19.43041666666667,3346620000000000.0,7.9,7.9
2021-10-12,13.25125,4981006000000000.0,7.05,7.05
2021-10-13,13.100833333333334,5896520000000000.0,7.63,7.63
2021-10-14,17.918749999999996,5190856000000000.0,11.06,11.06
2021-10-15,6.302916666666668,6552180000000000.0,10.9,10.9
2021-10-16,7.062916666666666,4674770000000000.0,5.84,5.84
2021-10-17,3.78375,4268010000000000.0,4.39,4.39
2021-10-18,4.414583333333334,4500552000000000.0,3.88,3.88
2021-10-19,5.904583333333332,4813286000000000.0,3.16,3.16
2021-10-20,5.586666666666666,2141390000000000.0,2.51,2.51
2021-10-21,9.107916666666666,5013560000000000.0,5.61,5.61
2021-10-22,13.385416666666666,3940046000000000.0,10.13,10.13
2021-10-23,14.554166666666667,4815198000000000.0,5.83,5.83
2021-10-24,19.50833333333333,4334510000000000.0,6.21,6.21
2021-10-25,20.66333333333333,4090640000000000.0,10.56,10.56
2021-10-26,19.20375,4220300000000000.0,10.5,10.5
2021-10-27,9.175833333333332,3699770000000000.0,8.0,8.0
2021-10-28,18.043750000000003,5315240000000000.0,8.53,8.53
2021-10-29,14.81541666666667,5520990000000000.0,7.82,7.82
2021-10-30,14.904999999999994,4755482000000000.0,9.57,9.57
2021-10-31,18.74291666666667,5636050000000000.0,9.39,9.39
2021-11-01,27.592916666666667,5372994000000000.0,10.65,10.65
2021-11-02,25.01833333333333,7058280000000000.0,16.14,16.14
2021-11-03,26.12875,5608112000000000.0,14.98,14.98
2021-11-04,24.81375000000001,4432796000000000.0,10.97,10.97
2021-11-05,21.725833333333338,5944520000000000.0,10.97,10.97
2021-11-06,20.870000000000005,4494528000000000.0,9.38,9.38
2021-11-07,19.0544,5039160000000000.0,7.35,7.35
2021-11-08,19.97208333333333,5461922000000000.0,10.0,10.0
2021-11-09,22.155416666666667,4960850000000000.0,12.49,12.49
2021-11-10,23.11458333333333,5480276000000000.0,14.77,14.77
2021-11-11,20.24625,5025010000000000.0,14.45,14.45
2021-11-12,28.930000000000003,4282700000000000.0,12.3,12.3
2021-11-13,27.37833333333333,5258194000000000.0,7.44,7.44
2021-11-14,23.76958333333333,4659958000000000.0,5.77,5.77
2021-11-15,29.031666666666656,5314058000000000.0,12.65,12.65
2021-11-16,20.9425,4132990000000000.0,12.1,12.1
2021-11-17,18.186250000000005,4589240000000000.0,11.79,11.79
2021-11-18,27.152500000000003,7182960000000000.0,12.6,12.6
2021-11-19,29.91125,6595996000000000.0,13.55,13.55
2021-11-20,29.502916666666664,5336874000000000.0,15.5,15.5
2021-11-21,21.15875,7175700000000000.0,11.7,11.7
2021-11-22,22.69333333333333,4388694000000000.0,15.46,15.46
2021-11-23,23.305833333333336,5300690000000000.0,14.83,14.83
2021-11-24,35.56583333333334,5484668000000000.0,14.48,14.48
2021-11-25,39.79166666666666,4671680000000000.0,11.23,11.23
2021-11-26,24.423749999999995,5447222000000000.0,14.81,14.81
2021-11-27,19.115,4494280000000000.0,9.84,9.84
2021-11-28,20.18625,3769940000000000.0,7.62,7.62
2021-11-29,25.452500000000004,5258844000000000.0,12.24,12.24
2021-11-30,24.59833333333334,4697940000000000.0,13.71,13.71
2021-12-01,20.52458333333333,4703016000000000.0,10.61,10.61
2021-12-02,25.05458333333333,7031290000000000.0,13.01,13.01
2021-12-03,25.864166666666662,4605646000000000.0,12.96,12.96
2021-12-04,10.515416666666663,5420478000000000.0,11.99,11.99
2021-12-05,11.062083333333334,5073548000000000.0,8.05,8.05
2021-12-06,5.437500000000001,4853208000000000.0,5.65,5.65
2021-12-07,10.699583333333331,3742238000000000.0,5.86,5.86
2021-12-08,18.14,5195226000000000.0,7.39,7.39
2021-12-09,21.516250000000003,7492700000000000.0,7.33,7.33
2021-12-10,27.39708333333334,4636584000000000.0,16.52,16.52
2021-12-11,18.830416666666668,3962710000000000.0,10.12,10.12
2021-12-12,20.500833333333333,4377254000000000.0,8.76,8.76
2021-12-13,30.10666666666667,5388580000000000.0,14.87,14.87
2021-12-14,29.33583333333333,7906030000000000.0,15.74,15.74
2021-12-15,28.4975,5968096000000000.0,13.12,13.12
2021-12-16,22.574583333333333,4702970000000000.0,11.24,11.24
2021-12-17,26.666666666666668,5546120000000000.0,12.16,12.16
2021-12-18,26.3475,8293930000000000.0,13.93,13.93
2021-12-19,20.06416666666667,5615334000000000.0,9.82,9.82
2021-12-20,20.605833333333333,8422400000000000.0,18.18,18.18
2021-12-21,25.75875,6040298000000000.0,16.27,16.27
2021-12-22,10.71125,5803380000000000.0,12.15,12.15
2021-12-23,21.68166666666667,6613190000000000.0,14.24,14.24
2021-12-24,25.47583333333333,4784964000000000.0,20.55,20.55
2021-12-25,22.44666666666667,6032360000000000.0,17.83,17.83
2021-12-26,21.19,6130892000000000.0,15.9,15.9
2021-12-27,23.395416666666662,6666690000000000.0,21.24,21.24
2021-12-28,18.25125,4050018000000000.0,21.81,21.81
2021-12-29,19.488333333333333,2818160000000000.0,16.67,16.67
2021-12-30,24.937916666666663,3565910000000000.0,20.07,20.07
2021-12-31,18.613750000000003,3920022000000000.0,16.25,16.25
