date,open_SO2,sate_SO2,"Sector 22, Chandigarh - CPCC","Sector-25, Chandigarh - CPCC","Sector-53, Chandigarh - CPCC"
2020-11-24,9.4,0.3739999995999999,9.87,9.87,9.87
2020-11-25,9.046666666666669,0.0959999968,8.38,8.38,8.38
2020-11-26,6.986250000000001,-0.1299999998,8.29,8.29,8.29
2020-11-27,13.390000000000002,0.4799999943999999,11.95,11.95,11.95
2020-11-28,13.642499999999997,-0.119999997,10.05,10.05,10.05
2020-11-29,17.27583333333333,-0.058000003,14.49,14.49,14.49
2020-11-30,34.14791666666667,0.039999999,12.34,12.34,12.34
2020-12-01,27.03625,0.2659999997999999,10.26,10.26,10.26
2020-12-02,20.626249999999995,0.620000005,7.3,7.3,7.3
2020-12-03,11.271666666666668,0.670000017,9.87,9.87,9.87
2020-12-04,12.127916666666664,0.1400000035999999,9.3,9.3,9.3
2020-12-05,7.67208333333333,-0.140000001,19.58,19.58,19.58
2020-12-06,17.395,0.1580000104,9.12,9.12,9.12
2020-12-07,17.712083333333336,-0.289999992,8.47,8.47,8.47
2020-12-08,29.27125,0.0640000016,7.29,7.29,7.29
2020-12-09,18.398333333333326,0.3359999996,6.55,6.55,6.55
2020-12-10,16.767916666666668,0.1659999964,9.37,9.37,9.37
2020-12-11,16.265416666666667,0.4919999942,8.33,8.33,8.33
2020-12-12,6.744166666666666,-0.349999994,8.97,8.97,8.97
2020-12-13,19.543333333333333,0.2979999997999999,5.0,5.0,5.0
2020-12-14,17.854166666666668,0.1780000026,6.1,6.1,6.1
2020-12-15,28.3925,-0.1019999952,5.36,5.36,5.36
2020-12-16,19.337083333333336,-0.449999988,5.26,5.26,5.26
2020-12-17,16.932916666666667,0.3519999978,5.46,5.46,5.46
2020-12-18,17.539166666666667,0.389999986,5.52,5.52,5.52
2020-12-19,11.692916666666669,-1.22000003,6.79,6.79,6.79
2020-12-20,11.469166666666665,0.2419999926,7.25,7.25,7.25
2020-12-21,14.112916666666669,-0.059999999,10.18,10.18,10.18
2020-12-22,18.92875,-0.4439999953999999,7.94,7.94,7.94
2020-12-23,18.16208333333333,-0.50999999,8.25,8.25,8.25
2020-12-24,24.34708333333334,0.1720000012,6.46,6.46,6.46
2020-12-25,18.212916666666665,0.170000002,7.63,7.63,7.63
2020-12-26,12.780416666666667,0.0839999956,6.11,6.11,6.11
2020-12-27,10.36958333333333,0.1840000006,8.96,8.96,8.96
2020-12-28,18.79583333333333,0.170000002,4.11,4.11,4.11
2020-12-29,18.82375,0.277999997,4.46,4.46,4.46
2020-12-30,14.897916666666667,1.0,4.32,4.32,4.32
2020-12-31,14.602083333333333,0.141999993,5.83,5.83,5.83
2021-01-01,15.922916666666664,0.3220000034,10.88,10.88,10.88
2021-01-02,12.093333333333332,0.0599999987999999,7.38,7.38,7.38
2021-01-03,4.869166666666668,0.1879999874,10.53,10.53,10.53
2021-01-04,5.792083333333333,0.5,11.99,11.99,11.99
2021-01-05,3.884166666666668,0.2699999957999999,8.23,8.23,8.23
2021-01-06,6.134583333333332,0.289999992,6.23,6.23,6.23
2021-01-07,17.074166666666667,0.1020000002,4.84,4.84,4.84
2021-01-08,22.75208333333333,0.170000002,6.23,6.23,6.23
2021-01-09,17.05083333333334,-0.0859999942,3.94,3.94,3.94
2021-01-10,17.425,0.156,3.04,3.04,3.04
2021-01-11,22.13291666666667,0.2679999964,3.94,3.94,3.94
2021-01-12,18.26541666666667,0.1800000014,3.58,3.58,3.58
2021-01-13,17.599166666666672,-0.620000005,4.14,4.14,4.14
2021-01-14,18.55291666666667,0.2380000055999999,6.59,6.59,6.59
2021-01-15,14.393333333333336,-0.289999992,12.32,12.32,12.32
2021-01-16,15.628333333333332,0.1679999954,4.12,4.12,4.12
2021-01-17,7.399583333333335,0.1540000006,9.42,9.42,9.42
2021-01-18,15.500416666666668,0.1680000026,9.07,9.07,9.07
2021-01-19,15.969583333333333,0.119999997,7.79,7.79,7.79
2021-01-20,18.46333333333333,-0.25999999,5.61,5.61,5.61
2021-01-21,16.62958333333334,0.0940000042,6.76,6.76,6.76
2021-01-22,10.435833333333331,0.1979999982,11.19,11.19,11.19
2021-01-23,6.705416666666667,-0.321999999,14.62,14.62,14.62
2021-01-24,22.5625,0.3840000034,5.86,5.86,5.86
2021-01-25,22.88583333333333,0.2939999974,6.41,6.41,6.41
2021-01-26,24.047500000000003,-1.34000003,5.52,5.52,5.52
2021-01-27,6.9125000000000005,0.0319999968,5.86,5.86,5.86
2021-01-28,28.978749999999987,0.3259999988,5.91,5.91,5.91
2021-01-29,18.865416666666665,0.360000014,7.09,7.09,7.09
2021-01-30,16.418333333333333,-0.172000003,7.61,7.61,7.61
2021-01-31,17.267499999999995,-0.079999998,6.64,6.64,6.64
2021-02-01,25.92875,-0.2720000093999999,6.75,6.75,6.75
2021-02-02,23.594166666666663,0.25999999,11.76,11.76,11.76
2021-02-03,11.200833333333335,0.2179999989999999,10.97,10.97,10.97
2021-02-04,7.252916666666668,0.3339999924,6.58,6.58,6.58
2021-02-05,14.456666666666669,1.77999997,8.08,8.08,8.08
2021-02-06,17.484166666666663,-0.031999997,6.67,6.67,6.67
2021-02-07,17.293333333333333,0.330000013,6.35,6.35,6.35
2021-02-08,27.913333333333338,-0.220000005,2.17,2.17,2.17
2021-02-09,19.940416666666664,0.469999999,7.82,7.82,7.82
2021-02-10,24.86541666666666,0.1740000008,7.2,7.2,7.2
2021-02-11,25.43041666666666,-0.620000005,8.52,8.52,8.52
2021-02-12,29.8575,0.2859999998,8.77,8.77,8.77
2021-02-13,24.821250000000003,0.1000000044,7.65,7.65,7.65
2021-02-14,20.4875,0.02,8.32,8.32,8.32
2021-02-15,15.377500000000005,0.3099999954,15.42,15.42,15.42
2021-02-16,30.3375,-0.560000002,11.4,11.4,11.4
2021-02-17,30.67916666666667,-0.1079999956,7.82,7.82,7.82
2021-02-18,21.5175,-0.180000007,12.7,12.7,12.7
2021-02-19,28.51625000000001,-0.0819999931999999,9.77,9.77,9.77
2021-02-20,19.525,0.050000001,7.87,7.87,7.87
2021-02-21,18.47083333333333,-0.439999998,7.63,7.63,7.63
2021-02-22,21.38125,0.0559999994,8.75,8.75,8.75
2021-02-23,23.037083333333328,0.287999998,13.34,13.34,13.34
2021-02-24,16.130000000000003,0.1060000013999999,9.42,9.42,9.42
2021-02-25,20.25916666666667,-0.209999993,10.21,10.21,10.21
2021-02-26,21.621250000000003,0.1480000004,10.62,10.62,10.62
2021-02-27,9.457083333333337,-0.319999993,9.26,9.26,9.26
2021-02-28,10.89375,0.374,12.45,12.45,12.45
