date,open_NO2,sate_NO2,"Vyttila, Kochi - Kerala PCB"
2020-11-24,14.055,3226402000000000.0,56.96
2020-11-25,4.784166666666666,3640530000000000.0,19.07
2020-11-26,11.092083333333337,2864560000000000.0,0.25
2020-11-27,10.244999999999996,3100670000000000.0,3.25
2020-11-28,9.124999999999998,2730080000000000.0,13.63
2020-11-29,9.6325,2694330000000000.0,5.91
2020-11-30,14.25541666666667,3826376000000000.0,3.0
2020-12-01,14.693333333333332,3136340000000000.0,7.36
2020-12-02,17.536249999999995,2996230000000000.0,10.82
2020-12-03,10.07125,3974912000000000.0,18.66
2020-12-04,10.910833333333333,3033916000000000.0,9.44
2020-12-05,17.366666666666667,4066200000000000.0,24.51
2020-12-06,12.606666666666667,3483804000000000.0,21.11
2020-12-07,18.98625,3958430000000000.0,16.79
2020-12-08,17.444166666666664,3490220000000000.0,19.29
2020-12-09,16.905000000000005,3146934000000000.0,18.63
2020-12-10,12.704583333333336,3668150000000000.0,18.29
2020-12-11,10.351250000000002,3215768000000000.0,16.14
2020-12-12,7.9674999999999985,2956650000000000.0,4.85
2020-12-13,9.928333333333333,3046632000000000.0,5.18
2020-12-14,12.574583333333331,2677460000000000.0,5.19
2020-12-15,12.60625,3008640000000000.0,5.2
2020-12-16,17.48708333333333,3444036000000000.0,5.48
2020-12-17,17.6875,3110794000000000.0,5.39
2020-12-18,24.96166666666667,3781230000000000.0,4.67
2020-12-19,15.765416666666669,3912152000000000.0,4.48
2020-12-20,12.03,3194800000000000.0,4.24
2020-12-21,16.337083333333332,3058480000000000.0,4.3
2020-12-22,16.437916666666666,3376254000000000.0,4.48
2020-12-23,16.58791666666667,2663940000000000.0,4.74
2020-12-24,14.502499999999998,3251250000000000.0,4.71
2020-12-25,18.91166666666667,3052054000000000.0,4.73
2020-12-26,11.809583333333334,3082540000000000.0,4.77
2020-12-27,13.15958333333333,3237946000000000.0,4.78
2020-12-28,14.983333333333334,3472360000000000.0,4.78
2020-12-29,20.07625,3482822000000000.0,4.71
2020-12-30,9.139583333333333,3023950000000000.0,4.6
2020-12-31,14.786666666666669,4612390000000000.0,4.62
2021-01-01,13.060000000000002,3683494000000000.0,4.29
2021-01-02,10.655,2663800000000000.0,4.56
2021-01-03,11.778333333333336,3306624000000000.0,5.27
2021-01-04,13.9375,3026156000000000.0,5.25
2021-01-05,16.63833333333333,2785196000000000.0,5.23
2021-01-06,14.418750000000005,3218672000000000.0,5.22
2021-01-07,12.052916666666668,2746178000000000.0,5.55
2021-01-08,14.372499999999995,2784980000000000.0,5.82
2021-01-09,15.349583333333335,3532386000000000.0,5.83
2021-01-10,17.053749999999994,3673340000000000.0,5.74
2021-01-11,19.653333333333336,3005428000000000.0,5.84
2021-01-12,11.959583333333336,3583350000000000.0,5.71
2021-01-13,17.154583333333328,3666996000000000.0,5.69
2021-01-14,17.12625,3060902000000000.0,6.96
2021-01-15,19.379166666666663,3248692000000000.0,7.77
2021-01-16,13.672916666666664,4416690000000000.0,7.79
2021-01-17,11.859583333333331,3631448000000000.0,7.79
2021-01-18,15.119999999999996,3221540000000000.0,7.89
2021-01-19,13.29875,3774404000000000.0,7.96
