date,open_SO2,sate_SO2,"DRM Office Danapur, Patna - BSPCB",Govt,"IGSC Planetarium Complex, Patna - BSPCB","Rajbansi Nagar, Patna - BSPCB","Samanpura, Patna - BSPCB"
2021-07-14,16.40125,0.036666669,3.02,13.36,10.056,3.12,8.8
2021-07-15,17.097083333333334,0.0824828268,2.84,16.98,15.538,3.19,8.32
2021-07-16,19.107916666666664,-0.0217960416,2.94,39.63,19.17,2.68,7.79
2021-07-17,18.046666666666663,0.0802305536,2.93,23.37,9.424,3.52,6.79
2021-07-18,21.910416666666663,0.302366228,3.32,13.95,7.782000000000001,2.98,8.23
2021-07-19,25.312083333333337,0.313149512,3.34,11.35,7.147999999999999,3.5,15.9
2021-07-20,30.25,0.1175492165999999,2.99,21.85,6.917999999999999,2.45,16.17
2021-07-21,21.438333333333336,0.110048577,3.27,13.97,7.92,2.63,12.5
2021-07-22,18.175,-0.102488287,3.04,14.62,7.529999999999999,2.95,7.95
2021-07-23,8.544999999999996,-0.239999995,3.17,14.24,7.595999999999998,2.72,7.26
2021-07-24,11.539583333333336,0.1007708676,3.13,9.48,7.547999999999999,2.92,6.52
2021-07-25,12.860833333333334,0.292120149,3.21,7.89,7.584,3.06,7.88
2021-07-26,23.46041666666667,-0.4422473495999999,3.08,8.76,8.092,2.97,7.64
2021-07-27,26.6625,0.1209785875999999,3.17,11.0,7.681999999999999,3.5,6.46
2021-07-28,17.92166666666667,-0.354877557,3.14,9.01,6.790000000000001,2.93,6.13
2021-07-29,20.375833333333336,-0.027499996,3.12,10.21,6.8420000000000005,2.66,6.09
2021-07-30,10.714166666666664,0.1523162598,3.08,9.08,6.702,2.96,6.31
2021-07-31,13.834166666666665,-0.1575736682,2.68,12.06,6.548,3.43,8.75
2021-08-01,12.879583333333334,-0.175508681,2.99,9.87,6.558,2.76,11.26
2021-08-02,24.28875,-0.125786734,3.2,9.52,6.909999999999999,3.12,9.3
2021-08-03,23.8425,0.3794939988,3.07,9.35,6.14,3.51,9.14
2021-08-04,33.09000000000001,0.0473392806,3.25,7.46,6.556,3.3,7.5
2021-08-05,25.788750000000004,0.0,3.15,10.05,7.040000000000001,3.02,6.61
2021-08-06,16.694166666666668,-0.090004154,3.42,9.19,8.005999999999998,2.8,6.55
2021-08-07,18.845,0.0207069026,3.06,6.91,7.281999999999999,2.5,6.3
2021-08-08,18.890416666666667,0.0438586348,2.97,6.83,7.3199999999999985,2.99,6.63
2021-08-09,17.091666666666665,0.1943766908,2.96,6.6,6.709999999999999,3.65,6.82
2021-08-10,14.130833333333335,0.019685801,3.21,8.75,8.088000000000001,3.32,6.16
2021-08-11,15.5125,0.0564792603999999,3.0,9.35,6.837999999999999,2.86,5.94
2021-08-12,14.136666666666668,0.1912413374,3.32,7.91,7.394,3.02,6.12
2021-08-13,11.488333333333337,-0.093662925,3.56,6.63,5.878,3.03,6.18
2021-08-14,10.9525,0.180041626,3.54,8.61,6.114,2.85,5.96
2021-08-15,17.231666666666666,0.2307721068,3.04,7.43,6.93,2.65,6.47
2021-08-16,19.192083333333333,-0.1493680256,3.19,5.31,6.298,2.98,6.32
2021-08-17,22.957083333333333,-0.1626058504,3.05,6.58,5.8420000000000005,2.3,7.17
2021-08-18,21.44791666666667,-0.0608688399999999,3.28,11.83,6.552,3.4,9.85
2021-08-19,16.809583333333332,-0.042262134,3.26,6.82,6.636,2.77,6.61
2021-08-20,16.237916666666667,0.170000002,3.02,6.35,6.536,2.13,6.83
2021-08-21,13.828333333333337,0.005000003,3.32,5.85,6.624,2.63,6.76
2021-08-22,15.081250000000002,0.1380133196,3.42,3.93,6.189154676258992,3.36,6.62
2021-08-23,15.860416666666666,0.0898007412,3.22,8.23,6.543154676258991,3.21,6.45
2021-08-24,13.05375,-0.0940867666,3.4,5.18,3.890000000000001,3.66,6.74
2021-08-25,12.517499999999997,-0.2123321591999999,3.38,6.32,4.142,3.95,6.74
2021-08-26,13.619583333333336,0.0490905388,3.33,7.81,5.236,3.69,6.66
2021-08-27,19.05333333333333,0.23853333,3.42,5.13,4.568,3.94,6.55
2021-08-28,15.009583333333335,-0.0178465398,3.15,8.48,5.224,3.18,6.25
2021-08-29,13.421666666666669,0.2805119658,3.45,8.54,4.784000000000001,3.02,6.81
2021-08-30,18.76666666666667,-0.022984391,3.25,7.95,5.55,2.9,7.23
2021-08-31,15.447500000000003,-0.174740142,3.35,8.18,5.604000000000001,2.55,7.4
2021-09-01,23.842916666666664,0.142917171,3.63,8.97,5.692,2.79,6.61
2021-09-02,22.094166666666663,0.1251158301999999,3.25,8.42,7.402000000000001,3.2,6.29
2021-09-03,26.455,-0.2134879082,3.44,8.18,5.697999999999999,2.74,6.49
2021-09-04,20.519583333333333,0.0078185174,3.73,6.66,6.392,1.92,6.43
2021-09-05,16.298333333333336,0.02,3.94,8.45,6.3180000000000005,1.87,6.12
2021-09-06,14.156666666666666,0.0864267686,3.31,5.11,6.464,2.68,6.13
2021-09-07,19.154166666666665,0.1491745798,3.05,7.64,7.258,1.71,7.38
2021-09-08,15.29916666666667,0.093440868,3.1,6.67,6.744,2.85,7.16
2021-09-09,21.74666666666667,0.02838385,3.23,8.72,6.328,3.21,8.03
2021-09-10,18.224166666666665,0.0477562976,3.31,7.14,6.026000000000001,4.01,7.43
2021-09-11,13.455416666666666,0.09114056,3.26,6.63,5.76,3.87,6.49
2021-09-12,13.74375,0.3136535619999999,3.42,10.04,7.471999999999999,3.51,6.54
2021-09-13,10.964166666666666,-0.1418027098,3.27,10.24,5.94,3.33,6.48
2021-09-14,15.250000000000002,0.2969927118,3.13,8.42,6.718000000000001,3.51,7.76
2021-09-15,15.697083333333332,0.2121631346,2.98,8.04,8.926,3.92,7.81
2021-09-16,14.7975,0.073175308,3.57,8.9,6.678,3.1,7.22
2021-09-17,19.36708333333333,0.0664228963999999,3.44,8.85,8.358,3.17,6.93
2021-09-18,17.772500000000004,0.0835768302,3.27,9.23,13.1,3.18,6.33
2021-09-19,21.77666666666667,-0.7120021054000001,3.58,16.14,13.072,5.07,6.75
2021-09-20,20.081666666666678,0.206420404,3.36,8.22,13.466,2.59,6.46
2021-09-21,18.27,0.115973249,3.27,10.87,21.674000000000003,2.21,6.5
2021-09-22,20.450000000000003,0.200000003,3.22,8.82,7.0600000000000005,3.84,6.32
2021-09-23,19.90333333333333,0.150000006,3.27,11.21,7.428,4.01,6.17
2021-09-24,16.247916666666672,-0.0599209209999999,3.34,9.22,8.55,4.51,6.21
2021-09-25,15.079999999999998,-0.109031006,3.38,8.73,10.45,3.48,6.4
2021-09-26,14.78375,-0.0358345403999999,3.15,9.11,9.49,3.34,6.33
2021-09-27,24.15083333333334,-0.1861598341999999,3.49,6.73,10.614,3.66,6.27
2021-09-28,19.10333333333333,0.1573177338,6.4,10.5,7.769999999999999,2.52,6.28
2021-09-29,11.487083333333336,-0.0073476067999999,3.24,11.26,9.61,3.67,4.83
2021-09-30,17.89708333333333,-0.0068045866,3.19,10.57,9.636,3.02,1.5
2021-10-01,16.435833333333335,0.1669577196,3.19,11.52,15.406,3.04,1.42
2021-10-02,6.9191666666666665,-0.1123138428,3.2,11.85,12.047999999999998,1.77,2.24
2021-10-03,13.43625,0.0865972875999999,3.25,12.1,12.486,1.7,1.7
2021-10-04,20.60833333333333,0.162697873,3.35,10.0,14.03,3.29,7.57
2021-10-05,21.35875,0.0033660909999999,3.49,9.86,13.285999999999998,3.25,8.42
2021-10-06,35.62375,0.2227584998,3.37,15.41,9.98,3.5,10.89
2021-10-07,18.64708333333333,0.098608799,3.47,10.23,11.556,3.27,8.23
2021-10-08,17.346249999999998,0.0199589501999999,3.41,11.88,12.672,2.87,8.4
2021-10-09,14.819999999999997,0.400000006,3.48,13.23,12.778000000000002,5.53,8.53
2021-10-10,21.70208333333333,0.0905972927999999,3.47,11.77,13.824000000000002,2.72,8.86
2021-10-11,19.912916666666668,-0.0163704496,3.57,12.83,15.829999999999998,3.61,9.16
