date,open_SO2,sate_SO2,"Ganga Nagar, Meerut - UPPCB","Jai Bhim Nagar, Meerut - UPPCB","Pallavpuram Phase 2, Meerut - UPPCB"
2020-11-24,8.7,-0.0278541723999999,11.7,10.26,15.42
2020-11-25,7.061250000000001,0.05412766,13.66,13.81,8.17
2020-11-26,12.043333333333331,0.096079178,9.09,13.51,7.21
2020-11-27,13.057083333333331,-0.1253382831999999,11.86,11.86,10.1
2020-11-28,13.158333333333331,0.143657789,3.76,3.76,10.66
2020-11-29,12.232083333333334,0.1162017368,3.03,3.37,6.24
2020-11-30,13.787083333333335,0.424256414,6.62,6.62,8.774999999999999
2020-12-01,14.978749999999998,0.00898307,5.77,6.71,7.91
2020-12-02,21.120416666666664,-0.240193486,9.54,11.74,7.825
2020-12-03,20.317083333333336,0.082354881,6.4,6.4,10.12
2020-12-04,19.526666666666667,-0.0397943192,3.81,26.56,8.86
2020-12-05,10.26375,0.132360935,11.43,29.47,7.3
2020-12-06,20.88625,-0.0555570297999999,9.27,23.4,7.1
2020-12-07,18.25208333333333,0.785870552,6.63,23.35,2.5
2020-12-08,12.949999999999996,0.0448349308,6.42,24.4,10.17
2020-12-09,12.868333333333332,-0.0271243274,8.66,29.49,5.54
2020-12-10,15.080416666666665,0.0849341042,10.72,29.59,12.58
2020-12-11,17.65083333333333,0.1295741008,7.15,29.54,17.07
2020-12-12,6.107500000000002,-0.0124457875999999,3.83,20.59,4.53
2020-12-13,13.13916666666667,0.1353733882,4.21,21.62,4.73
2020-12-14,10.018750000000002,-0.003863374,3.44,17.87,9.0
2020-12-15,12.522083333333333,-0.0760900918,4.83,21.51,7.87
2020-12-16,11.449583333333337,0.320241839,3.05,22.46,9.27
2020-12-17,17.345,-0.0250663778,3.74,22.0,11.08
2020-12-18,16.92375,0.464800477,4.0,27.39,13.84
2020-12-19,16.649166666666662,0.002636047,14.57,33.99,28.7
2020-12-20,10.135416666666671,0.0715695274,7.01,7.01,17.58
2020-12-21,11.18,-0.329999983,5.22,34.36,18.29
2020-12-22,12.519166666666663,0.12992623,6.1,46.74,18.12
2020-12-23,13.401250000000005,0.228234515,8.34,31.29,14.5
2020-12-24,13.915833333333332,0.097991015,5.88,28.44,17.18
2020-12-25,11.383333333333333,0.0864093287999999,3.29,3.29,11.4
2020-12-26,11.73375,0.0669008486,5.76,37.05,15.39
2020-12-27,10.925416666666663,-0.310000002,4.67,27.79,12.93
2020-12-28,12.55958333333333,-0.370102793,2.01,22.09,8.8
2020-12-29,10.347083333333332,-0.1455052354,3.64,24.22,9.41
2020-12-30,9.54875,0.0303190052,1.67,22.85,2.54
2020-12-31,12.06083333333333,0.016995284,1.21,21.29,15.51
2021-01-01,7.965833333333333,0.2354244232,0.79,27.42,9.05
2021-01-02,19.859583333333333,0.0792091853999999,2.13,29.89,8.57
