date,open_SO2,sate_SO2,"Adarsh Nagar, Jaipur - RSPCB","Police Commissionerate, Jaipur - RSPCB"
2020-11-24,10.43,0.224218428,14.22,10.55
2020-11-25,11.197916666666666,0.0062177992,12.26,12.64
2020-11-26,8.122916666666667,0.0036719614,12.62,13.02
2020-11-27,7.480833333333334,0.0370273738,8.11,13.64
2020-11-28,12.148333333333332,0.097837172,6.82,9.09
2020-11-29,18.81083333333333,0.0602307274,12.64,7.6
2020-11-30,27.72583333333334,0.427119523,6.38,6.06
2020-12-01,25.222916666666663,-0.154473811,10.25,10.16
2020-12-02,20.98625,0.500226259,7.05,8.88
2020-12-03,23.607916666666668,0.184574977,10.72,12.35
2020-12-04,21.31375,0.0286620758,11.65,9.45
2020-12-05,14.862916666666663,-0.107511401,11.88,11.76
2020-12-06,13.90291666666667,0.1928098656,11.13,10.62
2020-12-07,28.2225,0.524025977,12.16,9.64
2020-12-08,19.367083333333337,0.0441927444,8.22,11.19
2020-12-09,25.85625,0.120033056,11.88,12.67
2020-12-10,20.617916666666662,0.234907225,9.82,11.06
2020-12-11,16.293333333333333,-0.0481521102,11.9,12.38
2020-12-12,7.072499999999998,-0.102537319,9.01,10.53
2020-12-13,10.289166666666668,-0.0457958795999999,10.53,10.44
2020-12-14,13.359166666666669,0.630256355,7.39,9.64
2020-12-15,8.740833333333335,-0.034769475,7.8,10.99
2020-12-16,10.13375,-0.197910398,9.66,10.46
2020-12-17,11.198750000000002,0.069843493,9.82,10.63
2020-12-18,12.856249999999998,-0.023974011,10.73,15.08
2020-12-19,17.56,-0.097710945,17.23,12.09
2020-12-20,19.629999999999995,0.0352664066,15.6,16.6
2020-12-21,19.389166666666664,0.296757519,16.06,11.19
2020-12-22,18.18458333333333,0.0189920058,15.2,10.64
2020-12-23,12.184166666666668,0.540800393,14.58,8.41
2020-12-24,14.655416666666666,0.0549980364,12.27,11.94
2020-12-25,27.636250000000004,-0.110661991,13.81,21.89
2020-12-26,18.090416666666663,0.211581483,15.71,12.78
2020-12-27,11.406666666666668,0.0373216226,14.06,10.0
2020-12-28,16.76458333333333,-0.038279645,13.16,15.71
2020-12-29,11.935833333333337,-0.003720506,12.5,13.37
2020-12-30,11.3425,-0.118032508,13.9,14.3
2020-12-31,27.918333333333337,-0.0053415641999999,12.16,15.26
2021-01-01,11.697916666666666,0.040602279,10.09,9.93
2021-01-02,10.217916666666666,-0.0049641738,13.27,10.07
2021-01-03,8.561666666666667,0.0693124522,10.39,9.09
2021-01-04,8.021666666666667,0.0147879072,10.58,9.97
2021-01-05,10.575416666666666,0.069018022,10.01,9.73
2021-01-06,5.432083333333334,0.629662931,10.36,9.57
2021-01-07,12.901666666666666,0.048883251,10.11,12.97
2021-01-08,10.453333333333331,0.0633936462,8.97,12.25
2021-01-09,5.6241666666666665,0.0720151457999999,12.35,8.68
2021-01-10,7.513333333333335,-0.085400462,13.32,10.23
2021-01-11,8.017499999999998,0.202810153,12.8,19.81
2021-01-12,8.074166666666667,0.0559796436,14.77,17.88
2021-01-13,20.346250000000005,0.207320526,14.15,13.52
2021-01-14,18.890000000000004,-0.0025335169999999,10.73,13.33
2021-01-15,12.802500000000002,0.253599584,12.6,12.8
2021-01-16,13.72166666666667,0.0479478719999999,11.55,15.0
2021-01-17,9.494166666666668,0.122072868,10.86,7.16
2021-01-18,8.713333333333333,0.107218258,10.65,12.83
2021-01-19,13.900833333333331,-0.22303167,10.63,12.29
2021-01-20,12.137083333333331,-0.029040398,13.52,13.52
2021-01-21,16.317083333333336,0.0164957954,14.61,14.09
2021-01-22,12.095416666666669,-0.197488382,11.39,12.32
2021-01-23,10.150416666666668,0.1250508316,10.54,11.24
2021-01-24,7.435833333333335,0.2436963788,11.11,11.98
2021-01-25,10.01625,0.0718615236,9.81,11.96
2021-01-26,12.582999999999998,-0.060409121,16.49,14.29
2021-01-27,12.517499999999998,0.289225399,14.1,10.74
2021-01-28,19.73666666666666,-0.094620034,12.71,15.68
2021-01-29,18.74125,-0.092116691,13.02,17.44
2021-01-30,16.745416666666667,0.0884433818,13.78,18.8
2021-01-31,15.979583333333336,-0.184551537,12.0,16.19
2021-02-01,20.11666666666667,0.046483831,15.93,19.73
2021-02-02,28.56083333333333,0.113259986,18.51,17.51
2021-02-03,26.687916666666663,0.159513474,15.11,13.5
2021-02-04,10.763750000000002,0.1780071973999999,12.68,13.07
2021-02-05,8.321250000000001,0.073967107,11.67,12.32
2021-02-06,8.3525,0.0320161251999999,14.3,13.49
2021-02-07,21.838333333333328,-0.032728743,15.1,14.22
2021-02-08,34.91916666666667,0.077155296,6.08,12.22
2021-02-09,22.4525,-0.204526022,15.23,13.59
2021-02-10,9.400000000000004,0.0608186802,15.46,14.59
2021-02-11,21.984583333333337,-0.110334821,14.47,16.67
2021-02-12,17.030833333333334,0.23441343,17.14,14.61
2021-02-13,13.406666666666665,0.0703092566,15.12,14.35
2021-02-14,13.866666666666667,0.01662218,13.89,9.72
2021-02-15,15.090833333333334,-0.0283186408,16.05,9.88
2021-02-16,11.090833333333334,0.260503501,14.52,10.29
2021-02-17,15.755833333333335,-0.1380465512,12.49,9.89
2021-02-18,18.187083333333334,0.017904433,13.14,9.88
2021-02-19,13.907916666666663,0.287895858,11.55,9.75
2021-02-20,16.686666666666667,0.493665159,15.21,10.0
2021-02-21,24.576666666666664,0.065688148,13.5,10.03
2021-02-22,24.835833333333337,-0.1305583564,11.14,9.98
2021-02-23,19.77416666666667,0.076095924,15.41,10.07
2021-02-24,16.659999999999997,0.0071784435999999,18.74,10.08
2021-02-25,10.882916666666668,0.070088059,16.54,9.85
2021-02-26,11.294166666666667,0.0353138314,16.3,10.06
2021-02-27,7.698333333333334,0.052141979,15.49,10.06
2021-02-28,8.595416666666667,0.142153025,12.94,10.33
2021-03-01,10.96291666666667,0.1027704418,16.09,9.87
2021-03-02,10.567916666666669,0.003303823,14.25,10.11
2021-03-03,27.960833333333337,0.105948581,14.45,9.88
2021-03-04,16.525833333333335,0.166824013,19.25,10.05
2021-03-05,11.90125,0.1201463347999999,15.06,10.08
2021-03-06,13.249999999999998,0.032679595,9.22,32.41
2021-03-07,10.483333333333334,-0.063566789,12.82,5.82
2021-03-08,12.155,0.660000026,9.79,8.06
2021-03-09,11.946666666666664,-0.061353508,7.78,10.22
2021-03-10,20.3925,-0.034587874,10.4,9.8
2021-03-11,13.69375,0.159351677,10.08,9.76
2021-03-12,11.829999999999998,-0.0256551742,12.28,10.38
2021-03-13,15.261250000000002,0.18586354,16.48,7.52
2021-03-14,11.093478260869563,0.0521168298,16.8,9.9
2021-03-15,17.020416666666666,-0.011527362,17.7,9.77
2021-03-16,12.619583333333331,0.361528099,16.96,9.87
2021-03-17,16.734583333333337,0.0396827198,20.67,10.06
2021-03-18,10.302083333333334,0.176689222,19.58,9.88
2021-03-19,13.058333333333335,-0.0519303592,15.11,9.91
2021-03-20,9.348749999999995,0.15567854,17.3,10.07
2021-03-21,10.892916666666666,0.0582226864,18.08,9.94
2021-03-22,14.405000000000005,-0.01,17.26,9.94
2021-03-23,14.546666666666669,-0.082499996,16.11,12.91
2021-03-24,9.597083333333336,-0.129916623,15.77,14.74
2021-03-25,10.050833333333332,-0.1041319,14.22,17.12
2021-03-26,12.304166666666667,0.0615074146,10.17,19.68
2021-03-27,9.65125,0.075238779,13.52,22.76
2021-03-28,10.972916666666665,0.0793498304,12.98,18.76
2021-03-29,6.876249999999999,-0.207625642,11.39,24.73
2021-03-30,7.937499999999999,0.041494771542144634,9.51,21.42
2021-03-31,10.865833333333333,0.093260594,9.98,24.96
2021-04-01,9.308750000000002,-0.141791791,12.93,27.75
2021-04-02,17.464999999999996,0.1735624972,11.24,19.2
2021-04-03,19.50166666666667,0.073113665,18.11,18.48
2021-04-04,20.82333333333333,-0.023764278,14.96,11.77
2021-04-05,9.935,0.163163319,14.26,10.84
2021-04-06,7.978749999999999,0.0686348828,10.85,24.74
2021-04-07,7.852499999999999,-0.003565846,11.41,24.45
2021-04-08,8.13875,-0.054013144,13.44,20.39
2021-04-09,8.157916666666665,-0.018333621,12.67,16.33
2021-04-10,11.689583333333337,0.137505382,13.26,14.75
2021-04-11,12.476666666666668,0.12203069,13.12,17.07
2021-04-12,22.2875,0.025676388,12.61,25.92
2021-04-13,17.219583333333333,-0.0144784972,13.99,21.04
2021-04-14,23.50916666666667,-0.265600204,11.54,20.78
2021-04-15,12.67875,0.106650095,11.93,23.45
2021-04-16,9.752500000000005,0.290879637,13.67,13.54
2021-04-17,5.58125,0.103219107,11.76,4.66
2021-04-18,12.04875,1.19885886,9.79,4.59
2021-04-19,10.628333333333336,0.330402404,10.58,17.27
2021-04-20,18.085000000000004,-0.0087100256,12.02,9.19
2021-04-21,5.967500000000001,-0.037964456,12.33,6.2
2021-04-22,17.321250000000003,0.0005365133999999,8.58,4.32
2021-04-23,10.651666666666667,0.090742603,12.42,8.19
2021-04-24,6.202916666666666,-0.066418976,11.55,11.02
2021-04-25,7.714583333333333,0.083494216,10.68,18.42
2021-04-26,24.81791666666666,0.106018536,9.94,14.38
2021-04-27,10.772916666666667,0.069063172,9.44,18.29
2021-04-28,8.564166666666667,-0.066277236,11.69,25.63
2021-04-29,7.048750000000001,0.0187627821999999,12.08,13.61
2021-04-30,14.469166666666668,0.178897977,10.2,6.83
2021-05-01,14.63916666666667,0.0381662972,11.74,4.14
2021-05-02,18.366666666666664,0.0655859156,9.48,6.78
