date,open_NO2,sate_NO2,"City Center, Gwalior - MPPCB","Phool Bagh, Gwalior - Mondelez Ind"
2020-11-24,10.197499999999998,4942030000000000.0,69.27,32.71
2020-11-25,10.2325,4182696000000000.0,41.5,41.99
2020-11-26,12.982083333333335,4410740000000000.0,16.45,16.855
2020-11-27,14.925,3946852000000000.0,11.46,11.197500000000002
2020-11-28,12.409999999999998,3925410000000000.0,17.88,8.105
2020-11-29,15.636666666666663,4546902000000000.0,11.63,13.1125
2020-11-30,18.738333333333333,3795130000000000.0,10.46,10.845
2020-12-01,16.364583333333332,4570616000000000.0,6.65,7.1975
2020-12-02,12.452083333333334,3845640000000000.0,22.25,15.9625
2020-12-03,23.854583333333338,3883240000000000.0,50.8,15.1125
2020-12-04,21.54333333333333,4427562000000000.0,61.05,28.612500000000004
2020-12-05,10.52,4532710000000000.0,53.4,26.225
2020-12-06,19.795833333333334,4626004000000000.0,42.77,26.558333333333334
2020-12-07,16.67041666666667,3563850000000000.0,45.51,36.51499999999999
2020-12-08,16.950416666666666,4304520000000000.0,49.01,32.181666666666665
2020-12-09,21.65875,4318220000000000.0,51.57,24.865
2020-12-10,23.124166666666664,5172930000000000.0,51.65,20.96833333333333
2020-12-11,12.5125,3660792000000000.0,53.63,23.408
2020-12-12,11.628333333333332,4438032000000000.0,27.52,21.012
2020-12-13,16.452916666666663,4361344000000000.0,35.42,20.396
2020-12-14,22.4275,2855410000000000.0,39.17,20.698
2020-12-15,23.0075,4472316000000000.0,40.43,21.55
2020-12-16,19.1225,3601290000000000.0,40.06,22.457142857142856
2020-12-17,8.37,4035230000000000.0,31.54,24.415000000000003
2020-12-18,10.34625,3932220000000000.0,48.1,26.78
2020-12-19,9.73375,2148820000000000.0,49.18,34.05166666666666
2020-12-20,10.125833333333333,4082260000000000.0,53.02,32.9625
2020-12-21,17.361666666666668,3336280000000000.0,57.0,35.136
2020-12-22,26.10916666666667,4547618000000000.0,57.54,35.562
2020-12-23,27.825416666666666,4828340000000000.0,59.68,29.43428571428572
2020-12-24,21.045,3981078000000000.0,60.46,32.548571428571435
2020-12-25,20.341666666666665,5158020000000000.0,55.24,31.54
2020-12-26,16.85625,3814730000000000.0,56.41,32.97
2020-12-27,7.912916666666667,6286492000000000.0,44.22,29.798571428571428
2020-12-28,17.547083333333333,5063770000000000.0,45.17,29.282857142857143
2020-12-29,15.598750000000004,6048832000000000.0,48.84,31.01
2020-12-30,17.042499999999997,3792520000000000.0,49.81,33.18
2020-12-31,20.83708333333333,4387820000000000.0,45.39,31.23
2021-01-01,7.712499999999999,4105260000000000.0,44.54,30.95
2021-01-02,10.951666666666666,4345594000000000.0,45.99,32.5625
2021-01-03,6.509166666666665,3372580000000000.0,23.34,33.28142857142857
