date,open_SO2,sate_SO2,"Civil Line, Jalandhar - PPCB"
2020-11-24,4.5975,0.0129119686,9.13
2020-11-25,8.172916666666666,0.2235176272,8.79
2020-11-26,5.919583333333333,0.369125634,7.31
2020-11-27,7.125833333333332,0.0183432379999999,5.46
2020-11-28,7.399166666666667,0.285473287,5.89
2020-11-29,14.3425,0.123771509,13.74665892972276
2020-11-30,8.460833333333332,-0.493390709,6.578658929722761
2020-12-01,10.045833333333336,-0.0826092132,6.01
2020-12-02,9.26875,0.540296614,9.38
2020-12-03,12.307083333333331,-0.0601721,17.94
2020-12-04,12.605000000000004,0.0740370546,19.08
2020-12-05,14.728333333333335,0.029999999,18.4
2020-12-06,19.64,0.0319602846,13.58
2020-12-07,8.364583333333334,0.039023046,17.8
2020-12-08,6.995833333333334,0.0705529562,21.94
2020-12-09,6.715416666666666,0.2370470376,16.44
2020-12-10,5.759583333333334,-0.429794788,14.35
2020-12-11,7.77375,0.0169058806,18.13
2020-12-12,7.57,0.261059701,17.51
2020-12-13,4.706250000000001,0.2537527382,15.83
2020-12-14,6.4225,0.0366215341999999,19.35
2020-12-15,6.482083333333335,0.2317483426,25.25
2020-12-16,7.210833333333334,-0.289999992,24.48
2020-12-17,6.831249999999998,-0.0524281682,22.91
2020-12-18,7.102500000000002,0.0819555,24.94
2020-12-19,6.628333333333333,-0.116288051,22.81
2020-12-20,6.214583333333334,0.1837476777999999,47.05
2020-12-21,8.839166666666667,0.497701883,35.82
2020-12-22,8.305833333333334,0.0553628534,31.26
2020-12-23,9.3775,0.262622446,30.04
2020-12-24,10.767916666666666,0.0104790385999999,28.46
2020-12-25,5.668333333333334,-0.209973529,25.33
2020-12-26,8.271666666666667,0.165932238,24.33
2020-12-27,7.430000000000001,0.0490529936,27.01
2020-12-28,9.980416666666668,0.325540572,29.57
2020-12-29,6.5950000000000015,0.0694317672,19.85
2020-12-30,9.57875,0.1190019894,22.35
2020-12-31,8.334583333333333,0.1930622228,24.64
2021-01-01,12.345833333333331,-0.0283153145999999,23.48
2021-01-02,9.793333333333337,0.1362803714,23.89
2021-01-03,8.31541666666667,0.0884578574,26.53
2021-01-04,8.104999999999999,0.060106983,21.98
2021-01-05,7.368333333333332,-0.0583272308,30.27
2021-01-06,8.7825,-0.0092140145999999,31.13
2021-01-07,7.707083333333334,0.0450549378,33.82
2021-01-08,6.308333333333335,1.15016949,34.5
