date,open_NO2,sate_NO2,"Zero Point GICI, Gangtok - SSPCB"
2020-11-24,3.9525,2958506000000000.0,9.17
2020-11-25,5.984583333333333,3821590000000000.0,18.99
2020-11-26,5.467083333333334,3129972000000000.0,21.48
2020-11-27,9.415416666666664,4646416000000000.0,9.0
2020-11-28,10.250833333333334,2893938000000000.0,5.1
2020-11-29,6.712916666666666,3183670000000000.0,10.35
2020-11-30,6.525416666666666,3418268000000000.0,11.81
2020-12-01,3.91,4595550000000000.0,7.73
2020-12-02,1.995,4809630000000000.0,7.91
2020-12-03,1.6387500000000002,3770266000000000.0,37.39
2020-12-04,1.6899999999999995,2982868000000000.0,13.94
2020-12-05,1.6458333333333333,3104582000000000.0,12.47
2020-12-06,2.990416666666667,1856440000000000.0,12.71
2020-12-07,3.4558333333333326,3256628000000000.0,14.24
2020-12-08,4.073750000000001,2029030000000000.0,14.19
2020-12-09,3.939583333333333,8080440000000000.0,118.29
2020-12-10,3.397083333333333,3333134000000000.0,19.72
2020-12-11,5.91,6513960000000000.0,21.05
2020-12-12,6.268333333333334,2307808000000000.0,14.91
2020-12-13,4.3950000000000005,1518220000000000.0,14.88
2020-12-14,2.9483333333333337,3215510000000000.0,11.69
2020-12-15,3.514583333333334,2383660000000000.0,8.16
2020-12-16,1.9575,3661342000000000.0,9.04
2020-12-17,2.103333333333333,4406640000000000.0,12.83
2020-12-18,2.265416666666667,2454150000000000.0,14.02
2020-12-19,3.86375,2751046000000000.0,15.85
2020-12-20,4.769166666666667,2223700000000000.0,14.2
2020-12-21,5.639583333333333,2998960000000000.0,12.65
2020-12-22,4.911666666666666,1749940000000000.0,9.11
2020-12-23,7.239166666666667,2666992000000000.0,6.64
2020-12-24,2.75625,3342230000000000.0,8.03
2020-12-25,4.939583333333334,6425060000000000.0,12.76
2020-12-26,3.8645833333333335,3079214000000000.0,19.56
2020-12-27,4.022083333333334,3834250000000000.0,31.61
2020-12-28,3.414166666666667,2873138000000000.0,13.97
2020-12-29,7.859999999999999,2096040000000000.0,8.26
2020-12-30,3.6366666666666663,2637294000000000.0,6.58
2020-12-31,6.118333333333333,3102990000000000.0,5.62
2021-01-01,5.470833333333332,3152334000000000.0,6.15
2021-01-02,5.691666666666666,3106310000000000.0,6.83
2021-01-03,5.633333333333333,3493770000000000.0,6.51
2021-01-04,5.384166666666666,2572488000000000.0,6.77
2021-01-05,2.92125,2946916000000000.0,7.85
2021-01-06,2.4541666666666666,2518018000000000.0,7.38
2021-01-07,6.16,3614230000000000.0,11.04
2021-01-08,7.834166666666665,2668772000000000.0,15.74
2021-01-09,3.243333333333334,2304100000000000.0,17.21
2021-01-10,3.701666666666668,3100110000000000.0,15.37
2021-01-11,4.14375,3646484000000000.0,15.78
2021-01-12,4.070833333333334,963263000000000.0,15.46
2021-01-13,9.330833333333334,2999804000000000.0,19.1
2021-01-14,17.332916666666666,2153930000000000.0,23.76
2021-01-15,3.942916666666666,2531740000000000.0,20.74
2021-01-16,4.266666666666667,2428090000000000.0,19.2
2021-01-17,3.7125,3444490000000000.0,18.53
2021-01-18,1.739583333333333,2232740000000000.0,18.5
2021-01-19,2.6529166666666666,3096242000000000.0,18.51
2021-01-20,2.239166666666667,2828752000000000.0,18.51
