date,open_NO2,sate_NO2,"Ramteerth Nagar, Belgaum - KSPCB"
2020-11-24,11.16,3658280000000000.0,21.72
2020-11-25,11.404166666666669,3054204000000000.0,37.64
2020-11-26,7.685833333333335,2665208000000000.0,21.3
2020-11-27,5.119583333333333,3201582200000000.0,0.83
2020-11-28,9.2275,3263188000000000.0,0.25
2020-11-29,5.094166666666667,2984540000000000.0,3.38
2020-11-30,6.880416666666665,3890836000000000.0,7.43
2020-12-01,8.807083333333333,3309370000000000.0,5.0
2020-12-02,11.485,2992324000000000.0,6.74
2020-12-03,11.015416666666669,3912670000000000.0,15.1125
2020-12-04,8.242916666666668,2711890000000000.0,16.63
2020-12-05,8.951666666666664,3730810000000000.0,16.6
2020-12-06,5.718333333333333,2515150000000000.0,16.61
2020-12-07,5.133333333333332,3397090000000000.0,16.59
2020-12-08,6.707916666666665,3341320000000000.0,16.58
2020-12-09,8.073333333333332,2810478000000000.0,16.63
2020-12-10,18.534166666666668,2651660000000000.0,16.54
2020-12-11,30.96041666666666,3740120000000000.0,16.55
2020-12-12,16.892916666666668,3197020000000000.0,16.57
2020-12-13,19.03125,3038578000000000.0,16.55
2020-12-14,12.624166666666667,2797340000000000.0,16.6
2020-12-15,12.145416666666668,3151910000000000.0,16.64
2020-12-16,9.512083333333331,3571262000000000.0,16.75
2020-12-17,16.00083333333333,4132860000000000.0,16.56
2020-12-18,13.919583333333334,2806440000000000.0,16.62
2020-12-19,7.035833333333335,3481760000000000.0,16.59
2020-12-20,8.283333333333333,2747032000000000.0,16.57
2020-12-21,10.445,4420020000000000.0,16.62
2020-12-22,14.55208333333333,3178780000000000.0,16.57
2020-12-23,19.758333333333336,3263240000000000.0,16.7
2020-12-24,11.069166666666666,3155660000000000.0,16.59
2020-12-25,10.265,3072126000000000.0,16.6
2020-12-26,9.551666666666668,3972270000000000.0,28.69
2020-12-27,15.925833333333332,3278052000000000.0,46.41
2020-12-28,30.0525,3880380000000000.0,38.13
2020-12-29,14.687916666666668,2510248000000000.0,32.04
2020-12-30,9.20625,3843210000000000.0,38.71
2020-12-31,7.358333333333335,2489800000000000.0,35.36
2021-01-01,6.683333333333335,3123718000000000.0,28.29
2021-01-02,8.16375,2624590000000000.0,28.33
2021-01-03,11.062083333333334,3426548000000000.0,28.25
2021-01-04,14.814166666666669,3474902000000000.0,28.28
2021-01-05,15.66708333333333,3684966000000000.0,28.23
2021-01-06,13.6275,3109046000000000.0,28.27
2021-01-07,11.070833333333333,4523870000000000.0,28.26
2021-01-08,9.490833333333333,3464304000000000.0,28.33
2021-01-09,8.681666666666667,3159324000000000.0,15.14
2021-01-10,13.487916666666669,3176460000000000.0,13.91
2021-01-11,14.960833333333335,4313490000000000.0,28.24
2021-01-12,9.46,3179614000000000.0,28.33
2021-01-13,11.390416666666669,2476470000000000.0,28.31
2021-01-14,14.506666666666666,3077658000000000.0,28.29
2021-01-15,19.18125,2095520000000000.0,28.28
2021-01-16,11.754166666666665,3119180000000000.0,28.27
2021-01-17,11.29166666666667,3349214000000000.0,28.26
2021-01-18,10.114583333333334,3117740000000000.0,28.33
2021-01-19,22.45958333333333,3379532000000000.0,28.28
2021-01-20,23.376666666666665,3871400000000000.0,28.27
2021-01-21,14.725416666666662,2773670000000000.0,28.26
2021-01-22,25.21,4161250000000000.0,30.47
2021-01-23,21.808333333333334,3262310000000000.0,34.8
2021-01-24,22.18583333333333,5083420000000000.0,34.38
2021-01-25,22.07375,2619750000000000.0,36.53
2021-01-26,20.1325,2943154000000000.0,36.98
2021-01-27,17.392500000000002,2814800000000000.0,33.94
2021-01-28,19.3675,2770368000000000.0,33.77
2021-01-29,21.295,3585950000000000.0,32.63
2021-01-30,16.795416666666664,3896314000000000.0,35.05
2021-01-31,13.069583333333334,3632010000000000.0,35.81
2021-02-01,12.705416666666666,2535750000000000.0,31.55
2021-02-02,11.05625,3733376000000000.0,34.77
2021-02-03,15.669166666666664,3744660000000000.0,36.41
2021-02-04,20.8625,3194146000000000.0,28.82
2021-02-05,8.195,3005390000000000.0,26.61
2021-02-06,14.7075,3289110000000000.0,26.69
2021-02-07,7.147916666666666,4533430000000000.0,27.08
2021-02-08,10.566250000000002,3101490000000000.0,20.05
2021-02-09,21.264166666666664,3490170000000000.0,32.2
2021-02-10,24.872083333333336,3106460000000000.0,32.17
2021-02-11,27.34041666666667,3274874000000000.0,32.18
2021-02-12,23.41666666666667,3382860000000000.0,32.15
2021-02-13,13.459583333333336,3148348000000000.0,32.1
2021-02-14,10.201666666666668,4009770000000000.0,32.2
2021-02-15,9.27875,3395934000000000.0,32.19
2021-02-16,8.1625,3740810000000000.0,32.23
2021-02-17,7.06,3539880000000000.0,32.81
2021-02-18,12.365416666666668,4006358000000000.0,32.4
2021-02-19,7.217916666666667,5093860000000000.0,26.72
2021-02-20,7.602083333333334,3053048000000000.0,27.22
2021-02-21,6.811250000000001,2889050000000000.0,27.91
2021-02-22,17.139999999999997,3672086000000000.0,29.28
2021-02-23,16.39375,3536920000000000.0,30.64
2021-02-24,7.899583333333333,4290390000000000.0,23.53
2021-02-25,7.574166666666666,3746970000000000.0,26.82
2021-02-26,5.545833333333334,4556280000000000.0,25.55
2021-02-27,7.239583333333333,4815450000000000.0,27.55
2021-02-28,10.913333333333332,4087640000000000.0,27.56
2021-03-01,7.217083333333334,3484648000000000.0,29.82
2021-03-02,18.06541666666667,3154130000000000.0,30.25
2021-03-03,8.703333333333331,3629152000000000.0,34.32
2021-03-04,12.120833333333332,4216510000000000.0,32.57
2021-03-05,21.469583333333333,3884630000000000.0,28.85
2021-03-06,7.770416666666667,5128280000000000.0,29.11
2021-03-07,7.840833333333333,4394720000000000.0,27.68
2021-03-08,10.523333333333332,-746237000000000.0,28.64
2021-03-09,10.88,4119110000000000.0,31.21
2021-03-10,18.325833333333332,4105248000000000.0,27.81
2021-03-11,7.077083333333332,4171330000000000.0,28.92
2021-03-12,8.169583333333334,4121450000000000.0,31.48
2021-03-13,11.187083333333332,4373200000000000.0,30.59
2021-03-14,9.167391304347824,3680510000000000.0,32.73
2021-03-15,6.245000000000001,4535140000000000.0,28.46
2021-03-16,6.322916666666667,4055010000000000.0,28.79
2021-03-17,7.330833333333334,2510128000000000.0,29.27
2021-03-18,6.832916666666666,3689410000000000.0,30.35
2021-03-19,4.987916666666667,3517366000000000.0,28.84
2021-03-20,4.323333333333334,4169270000000000.0,26.6
2021-03-21,5.159166666666667,3662880000000000.0,21.8
2021-03-22,5.147083333333334,3520620000000000.0,27.66
2021-03-23,10.023749999999998,5016420000000000.0,25.48
2021-03-24,8.538333333333332,-1099900000000000.0,27.28
2021-03-25,8.57958333333333,4246590000000000.0,28.68
2021-03-26,9.79166666666667,2335248600000000.0,26.99
2021-03-27,5.823333333333334,3964810000000000.0,30.07
2021-03-28,3.80625,3837440000000000.0,29.98
2021-03-29,3.5162499999999994,4272610000000000.0,27.78
2021-03-30,4.892083333333333,3818530000000000.0,25.93
2021-03-31,3.996666666666668,5100840000000000.0,24.04
2021-04-01,3.6941666666666673,3554830000000000.0,23.49
2021-04-02,3.972083333333333,3916156000000000.0,27.56
2021-04-03,2.598333333333333,3620260000000000.0,29.53
2021-04-04,3.615833333333333,3181482000000000.0,26.99
2021-04-05,6.504583333333334,4098930000000000.0,29.7
2021-04-06,5.987916666666667,3628210000000000.0,32.96
2021-04-07,5.77,3634180000000000.0,27.18
2021-04-08,6.616666666666666,3824110000000000.0,30.25
2021-04-09,12.760416666666664,218193000000000.0,27.03
2021-04-10,4.490833333333333,3936080000000000.0,21.03
2021-04-11,5.63375,3927542000000000.0,18.08
2021-04-12,6.256666666666667,3509150000000000.0,17.5
2021-04-13,9.400833333333331,3569840000000000.0,14.26
2021-04-14,8.12625,5403440000000000.0,18.13
2021-04-15,3.9875,3405240000000000.0,25.18
2021-04-16,4.376666666666666,3521200000000000.0,24.71
2021-04-17,4.2625,4372020000000000.0,7.47
2021-04-18,2.867083333333333,3696606000000000.0,9.53
2021-04-19,3.5787500000000008,3781410000000000.0,13.68
2021-04-20,4.07125,2603225000000000.0,11.89
2021-04-21,5.300833333333333,3849090000000000.0,14.11
2021-04-22,5.418333333333333,3030280000000000.0,16.05
2021-04-23,5.958749999999999,3859760000000000.0,19.01
2021-04-24,6.044583333333333,3515740000000000.0,22.72
2021-04-25,5.065833333333333,-723940000000000.0,13.77
2021-04-26,7.444166666666667,3274300000000000.0,17.31
2021-04-27,5.812083333333333,3723152000000000.0,14.86
2021-04-28,9.242916666666668,3996590000000000.0,23.86
2021-04-29,13.61875,4209770000000000.0,20.6
2021-04-30,5.228333333333333,4488880000000000.0,19.52
2021-05-01,6.025000000000001,4839900000000000.0,17.1
2021-05-02,5.026666666666666,4912190000000000.0,11.46
2021-05-03,5.494166666666668,3607450000000000.0,13.25
2021-05-04,8.762500000000001,3884212000000000.0,12.58
2021-05-05,8.66375,3343290000000000.0,14.84
2021-05-06,6.472083333333335,3073232000000000.0,20.24
2021-05-07,8.969999999999999,3392800000000000.0,18.56
2021-05-08,5.696666666666666,4356070000000000.0,20.26
2021-05-09,4.305833333333333,3530800000000000.0,14.47
2021-05-10,4.297083333333333,3757290000000000.0,18.24
2021-05-11,3.7616666666666663,1822330000000000.0,18.63
2021-05-12,5.404166666666668,3268550000000000.0,15.81
2021-05-13,6.432083333333334,3630534000000000.0,13.91
2021-05-14,7.630416666666665,3565920000000000.0,15.56
2021-05-15,3.227083333333333,3537690000000000.0,17.25
2021-05-16,1.7166666666666668,3227144000000000.0,17.07
2021-05-17,2.779166666666667,3386170000000000.0,14.19
2021-05-18,2.7833333333333337,2992142000000000.0,15.5
2021-05-19,2.74,2559500000000000.0,12.78
2021-05-20,5.050416666666667,3303966000000000.0,13.69
2021-05-21,4.0875,3572580000000000.0,15.98
2021-05-22,2.371666666666667,3102704000000000.0,18.7
2021-05-23,2.870416666666667,2442590000000000.0,19.49
2021-05-24,4.045833333333332,3240180000000000.0,14.55
2021-05-25,3.4675,4269150000000000.0,14.97
2021-05-26,2.30875,3426710000000000.0,14.6
2021-05-27,2.52,-331457000000000.0,12.19
2021-05-28,3.083333333333333,3522900000000000.0,12.37
2021-05-29,3.0595833333333338,3364160000000000.0,13.06
2021-05-30,2.7883333333333336,3230220000000000.0,11.58
2021-05-31,2.961666666666666,2638880000000000.0,13.19
