date,open_NO2,sate_NO2,"GVM Corporation, Visakhapatnam - APPCB"
2021-03-07,20.34708333333333,4091180000000000.0,43.61
2021-03-08,19.46083333333333,4453470000000000.0,32.91
2021-03-09,19.09625,4245796000000000.0,38.86
2021-03-10,23.1875,4197290000000000.0,36.03
2021-03-11,23.895416666666662,5471770000000000.0,35.56
2021-03-12,24.115416666666672,5048600000000000.0,38.23
2021-03-13,27.75125,7219140000000000.0,37.31
2021-03-14,20.58913043478261,-659933000000000.0,20.2
2021-03-15,27.882083333333338,5420050000000000.0,32.91
2021-03-16,28.447500000000005,4885324000000000.0,38.25
2021-03-17,26.264166666666664,4958180000000000.0,46.27
2021-03-18,29.60833333333333,6197440000000000.0,46.79
2021-03-19,29.5025,4204760000000000.0,48.02
2021-03-20,27.34083333333333,6593120000000000.0,51.66
2021-03-21,27.279166666666665,5206820000000000.0,42.98
2021-03-22,34.559999999999995,5199020000000000.0,50.84
2021-03-23,34.81,2915894000000000.0,53.96
2021-03-24,39.90875,4924470000000000.0,66.37
2021-03-25,33.25666666666667,4974989800000000.0,72.02
2021-03-26,29.84041666666667,4887930000000000.0,61.92
2021-03-27,20.394583333333333,4640490000000000.0,53.36
2021-03-28,23.52,4330790000000000.0,45.93
2021-03-29,25.165416666666665,5665910000000000.0,44.72
2021-03-30,23.82708333333333,-1981410000000000.0,54.4
2021-03-31,27.21208333333333,6503910000000000.0,56.76
2021-04-01,23.33458333333333,4577804000000000.0,46.69
2021-04-02,10.936666666666666,4915640000000000.0,41.21
2021-04-03,28.346666666666668,5581380000000000.0,38.4
2021-04-04,26.89916666666667,5192600000000000.0,26.21
2021-04-05,27.39583333333333,5909050000000000.0,26.87
2021-04-06,22.70583333333334,4424140000000000.0,35.68
2021-04-07,20.400416666666665,4110710000000000.0,36.01
2021-04-08,21.232916666666668,4073078000000000.0,33.95
2021-04-09,25.13,4630080000000000.0,39.03
2021-04-10,20.574583333333333,3677968000000000.0,35.28
2021-04-11,18.20416666666667,4996910000000000.0,37.15
2021-04-12,19.82375,5027420000000000.0,33.0
2021-04-13,22.75208333333333,3441540000000000.0,36.32
2021-04-14,20.752916666666668,4637960000000000.0,37.24
2021-04-15,34.759166666666665,5891930000000000.0,58.67
2021-04-16,22.28833333333333,4368170000000000.0,43.6
2021-04-17,13.686250000000005,3994858000000000.0,38.34
2021-04-18,19.855833333333337,4504380000000000.0,33.34
2021-04-19,24.662500000000005,5030760000000000.0,37.56
2021-04-20,24.926666666666662,4157900000000000.0,45.6
2021-04-21,25.4975,4647690000000000.0,31.37
2021-04-22,30.43875,3497490000000000.0,33.21
2021-04-23,32.01,3767990000000000.0,48.79
2021-04-24,20.87708333333333,4371184000000000.0,45.45
2021-04-25,20.71708333333333,4208170000000000.0,31.12
2021-04-26,22.83833333333334,4604142000000000.0,34.22
2021-04-27,24.093333333333334,4353940000000000.0,35.94
2021-04-28,20.504166666666663,5286410000000000.0,37.64
2021-04-29,20.885416666666668,4531400000000000.0,29.69
2021-04-30,20.830833333333327,5966520000000000.0,34.91
2021-05-01,18.656666666666663,-531190000000000.0,32.5
2021-05-02,14.755,4716470000000000.0,29.76
2021-05-03,19.22208333333333,4688712000000000.0,29.33
2021-05-04,18.379583333333333,5005830000000000.0,27.77
2021-05-05,16.225416666666664,4499990000000000.0,29.27
2021-05-06,15.370416666666666,4340640000000000.0,29.86
2021-05-07,12.536666666666669,5531670000000000.0,18.21
2021-05-08,12.891666666666667,4525350000000000.0,15.26
2021-05-09,15.630833333333332,5390700000000000.0,22.71
2021-05-10,15.965833333333336,4995304000000000.0,25.15
2021-05-11,19.0725,4290480000000000.0,29.65
2021-05-12,21.135,4246914000000000.0,37.15
2021-05-13,22.0925,5828250000000000.0,29.38
2021-05-14,21.742500000000007,3975220000000000.0,35.59
2021-05-15,5.516666666666666,5068600000000000.0,22.59
2021-05-16,15.422916666666666,4950400000000000.0,6.23
2021-05-17,21.96708333333333,2018500000000000.0,18.55
2021-05-18,22.313333333333333,4127580000000000.0,28.66
2021-05-19,20.791666666666664,4280494000000000.0,32.51
2021-05-20,22.032083333333333,3848920000000000.0,31.66
2021-05-21,34.12708333333333,5308230000000000.0,35.27
2021-05-22,40.89833333333333,3230950000000000.0,32.32
2021-05-23,44.98374999999999,4685556000000000.0,44.3
2021-05-24,46.66833333333332,3991176000000000.0,51.58
2021-05-25,43.511666666666656,4189328000000000.0,55.25
2021-05-26,34.88624999999999,4608178000000000.0,56.88
2021-05-27,36.47208333333333,5353500000000000.0,47.91
2021-05-28,17.382499999999997,4385920000000000.0,20.2
2021-05-29,16.866250000000004,3879810000000000.0,38.55
2021-05-30,18.65458333333333,4890580000000000.0,30.6
2021-05-31,20.63541666666666,3736166000000000.0,34.23
2021-06-01,22.737916666666663,5796780000000000.0,20.96
2021-06-02,29.470416666666665,867649000000000.0,24.83
2021-06-03,30.28166666666667,4759590000000000.0,36.79
2021-06-04,23.790416666666665,2477570000000000.0,34.14
2021-06-05,19.261666666666667,3768760000000000.0,23.93
2021-06-06,20.0075,3882590000000000.0,21.64
2021-06-07,23.88458333333334,4921490000000000.0,31.52
2021-06-08,26.64,7971120000000000.0,40.2
2021-06-09,28.825416666666676,6549860000000000.0,39.15
2021-06-10,35.13041666666667,4001250000000000.0,47.43
2021-06-11,34.709166666666675,3334204000000000.0,41.35
2021-06-12,29.797083333333333,4488816000000000.0,42.29
2021-06-13,30.81000000000001,4598392000000000.0,44.89
2021-06-14,35.40124999999999,4663648000000000.0,46.32
2021-06-15,32.61708333333333,4807516000000000.0,44.06
2021-06-16,31.01625,4654970000000000.0,40.63
2021-06-17,30.902916666666677,3684833000000000.0,36.63
2021-06-18,31.017916666666675,4256018000000000.0,41.73
2021-06-19,25.0125,6479930000000000.0,36.94
2021-06-20,24.63458333333333,3444102000000000.0,39.26
2021-06-21,33.408750000000005,4214670000000000.0,39.07
2021-06-22,36.57125,3756316000000000.0,38.95
2021-06-23,26.50541666666666,3399756000000000.0,45.42
2021-06-24,34.21583333333333,5936680000000000.0,38.25
2021-06-25,48.84541666666667,5158690000000000.0,41.01
2021-06-26,44.68333333333334,4118682000000000.0,39.45
2021-06-27,23.690416666666664,4625940000000000.0,29.26
2021-06-28,28.33333333333333,4623450000000000.0,29.74
2021-06-29,24.19875,4053074000000000.0,35.84
2021-06-30,25.35541666666667,4100030000000000.0,34.35
2021-07-01,31.9175,4599190000000000.0,39.76
2021-07-02,31.344583333333336,3845548000000000.0,39.96
2021-07-03,30.660000000000007,5111850000000000.0,36.43
2021-07-04,40.48583333333334,1218260000000000.0,42.03
2021-07-05,48.29541666666666,3592550000000000.0,44.18
2021-07-06,32.88750000000001,4037036000000000.0,44.86
2021-07-07,36.20041666666667,5716270000000000.0,46.47
2021-07-08,40.399166666666666,3638436000000000.0,57.16
2021-07-09,32.416250000000005,3928800000000000.0,58.57
2021-07-10,47.432500000000005,8284300000000000.0,49.79
2021-07-11,15.5,5621510000000000.0,26.85
2021-07-12,20.31625,6277450000000000.0,8.7
2021-07-13,37.81541666666667,4247028000000000.0,43.43
2021-07-14,29.303750000000004,4147360000000000.0,37.33
2021-07-15,22.777083333333334,3295289800000000.0,23.29
2021-07-16,24.92708333333333,5157830000000000.0,25.21
2021-07-17,20.1575,5290640000000000.0,23.8
2021-07-18,25.6125,4215110000000000.0,26.35
2021-07-19,32.05875,9828820000000000.0,39.64
2021-07-20,43.140833333333326,3717280000000000.0,44.62
2021-07-21,33.774166666666666,4705194000000000.0,50.44
2021-07-22,31.144583333333333,3900020000000000.0,34.15
2021-07-23,28.57541666666666,3828178000000000.0,36.97
2021-07-24,25.37708333333333,3616394000000000.0,42.47
2021-07-25,24.832916666666662,3947620000000000.0,37.79
2021-07-26,32.30250000000001,5357560000000000.0,36.4
2021-07-27,35.32916666666667,5219720000000000.0,34.58
2021-07-28,39.44291666666667,5536520000000000.0,32.62
2021-07-29,38.52916666666667,4156248000000000.0,36.54
2021-07-30,33.458333333333336,3371166000000000.0,40.96
2021-07-31,29.338749999999997,4781582000000000.0,36.68
2021-08-01,26.183750000000007,4222810000000000.0,35.69
2021-08-02,32.64541666666667,4004780000000000.0,40.15
2021-08-03,44.21208333333333,4542396000000000.0,34.08
2021-08-04,32.33083333333334,5501270000000000.0,42.43
2021-08-05,38.72958333333334,-569835000000000.0,41.93
2021-08-06,31.13875,7687330000000000.0,36.38
2021-08-07,24.65625,3922720000000000.0,36.03
2021-08-08,23.31708333333333,4665410000000000.0,30.54
2021-08-09,26.19083333333333,4570590000000000.0,29.63
2021-08-10,34.76666666666667,5789680000000000.0,39.4
2021-08-11,45.34,6675270000000000.0,38.42
2021-08-12,73.74041666666666,5354510000000000.0,35.28
2021-08-13,90.36666666666667,4684460000000000.0,31.58
2021-08-14,108.34416666666664,3923044000000000.0,33.6
2021-08-15,58.85,4144836000000000.0,41.17
2021-08-16,45.85416666666666,4463818000000000.0,44.55
2021-08-17,35.000833333333325,3425274000000000.0,35.3
2021-08-18,30.389166666666668,3945008000000000.0,37.48
2021-08-19,32.23041666666666,3441170000000000.0,43.6
2021-08-20,33.751666666666665,7259222000000000.0,42.96
2021-08-21,26.553750000000004,3270670000000000.0,32.43
2021-08-22,22.420416666666664,5918370000000000.0,28.89
2021-08-23,30.817499999999995,3197850000000000.0,32.32
2021-08-24,28.5325,4419530000000000.0,34.44
2021-08-25,34.37375,4531660000000000.0,42.08
2021-08-26,48.89625,2222030000000000.0,44.85
2021-08-27,64.28916666666666,4282584000000000.0,60.79
2021-08-28,42.77583333333333,4346908000000000.0,44.65
2021-08-29,34.14416666666666,4112706000000000.0,34.7
2021-08-30,11.585416666666667,4076610000000000.0,24.04
2021-08-31,36.864583333333336,4323042000000000.0,30.53
2021-09-01,49.02458333333333,5022036000000000.0,29.09
2021-09-02,44.16583333333333,5497270000000000.0,20.67
2021-09-03,46.075,4748210000000000.0,24.38
2021-09-04,48.12791666666667,5237890000000000.0,29.23
2021-09-05,41.48375,4066536000000000.0,29.8
2021-09-06,41.34041666666666,5294324000000000.0,38.53
2021-09-07,27.390416666666663,3660988000000000.0,37.6
2021-09-08,33.715,3475198000000000.0,46.33
2021-09-09,62.27624999999998,4829600000000000.0,45.65
2021-09-10,47.56666666666666,2500332000000000.0,33.39
2021-09-11,33.82958333333334,4386866000000000.0,31.9
2021-09-12,28.732083333333332,4120992000000000.0,32.08
2021-09-13,31.41708333333333,3995756000000000.0,32.65
2021-09-14,30.959166666666672,4102274000000000.0,31.68
2021-09-15,31.717916666666657,3983470000000000.0,37.56
2021-09-16,40.99958333333333,4043460000000000.0,37.66
2021-09-17,41.79833333333334,3314384000000000.0,37.14
2021-09-18,38.03625,3253160000000000.0,52.08
2021-09-19,59.720000000000006,4397520000000000.0,44.57
2021-09-20,51.40875,1035380000000000.0,50.63
2021-09-21,43.08375000000001,5474870000000000.0,38.89
2021-09-22,37.89833333333333,807415000000000.0,29.9
2021-09-23,37.22833333333333,5197860000000000.0,25.84
2021-09-24,60.19916666666666,4527974000000000.0,28.69
2021-09-25,69.51666666666668,4122580000000000.0,50.16
2021-09-26,47.08916666666667,4187266000000000.0,51.12
2021-09-27,28.325,3894100000000000.0,24.11
2021-09-28,41.085,3360679000000000.0,62.24
2021-09-29,72.265,4696850000000000.0,51.26
2021-09-30,30.881250000000005,4515280000000000.0,29.05
2021-10-01,15.790833333333332,4835438000000000.0,16.44
2021-10-02,25.43125,4449080000000000.0,17.85
2021-10-03,23.716666666666654,3465912000000000.0,20.77
2021-10-04,33.45249999999999,3659660000000000.0,24.52
2021-10-05,9.907916666666669,3898330000000000.0,21.83
2021-10-06,17.990416666666665,3873970000000000.0,8.64
2021-10-07,32.73,7309230000000000.0,22.94
2021-10-08,57.7925,9239450000000000.0,37.27
2021-10-09,77.27666666666669,3874990000000000.0,45.51
2021-10-10,59.17291666666667,3918412000000000.0,44.83
2021-10-11,71.7025,3252550000000000.0,41.32
2021-10-12,124.93916666666668,5678850000000000.0,56.97
2021-10-13,99.47666666666665,5038680000000000.0,52.29
2021-10-14,46.18374999999998,3743230000000000.0,67.9
2021-10-15,14.155833333333335,4351798000000000.0,35.53
2021-10-16,47.16083333333333,2608900000000000.0,13.31
2021-10-17,56.620833333333344,4666366000000000.0,36.8
2021-10-18,45.95458333333334,3833566000000000.0,31.37
2021-10-19,60.048749999999984,4285508000000000.0,47.93
2021-10-20,66.46124999999999,3617774000000000.0,79.85
2021-10-21,58.185833333333335,6436440000000000.0,41.35
2021-10-22,79.08333333333333,4161110000000000.0,38.53
2021-10-23,17.444166666666664,2775918000000000.0,30.79
2021-10-24,10.302916666666668,4362906000000000.0,22.49
2021-10-25,12.814166666666663,3438090000000000.0,43.13
2021-10-26,5.207916666666667,2950136000000000.0,39.03
2021-10-27,3.8508333333333336,3339060000000000.0,18.86
2021-10-28,4.1554166666666665,2362230000000000.0,13.52
2021-10-29,5.304166666666667,5975774000000000.0,13.93
2021-10-30,4.74125,3102120000000000.0,11.93
2021-10-31,4.0625,4261858000000000.0,18.25
2021-11-01,4.424166666666666,3532710000000000.0,13.66
2021-11-02,4.702916666666668,2139946000000000.0,13.61
2021-11-03,3.73,3908860000000000.0,21.33
2021-11-04,4.952083333333333,3425660000000000.0,22.55
2021-11-05,4.0095833333333335,5308932000000000.0,16.45
2021-11-06,3.7908333333333335,3124050000000000.0,19.78
2021-11-07,3.6696,4356156000000000.0,32.39
2021-11-08,4.111249999999999,4742240000000000.0,28.21
2021-11-09,2.9379166666666667,3794436000000000.0,26.68
2021-11-10,2.7691666666666657,4077130000000000.0,18.19
2021-11-11,3.4066666666666667,3973836000000000.0,20.48
2021-11-12,5.468333333333334,3966002000000000.0,18.7
2021-11-13,7.713333333333334,7018610000000000.0,21.26
2021-11-14,6.7525,3248390000000000.0,17.58
2021-11-15,6.874583333333333,3436700000000000.0,14.35
2021-11-16,4.357500000000001,4173882000000000.0,17.79
2021-11-17,2.7983333333333333,3486880000000000.0,10.79
2021-11-18,3.0933333333333333,4999298000000000.0,21.15
2021-11-19,4.684583333333334,4025123400000000.0,21.23
2021-11-20,4.742916666666667,1785616000000000.0,20.36
2021-11-21,6.743333333333332,1537630000000000.0,17.02
2021-11-22,28.88208333333334,5061740000000000.0,30.23
2021-11-23,11.732916666666668,4411306000000000.0,28.09
2021-11-24,4.434166666666667,3679690000000000.0,19.36
2021-11-25,3.7929166666666663,4277760000000000.0,16.12
2021-11-26,3.3274999999999992,4016470000000000.0,20.2
2021-11-27,3.079583333333334,3559382000000000.0,17.64
2021-11-28,3.3016666666666663,3984628000000000.0,16.38
2021-11-29,4.349166666666666,7352410000000000.0,32.09
2021-11-30,4.553333333333334,3130400000000000.0,29.15
2021-12-01,3.86125,6207200000000000.0,32.91
2021-12-02,3.963333333333333,4198900000000000.0,28.26
2021-12-03,4.255,4020620000000000.0,26.08
2021-12-04,8.3975,3533810000000000.0,16.68
2021-12-05,85.78625,2909493400000000.0,20.57
2021-12-06,6.249999999999999,5393264000000000.0,17.42
2021-12-07,3.5529166666666665,3155540000000000.0,16.99
2021-12-08,3.887083333333333,3250650000000000.0,15.77
2021-12-09,5.144999999999999,4982738000000000.0,28.38
2021-12-10,4.032916666666668,3675260000000000.0,25.55
2021-12-11,3.36125,4269478000000000.0,18.61
2021-12-12,2.797083333333333,3542520000000000.0,15.75
2021-12-13,4.294583333333333,3182552000000000.0,20.12
2021-12-14,5.35125,3563820000000000.0,25.21
2021-12-15,5.659583333333333,4127160000000000.0,41.3
2021-12-16,6.485833333333335,3462410000000000.0,40.5
2021-12-17,7.132916666666667,3791960000000000.0,44.26
2021-12-18,4.537499999999999,4606220000000000.0,58.37
2021-12-19,5.550416666666666,3932330000000000.0,53.24
2021-12-20,7.987916666666666,3739126000000000.0,62.21
2021-12-21,34.407916666666665,3736530000000000.0,52.95
2021-12-22,51.81,3530438000000000.0,90.02
2021-12-23,79.83041666666666,4764570000000000.0,79.39
2021-12-24,50.46375000000001,8824780000000000.0,64.99
2021-12-25,43.29041666666666,5646860000000000.0,56.17
2021-12-26,45.07291666666668,7545680000000000.0,52.81
2021-12-27,38.37458333333332,4395714000000000.0,52.16
2021-12-28,8.708333333333334,3589140000000000.0,54.76
2021-12-29,4.93625,3844280000000000.0,23.56
2021-12-30,3.23375,3302180000000000.0,19.23
2021-12-31,3.272083333333333,2260290000000000.0,21.2
