date,open_NO2,sate_NO2,"GVM Corporation, Visakhapatnam - APPCB"
2020-11-24,4.295,3242174000000000.0,32.71
2020-11-25,3.3545833333333337,4803754000000000.0,27.57
2020-11-26,4.910833333333334,3048880000000000.0,24.29
2020-11-27,4.976249999999999,5947036000000000.0,29.47
2020-11-28,3.5895833333333336,4628232000000000.0,12.72
2020-11-29,3.045833333333333,4290990000000000.0,53.57
2020-11-30,4.177083333333334,4270280000000000.0,42.3
2020-12-01,4.248333333333334,4405278000000000.0,23.92
2020-12-02,4.4975,3469080000000000.0,27.08
2020-12-03,3.5941666666666663,1895084000000000.0,19.04
2020-12-04,3.371666666666666,3515470000000000.0,26.72
2020-12-05,2.2641666666666667,3711380000000000.0,9.38
2020-12-06,2.7991666666666664,4366926000000000.0,10.42
2020-12-07,4.583749999999999,3911880000000000.0,12.6
2020-12-08,27.93458333333333,4293866000000000.0,13.68
2020-12-09,45.24791666666667,4929270000000000.0,18.29
2020-12-10,47.18708333333333,3710968000000000.0,11.89
2020-12-11,66.04916666666666,4728470000000000.0,22.75
2020-12-12,59.31375,9664550000000000.0,32.81
2020-12-13,55.06083333333334,3516850000000000.0,33.87
2020-12-14,14.55125,4502080000000000.0,24.71
2020-12-15,3.577916666666667,3685712000000000.0,10.23
2020-12-16,4.099583333333333,3337270000000000.0,11.64
2020-12-17,4.33625,4094820000000000.0,9.69
2020-12-18,4.543749999999999,3878248000000000.0,7.48
2020-12-19,3.8120833333333337,3848652000000000.0,6.98
2020-12-20,5.514583333333334,4596730000000000.0,9.66
2020-12-21,10.380833333333332,5238580000000000.0,17.07
2020-12-22,16.67333333333333,3867474000000000.0,20.66
2020-12-23,8.457083333333335,6362770000000000.0,18.47
2020-12-24,6.891250000000002,3630140000000000.0,17.83
2020-12-25,6.681249999999998,4059170000000000.0,15.14
2020-12-26,4.53375,3648138000000000.0,14.56
2020-12-27,6.881666666666665,4357520000000000.0,12.31
2020-12-28,7.214583333333334,6715620000000000.0,21.04
2020-12-29,4.93875,3365630000000000.0,50.59
2020-12-30,3.912916666666666,4955350000000000.0,49.57
2020-12-31,4.870833333333334,4176966000000000.0,63.09
2021-01-01,4.64125,3576390000000000.0,68.53
2021-01-02,3.8279166666666655,4020516000000000.0,39.55
2021-01-03,4.307916666666666,3853430000000000.0,50.1
2021-01-04,4.125833333333334,2877218000000000.0,32.56
2021-01-05,3.705833333333333,2846050000000000.0,39.72
2021-01-06,9.934583333333334,2844000000000000.0,37.69
2021-01-07,7.396250000000001,3993206000000000.0,25.12
2021-01-08,5.72375,5768120000000000.0,34.15
2021-01-09,3.71375,4422622000000000.0,37.75
2021-01-10,37.1625,4409880000000000.0,74.88
2021-01-11,22.615,3475330000000000.0,94.44
2021-01-12,46.21291666666667,3639610000000000.0,76.64
2021-01-13,58.91916666666668,1.04e+16,80.6
2021-01-14,35.119583333333345,3270480000000000.0,34.01
2021-01-15,50.337916666666665,8463260000000000.0,48.42
2021-01-16,38.267500000000005,3693542000000000.0,44.23
2021-01-17,15.107500000000002,4749860000000000.0,43.45
2021-01-18,18.594583333333336,4139610000000000.0,24.89
2021-01-19,47.77875,5658180000000000.0,41.76
2021-01-20,40.553333333333335,3472998000000000.0,72.3
2021-01-21,26.395833333333343,5098600000000000.0,58.38
2021-01-22,20.567916666666665,4466300000000000.0,27.69
2021-01-23,34.567499999999995,4539456000000000.0,48.05
2021-01-24,37.63583333333333,8106930000000000.0,46.73
2021-01-25,42.227916666666665,4104038000000000.0,52.34
2021-01-26,32.453,4717290000000000.0,47.57
2021-01-27,7.07,3350330000000000.0,26.27
2021-01-28,9.009166666666667,4065026000000000.0,41.89
2021-01-29,41.40875,1.09e+16,26.88
2021-01-30,19.031250000000004,4104630000000000.0,55.09
2021-01-31,4.865833333333334,5622790000000000.0,22.89
2021-02-01,5.5275,4655650000000000.0,33.28
2021-02-02,16.085,5059690000000000.0,47.17
2021-02-03,23.75333333333333,3948432000000000.0,79.33
2021-02-04,25.20875000000001,5716720000000000.0,71.85
2021-02-05,27.006250000000005,4420538000000000.0,67.99
2021-02-06,19.11125,5554130000000000.0,66.41
2021-02-07,3.9179166666666654,6225920000000000.0,49.56
2021-02-08,24.06458333333333,4178274000000000.0,34.24
2021-02-09,40.38958333333334,7558720000000000.0,60.2
2021-02-10,60.24833333333331,3948342000000000.0,53.75
2021-02-11,57.52333333333335,6887160000000000.0,46.94
2021-02-12,50.29583333333334,3375224000000000.0,38.29
2021-02-13,42.15541666666666,4995310000000000.0,42.78
2021-02-14,37.96291666666666,7198780000000000.0,49.21
2021-02-15,40.474583333333335,4732700000000000.0,54.34
2021-02-16,37.9125,5776840000000000.0,54.75
2021-02-17,27.191666666666663,4503018000000000.0,34.37
2021-02-18,5.607499999999999,4299490000000000.0,26.44
2021-02-19,5.05625,4301298000000000.0,30.32
2021-02-20,3.2641666666666675,4132116000000000.0,28.36
2021-02-21,4.550416666666666,4280610000000000.0,33.29
2021-02-22,65.36749999999999,5113650000000000.0,61.94
2021-02-23,57.8425,1.04e+16,57.6
2021-02-24,38.075,4574028000000000.0,51.63
2021-02-25,35.51,6256190000000000.0,48.97
2021-02-26,34.166666666666664,3582212000000000.0,47.65
2021-02-27,31.285000000000007,6146780000000000.0,41.52
2021-02-28,28.447083333333328,4349156000000000.0,39.92
2021-03-01,29.245833333333334,4009670000000000.0,46.71
2021-03-02,30.181666666666672,6112120000000000.0,56.84
2021-03-03,32.95916666666666,6214940000000000.0,60.86
2021-03-04,34.6625,5679600000000000.0,60.56
2021-03-05,24.922083333333337,5427060000000000.0,60.35
2021-03-06,20.83291666666667,5523920000000000.0,59.3
