date,open_SO2,sate_SO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2020-12-28,33.03124999999999,0.159999996,10.26,3.73,10.26,7.16,2.63,2.63
2020-12-29,28.754999999999995,0.1900000074,6.03,3.43,6.03,7.93,1.65,1.65
2020-12-30,29.276250000000005,0.0820000021999999,5.52,2.17,5.52,7.71,2.36,2.36
2020-12-31,25.04958333333333,0.074000002,3.39,3.52,3.39,7.04,0.81,0.81
2021-01-01,24.447500000000005,0.8059999678,3.28,1.76,3.28,6.58,1.27,1.27
2021-01-02,22.21333333333333,-0.239999995,3.77,2.32,3.77,6.49,2.81,2.81
2021-01-03,21.855833333333333,0.379999995,2.76,2.53,2.76,6.07,2.61,2.61
2021-01-04,22.999166666666667,0.289999992,3.46,1.98,3.46,6.7,10.17,10.17
2021-01-05,25.11375,0.3719999804,2.79,1.74,2.79,5.92,2.03,2.03
2021-01-06,27.75583333333333,0.1499999993999999,3.41,2.22,3.41,7.78,3.09,3.09
2021-01-07,30.28958333333333,-0.3199999972,6.25,3.58,6.25,12.97,6.18,6.18
2021-01-08,20.74291666666667,0.1360000036,2.41,1.44,2.41,10.47,0.91,0.91
2021-01-09,20.449583333333337,-0.4640000056,3.83,1.21,3.83,8.46,1.39,1.39
2021-01-10,30.89958333333333,0.059999999,4.96,2.0,4.96,10.51,0.97,0.97
2021-01-11,55.145,-0.079999998,11.57,4.54,11.57,12.0,2.26,2.26
2021-01-12,38.03875,0.1519999933999999,11.4,7.33,11.4,12.11,3.87,3.87
2021-01-13,44.79333333333333,-0.0120000012,5.46,3.85,5.46,9.63,1.42,1.42
2021-01-14,44.57499999999999,0.0859999983999999,2.87,1.26,2.87,10.93,3.0,3.0
2021-01-15,39.78583333333333,0.1699999986,4.39,3.14,4.39,10.91,0.95,0.95
2021-01-16,26.479166666666668,0.0880000015999999,2.56,1.91,2.56,10.36,1.86,1.86
2021-01-17,23.797083333333333,0.1939999974,2.59,2.7,2.59,11.1,0.99,0.99
2021-01-18,29.463750000000005,0.479999989,3.11,1.4,3.11,10.01,2.22,2.22
2021-01-19,35.57333333333333,0.689999998,3.31,2.2,3.31,9.13,9.13,9.13
2021-01-20,36.26958333333334,0.810000002,4.26,3.9,4.26,8.59,8.59,8.59
2021-01-21,41.872083333333336,0.1920000059999999,6.23,3.64,6.23,8.62,8.62,8.62
2021-01-22,49.21958333333333,0.1200000017999999,5.34,5.75,5.34,9.32,9.32,9.32
2021-01-23,27.60166666666667,0.3019999964,2.95,2.49,2.95,9.12,3.19,3.19
2021-01-24,41.579166666666666,0.0939999991999999,3.35,1.58,3.35,9.88,3.11,3.11
