date,open_SO2,sate_SO2,"Hebbal 1st Stage, Mysuru - KSPCB"
2020-11-24,2.98,0.140000001,27.35
2020-11-25,2.2354166666666666,0.0564403818,8.23
2020-11-26,2.217083333333333,0.1059634565999999,0.92
2020-11-27,3.9450000000000007,-0.0646833853999999,0.41
2020-11-28,4.518750000000001,-0.0519109108,0.48
2020-11-29,3.3520833333333333,0.0324991562,0.38
2020-11-30,4.694166666666668,-0.029330594,9.98
2020-12-01,4.5225,0.103392556,5.01
2020-12-02,4.420416666666667,-0.0397618762,4.99
2020-12-03,2.623333333333333,0.1133781234,4.99
2020-12-04,2.524166666666667,0.0144702702,5.77
2020-12-05,2.4120833333333334,0.0022624537999999,5.92
2020-12-06,3.2670833333333333,0.1458319722,6.38
2020-12-07,3.680416666666666,0.1088864616,6.95
2020-12-08,3.3433333333333337,0.0903958094,6.92
2020-12-09,4.627083333333332,0.1069983878,6.9
2020-12-10,4.583749999999999,0.034363225,6.88
2020-12-11,5.345416666666666,0.0006848285999999,6.39
2020-12-12,3.5570833333333334,0.213991418,5.9
2020-12-13,3.9416666666666655,-0.0373002218,5.91
2020-12-14,5.091666666666666,0.124943409,5.9
2020-12-15,4.9350000000000005,0.087566935,5.92
2020-12-16,3.95,0.00338986,5.9
2020-12-17,4.166250000000001,0.0058781407999999,5.9
2020-12-18,4.989583333333333,-0.0234422548,5.91
2020-12-19,2.7045833333333333,0.109961309,6.66
2020-12-20,3.66125,0.0050992504,6.92
2020-12-21,4.868750000000001,-0.0256675366,6.88
2020-12-22,4.5633333333333335,-0.0551963304,6.85
2020-12-23,4.905,0.1132934536,6.85
2020-12-24,4.944583333333333,0.162048519,6.86
2020-12-25,4.3566666666666665,-0.019755984,6.89
2020-12-26,4.697083333333333,-0.131404489,6.86
2020-12-27,4.667916666666666,0.0312315671999999,6.88
2020-12-28,6.335416666666667,0.090716504,6.9
2020-12-29,4.1745833333333335,-0.0168424016,6.92
2020-12-30,3.117083333333333,0.095197704,6.88
2020-12-31,3.896249999999999,0.0680129858,6.94
2021-01-01,3.84,-0.043055005,6.84
2021-01-02,2.3625000000000003,0.071222715,6.88
2021-01-03,3.0429166666666667,0.1242822846,6.93
