date,open_NO2,sate_NO2,"Chhoti Gwaltoli, Indore - MPPCB"
2020-11-24,18.0825,5393640000000000.0,80.72
2020-11-25,20.74333333333333,3561492000000000.0,80.84
2020-11-26,7.5575,4319050000000000.0,61.83
2020-11-27,6.365416666666667,3307008000000000.0,34.29
2020-11-28,6.715416666666669,5179700000000000.0,39.9
2020-11-29,22.707916666666662,4099112000000000.0,30.12
2020-11-30,22.232916666666664,4530440000000000.0,16.27
2020-12-01,20.70375,4127700000000000.0,11.21
2020-12-02,28.59875,3554186000000000.0,27.94
2020-12-03,46.56791666666667,5094860000000000.0,56.32
2020-12-04,44.04166666666666,4341248000000000.0,61.17
2020-12-05,34.97041666666667,5426000000000000.0,51.79
2020-12-06,50.475,3857520000000000.0,41.82
2020-12-07,50.509166666666665,4879650000000000.0,41.74
2020-12-08,45.68708333333333,5015410000000000.0,42.46
2020-12-09,31.05541666666667,4185292000000000.0,47.08
2020-12-10,30.703333333333337,3165680000000000.0,43.6
2020-12-11,14.080833333333333,4053292000000000.0,49.92
2020-12-12,22.134166666666676,3808504000000000.0,34.06
2020-12-13,16.659166666666668,3956400000000000.0,29.25
2020-12-14,12.323750000000002,3409388000000000.0,30.04
2020-12-15,12.495416666666666,4542002000000000.0,26.92
2020-12-16,7.613333333333332,4697060000000000.0,33.57
2020-12-17,13.420000000000002,3447180000000000.0,41.51
2020-12-18,15.531250000000002,3549434000000000.0,43.52
2020-12-19,17.334999999999997,3252870000000000.0,51.0
2020-12-20,20.066666666666663,4547822000000000.0,51.45
2020-12-21,25.530833333333337,3563040000000000.0,56.43
2020-12-22,28.50291666666666,4086810000000000.0,63.28
2020-12-23,26.45166666666667,4972360000000000.0,65.27
2020-12-24,20.356666666666666,6849570000000000.0,58.51
2020-12-25,16.31041666666667,3718172000000000.0,49.49
2020-12-26,16.180000000000003,5230960000000000.0,59.65
2020-12-27,7.932499999999998,4252656000000000.0,51.64
2020-12-28,15.511250000000002,3804940000000000.0,38.07
2020-12-29,8.718749999999998,4711376000000000.0,45.45
2020-12-30,7.651249999999998,4584950000000000.0,43.87
2020-12-31,13.427500000000002,3613863200000000.0,44.01
2021-01-01,8.53875,5103000000000000.0,44.58
2021-01-02,22.97125,3897460000000000.0,37.92
2021-01-03,12.56125,3950684000000000.0,42.78
2021-01-04,10.123333333333337,4737970000000000.0,41.3
2021-01-05,18.790000000000003,4364708000000000.0,38.42
2021-01-06,17.058333333333337,5389650000000000.0,56.63
2021-01-07,21.361666666666665,3722556000000000.0,34.63
2021-01-08,18.63875,3899840000000000.0,30.25
2021-01-09,9.89583333333333,3610706000000000.0,35.29
2021-01-10,15.597499999999997,4783958000000000.0,26.13
2021-01-11,17.076666666666664,4694990000000000.0,32.85
2021-01-12,15.439583333333331,4191026000000000.0,38.07
2021-01-13,20.504166666666677,3585760000000000.0,49.37
2021-01-14,16.1275,4434482000000000.0,46.11
2021-01-15,21.501666666666665,4343190000000000.0,48.69
2021-01-16,10.005833333333335,3926318000000000.0,50.82
2021-01-17,8.53625,4534050000000000.0,38.13
2021-01-18,21.9575,5061880000000000.0,48.48
2021-01-19,15.187083333333332,3833720000000000.0,53.93
2021-01-20,16.88791666666667,5418870000000000.0,49.67
2021-01-21,31.29333333333334,4366762000000000.0,55.23
2021-01-22,39.43291666666666,4745760000000000.0,76.97
2021-01-23,10.265,4526262000000000.0,78.92
2021-01-24,9.799583333333333,5034480000000000.0,52.62
2021-01-25,12.489583333333334,2603740000000000.0,41.49
2021-01-26,10.021999999999998,4231608000000000.0,44.78
2021-01-27,15.830000000000002,3141300000000000.0,48.05
2021-01-28,9.84875,3447682000000000.0,41.19
2021-01-29,14.232083333333335,2862150000000000.0,52.03
2021-01-30,13.546249999999995,3524608000000000.0,53.84
2021-01-31,20.36916666666667,4599520000000000.0,66.7
2021-02-01,26.482916666666668,3650900000000000.0,76.71
2021-02-02,40.44208333333332,4960730000000000.0,105.14
2021-02-03,51.78208333333333,4753150000000000.0,124.94
2021-02-04,13.813333333333338,4126612000000000.0,93.93
2021-02-05,7.458333333333332,5329620000000000.0,51.45
2021-02-06,10.255833333333332,4415966000000000.0,54.83
2021-02-07,15.977916666666664,3240380000000000.0,53.62
2021-02-08,28.812083333333334,4381486000000000.0,69.1
2021-02-09,58.50541666666667,4024570000000000.0,81.55
2021-02-10,27.943750000000005,3493190000000000.0,76.77
2021-02-11,27.351250000000004,3612868000000000.0,72.57
2021-02-12,28.176666666666662,3368600000000000.0,60.04
2021-02-13,13.84375,3690446000000000.0,68.74
2021-02-14,16.03083333333333,3452170000000000.0,72.97
2021-02-15,19.83125,4175760000000000.0,81.65
2021-02-16,19.15083333333333,4212840000000000.0,68.08
2021-02-17,26.00833333333333,4781008000000000.0,69.42
2021-02-18,38.70125,4743820000000000.0,42.58
2021-02-19,8.1425,4941410000000000.0,55.96
2021-02-20,11.351666666666668,4129924000000000.0,47.29
2021-02-21,17.188333333333333,5347240000000000.0,49.73
2021-02-22,42.56000000000001,4731956000000000.0,78.35
2021-02-23,29.84125000000001,4708750000000000.0,79.82
2021-02-24,14.927083333333334,4922446000000000.0,80.65
2021-02-25,7.388333333333333,5454180000000000.0,67.5
2021-02-26,5.908333333333334,3663530000000000.0,54.67
2021-02-27,5.424166666666667,3734738000000000.0,47.11
2021-02-28,6.214166666666666,3481450000000000.0,57.2
2021-03-01,9.413333333333334,4369042000000000.0,54.3
2021-03-02,19.81333333333333,3608130000000000.0,57.78
2021-03-03,25.86125,3810808000000000.0,67.16
2021-03-04,9.854583333333332,4747910000000000.0,65.13
2021-03-05,14.861666666666666,4323414000000000.0,54.83
2021-03-06,11.5125,5615380000000000.0,68.97
2021-03-07,6.014583333333333,4833900000000000.0,57.9
2021-03-08,8.437083333333334,5560166000000000.0,49.6
2021-03-09,7.27,5839410000000000.0,55.6
2021-03-10,11.17875,4254940000000000.0,65.05
2021-03-11,27.69041666666666,4442670000000000.0,61.77
2021-03-12,13.945833333333336,4334286000000000.0,37.19
2021-03-13,28.34083333333333,5597080000000000.0,40.43
2021-03-14,9.430434782608696,5163440000000000.0,49.02
2021-03-15,19.11125,5845010000000000.0,61.64
2021-03-16,33.68333333333333,6795860000000000.0,62.33
2021-03-17,32.905833333333334,6613080000000000.0,58.77
2021-03-18,11.428333333333336,6582140000000000.0,50.98
2021-03-19,13.046666666666663,4664714000000000.0,39.91
2021-03-20,16.460416666666667,5955690000000000.0,37.22
2021-03-21,16.68375,4141856000000000.0,19.74
2021-03-22,15.167083333333336,7050580000000000.0,55.45
2021-03-23,7.791666666666667,4658740000000000.0,35.48
