date,open_NO2,sate_NO2,"SIDCO Kurichi, Coimbatore - TNPCB"
2021-02-21,7.921666666666668,3957050000000000.0,14.47
2021-02-22,10.792083333333332,4216032000000000.0,17.48
2021-02-23,11.413333333333332,4673780000000000.0,17.52
2021-02-24,23.924166666666668,3580564000000000.0,15.18
2021-02-25,10.872083333333334,2938690000000000.0,18.4
2021-02-26,10.119583333333331,4077910000000000.0,17.34
2021-02-27,10.570833333333336,4203264000000000.0,15.27
2021-02-28,18.03708333333333,3552320000000000.0,20.62
2021-03-01,16.102916666666665,-763762000000000.0,18.6
2021-03-02,14.244166666666665,3714010000000000.0,24.43
2021-03-03,7.603749999999998,2769865200000000.0,39.2
2021-03-04,8.828333333333335,3751990000000000.0,4.07
2021-03-05,13.84375,2856740000000000.0,3.55
2021-03-06,7.958333333333335,4362560000000000.0,3.53
2021-03-07,11.696666666666664,3172090000000000.0,4.44
2021-03-08,8.639166666666666,3807730000000000.0,4.06
2021-03-09,7.857083333333331,3971240000000000.0,3.65
2021-03-10,5.77375,3826634000000000.0,3.43
2021-03-11,10.794166666666667,4340140000000000.0,3.1
2021-03-12,8.626666666666667,3714932000000000.0,3.09
2021-03-13,6.555416666666666,4530470000000000.0,3.06
2021-03-14,8.73913043478261,3170020000000000.0,3.07
2021-03-15,14.91125,6165800000000000.0,3.36
2021-03-16,14.206666666666669,4180230000000000.0,3.73
2021-03-17,13.434166666666664,-41690300000000.0,3.72
2021-03-18,14.349583333333332,3852890000000000.0,3.71
2021-03-19,7.859166666666666,3505855000000000.0,3.71
2021-03-20,6.800416666666668,4271800000000000.0,3.85
2021-03-21,7.3875,4206070000000000.0,4.06
2021-03-22,7.884583333333332,3428580000000000.0,4.1
2021-03-23,9.089166666666667,4441210000000000.0,4.14
2021-03-24,10.691666666666665,3084490000000000.0,4.11
2021-03-25,7.813749999999999,4297120000000000.0,4.09
2021-03-26,7.396249999999999,4443100000000000.0,4.08
2021-03-27,6.43875,3187520000000000.0,4.31
2021-03-28,6.63625,4272884000000000.0,5.02
2021-03-29,4.855833333333334,5056300000000000.0,5.21
2021-03-30,9.965416666666666,3266860000000000.0,5.42
2021-03-31,5.665,4488008000000000.0,5.37
2021-04-01,5.775833333333332,4433600000000000.0,5.45
2021-04-02,5.048750000000001,2297940000000000.0,5.5
2021-04-03,4.902499999999999,3854070000000000.0,5.42
2021-04-04,6.709583333333334,4232498000000000.0,5.28
2021-04-05,9.642083333333332,4230040000000000.0,5.41
2021-04-06,8.85125,3320470000000000.0,5.62
2021-04-07,8.115416666666667,3592010000000000.0,5.62
2021-04-08,10.844583333333333,4430360000000000.0,5.6
2021-04-09,9.003749999999998,4948430000000000.0,5.57
2021-04-10,5.7804166666666665,4182730000000000.0,5.56
2021-04-11,6.487916666666667,4139110000000000.0,5.58
2021-04-12,18.78833333333333,3279740000000000.0,5.34
2021-04-13,12.753750000000002,4354742000000000.0,5.41
2021-04-14,16.97375,4150208000000000.0,5.53
2021-04-15,15.9125,3938510000000000.0,5.64
2021-04-16,10.0975,4779058000000000.0,5.1
2021-04-17,8.034583333333334,5646730000000000.0,4.52
2021-04-18,8.050416666666667,-312382000000000.0,4.5
2021-04-19,7.843333333333334,4408360000000000.0,4.51
2021-04-20,10.21375,4586268000000000.0,4.67
2021-04-21,10.34875,3890440000000000.0,4.83
2021-04-22,8.997083333333334,3580430000000000.0,4.98
2021-04-23,10.904583333333337,3249310000000000.0,4.9
2021-04-24,11.640833333333337,6201730000000000.0,4.36
2021-04-25,8.007083333333332,4259270000000000.0,4.21
2021-04-26,8.277499999999998,3484890000000000.0,3.5
2021-04-27,9.829166666666666,4660900000000000.0,2.9
2021-04-28,8.819166666666666,4385080000000000.0,3.81
2021-04-29,8.648333333333332,4415564000000000.0,4.09
2021-04-30,11.635416666666666,4419920000000000.0,4.21
2021-05-01,7.907916666666668,4830320000000000.0,4.34
2021-05-02,8.66125,4060662000000000.0,4.36
2021-05-03,16.18416666666667,3933860000000000.0,4.12
2021-05-04,19.76083333333333,-1884460000000000.0,3.47
2021-05-05,8.83625,4642990000000000.0,3.41
2021-05-06,9.896666666666668,3740190000000000.0,3.35
2021-05-07,10.503750000000002,3391070000000000.0,3.38
2021-05-08,6.483333333333334,3722730000000000.0,3.57
2021-05-09,7.105,4236630000000000.0,3.56
2021-05-10,10.007916666666668,6910480000000000.0,3.18
2021-05-11,9.229583333333332,3880490000000000.0,3.14
2021-05-12,11.6425,2607770000000000.0,3.31
2021-05-13,8.350416666666664,4859456000000000.0,3.21
2021-05-14,7.100833333333333,2570540000000000.0,2.86
2021-05-15,8.239166666666668,4601468000000000.0,2.67
2021-05-16,5.953333333333334,5335296000000000.0,2.7
2021-05-17,6.361249999999999,4201800000000000.0,2.66
2021-05-18,5.416249999999999,3999830000000000.0,2.65
2021-05-19,6.365833333333332,4067480000000000.0,2.73
2021-05-20,7.5325,5349750000000000.0,2.94
2021-05-21,7.34125,3457320000000000.0,3.09
2021-05-22,6.841666666666666,4563874000000000.0,3.31
2021-05-23,7.5391666666666675,4015070000000000.0,3.41
2021-05-24,6.454583333333335,3047770000000000.0,3.43
2021-05-25,6.1120833333333335,4388550000000000.0,3.62
2021-05-26,6.622500000000001,3014984000000000.0,3.7
2021-05-27,6.161666666666666,4147250000000000.0,3.67
2021-05-28,6.299583333333332,2330960000000000.0,3.32
2021-05-29,4.673333333333333,3370700000000000.0,3.27
2021-05-30,4.6275,3489400000000000.0,3.33
2021-05-31,5.01625,5749140000000000.0,3.46
2021-06-01,7.492500000000001,2806749600000000.0,3.47
2021-06-02,8.930833333333334,2746250000000000.0,3.2
2021-06-03,10.794583333333335,3873792000000000.0,3.24
2021-06-04,9.20125,4344290000000000.0,3.43
2021-06-05,6.637499999999999,3322740000000000.0,3.36
2021-06-06,7.727916666666669,4121470000000000.0,3.25
2021-06-07,8.186666666666667,4587134000000000.0,3.25
2021-06-08,6.384166666666666,5164990000000000.0,3.35
2021-06-09,6.236666666666667,6036400000000000.0,3.58
2021-06-10,8.411666666666667,3659870000000000.0,3.63
2021-06-11,6.1258333333333335,6348100000000000.0,3.62
2021-06-12,3.783333333333333,2852660000000000.0,3.5
2021-06-13,4.7595833333333335,3802520000000000.0,3.28
2021-06-14,6.396249999999999,4690742000000000.0,3.33
2021-06-15,5.579166666666667,3925570000000000.0,3.27
2021-06-16,5.309166666666666,3535436000000000.0,3.34
2021-06-17,5.317083333333334,3518038000000000.0,3.58
2021-06-18,5.819583333333333,3551912000000000.0,3.74
2021-06-19,4.830000000000001,3564866000000000.0,3.38
2021-06-20,5.936249999999999,4013100000000000.0,3.17
2021-06-21,7.21625,-1423980000000000.0,3.26
2021-06-22,11.087916666666665,3569420000000000.0,3.57
2021-06-23,9.485833333333334,4050154000000000.0,3.64
2021-06-24,8.21375,4070560000000000.0,3.59
2021-06-25,6.238333333333333,3076580000000000.0,3.74
2021-06-26,5.691250000000001,4000974000000000.0,3.4
2021-06-27,8.185833333333333,3566616000000000.0,2.86
2021-06-28,9.74375,2010272000000000.0,3.06
2021-06-29,9.972083333333336,4439900000000000.0,3.36
2021-06-30,8.444166666666668,3951770000000000.0,3.23
2021-07-01,6.864166666666667,4719180000000000.0,3.01
2021-07-02,7.814583333333334,5561544000000000.0,2.89
2021-07-03,6.925833333333334,3455874000000000.0,3.24
2021-07-04,9.11375,2023730000000000.0,3.09
2021-07-05,9.856666666666666,3707562000000000.0,3.33
2021-07-06,8.049166666666666,5063910000000000.0,3.75
2021-07-07,8.763750000000002,-170604000000000.0,3.68
2021-07-08,8.8475,4347350000000000.0,2.77
2021-07-09,6.8675,5386386000000000.0,3.18
2021-07-10,3.974583333333333,4087656000000000.0,2.98
2021-07-11,5.29375,2717430000000000.0,2.49
2021-07-12,6.235,3674330000000000.0,2.5
2021-07-13,6.207916666666666,2770879800000000.0,2.96
2021-07-14,8.704166666666666,3362038000000000.0,3.17
2021-07-15,7.394583333333332,3085888000000000.0,3.03
2021-07-16,9.61458333333333,4307228000000000.0,2.98
2021-07-17,6.410416666666666,4324996000000000.0,2.48
2021-07-18,5.425416666666666,4823006000000000.0,2.46
2021-07-19,4.937916666666667,3961978000000000.0,2.9
2021-07-20,5.27875,1761190000000000.0,3.35
2021-07-21,4.579166666666667,4502008000000000.0,3.36
2021-07-22,4.769583333333332,3298210000000000.0,3.72
2021-07-23,4.956666666666667,4494848000000000.0,3.73
2021-07-24,3.822916666666668,3684856000000000.0,2.77
2021-07-25,4.043333333333333,3267014200000000.0,2.64
2021-07-26,6.574583333333333,3620730000000000.0,2.94
2021-07-27,5.8183333333333325,6198920000000000.0,3.04
2021-07-28,5.902916666666666,2557190000000000.0,3.38
2021-07-29,7.038749999999999,6636710000000000.0,3.1
2021-07-30,6.667500000000001,2063910000000000.0,2.89
2021-07-31,5.154166666666667,4187480000000000.0,2.55
2021-08-01,4.739166666666667,4244858000000000.0,2.97
2021-08-02,5.114166666666667,4184270000000000.0,3.15
2021-08-03,5.923333333333332,4731112000000000.0,2.62
2021-08-04,6.670833333333334,4791506000000000.0,2.9
2021-08-05,5.749166666666667,3014738000000000.0,2.43
2021-08-06,5.383750000000002,4051278000000000.0,2.49
2021-08-07,5.2825,4294200000000000.0,2.56
2021-08-08,5.482916666666667,-25975900000000.0,2.41
2021-08-09,6.675416666666668,4432210000000000.0,2.68
2021-08-10,8.137500000000001,3741816000000000.0,2.46
2021-08-11,8.278333333333334,4359364000000000.0,2.34
2021-08-12,9.857499999999998,4669508000000000.0,2.43
2021-08-13,8.469583333333334,3484286000000000.0,3.3
2021-08-14,5.564166666666666,3954210000000000.0,3.38
2021-08-15,6.422916666666667,4330770000000000.0,1.99
2021-08-16,8.818333333333333,4082590000000000.0,3.66
2021-08-17,7.468333333333334,3313510000000000.0,11.47
2021-08-18,7.23875,4342346000000000.0,19.1
2021-08-19,10.0225,5438018000000000.0,18.08
2021-08-20,9.272083333333336,3874206000000000.0,18.0
2021-08-21,12.074583333333331,3318512000000000.0,17.38
2021-08-22,11.534999999999998,6112356000000000.0,17.27
2021-08-23,9.83875,4048530000000000.0,18.75
2021-08-24,5.90375,536597000000000.0,20.17
2021-08-25,6.150000000000001,4406650000000000.0,19.29
2021-08-26,6.909583333333334,4027334000000000.0,18.26
2021-08-27,6.337916666666668,4322136000000000.0,19.48
2021-08-28,5.824166666666666,4645804000000000.0,18.11
2021-08-29,5.2,4023146000000000.0,18.85
2021-08-30,8.498750000000001,6808840000000000.0,17.58
2021-08-31,8.922500000000001,6126860000000000.0,16.95
2021-09-01,8.945000000000002,3575450000000000.0,14.18
2021-09-02,10.178333333333333,4378272000000000.0,9.13
2021-09-03,10.468333333333332,4935086000000000.0,9.18
2021-09-04,5.631666666666667,4990876000000000.0,9.47
2021-09-05,6.055,4111238000000000.0,9.6
2021-09-06,6.668750000000002,5039718000000000.0,9.57
2021-09-07,5.94625,3607460000000000.0,9.28
2021-09-08,5.43625,4660688000000000.0,9.46
2021-09-09,7.1137500000000005,1319230000000000.0,9.26
2021-09-10,7.7441666666666675,5132380000000000.0,9.28
2021-09-11,4.7683333333333335,4159718000000000.0,9.19
2021-09-12,4.7825000000000015,3249500000000000.0,8.99
2021-09-13,6.185416666666668,1994264000000000.0,10.07
2021-09-14,7.437083333333334,3925470000000000.0,11.16
2021-09-15,6.4679166666666665,4039020000000000.0,10.19
2021-09-16,9.160416666666666,3304350000000000.0,10.5
2021-09-17,8.34375,2879660000000000.0,13.14
2021-09-18,9.671666666666669,4751460000000000.0,17.95
2021-09-19,10.272083333333333,3625190000000000.0,17.52
2021-09-20,9.88,2314768000000000.0,17.36
2021-09-21,7.012499999999999,4618830000000000.0,18.13
2021-09-22,10.125,4078972000000000.0,18.4
2021-09-23,9.784166666666666,3886398000000000.0,17.66
2021-09-24,8.806250000000002,3730720000000000.0,17.05
2021-09-25,6.166250000000001,564717000000000.0,17.12
2021-09-26,6.675416666666667,2846572000000000.0,17.32
2021-09-27,6.154583333333334,2912078000000000.0,20.91
2021-09-28,6.19875,1872490000000000.0,21.67
2021-09-29,9.439166666666669,3523710000000000.0,20.31
2021-09-30,9.99625,2883390000000000.0,18.92
2021-10-01,13.977083333333336,4124550000000000.0,19.72
2021-10-02,8.514999999999999,3568672000000000.0,20.02
2021-10-03,11.820416666666668,4793246000000000.0,21.2
2021-10-04,18.65833333333333,4129340000000000.0,20.71
2021-10-05,13.956250000000002,4344614000000000.0,20.47
2021-10-06,14.316666666666668,4493698000000000.0,20.2
2021-10-07,8.327083333333333,2521950000000000.0,19.75
2021-10-08,7.047499999999999,3517500000000000.0,19.01
2021-10-09,8.554166666666665,4988346000000000.0,21.16
2021-10-10,7.195,5661940000000000.0,21.77
2021-10-11,8.327083333333333,3648086000000000.0,19.47
2021-10-12,7.912499999999999,3287526000000000.0,23.63
2021-10-13,7.101249999999999,3651510000000000.0,21.85
2021-10-14,9.067083333333333,3539200000000000.0,20.73
2021-10-15,11.588333333333331,3049090000000000.0,20.56
2021-10-16,8.63875,2527256600000000.0,22.31
2021-10-17,6.486249999999999,3981818000000000.0,23.31
2021-10-18,9.17875,3058060000000000.0,45.25
2021-10-19,11.767499999999998,4542330000000000.0,44.89
2021-10-20,25.048333333333336,3683076000000000.0,41.42
2021-10-21,14.240833333333336,3953500000000000.0,38.41
2021-10-22,20.92166666666667,3944264000000000.0,36.52
2021-10-23,13.269166666666663,3858860000000000.0,35.94
2021-10-24,15.335833333333335,4996000000000000.0,35.16
2021-10-25,11.931249999999997,3801108000000000.0,34.08
2021-10-26,10.981249999999998,3761404000000000.0,33.35
2021-10-27,11.535416666666665,3663932000000000.0,32.41
2021-10-28,32.06250000000001,3588118060000000.0,30.9
2021-10-29,12.62333333333333,3161316000000000.0,37.91
2021-10-30,16.5375,3425426000000000.0,35.13
2021-10-31,11.381666666666668,1918238000000000.0,45.57
2021-11-01,17.796249999999997,3802372000000000.0,36.94
2021-11-02,21.534166666666664,3963786000000000.0,21.97
2021-11-03,19.27416666666667,3243506600000000.0,40.99
2021-11-04,32.559583333333336,5512004000000000.0,62.95
2021-11-05,23.95875,3573512000000000.0,59.0
2021-11-06,9.912083333333332,2861900000000000.0,58.94
2021-11-07,14.6172,4251700000000000.0,62.43
2021-11-08,13.86875,3053390000000000.0,56.86
2021-11-09,18.20791666666667,4814414000000000.0,13.31
2021-11-10,16.18625,2805700600000000.0,7.41
2021-11-11,15.504166666666665,4305144000000000.0,8.65
2021-11-12,12.705833333333333,4120532000000000.0,22.05
2021-11-13,8.234166666666667,4388878000000000.0,30.08
2021-11-14,13.480000000000002,5035022000000000.0,20.83
2021-11-15,12.380416666666664,3747480000000000.0,17.24
2021-11-16,16.564583333333328,3605540000000000.0,51.22
2021-11-17,17.412083333333335,4414540000000000.0,64.92
2021-11-18,14.83,3670108000000000.0,72.32
2021-11-19,8.276666666666669,4355264000000000.0,33.47
2021-11-20,6.154583333333334,4705788000000000.0,28.86
2021-11-21,11.899583333333334,3669156000000000.0,61.01
2021-11-22,17.102083333333336,3901714000000000.0,46.93
2021-11-23,15.277916666666668,5071654000000000.0,37.62
2021-11-24,27.168750000000006,4043634000000000.0,41.13
2021-11-25,13.897083333333336,5212022000000000.0,20.29
2021-11-26,12.891249999999998,4390718000000000.0,40.61
2021-11-27,6.91375,2893937660000000.0,63.31
2021-11-28,16.94333333333333,3296700000000000.0,52.58
2021-11-29,17.435,4384348000000000.0,51.95
2021-11-30,17.610000000000003,3510388000000000.0,68.27
2021-12-01,13.52375,4312030000000000.0,81.01
2021-12-02,26.25916666666667,5103920000000000.0,60.39
2021-12-03,19.02083333333333,4317470000000000.0,25.28
2021-12-04,14.633333333333333,4137718000000000.0,15.42
2021-12-05,15.34875,2718498000000000.0,19.86
2021-12-06,14.187916666666668,4303240000000000.0,22.37
2021-12-07,16.336250000000003,1682266000000000.0,17.91
2021-12-08,20.68208333333333,4460890000000000.0,15.08
2021-12-09,10.254583333333333,3157358820000000.0,17.6
2021-12-10,18.77208333333333,4827860000000000.0,6.49
2021-12-11,6.037083333333334,4642440000000000.0,7.36
2021-12-12,6.77,4381720000000000.0,18.38
2021-12-13,11.554166666666664,4420270000000000.0,6.0
2021-12-14,10.559166666666666,3799744000000000.0,28.4
2021-12-15,19.55958333333333,4343090000000000.0,15.84
2021-12-16,17.7425,5161668000000000.0,43.85
2021-12-17,17.46416666666667,3737920000000000.0,41.68
2021-12-18,12.750833333333333,4433320000000000.0,72.48
2021-12-19,15.031249999999998,4002950000000000.0,98.06
2021-12-20,20.0825,4945400000000000.0,81.72
2021-12-21,29.65833333333333,4483232000000000.0,83.1
2021-12-22,26.668333333333333,3709150000000000.0,27.13
2021-12-23,22.31125,4981334000000000.0,9.27
2021-12-24,23.134166666666676,3669530000000000.0,4.9
2021-12-25,12.575,3945176000000000.0,6.83
2021-12-26,10.299583333333333,3128320000000000.0,5.51
2021-12-27,13.98541666666666,4439130000000000.0,70.19
2021-12-28,15.893750000000002,3704270000000000.0,34.68
2021-12-29,17.44458333333333,3344190000000000.0,70.38
2021-12-30,7.998333333333332,4593480000000000.0,84.36
2021-12-31,7.947916666666668,3580274000000000.0,74.17
