date,open_NO2,sate_NO2,"SIDCO Kurichi, Coimbatore - TNPCB"
2020-11-24,27.635,3454733600000000.0,56.96
2020-11-25,14.137916666666673,5070892000000000.0,22.51
2020-11-26,11.971249999999998,3541202000000000.0,40.37
2020-11-27,13.1025,4247182000000000.0,72.35
2020-11-28,9.634166666666664,4799326000000000.0,13.63
2020-11-29,9.439166666666669,4481104000000000.0,46.54
2020-11-30,10.9075,4048750000000000.0,10.31
2020-12-01,15.797499999999998,2087310000000000.0,27.06
2020-12-02,17.295,4450392000000000.0,9.79
2020-12-03,23.070416666666663,5107802000000000.0,18.66
2020-12-04,13.598333333333333,3479692000000000.0,17.49
2020-12-05,9.687083333333332,4724824000000000.0,24.51
2020-12-06,11.569166666666666,1926423820000000.0,21.11
2020-12-07,21.11375,4224592000000000.0,16.79
2020-12-08,10.768749999999995,3625832000000000.0,19.29
2020-12-09,11.318749999999996,4007956000000000.0,18.63
2020-12-10,15.878750000000004,2736650000000000.0,18.29
2020-12-11,19.292916666666663,3894382000000000.0,16.14
2020-12-12,22.21291666666666,5037220000000000.0,19.38
2020-12-13,21.48708333333333,4296720000000000.0,21.8
2020-12-14,24.76875,4714470000000000.0,19.22
2020-12-15,17.28666666666666,2669480000000000.0,17.8
2020-12-16,13.763750000000002,3173108000000000.0,17.71
2020-12-17,16.293333333333333,3325032000000000.0,17.78
2020-12-18,11.737500000000002,4058220000000000.0,9.2
2020-12-19,10.929583333333332,4290472000000000.0,6.91
2020-12-20,11.702499999999995,4332072000000000.0,8.41
2020-12-21,13.730833333333337,4264410000000000.0,9.45
2020-12-22,10.547916666666666,2716660820000000.0,9.8
2020-12-23,15.462916666666668,3220396000000000.0,10.97
2020-12-24,14.55625,4205760000000000.0,9.84
2020-12-25,17.332083333333333,5494782000000000.0,8.73
2020-12-26,14.950416666666667,4876720000000000.0,9.73
2020-12-27,10.724166666666664,3909960000000000.0,10.28
2020-12-28,14.943333333333332,4557510000000000.0,9.72
2020-12-29,13.319583333333336,5285328000000000.0,10.76
2020-12-30,9.704166666666666,1880120000000000.0,9.6
2020-12-31,12.756666666666666,2128312220000000.0,16.09
2021-01-01,11.317083333333336,4052748000000000.0,12.03
2021-01-02,7.668333333333336,5194150000000000.0,12.32
2021-01-03,11.966666666666669,4117750000000000.0,18.72
2021-01-04,14.6675,4909902000000000.0,20.47
2021-01-05,13.388333333333335,4250512000000000.0,20.66
2021-01-06,15.402083333333335,5560790000000000.0,20.71
2021-01-07,15.395833333333334,3329157400000000.0,19.36
2021-01-08,16.847916666666666,4055010000000000.0,21.06
2021-01-09,14.951666666666668,2421704000000000.0,21.22
2021-01-10,10.718333333333334,5154768000000000.0,20.86
2021-01-11,16.312499999999996,4335686000000000.0,18.31
2021-01-12,9.898333333333332,4590618000000000.0,13.48
2021-01-13,11.892916666666666,3748622000000000.0,7.51
2021-01-14,11.67125,3715600000000000.0,15.07
2021-01-15,15.423333333333332,4655208000000000.0,19.45
2021-01-16,7.511666666666668,4503426820000000.0,22.3
2021-01-17,10.16125,4007920000000000.0,18.29
2021-01-18,13.098333333333333,2954470000000000.0,15.93
2021-01-19,23.730416666666667,5444998000000000.0,17.63
2021-01-20,24.482916666666664,2410160000000000.0,19.37
2021-01-21,21.051666666666662,3841870000000000.0,16.94
2021-01-22,15.766666666666673,3266768200000000.0,17.98
2021-01-23,16.41125,3752422820000000.0,15.45
2021-01-24,11.925833333333337,3977850000000000.0,16.53
2021-01-25,17.784999999999997,3125920000000000.0,13.92
2021-01-26,14.4205,3842202000000000.0,18.38
2021-01-27,16.28,3968070000000000.0,15.28
2021-01-28,10.682916666666667,4025208000000000.0,14.25
2021-01-29,10.217916666666664,3433090000000000.0,17.25
2021-01-30,6.470833333333334,2481917400000000.0,17.32
2021-01-31,8.75625,3783980000000000.0,13.61
2021-02-01,9.57,4973240000000000.0,12.4
2021-02-02,9.577083333333334,4483630000000000.0,11.31
2021-02-03,9.010833333333332,3197640000000000.0,13.03
2021-02-04,10.525,3555082000000000.0,13.02
2021-02-05,10.350833333333332,4821650000000000.0,15.43
2021-02-06,9.42666666666667,4043518000000000.0,14.28
2021-02-07,10.46625,4078420000000000.0,15.92
2021-02-08,7.595833333333332,3384786000000000.0,16.59
2021-02-09,11.797916666666667,3040480000000000.0,12.04
2021-02-10,10.473333333333334,3854090000000000.0,13.3
2021-02-11,10.692083333333333,2972140000000000.0,15.08
2021-02-12,21.77541666666667,2749640000000000.0,17.37
2021-02-13,18.41333333333333,-471072000000000.0,16.54
2021-02-14,7.568749999999999,3368710000000000.0,15.74
2021-02-15,7.957916666666666,3411092000000000.0,14.3
2021-02-16,8.36125,4153840000000000.0,14.52
2021-02-17,8.22375,5719950000000000.0,13.82
2021-02-18,7.085833333333333,3465120000000000.0,12.87
2021-02-19,6.783333333333334,4128490000000000.0,14.18
2021-02-20,5.700000000000002,4721160000000000.0,13.82
