date,open_SO2,sate_SO2,"SIDCO Kurichi, Coimbatore - TNPCB"
2020-11-24,9.1375,0.0612111144,6.98
2020-11-25,10.932500000000005,-0.0073774098,13.11
2020-11-26,10.329166666666666,0.1068526322,7.81
2020-11-27,11.007916666666668,0.0184946538,6.12
2020-11-28,6.484166666666668,-0.0180777544,12.61
2020-11-29,6.512083333333333,0.0442206304,6.8
2020-11-30,7.273333333333333,-0.084892839,2.54
2020-12-01,6.059166666666667,0.495828182,6.4
2020-12-02,9.527083333333334,0.0109854636,6.36
2020-12-03,10.26375,0.1118245604,6.75
2020-12-04,3.561666666666667,-0.0771461262,7.12
2020-12-05,3.0812500000000003,0.0490280805999999,16.03
2020-12-06,6.628333333333334,0.042523161,15.46
2020-12-07,9.850416666666666,-0.0203317058,14.15
2020-12-08,8.550416666666669,0.03337395,13.05
2020-12-09,12.266666666666667,-0.0282479167999999,13.52
2020-12-10,8.58,-0.191851124,13.7
2020-12-11,13.136250000000002,0.0001278256,13.3
2020-12-12,9.303750000000004,-0.293915242,15.33
2020-12-13,8.345,0.0563505056,15.65
2020-12-14,10.937083333333334,0.0425052125999999,14.63
2020-12-15,9.437083333333334,-0.03406414,14.91
2020-12-16,7.866250000000001,0.0800006602,15.47
2020-12-17,6.737500000000002,0.0040111791999999,16.05
2020-12-18,6.187083333333334,0.0048722159999999,15.18
2020-12-19,7.0425,0.052478657,14.97
2020-12-20,6.060833333333334,0.019991085,15.33
2020-12-21,6.092083333333334,0.0046468722,14.59
2020-12-22,7.232916666666665,0.057521511,15.37
2020-12-23,11.188333333333333,-0.0290105451999999,15.75
2020-12-24,14.799166666666666,0.095859021,17.34
2020-12-25,11.595,0.0221889934,18.4
2020-12-26,5.75875,0.134862557,19.27
2020-12-27,7.797083333333333,0.0407075344,18.97
2020-12-28,7.349166666666669,-0.0239296278,17.2
2020-12-29,7.816666666666666,0.055831579,17.77
2020-12-30,7.655,0.0668675734,17.04
2020-12-31,7.387916666666666,0.0766672362,16.86
2021-01-01,7.6225,0.370000005,15.88
2021-01-02,5.113333333333332,0.111839414,15.95
2021-01-03,7.460416666666666,0.0687000736,15.58
2021-01-04,7.59625,0.0314114895999999,15.46
2021-01-05,8.437500000000002,0.0341451434,15.84
2021-01-06,8.094583333333334,-0.006498805,15.9
2021-01-07,8.804166666666665,0.0218637082,15.56
2021-01-08,9.666250000000002,0.0004581763999999,17.07
2021-01-09,7.8775,-0.026485528,17.71
2021-01-10,6.562916666666666,-0.0133747188,17.77
2021-01-11,4.647083333333335,0.0466834778,21.37
