date,open_SO2,sate_SO2,"Gurdeo Nagar, Aurangabad - BSPCB","More Chowk Waluj, Aurangabad - MPCB"
2020-11-24,6.855,-0.158836439,9.22,10.34
2020-11-25,6.64875,0.0250560711999999,9.27,9.39
2020-11-26,6.507916666666668,0.001917085,6.77,6.08
2020-11-27,7.222500000000001,0.0627119288,15.79,6.23
2020-11-28,4.81,0.0708289445999999,5.78,7.27
2020-11-29,3.6033333333333335,0.304888397,1.6,6.18
2020-11-30,4.855416666666667,-1.46000004,1.63,12.54
2020-12-01,7.997083333333332,-0.204999998,3.02,10.11
2020-12-02,10.110416666666667,0.0036959798,3.68,12.81
2020-12-03,10.174166666666668,0.055786818,4.81,11.85
2020-12-04,6.510833333333332,0.0773756168,6.49,25.21
2020-12-05,7.237500000000002,0.216049075,5.96,15.08
2020-12-06,7.56625,0.0257384308,6.66,14.99
2020-12-07,9.335833333333335,-0.333668113,7.02,15.21
2020-12-08,10.2425,0.032658566,6.27,15.03
2020-12-09,6.3375,-0.431538641,5.66,14.88
2020-12-10,5.079166666666668,-0.104596071,5.24,15.05
2020-12-11,7.503333333333333,0.200992391,6.52,14.99
2020-12-12,7.90875,0.1013353492,5.35,14.93
2020-12-13,6.14416666666667,0.1379683974,4.93,15.07
2020-12-14,11.035000000000002,0.0761785069999999,5.98,15.13
2020-12-15,9.693750000000003,-0.082443997,6.51,15.03
2020-12-16,6.432083333333334,-0.145205304,5.96,14.96
2020-12-17,5.216666666666666,0.479999989,5.03,14.96
2020-12-18,10.019166666666663,0.128740329,4.14,15.01
2020-12-19,6.164166666666668,0.031838309,6.02,14.86
2020-12-20,6.316666666666667,-0.0211287013999999,4.73,14.96
2020-12-21,6.989583333333332,0.132196054,12.24,15.02
2020-12-22,5.53375,0.098609013,12.76,15.0
2020-12-23,8.600833333333329,-0.146263674,11.38,15.1
2020-12-24,11.496666666666668,0.133969739,9.68,15.0
2020-12-25,13.531666666666668,0.365827054,8.64,14.96
2020-12-26,10.269166666666663,0.069502257,9.64,14.93
2020-12-27,9.697083333333332,0.0159813047999999,9.25,14.85
2020-12-28,10.909583333333332,-0.17289263,8.98,15.04
2020-12-29,6.861249999999998,0.0334201478,5.47,14.86
2020-12-30,5.822499999999999,0.1286652152,7.49,14.83
2020-12-31,7.510416666666668,-0.170190811,7.22,14.75
2021-01-01,4.275000000000001,0.03891011,7.1,14.99
2021-01-02,2.899166666666666,0.126696408,7.44,15.07
2021-01-03,4.772500000000001,0.1143786408,10.43,15.21
2021-01-04,3.33,-0.0070032626,11.36,15.21
2021-01-05,3.408333333333333,0.0629710243999999,7.8,14.98
2021-01-06,4.234166666666667,-0.111291371,11.33,15.04
