date,open_NO2,sate_NO2
2020-11-24,2.56,3305930000000000.0
2020-11-25,9.304583333333332,2470790000000000.0
2020-11-26,8.045416666666664,3246678000000000.0
2020-11-27,5.301666666666667,3015740000000000.0
2020-11-28,9.012083333333337,2875342000000000.0
2020-11-29,3.40625,1829500000000000.0
2020-11-30,8.175833333333333,2615988000000000.0
2020-12-01,6.368333333333335,2372690000000000.0
2020-12-02,9.47,4227366000000000.0
2020-12-03,9.2675,3302930000000000.0
2020-12-04,9.85625,2200070000000000.0
2020-12-05,6.882916666666667,2869972000000000.0
2020-12-06,6.302499999999999,3540850000000000.0
2020-12-07,5.411666666666666,3233392000000000.0
2020-12-08,6.623333333333332,4542700000000000.0
2020-12-09,4.789583333333334,2636344000000000.0
2020-12-10,7.099999999999999,2941490000000000.0
2020-12-11,6.811666666666665,3741950000000000.0
2020-12-12,3.4341666666666675,3308388000000000.0
2020-12-13,6.248750000000001,2365320000000000.0
2020-12-14,5.100833333333334,3346142000000000.0
2020-12-15,8.690833333333336,1940490000000000.0
2020-12-16,6.0129166666666665,3441974000000000.0
2020-12-17,7.560833333333332,3699700000000000.0
2020-12-18,7.7825,2816960000000000.0
2020-12-19,6.267083333333333,3650460000000000.0
2020-12-20,8.292499999999999,1860900000000000.0
2020-12-21,10.842083333333331,2099654600000000.0
2020-12-22,11.52125,2077440000000000.0
2020-12-23,6.812500000000001,2963484000000000.0
2020-12-24,8.137083333333333,3678900000000000.0
2020-12-25,6.203333333333333,4042286000000000.0
2020-12-26,5.727083333333334,2912210000000000.0
2020-12-27,7.287499999999999,1661270000000000.0
2020-12-28,9.084583333333336,3374976000000000.0
2020-12-29,7.107083333333333,1939240000000000.0
2020-12-30,11.632916666666668,3293896000000000.0
2020-12-31,10.15125,1705710000000000.0
2021-01-01,10.22875,3128374000000000.0
2021-01-02,7.1066666666666665,2822030000000000.0
2021-01-03,7.547500000000002,3098750000000000.0
2021-01-04,6.206250000000001,2307460000000000.0
2021-01-05,7.783333333333335,2599870000000000.0
2021-01-06,8.341666666666669,2793672000000000.0
2021-01-07,8.832083333333333,2620600000000000.0
2021-01-08,7.755833333333332,3315006000000000.0
2021-01-09,3.2258333333333336,3468160000000000.0
2021-01-10,2.963333333333333,3447426000000000.0
2021-01-11,9.2975,3255350000000000.0
2021-01-12,5.326666666666667,3683960000000000.0
2021-01-13,5.745416666666666,2786450000000000.0
2021-01-14,6.377499999999999,2982700000000000.0
2021-01-15,10.279583333333331,3076226000000000.0
2021-01-16,4.26625,2981290000000000.0
2021-01-17,6.695416666666667,3809122000000000.0
2021-01-18,4.791250000000001,2822580000000000.0
2021-01-19,3.2758333333333334,2755070000000000.0
2021-01-20,1.819166666666667,2987730000000000.0
2021-01-21,9.311666666666666,3644960000000000.0
2021-01-22,8.467500000000003,3439544000000000.0
2021-01-23,5.900000000000001,3574680000000000.0
2021-01-24,5.390416666666666,3245874000000000.0
2021-01-25,7.522916666666666,1488240000000000.0
2021-01-26,5.117,3208568000000000.0
2021-01-27,5.454999999999999,3801120000000000.0
2021-01-28,6.904999999999999,2393090000000000.0
2021-01-29,8.172916666666666,2552670000000000.0
2021-01-30,4.2562500000000005,3150080000000000.0
2021-01-31,6.440833333333333,3035942000000000.0
2021-02-01,5.574999999999999,3051580000000000.0
2021-02-02,5.638750000000001,3028576000000000.0
2021-02-03,10.032083333333334,2926080000000000.0
2021-02-04,10.413750000000002,3094138000000000.0
2021-02-05,10.624166666666666,3258140000000000.0
2021-02-06,4.511666666666667,1639500000000000.0
2021-02-07,3.8554166666666663,2895170000000000.0
2021-02-08,4.349166666666666,3482490000000000.0
2021-02-09,8.099583333333333,2744324000000000.0
2021-02-10,8.592083333333335,3016520000000000.0
2021-02-11,5.562500000000001,3289124000000000.0
2021-02-12,7.586666666666666,2780590000000000.0
2021-02-13,4.4350000000000005,2611780000000000.0
2021-02-14,3.9491666666666663,2934630000000000.0
2021-02-15,5.78,3674380000000000.0
2021-02-16,6.5475,2938724000000000.0
2021-02-17,9.42,4141100000000000.0
2021-02-18,9.530833333333335,3258822000000000.0
2021-02-19,10.54875,2874120000000000.0
2021-02-20,4.394166666666666,3194644000000000.0
2021-02-21,4.597916666666666,3319080000000000.0
2021-02-22,5.262083333333334,5020130000000000.0
2021-02-23,5.229166666666668,2698202000000000.0
2021-02-24,3.74875,4233090000000000.0
2021-02-25,3.51125,2437088000000000.0
2021-02-26,3.65875,3143920000000000.0
2021-02-27,2.62375,3209168000000000.0
2021-02-28,1.9775,3517210000000000.0
2021-03-01,3.05625,5044480000000000.0
2021-03-02,6.199166666666668,3507490000000000.0
2021-03-03,3.537916666666666,7055410000000000.0
2021-03-04,2.287083333333334,4659244000000000.0
2021-03-05,2.579166666666666,8218270000000000.0
2021-03-06,2.8158333333333334,3242116000000000.0
2021-03-07,3.5216666666666665,4591070000000000.0
2021-03-08,5.825416666666666,3252306000000000.0
2021-03-09,3.11,7900450000000000.0
2021-03-10,5.081666666666667,3386806000000000.0
2021-03-11,8.80125,3036246000000000.0
2021-03-12,4.914583333333335,7570570000000000.0
2021-03-13,3.726666666666666,3162468000000000.0
2021-03-14,3.3091304347826087,5099460000000000.0
2021-03-15,4.79,3670102000000000.0
2021-03-16,3.4533333333333336,5755260000000000.0
2021-03-17,3.8675,4388320000000000.0
2021-03-18,4.008333333333334,5159850000000000.0
2021-03-19,3.257916666666667,5158250000000000.0
2021-03-20,2.9650000000000003,5809990000000000.0
2021-03-21,3.2433333333333336,4541870000000000.0
2021-03-22,3.852083333333333,2791150000000000.0
2021-03-23,4.505000000000001,9206700000000000.0
2021-03-24,3.0625,3571366000000000.0
2021-03-25,4.190416666666667,1.15e+16
2021-03-26,4.30625,9968270000000000.0
2021-03-27,3.732916666666666,1.07e+16
2021-03-28,3.840833333333335,4785076000000000.0
2021-03-29,3.755,8180320000000000.0
2021-03-30,1.6529166666666668,5108230000000000.0
2021-03-31,1.373333333333333,3071132000000000.0
2021-04-01,1.8133333333333337,5078810000000000.0
2021-04-02,4.584583333333333,4094250000000000.0
2021-04-03,1.815833333333333,3723810000000000.0
2021-04-04,3.7291666666666674,3314720000000000.0
2021-04-05,7.103333333333335,4410310000000000.0
2021-04-06,5.115416666666667,4058960000000000.0
2021-04-07,3.482083333333333,3707976000000000.0
2021-04-08,2.6070833333333323,3653100000000000.0
2021-04-09,3.276250000000001,2982890000000000.0
2021-04-10,3.0016666666666665,4499370000000000.0
2021-04-11,4.208333333333335,2947310000000000.0
2021-04-12,5.469166666666667,4737750000000000.0
2021-04-13,3.7779166666666666,4186420000000000.0
2021-04-14,3.065,502355000000000.0
2021-04-15,3.5925000000000007,3581040000000000.0
2021-04-16,2.535,3709696000000000.0
2021-04-17,4.010000000000001,5078920000000000.0
2021-04-18,1.4683333333333335,4062700000000000.0
2021-04-19,1.629166666666667,3437852000000000.0
2021-04-20,2.630416666666666,4391250000000000.0
2021-04-21,3.212916666666667,4796980000000000.0
2021-04-22,2.52375,5005190000000000.0
2021-04-23,2.6595833333333334,3859814000000000.0
2021-04-24,2.447916666666667,4516490000000000.0
2021-04-25,2.8554166666666663,3167996000000000.0
2021-04-26,4.503333333333334,3933060000000000.0
2021-04-27,3.49375,4086430000000000.0
2021-04-28,5.033749999999999,4880960000000000.0
2021-04-29,2.5816666666666666,4004400000000000.0
2021-04-30,1.8708333333333331,4065970000000000.0
2021-05-01,2.234583333333333,4631420000000000.0
2021-05-02,1.4995833333333335,3158612000000000.0
2021-05-03,3.1445833333333333,4745910000000000.0
2021-05-04,2.624166666666666,4719390000000000.0
2021-05-05,5.2375,3736120000000000.0
2021-05-06,2.2925,3671990000000000.0
2021-05-07,2.35625,4192030000000000.0
2021-05-08,4.149166666666667,3821710000000000.0
