date,open_NO2,sate_NO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2020-11-24,23.0075,4896612000000000.0,38.25333333333334,84.41,32.71
2020-11-25,35.594166666666666,4628000000000000.0,60.10166666666667,94.98,41.99
2020-11-26,24.6625,6979340000000000.0,31.5,46.49,16.855
2020-11-27,44.21791666666666,5048910000000000.0,9.041666666666666,19.86,11.197500000000002
2020-11-28,32.17791666666667,5758310000000000.0,13.534999999999998,20.27,8.105
2020-11-29,39.2675,5145594000000000.0,11.788333333333332,23.78,13.1125
2020-11-30,53.86791666666665,4822730000000000.0,12.391666666666666,15.71,10.845
2020-12-01,50.05291666666667,4434030000000000.0,12.361666666666666,24.98,7.1975
2020-12-02,49.44541666666666,5206180000000000.0,13.356666666666667,29.94,15.9625
2020-12-03,47.665,4586450000000000.0,25.28,39.22,15.1125
2020-12-04,44.622083333333336,5724750000000000.0,51.39999999999999,115.1,28.612500000000004
2020-12-05,32.33833333333334,7375940000000000.0,50.99,137.98,26.225
2020-12-06,50.12583333333334,5347168000000000.0,48.711,126.16,26.558333333333334
2020-12-07,54.640833333333326,4905650000000000.0,48.66,115.6,36.51499999999999
2020-12-08,58.52125000000001,5164078000000000.0,43.511,86.75,32.181666666666665
2020-12-09,51.47708333333333,3830450000000000.0,41.675,101.79,24.865
2020-12-10,46.56833333333333,4608064000000000.0,42.718,116.02,20.96833333333333
2020-12-11,27.162083333333328,4543872000000000.0,51.177,120.83,23.408
2020-12-12,20.131666666666664,7943560000000000.0,30.672000000000004,95.67,21.012
2020-12-13,27.56500000000001,5156946000000000.0,35.267,65.53,20.396
2020-12-14,39.43458333333333,3901190000000000.0,30.853,64.02,20.698
2020-12-15,48.93833333333334,5155278000000000.0,34.078,62.96,21.55
2020-12-16,17.965833333333332,4116758000000000.0,36.745,62.11,22.457142857142856
2020-12-17,14.645416666666668,4627198000000000.0,37.584,54.88,24.415000000000003
2020-12-18,18.76833333333333,4340870000000000.0,42.14,76.62,26.78
2020-12-19,20.504166666666677,5167010000000000.0,43.342,101.29,34.05166666666666
2020-12-20,38.65375,4914970000000000.0,36.545,111.12,32.9625
2020-12-21,37.33999999999999,6142610000000000.0,48.314,117.66,35.136
2020-12-22,36.40375,5086586000000000.0,57.78399999999999,135.85,35.562
2020-12-23,48.79666666666668,5214340000000000.0,58.618,129.82,29.43428571428572
2020-12-24,39.07791666666667,4892770000000000.0,53.407,138.72,32.548571428571435
2020-12-25,18.756666666666668,4615960000000000.0,56.23499999999999,95.91,31.54
2020-12-26,35.30375,6446394000000000.0,51.996,115.19,32.97
2020-12-27,21.27458333333333,4901870000000000.0,46.413,146.67,29.798571428571428
2020-12-28,19.35,7500980000000000.0,45.506,75.22,29.282857142857143
2020-12-29,28.011250000000008,4439102000000000.0,44.57666666666667,81.09,31.01
2020-12-30,30.72416666666666,4992080000000000.0,46.354,74.08,33.18
2020-12-31,45.23666666666667,5049586000000000.0,46.815,73.04,31.23
2021-01-01,50.187916666666666,3964800000000000.0,49.576,100.24,30.95
2021-01-02,25.05875,5433018000000000.0,41.439,119.39,32.5625
2021-01-03,14.210000000000004,5053850000000000.0,42.55,106.9,33.28142857142857
2021-01-04,21.63583333333333,4766464000000000.0,44.631,99.0,33.1575
2021-01-05,23.788333333333327,5527810000000000.0,38.193,100.24,31.72625
2021-01-06,22.81458333333333,1.97e+16,48.199000000000005,102.49,33.83
2021-01-07,20.35375,4778102000000000.0,53.66799999999999,66.66,35.03285714285715
2021-01-08,16.059166666666666,4896366000000000.0,41.36,57.03,29.34875
2021-01-09,14.235,4636752000000000.0,36.752,72.41,28.3075
2021-01-10,9.600833333333332,3626930000000000.0,36.13,49.37,27.67
2021-01-11,13.58125,5076004000000000.0,42.849,52.76,26.14875
2021-01-12,18.50375,6020600000000000.0,42.65399999999999,63.64,29.65222222222222
2021-01-13,32.99208333333333,6250370000000000.0,36.323,69.67,32.169999999999995
2021-01-14,40.85666666666666,4361780000000000.0,37.469,82.14,29.95888888888889
2021-01-15,40.64875000000001,5996510000000000.0,43.385000000000005,102.73,28.02375
2021-01-16,32.52041666666667,4473634000000000.0,45.669,115.16,29.401250000000005
2021-01-17,11.164166666666668,4743826000000000.0,38.951,64.58,24.195714285714285
2021-01-18,35.89541666666666,4956314000000000.0,41.602,84.09,25.867500000000007
2021-01-19,27.889166666666668,5437150000000000.0,42.536,88.52,33.4
2021-01-20,12.499999999999998,5689370000000000.0,47.593,77.28,29.74875
2021-01-21,27.795833333333334,5256930000000000.0,41.829,73.08,29.383750000000003
2021-01-22,26.337083333333336,6642310000000000.0,48.54666666666666,57.99,30.742500000000003
2021-01-23,15.559166666666668,5106640000000000.0,43.407777777777774,58.79,28.551428571428573
2021-01-24,18.66625,4827740000000000.0,38.54,54.92,25.25375
2021-01-25,31.988333333333333,4154838000000000.0,43.47111111111112,59.33,27.11888888888889
2021-01-26,32.231,3365750000000000.0,45.0588888888889,58.36,26.62110168921193
2021-01-27,32.475,4780908000000000.0,45.25888888888889,83.94,30.59444444444444
2021-01-28,45.30708333333333,3859268000000000.0,45.142222222222216,70.9,47.0525
2021-01-29,16.440833333333334,4937840000000000.0,55.86555555555555,66.77,27.53
2021-01-30,18.408750000000005,4957010000000000.0,56.723333333333336,103.26,33.45
2021-01-31,35.54416666666666,5506170000000000.0,48.11111111111112,123.69,34.536652533817886
2021-02-01,43.23000000000001,4828434000000000.0,59.75222222222222,128.47,27.792845028986765
2021-02-02,38.695,4123650000000000.0,62.2011111111111,147.21,27.302857142857142
2021-02-03,21.99625,5205656000000000.0,69.15888888888888,98.3,30.798571428571428
2021-02-04,20.621666666666663,6162850000000000.0,62.17222222222222,76.99,30.10571428571429
2021-02-05,20.97875,4191609800000000.0,52.330000000000005,66.4,28.7925
2021-02-06,16.689583333333335,5156250000000000.0,52.88,62.29,29.7325
2021-02-07,26.6425,5595380000000000.0,41.31875,70.22,26.50375
2021-02-08,28.784166666666675,7738380000000000.0,58.27125,92.11,33.865
2021-02-09,38.84291666666668,4215880000000000.0,57.23875,109.81,42.4025
2021-02-10,46.32916666666666,4488174000000000.0,66.88000000000001,112.9,34.294285714285714
2021-02-11,39.10333333333333,4879320000000000.0,63.8975,94.01,38.53625
2021-02-12,40.3275,4637048000000000.0,55.54999999999999,104.24,36.26375
2021-02-13,28.689583333333346,4321840000000000.0,59.10375,103.34,35.5525
2021-02-14,33.095416666666665,4196580000000000.0,41.875,98.56,30.87
2021-02-15,40.299166666666665,5327126000000000.0,41.5225,120.82,26.395714285714284
2021-02-16,33.487500000000004,4763190000000000.0,44.1625,97.33,21.20142857142857
2021-02-17,34.37583333333333,4346868000000000.0,40.878888888888895,98.73,29.218333333333337
2021-02-18,25.430000000000003,5817420000000000.0,49.995000000000005,102.35,29.292500000000004
2021-02-19,37.395,5393082000000000.0,40.672,93.58,25.882857142857144
2021-02-20,27.0825,5639890000000000.0,43.784,96.85,26.514285714285712
2021-02-21,24.727500000000003,4038775800000000.0,42.854,81.86,26.592857142857145
2021-02-22,22.543333333333333,5863800000000000.0,48.475,90.72,28.898571428571422
2021-02-23,26.589166666666667,5138240000000000.0,45.455000000000005,105.34,28.822500000000005
2021-02-24,17.807916666666667,5358162000000000.0,48.66499999999999,121.3,32.4275
2021-02-25,12.5375,4204520000000000.0,49.487,95.69,29.651428571428568
2021-02-26,16.357083333333332,5576072000000000.0,38.595,76.48,30.012857142857143
