date,open_NO2,sate_NO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2020-11-24,29.475,7989430000000000.0,32.71,32.71,69.27,69.27,38.25333333333334,32.71
2020-11-25,22.739166666666662,4830106000000000.0,41.99,41.99,72.24,72.24,60.10166666666667,41.99
2020-11-26,44.62583333333333,6059636000000000.0,16.855,16.855,47.51,47.51,31.5,16.855
2020-11-27,22.42208333333333,5503500000000000.0,11.197500000000002,11.197500000000002,48.27,48.27,9.041666666666666,11.197500000000002
2020-11-28,40.37500000000001,6432660000000000.0,8.105,8.105,29.03,29.03,13.534999999999998,8.105
2020-11-29,52.37,5303480000000000.0,13.1125,13.1125,18.35,18.35,11.788333333333332,13.1125
2020-11-30,59.88416666666668,5034720000000000.0,10.845,10.845,10.4,10.845,12.391666666666666,10.845
2020-12-01,58.774166666666666,4791814000000000.0,7.1975,7.1975,14.74,14.74,12.361666666666666,7.1975
2020-12-02,48.816249999999975,5451290000000000.0,15.9625,15.9625,19.83,19.83,13.356666666666667,15.9625
2020-12-03,58.21416666666667,8175100000000000.0,15.1125,15.1125,49.42,49.42,25.28,15.1125
2020-12-04,50.68083333333334,5656044000000000.0,28.612500000000004,28.612500000000004,65.9,65.9,51.39999999999999,28.612500000000004
2020-12-05,23.39125,5361700000000000.0,26.225,26.225,64.19,64.19,50.99,26.225
2020-12-06,36.01833333333333,5062258000000000.0,26.558333333333334,26.558333333333334,54.99,54.99,48.711,26.558333333333334
2020-12-07,62.17666666666667,4614030000000000.0,36.51499999999999,36.51499999999999,45.06,45.06,48.66,36.51499999999999
2020-12-08,72.50958333333332,4994056000000000.0,32.181666666666665,32.181666666666665,51.55,51.55,43.511,32.181666666666665
2020-12-09,65.6075,4675620000000000.0,24.865,24.865,51.96,51.96,41.675,24.865
2020-12-10,54.89291666666666,5815310000000000.0,20.96833333333333,20.96833333333333,60.08,60.08,42.718,20.96833333333333
2020-12-11,19.765,4708074000000000.0,23.408,23.408,65.11,65.11,51.177,23.408
2020-12-12,42.140833333333326,3772820000000000.0,21.012,21.012,29.61,29.61,30.672000000000004,21.012
2020-12-13,30.074583333333333,4798968000000000.0,20.396,20.396,30.07,30.07,35.267,20.396
2020-12-14,47.9825,4976180000000000.0,20.698,20.698,31.98,31.98,30.853,20.698
2020-12-15,64.02000000000001,5152278000000000.0,21.55,21.55,33.61,33.61,34.078,21.55
2020-12-16,37.70791666666667,4249790000000000.0,22.457142857142856,22.457142857142856,42.63,42.63,36.745,22.457142857142856
