date,open_SO2,sate_SO2,"Marhatal, Jabalpur - MPPCB"
2020-11-24,14.365,0.001206307,7.57
2020-11-25,10.08375,0.0363729,9.74
2020-11-26,14.563749999999994,0.489304692,5.36
2020-11-27,10.537083333333332,-0.0410974303999999,5.68
2020-11-28,8.307500000000001,0.013662649,5.47
2020-11-29,8.480833333333333,0.027984964,3.93
2020-11-30,9.389583333333333,0.073316619,16.24
2020-12-01,11.128333333333332,0.052013635,13.74
2020-12-02,8.620416666666666,0.070064969,19.14
2020-12-03,10.227916666666667,0.223367378,12.93
2020-12-04,15.4225,-0.093493812,8.1
2020-12-05,8.295833333333333,0.188942567,13.47
2020-12-06,10.022499999999996,0.0118556612,18.51
2020-12-07,9.601666666666665,0.606266022,19.38
2020-12-08,11.496666666666664,0.0750706885999999,13.09
2020-12-09,9.937916666666668,0.59746635,21.7
2020-12-10,11.147083333333333,0.0865701684,17.61
2020-12-11,9.27125,-0.223104894,19.13
2020-12-12,7.534583333333333,0.0268844882,12.92
2020-12-13,5.648333333333333,0.0052737055999999,11.89
2020-12-14,7.616249999999998,0.0832800685999999,12.38
2020-12-15,6.562916666666667,0.0820445702,14.68
2020-12-16,6.308750000000001,0.0073713065999999,13.77
2020-12-17,4.403750000000001,0.0131248596,12.43
2020-12-18,5.899166666666666,0.00769107,9.61
2020-12-19,5.760833333333334,0.262713701,12.17
2020-12-20,5.102916666666668,0.517543912,9.25
2020-12-21,6.319583333333333,-0.009477312,14.07
2020-12-22,7.714583333333334,0.0835479038,14.33
2020-12-23,11.943333333333335,-0.015013533,14.03
2020-12-24,10.127083333333331,0.0195619774,12.76
2020-12-25,7.806249999999999,-0.143175915,11.96
2020-12-26,8.803333333333336,-0.0013540355999999,11.85
2020-12-27,8.708749999999998,0.036889594,13.21
2020-12-28,7.509583333333333,0.169128656,12.76
2020-12-29,7.516666666666668,-0.0607020667999999,13.67
2020-12-30,10.525,-0.0390373662,17.94
2020-12-31,16.682916666666664,0.0308740169999999,17.37
2021-01-01,13.15,-0.091955556,22.09
2021-01-02,8.959583333333336,0.1488686812,22.74
2021-01-03,7.766250000000002,-0.0079074586,24.14
2021-01-04,11.340833333333336,0.086168125,16.38
2021-01-05,13.56166666666667,0.0088453014,13.23
2021-01-06,9.71375,0.26096493,18.02
2021-01-07,10.50875,-0.0677841073999999,15.23
2021-01-08,24.028333333333325,-0.0785017824,14.98
2021-01-09,8.73,0.0363899236,11.17
2021-01-10,4.535,-0.0069557578,12.83
2021-01-11,4.197916666666667,0.0647427106,11.19
2021-01-12,4.465416666666667,-0.00187329,11.95
2021-01-13,6.462916666666668,0.1775278,11.18
2021-01-14,7.864583333333333,0.0025159601999999,20.94
2021-01-15,10.948750000000002,0.012304028,19.23
2021-01-16,10.9325,0.0471044468,20.4
2021-01-17,7.64125,0.119457603,20.68
2021-01-18,9.73375,-0.0671302298,25.13
2021-01-19,6.303333333333334,-0.143907666,25.09
2021-01-20,5.652916666666666,-0.010180626,20.04
2021-01-21,7.5787499999999985,-0.13311322,17.65
2021-01-22,7.740416666666667,-0.143061578,16.72
2021-01-23,9.089999999999998,0.3603581874,19.39
2021-01-24,8.187499999999998,0.242684335,16.9
2021-01-25,8.715416666666668,-0.020111922,13.7
2021-01-26,5.611500000000001,-0.0129069449999999,15.13
2021-01-27,4.7175,0.0442708126,15.14
2021-01-28,10.031249999999998,0.0471470675999999,15.08
2021-01-29,5.794583333333333,0.216590583,15.33
2021-01-30,6.999583333333335,0.178799508,17.22
2021-01-31,7.907083333333333,-0.004706794,15.65
2021-02-01,11.202499999999995,0.0380647324,15.76
2021-02-02,10.79625,-0.005126828,14.91
2021-02-03,11.215416666666668,0.0540533745999999,17.19
2021-02-04,17.43166666666667,-0.062666707,16.98
2021-02-05,12.025833333333331,0.591972888,26.57
2021-02-06,4.446666666666666,-0.093778417,23.91
2021-02-07,6.287916666666667,0.215137079,24.59
2021-02-08,10.975,0.0096592592,21.7
2021-02-09,9.435416666666663,0.224135906,24.89
2021-02-10,11.655833333333332,0.006519496,24.88
2021-02-11,9.626666666666669,0.330673486,21.48
2021-02-12,7.101666666666668,0.0951548792,25.69
2021-02-13,6.591666666666665,0.167870492,22.37
2021-02-14,7.228333333333333,0.327269375,23.52
2021-02-15,8.835416666666665,-0.0244245333999999,22.47
2021-02-16,6.746666666666667,0.087702596,21.38
2021-02-17,5.802500000000001,0.1451074042,22.78
2021-02-18,10.300416666666663,0.0346058774,24.27
2021-02-19,22.53625,0.057294024,24.54
2021-02-20,8.570416666666665,0.150605589,23.95
2021-02-21,10.526249999999996,0.120862417,23.81
2021-02-22,10.229583333333334,-0.041446317,18.51
2021-02-23,10.81375,0.173903316,12.34
2021-02-24,14.053333333333336,0.0213999868,14.79
2021-02-25,8.924583333333334,0.152714193,12.98
2021-02-26,10.796250000000002,-0.0432530238,10.02
2021-02-27,5.394583333333333,0.035327267,11.44
2021-02-28,8.427916666666668,-0.1522945664,12.34
2021-03-01,5.8879166666666665,-0.01934786,11.42
2021-03-02,8.338333333333333,0.015376786,13.59
2021-03-03,10.46791666666667,0.1327435278,9.76
2021-03-04,10.49375,0.119206548,11.1
2021-03-05,9.184166666666668,-0.0625120418,12.3
2021-03-06,7.86375,0.012692778,12.22
2021-03-07,7.361666666666667,-0.003348231,9.28
2021-03-08,11.297916666666666,-0.131762877,14.45
2021-03-09,8.885833333333332,0.209694326,10.99
2021-03-10,10.815416666666666,0.043239169,12.78
2021-03-11,7.289166666666664,0.225257948,16.27
2021-03-12,5.363333333333332,-0.0412325569999999,17.37
2021-03-13,5.147500000000001,-0.053101011,18.07
2021-03-14,6.456521739130435,0.1043528147999999,17.59
2021-03-15,8.43458333333333,0.056994114,17.18
2021-03-16,9.40416666666667,0.0712209988,17.96
2021-03-17,13.85625,0.094426282,19.47
2021-03-18,9.080416666666666,0.554409087,21.55
2021-03-19,7.2425,0.076060288,16.81
2021-03-20,4.826666666666666,0.085711636,18.9
2021-03-21,5.541249999999999,-0.0590528266,18.6
2021-03-22,6.984583333333333,0.0437197654,16.3
2021-03-23,7.775000000000001,-0.0369192418,18.74
2021-03-24,8.176666666666666,-0.445230842,17.11
