date,open_SO2,sate_SO2,"Bardowali, Agartala - Tripura SPCB","Kunjaban, Agartala - Tripura SPCB"
2020-11-24,3.245,0.25999999,6.59,6.59
2020-11-25,3.746666666666669,0.230000004,9.12,9.12
2020-11-26,3.665000000000001,0.302000005,4.25,4.25
2020-11-27,3.094583333333333,-0.039999999,4.56,4.56
2020-11-28,2.285,0.108000001,8.91,8.91
2020-11-29,3.2579166666666666,0.0,11.73,11.73
2020-11-30,3.987083333333334,0.0220000002,3.49,3.49
2020-12-01,4.889583333333334,0.0739999993999999,8.71,8.71
2020-12-02,5.594166666666666,0.0419999997999999,15.18,15.18
2020-12-03,8.434583333333334,1.63,7.87,7.87
2020-12-04,7.423750000000002,-0.106000001,11.29,11.29
2020-12-05,6.593333333333331,0.102,11.64,11.64
2020-12-06,7.743750000000001,0.1139999986,11.72,11.72
2020-12-07,7.45375,0.0920000002,11.7,11.7
2020-12-08,5.372916666666668,0.1159999989999999,11.84,11.84
2020-12-09,3.865833333333333,-0.1300000016,12.08,12.08
2020-12-10,3.5416666666666665,-1.21000004,12.13,12.13
2020-12-11,2.3891666666666667,0.50999999,12.04,12.04
2020-12-12,1.875,0.0799999996,12.35,12.35
2020-12-13,2.775833333333333,-0.180000007,12.47,12.47
2020-12-14,4.03375,0.1220000018,12.49,12.49
2020-12-15,2.936666666666667,0.100000001,12.6,12.6
2020-12-16,2.8095833333333338,-0.1779999948,12.7,12.7
2020-12-17,3.56375,0.0179999992,12.81,12.81
2020-12-18,4.85625,0.1119999981999999,12.75,12.75
2020-12-19,2.865416666666667,-0.5,12.68,12.68
2020-12-20,2.428333333333333,-0.109999999,12.74,12.74
2020-12-21,4.634166666666667,0.0140000016,13.03,13.03
2020-12-22,4.893333333333332,-0.059999999,13.36,13.36
2020-12-23,3.48375,0.1859999988,13.75,13.75
2020-12-24,2.990833333333334,0.0780000004,13.27,13.27
2020-12-25,3.059166666666666,0.0079999984,13.06,13.06
2020-12-26,2.1045833333333337,0.779999971,13.29,13.29
2020-12-27,4.0575,-0.699999988,13.28,13.28
2020-12-28,4.257499999999999,0.0960000009999999,13.28,13.28
2020-12-29,2.4729166666666664,-0.180000007,13.31,13.31
2020-12-30,2.919583333333333,-0.0180000001999999,13.47,13.47
2020-12-31,3.990833333333333,0.0,13.86,13.86
2021-01-01,3.365416666666666,0.0959999981999999,13.61,13.61
2021-01-02,3.2975,0.3060000008,13.75,13.75
2021-01-03,3.0875000000000004,0.0899999982,14.2,14.2
2021-01-04,4.06625,1.0,13.74,13.74
2021-01-05,3.9425,0.07,14.02,14.02
2021-01-06,4.122083333333333,0.0699999956,14.2,14.2
2021-01-07,8.4975,-0.100000001,14.82,14.82
2021-01-08,5.619583333333334,0.0420000025999999,14.29,14.29
2021-01-09,5.65125,-0.029999999,13.92,13.92
2021-01-10,7.857499999999998,-0.0940000058,14.71,14.71
2021-01-11,8.839583333333335,-0.0200000022,13.95,13.95
2021-01-12,10.542500000000002,-0.109999999,14.15,14.15
2021-01-13,4.624583333333333,0.1579999986,13.83,13.83
2021-01-14,5.884999999999999,-0.0519999961999999,13.8,13.8
2021-01-15,10.867083333333332,0.0120000016,14.01,14.01
2021-01-16,6.405416666666665,0.0720000014,15.06,15.06
2021-01-17,3.7070833333333337,0.2240000002,10.31,10.31
2021-01-18,5.495416666666667,0.0140000043999999,14.15,14.15
2021-01-19,3.485416666666666,-0.1459999961999999,14.18,14.18
2021-01-20,4.502083333333334,-0.116000001,14.25,14.25
2021-01-21,8.73,0.140000001,14.16,14.16
2021-01-22,4.18125,0.1660000012,13.83,13.83
2021-01-23,7.575416666666666,-0.3099999969999999,14.08,14.08
2021-01-24,4.2475,0.0600000024,14.25,14.25
2021-01-25,4.41875,-0.25,13.73,13.73
2021-01-26,4.853,0.1740000011999999,14.21,14.21
2021-01-27,2.9375,-0.360000014,13.97,13.97
2021-01-28,2.672916666666667,-0.360000014,13.98,13.98
2021-01-29,4.36875,0.0639999976,14.84,14.84
2021-01-30,4.25125,-0.2359999982,14.73,14.73
2021-01-31,6.920000000000001,0.1059999982,14.55,14.55
2021-02-01,4.9175,-0.129999995,14.77,14.77
2021-02-02,2.704166666666667,0.0079999987999999,17.55,17.55
2021-02-03,3.740416666666666,0.0680000044,15.79,15.79
2021-02-04,3.307916666666667,0.258000007,16.3,16.3
2021-02-05,4.8450000000000015,0.0,15.8,15.8
2021-02-06,3.737916666666667,-0.230000004,17.02,17.02
2021-02-07,3.6658333333333335,0.3780000084,15.25,15.25
2021-02-08,3.86125,0.620000005,14.27,14.27
2021-02-09,4.2375,0.1880000008,15.95,15.95
2021-02-10,4.715833333333333,0.289999992,16.07,16.07
2021-02-11,11.273333333333332,0.2200000027999999,17.84,17.84
2021-02-12,7.600000000000001,-0.0240000007999999,16.71,16.71
2021-02-13,3.3675,0.109999999,17.09,17.09
2021-02-14,8.906666666666666,0.0180000006,16.81,16.81
2021-02-15,10.470416666666669,-0.01,16.58,16.58
2021-02-16,6.963750000000001,-0.0579999911999999,16.65,16.65
2021-02-17,6.267083333333332,0.3000000068,15.9,15.9
2021-02-18,7.088333333333332,0.0380000004,16.34,16.34
2021-02-19,3.525416666666666,0.4400000115999999,17.4,17.4
2021-02-20,5.149583333333331,0.2380000051999999,17.81,17.81
2021-02-21,2.92125,-0.280000001,17.77,17.77
2021-02-22,5.655833333333334,0.930000007,17.08,17.08
