date,open_SO2,sate_SO2,"Doon University, Dehradun - UKPCB"
2020-11-24,4.9025,0.0868200586,15.42
2020-11-25,3.3787500000000006,0.0838737018,8.17
2020-11-26,1.84875,0.49000001,7.21
2020-11-27,4.819166666666666,0.1110065831999999,10.1
2020-11-28,4.418333333333334,0.098510772,10.66
2020-11-29,5.985000000000002,0.0815686278,6.24
2020-11-30,7.818749999999999,-0.034274437,6.62
2020-12-01,11.187916666666666,0.0032884515999999,5.77
2020-12-02,8.558749999999998,-0.60868448,9.54
2020-12-03,9.175,0.10861697,6.4
2020-12-04,4.4875,0.0269607418,8.86
2020-12-05,4.657500000000001,-0.029148614,7.3
2020-12-06,4.270833333333334,-0.1782589053999999,7.1
2020-12-07,6.644166666666667,0.364686131,2.5
2020-12-08,6.608750000000001,0.0322396064,10.17
2020-12-09,6.987916666666666,-0.02767494,5.54
2020-12-10,5.757916666666667,0.0116098395999999,12.58
2020-12-11,4.916666666666666,-0.535274267,17.07
2020-12-12,2.614583333333333,1.09000003,4.53
2020-12-13,2.933333333333334,0.0766245874,4.73
2020-12-14,6.603750000000002,0.398591191,9.0
2020-12-15,7.140416666666666,0.0057647505999999,7.87
2020-12-16,6.360833333333333,-0.305952072,9.27
2020-12-17,4.632916666666668,0.05004041,11.08
2020-12-18,7.147916666666666,-0.111759447,13.84
2020-12-19,5.529166666666668,-0.013339423,28.7
2020-12-20,8.619166666666667,0.0072932622,17.58
2020-12-21,8.202500000000002,0.339306056,18.29
2020-12-22,5.287916666666667,-0.0220101804,18.12
2020-12-23,5.725416666666668,0.397494882,14.5
2020-12-24,6.776666666666665,0.0943193856,17.18
2020-12-25,5.199999999999999,0.243704185,11.4
2020-12-26,4.865000000000001,0.0965066766,15.39
2020-12-27,3.640416666666667,-0.088063449,12.93
2020-12-28,4.115,-0.0069156376,8.8
2020-12-29,6.649166666666667,-0.0458387259999999,9.41
2020-12-30,5.509166666666666,0.641723633,2.54
2020-12-31,6.774999999999999,0.0588029013999999,15.51
2021-01-01,10.4575,-0.664053023,9.05
2021-01-02,4.51875,0.0291552551999999,8.57
2021-01-03,4.428333333333334,0.056061098,7.84
2021-01-04,4.717083333333333,0.083250195,12.1
2021-01-05,1.75125,-0.010062285,19.55
2021-01-06,5.442916666666665,0.095579699,7.03
2021-01-07,6.142916666666667,0.0618658983999999,3.99
2021-01-08,4.4558333333333335,0.189018875,5.92
2021-01-09,2.410416666666667,-0.005884877,8.25
2021-01-10,3.140833333333333,0.35775128,3.9
2021-01-11,4.160833333333334,0.0560871471999999,4.1
2021-01-12,6.510416666666668,-0.131569505,3.57
2021-01-13,8.295833333333333,0.243135333,7.36
2021-01-14,9.3875,0.05687966,8.81
2021-01-15,8.085416666666667,-0.05141525,5.15
2021-01-16,3.54125,-0.0393927576,7.93
2021-01-17,6.597083333333333,0.050000001,9.01
2021-01-18,3.3225,-0.036139535,8.04
2021-01-19,4.617916666666667,0.43266958,4.5
2021-01-20,6.638749999999999,0.05737247,3.95
2021-01-21,8.111666666666666,0.0627359265999999,5.72
2021-01-22,7.006666666666669,0.336311221,8.8
2021-01-23,3.1616666666666657,-0.0441275222,6.72
2021-01-24,4.2725,0.189223602,3.95
2021-01-25,6.3116666666666665,0.0118142983999999,4.16
2021-01-26,6.8935,0.247349873,3.89
2021-01-27,5.825,0.0790899859999999,5.77
2021-01-28,6.092916666666665,-0.108379103,7.53
