date,open_NO2,sate_NO2,"DRM Office Danapur, Patna - BSPCB",Govt,"IGSC Planetarium Complex, Patna - BSPCB","Rajbansi Nagar, Patna - BSPCB","Samanpura, Patna - BSPCB"
2020-11-24,47.4675,4577096000000000.0,20.45,9.17,9.17,56.49,20.45
2020-11-25,74.06458333333333,5983830000000000.0,33.48,18.99,18.99,95.98,33.48
2020-11-26,66.72083333333333,4741950000000000.0,49.18,21.48,116.04,91.66,22.19
2020-11-27,28.77625,7051328000000000.0,30.11,9.0,18.6275,30.11,30.11
2020-11-28,27.645416666666677,5645578000000000.0,35.74,5.1,20.41,8.88,8.88
2020-11-29,30.1325,5490830000000000.0,20.21,9.88,32.1,9.88,9.88
2020-11-30,43.55166666666667,6744520000000000.0,24.21,11.81,11.81,13.56,2.64
2020-12-01,49.71791666666667,5573064000000000.0,9.41,7.73,38.05,13.66,8.42
2020-12-02,52.15583333333333,5784100000000000.0,13.47,7.91,5.78,18.87,31.95
2020-12-03,60.50958333333335,5038938000000000.0,23.13,37.39,7.45,49.59,28.66
2020-12-04,73.41208333333331,6638470000000000.0,41.22,13.94,107.34,48.43,75.81
2020-12-05,48.78125,5815308000000000.0,57.97,12.47,166.54,65.0,72.38
2020-12-06,43.2375,6514530000000000.0,55.87,12.71,170.25,56.78,69.25
2020-12-07,54.42249999999999,7473230000000000.0,53.92,14.24,153.43,59.59,65.65
2020-12-08,54.58958333333333,5292650000000000.0,59.49,14.19,127.05,57.92,56.77
2020-12-09,38.68291666666668,4854870000000000.0,44.73,118.29,118.29,53.08,53.41
2020-12-10,50.49541666666667,6552370000000000.0,35.0,19.72,113.92,55.73,52.59
2020-12-11,43.6975,5347064000000000.0,53.68,21.05,120.41,67.32,54.23
2020-12-12,16.875833333333336,4880010000000000.0,36.7,14.91,88.98,46.92,54.44
2020-12-13,16.305833333333336,4529030000000000.0,30.93,14.88,84.82,37.38,48.68
2020-12-14,25.72541666666667,5332640000000000.0,30.78,11.69,86.54,47.5,50.0
2020-12-15,27.137083333333333,5681616000000000.0,55.2,8.16,103.04,50.38,55.2
2020-12-16,19.649583333333336,4523010000000000.0,56.55,9.04,108.12,45.13,56.55
2020-12-17,15.683333333333335,5387918000000000.0,44.45,12.83,108.63,39.92,48.95
2020-12-18,21.67125,5268100000000000.0,44.12,14.02,114.96,48.54,58.4
2020-12-19,39.73875,4642146000000000.0,45.88,15.85,129.66,57.01,72.06
2020-12-20,31.77,3904740000000000.0,42.45,14.2,132.3,57.06,68.14
2020-12-21,44.38666666666666,5599418000000000.0,37.83,12.65,114.82,38.65,66.57
2020-12-22,52.55875,4929920000000000.0,48.18,9.11,109.39,44.27,72.26
2020-12-23,51.28458333333334,7906710000000000.0,45.65,6.64,99.92,44.48,73.08
2020-12-24,43.26958333333332,7992938000000000.0,48.67,8.03,97.76,46.18,70.76
2020-12-25,23.191666666666663,6514400000000000.0,44.76,12.76,99.24,55.86,66.34
2020-12-26,34.16833333333332,4994280000000000.0,37.1,19.56,96.95,53.37,68.88
2020-12-27,37.856666666666655,4745060000000000.0,75.76,31.61,97.13,58.34,75.76
2020-12-28,53.50083333333334,5540992000000000.0,64.8,13.97,109.29,56.06,85.02
2020-12-29,41.36625,5022550000000000.0,49.54,8.26,109.31,57.69,81.69
2020-12-30,36.179583333333326,4785542000000000.0,52.81,6.58,104.2,56.77,66.16
2020-12-31,37.465,5391470000000000.0,40.98,5.62,106.39,54.47,62.3
2021-01-01,40.06999999999999,5594370000000000.0,12.19,6.15,107.4,57.11,69.57
2021-01-02,41.72708333333333,7140026000000000.0,74.38,6.83,110.5,49.71,74.38
2021-01-03,49.88166666666667,8726910000000000.0,64.22,6.51,114.23,52.68,83.83
2021-01-04,64.42541666666668,4625030000000000.0,54.32,6.77,113.89,51.14,84.4
2021-01-05,38.68583333333334,5356264000000000.0,49.65,7.85,111.25,56.52,69.29
2021-01-06,30.63208333333334,3711172000000000.0,45.25,7.38,102.8,53.34,63.16
2021-01-07,30.03583333333334,4589750000000000.0,43.36,11.04,101.34,46.11,54.29
2021-01-08,36.18666666666667,6641540000000000.0,42.48,15.74,101.14,44.41,57.09
2021-01-09,18.141666666666666,5460660000000000.0,40.74,17.21,94.19,43.71,38.55
2021-01-10,14.56375,5597250000000000.0,31.71,15.37,88.21,36.57,28.6
2021-01-11,30.183333333333334,4861084000000000.0,30.84,15.78,88.49,34.77,58.28
2021-01-12,26.02083333333333,4350240000000000.0,27.08,15.46,95.11,33.15,64.62
2021-01-13,43.72583333333333,4822402000000000.0,38.17,19.1,104.34,43.15,47.54
2021-01-14,49.275,6006874000000000.0,27.49,23.76,106.34,36.89,53.93
2021-01-15,37.02583333333333,4653560000000000.0,26.81,20.74,103.99,36.52,48.25
2021-01-16,49.9775,5586878000000000.0,27.87,19.2,97.91,34.94,50.09
2021-01-17,48.91708333333332,4722240000000000.0,26.07,18.53,100.36,28.09,53.12
2021-01-18,52.94458333333333,7299086000000000.0,23.78,18.5,90.96,30.37,57.66
2021-01-19,35.49,6264400000000000.0,25.78,18.51,90.94,34.54,73.41
2021-01-20,19.72708333333333,4922340000000000.0,33.05,18.51,88.04,28.64,58.69
2021-01-21,38.85125,4751360000000000.0,29.72,18.49,88.28,36.35,54.69
2021-01-22,71.61166666666666,5828820000000000.0,27.51,18.46,84.43,41.72,56.48
2021-01-23,59.56291666666666,5912424000000000.0,24.85,18.67,81.8,35.33,56.85
2021-01-24,45.50749999999999,6866670000000000.0,22.52,18.5,94.21,41.5,56.7
2021-01-25,30.570833333333336,4905094000000000.0,28.14,18.49,98.8,33.58,45.2
2021-01-26,21.228,4024420000000000.0,22.04,18.68,98.6,31.06,44.53
2021-01-27,29.9875,4548638000000000.0,22.09,19.33,97.45,28.88,50.1
2021-01-28,47.01125000000001,4728520000000000.0,24.83,17.57,105.53,33.66,53.18
2021-01-29,20.21125,5563862000000000.0,29.1,17.24,99.85,31.64,55.57
2021-01-30,21.62125,4370030000000000.0,26.24,17.94,104.62,32.82,101.98
2021-01-31,26.832916666666662,5530906000000000.0,38.89,17.39,117.51,40.84,98.06
2021-02-01,28.57375,5685400000000000.0,39.76,18.19,120.37,49.92,54.92
2021-02-02,30.55666666666667,7886880000000000.0,46.62,18.12,121.01,49.23,61.96
2021-02-03,47.52166666666667,5817676000000000.0,36.75,18.21,121.59,43.98,59.98
2021-02-04,51.27250000000001,7547070000000000.0,59.05,18.83,135.68,45.1,73.03
2021-02-05,32.64458333333334,5753200000000000.0,48.83,19.61,139.47,50.51,64.66
2021-02-06,19.694166666666664,5017110000000000.0,34.78,18.8,97.97,41.04,53.7
2021-02-07,22.01083333333333,4823426000000000.0,29.58,17.4,94.92,51.59,50.93
2021-02-08,25.595416666666665,4703670000000000.0,62.66,17.4,102.39,102.39,62.66
2021-02-09,43.32583333333334,6652480000000000.0,55.13,18.21,128.34,62.74,58.95
2021-02-10,66.91875,6310692000000000.0,51.56,18.57,120.53,56.97,66.29
2021-02-11,34.89666666666667,5729600000000000.0,48.7,19.41,123.39,44.91,82.17
2021-02-12,37.12166666666666,4731870000000000.0,46.76,19.4,116.96,42.46,108.82
2021-02-13,38.67916666666667,4273640000000000.0,45.81,19.41,100.68,50.06,133.8
2021-02-14,32.76458333333333,5321352000000000.0,44.45,19.48,102.13,47.67,126.49
2021-02-15,32.385416666666664,4547670000000000.0,46.07,19.49,111.62,53.22,128.94
2021-02-16,51.48833333333332,5606466000000000.0,50.56,19.5,122.65,53.24,129.05
2021-02-17,59.30583333333334,9898750000000000.0,46.63,19.53,125.77,45.75,134.01
2021-02-18,35.21916666666667,9106420000000000.0,47.23,19.66,126.26,57.97,138.89
2021-02-19,43.004583333333336,5978736000000000.0,41.65,18.68,113.1,50.2,131.01
2021-02-20,32.96791666666666,6568760000000000.0,40.66,19.12,119.05,50.55,130.47
2021-02-21,23.55875,5659904000000000.0,47.01,18.3,125.93,53.01,110.64
2021-02-22,39.54791666666667,7560850000000000.0,47.3,17.62,120.36,56.12,111.45
2021-02-23,29.41125,4515152000000000.0,49.14,18.6,105.57,55.44,122.52
2021-02-24,29.52833333333333,5624280000000000.0,38.52,22.46,97.67,53.29,133.13
2021-02-25,19.81958333333333,4031740000000000.0,53.57,25.6,96.77,49.52,115.03
2021-02-26,21.399166666666662,5441962000000000.0,34.06,23.85,94.65,47.12,127.1
2021-02-27,14.350833333333334,4875640000000000.0,32.92,29.36,87.51,42.1,125.82
2021-02-28,23.266666666666666,6058536000000000.0,37.4,29.32,88.36,45.1,80.04
2021-03-01,24.6025,5503580000000000.0,40.16,36.39,96.13,46.49,36.12
2021-03-02,23.152500000000003,6387460000000000.0,41.02,43.68,100.77,52.71,52.71
2021-03-03,31.44666666666667,6411810000000000.0,47.93,45.42,108.72,59.7,78.14
