date,open_NO2,sate_NO2,"Arumbakkam, Chennai - TNPCB",Gandhi Nagar,"Kodungaiyur, Chennai - TNPCB","Manali Village, Chennai - TNPCB","Manali, Chennai - CPCB","Perungudi, Chennai - TNPCB","Royapuram, Chennai - TNPCB",Velachery Res
2020-11-24,12.8975,5047640000000000.0,5.08,22.62,5.53,5.53,20.9,5.08,5.53,5.08
2020-11-25,7.297916666666668,5060606000000000.0,4.25,40.77,8.17,8.17,51.98,4.25,8.17,4.25
2020-11-26,11.275,1760382000000000.0,6.98,32.57,11.59,11.59,16.21,6.98,11.59,6.98
2020-11-27,57.735000000000014,4308156000000000.0,1.49,19.93,5.33,5.33,16.42,1.49,5.33,1.49
2020-11-28,24.83333333333333,3766840000000000.0,1.57,32.72,5.79,5.79,7.97,1.57,5.79,1.57
2020-11-29,15.859583333333331,3993426000000000.0,4.15,27.99,17.17,17.17,25.48,4.15,17.17,4.15
2020-11-30,19.9,3178990000000000.0,7.02,12.07,16.14,16.14,24.2,7.02,16.14,7.02
2020-12-01,16.422916666666666,4766270000000000.0,7.53,17.02,10.47,10.47,10.35,7.53,10.47,7.53
2020-12-02,14.58083333333333,4406216000000000.0,9.01,20.98,8.36,8.36,30.28,9.01,8.36,9.01
2020-12-03,13.39875,5559300000000000.0,7.45,54.27,6.32,6.32,11.81,7.45,6.32,7.45
2020-12-04,13.52041666666667,4022788000000000.0,10.53,55.19,10.53,30.34,10.76,7.9,61.6,7.9
2020-12-05,10.38375,6606008000000000.0,13.6,46.31,11.74,6.5,1.09,4.82,32.54,4.82
2020-12-06,13.5525,4239376000000000.0,11.45,26.88,11.43,6.0,1.03,3.78,12.61,3.78
2020-12-07,19.172083333333337,2093634000000000.0,14.13,23.03,2.2,2.2,2.2,4.97,8.98,4.97
2020-12-08,25.79375,4681404000000000.0,13.74,24.5,3.62,3.62,2.75,13.74,62.33,13.74
2020-12-09,31.938333333333333,2102910000000000.0,10.9,29.86,10.9,6.26,2.23,18.11,41.78,18.11
2020-12-10,48.075,7211090000000000.0,8.82,43.05,8.82,4.9,1.63,21.04,45.23,21.04
2020-12-11,41.49875,5482386000000000.0,25.68,47.76,13.1,7.2,2.63,14.45,20.88,14.45
2020-12-12,46.04666666666666,5388650000000000.0,25.3,18.96,14.42,6.71,6.57,21.79,40.64,21.79
2020-12-13,34.892500000000005,4533562000000000.0,20.97,18.07,11.25,5.74,6.65,15.69,32.69,15.69
2020-12-14,43.2475,4884840000000000.0,13.06,21.12,13.06,7.34,7.8,15.75,44.81,15.75
2020-12-15,18.42916666666667,4499568000000000.0,10.8,20.06,10.8,10.12,6.49,14.45,20.46,14.45
2020-12-16,18.223333333333333,5129376000000000.0,8.87,19.5,8.87,10.29,6.3,10.37,11.77,10.37
2020-12-17,18.684166666666663,5711616000000000.0,7.43,21.44,7.43,9.98,5.83,3.73,9.75,13.69
2020-12-18,15.409583333333332,3010580000000000.0,11.2,29.42,11.2,8.47,6.22,4.33,13.34,16.12
2020-12-19,12.430416666666666,4899940000000000.0,8.02,29.91,8.02,8.46,6.05,3.61,10.47,13.82
2020-12-20,13.877083333333331,4728606000000000.0,7.66,37.41,7.66,9.79,6.06,14.49,11.39,14.49
2020-12-21,21.970416666666665,4352070000000000.0,30.02,44.35,12.08,10.59,6.24,18.57,12.13,18.57
