date,open_NO2,sate_NO2,"Arumbakkam, Chennai - TNPCB",Gandhi Nagar,"Kodungaiyur, Chennai - TNPCB","Manali Village, Chennai - TNPCB","Manali, Chennai - CPCB","Perungudi, Chennai - TNPCB","Royapuram, Chennai - TNPCB",Velachery Res
2020-12-22,33.130833333333335,4404878000000000.0,28.36,36.78,13.57,9.08,6.41,10.82,34.86,21.67
2020-12-23,36.615,4797930000000000.0,24.31,39.19,12.91,9.36,8.33,13.46,40.1,17.58
2020-12-24,42.39875000000001,5024530000000000.0,34.57,31.53,8.07,8.07,6.18,12.96,44.55,16.19
2020-12-25,24.841666666666665,3892230000000000.0,23.55,28.74,6.85,6.85,7.14,11.49,40.47,13.93
2020-12-26,21.725416666666664,6362450000000000.0,22.17,37.91,6.57,6.57,6.8,10.22,29.59,17.45
2020-12-27,22.76375,4835568000000000.0,14.89,24.44,6.45,6.45,6.65,8.48,25.9,14.89
2020-12-28,21.16333333333333,4666320000000000.0,16.74,34.15,8.19,6.83,6.48,9.22,30.04,16.18
2020-12-29,18.10125,5543544000000000.0,19.93,28.37,15.03,7.87,7.07,6.3,26.68,12.91
2020-12-30,16.136666666666667,4214120000000000.0,15.83,21.6,8.68,12.48,7.02,4.73,11.41,12.22
2020-12-31,15.923333333333332,4534260000000000.0,12.29,21.87,7.33,11.88,6.64,3.38,15.49,7.7
2021-01-01,23.78791666666667,3984030000000000.0,16.64,25.18,8.29,8.69,6.31,3.45,13.27,8.98
2021-01-02,13.47458333333333,5535712000000000.0,19.37,21.2,10.94,7.39,6.56,6.26,26.15,15.19
2021-01-03,14.220416666666669,4344266000000000.0,13.21,19.21,9.18,8.02,4.39,4.19,9.55,9.46
2021-01-04,19.1225,361572000000000.0,14.36,29.02,11.45,9.99,3.91,5.47,19.77,10.88
2021-01-05,26.1475,5098090000000000.0,21.81,15.6,10.77,6.92,4.39,7.51,34.51,20.76
2021-01-06,34.60166666666667,4219920000000000.0,21.51,18.93,8.66,7.79,4.01,6.18,29.43,11.59
2021-01-07,28.397083333333327,4563420000000000.0,19.0,27.52,9.44,10.24,3.95,7.92,33.46,13.05
2021-01-08,25.79083333333333,4293656000000000.0,18.09,25.18,9.49,8.97,3.95,8.19,44.02,10.79
2021-01-09,18.22208333333333,4383132000000000.0,16.57,20.47,9.29,9.97,3.96,9.11,23.26,11.62
2021-01-10,19.80625,4636656000000000.0,16.12,22.04,12.13,10.37,3.99,7.05,17.58,11.32
2021-01-11,21.74875,5838520000000000.0,13.94,34.28,13.98,10.88,3.97,5.48,19.27,11.91
2021-01-12,18.91541666666667,4829852000000000.0,14.35,47.63,13.77,11.64,3.92,5.65,19.31,13.05
2021-01-13,26.475833333333338,3628160000000000.0,17.0,59.83,11.19,13.35,7.17,8.65,27.66,19.37
2021-01-14,23.52,4934308000000000.0,11.15,49.9,7.82,10.83,7.94,4.67,10.07,8.46
2021-01-15,37.35750000000001,4488580000000000.0,12.94,39.14,8.45,9.93,7.93,3.73,10.97,9.58
2021-01-16,41.177083333333336,5378606000000000.0,14.01,31.83,8.35,9.9,8.55,5.15,31.2,8.75
2021-01-17,22.719999999999995,5786530000000000.0,17.93,34.18,9.44,9.84,8.96,6.17,30.81,8.58
2021-01-18,28.59666666666666,4642580000000000.0,15.73,22.56,9.42,10.79,10.18,6.42,18.51,10.03
2021-01-19,29.269166666666663,6656520000000000.0,16.96,37.95,14.78,11.23,10.03,4.81,11.78,12.48
2021-01-20,34.62291666666666,6154008000000000.0,16.19,32.85,11.15,10.89,11.67,8.58,30.06,16.02
2021-01-21,47.81041666666666,3751060000000000.0,15.81,39.39,10.42,12.27,10.9,7.04,31.06,10.86
2021-01-22,36.615,7677090000000000.0,13.66,34.54,10.29,12.54,8.06,4.51,29.55,8.45
2021-01-23,34.40125,4296786000000000.0,12.65,15.47,9.76,11.02,7.64,4.75,20.92,8.16
2021-01-24,49.31041666666667,7111440000000000.0,14.98,21.69,10.63,11.16,7.75,5.99,30.82,10.81
2021-01-25,45.79041666666666,3154062000000000.0,15.44,24.62,11.38,11.47,7.75,6.65,33.01,10.07
2021-01-26,45.45399999999999,3883210000000000.0,14.01,24.44,9.85,13.88,8.0,6.47,33.53,10.11
2021-01-27,43.6975,7316110000000000.0,20.18,26.7,11.63,12.59,10.98,7.07,33.37,13.01
2021-01-28,21.67125,6353068000000000.0,16.53,33.4,11.25,11.91,13.61,8.74,27.32,11.61
2021-01-29,27.45500000000001,5942000000000000.0,11.97,42.95,7.91,12.42,8.12,3.3,19.11,9.43
2021-01-30,30.270416666666662,4826040000000000.0,13.33,39.56,9.56,14.58,8.1,4.55,17.9,9.23
2021-01-31,17.365,6037520000000000.0,13.41,33.92,9.8,16.22,8.07,3.69,19.07,8.25
2021-02-01,26.15374999999999,3771998000000000.0,13.41,37.17,8.82,16.43,8.07,4.07,13.55,11.96
2021-02-02,20.784999999999997,4113770000000000.0,12.69,29.11,8.37,13.05,8.1,3.7,22.57,13.34
2021-02-03,28.06125,4348278000000000.0,11.05,30.56,8.52,14.26,8.19,3.86,17.8,12.64
2021-02-04,29.585000000000004,5120310000000000.0,12.24,18.76,12.25,34.99,8.22,6.37,21.81,13.36
2021-02-05,30.175416666666678,8760760000000000.0,16.92,20.51,13.65,42.56,9.56,7.41,27.39,15.35
2021-02-06,32.69458333333333,5085902000000000.0,19.19,15.12,12.88,19.12,8.74,7.88,26.37,14.19
2021-02-07,25.03041666666667,6310190000000000.0,18.5,11.53,15.45,13.17,9.03,9.55,28.92,18.31
2021-02-08,21.08208333333333,4654422000000000.0,12.23,10.41,9.35,11.11,7.91,2.32,8.23,2.32
2021-02-09,36.76541666666667,5331510000000000.0,13.25,28.36,9.1,18.86,8.93,4.43,11.93,0.02
2021-02-10,61.68416666666668,4129982000000000.0,16.73,32.02,12.1,16.02,8.61,5.0,15.06,0.02
2021-02-11,53.82166666666666,3277670000000000.0,18.51,24.12,12.29,15.35,8.55,6.29,23.42,0.02
2021-02-12,46.56708333333333,8199330000000000.0,17.73,30.6,11.13,15.02,8.26,6.6,26.84,10.24
2021-02-13,30.55916666666666,4828716000000000.0,14.71,27.46,11.52,14.11,8.34,8.8,32.48,10.24
2021-02-14,32.35208333333333,6821950000000000.0,15.09,30.72,9.67,12.57,8.52,6.48,30.68,10.19
2021-02-15,33.65083333333333,3737474000000000.0,17.08,38.95,11.66,14.44,8.71,7.68,32.06,10.25
2021-02-16,33.629583333333336,4364970000000000.0,15.1,30.63,11.36,13.89,8.67,7.49,28.98,10.27
2021-02-17,27.375833333333343,1180562000000000.0,13.77,38.43,9.06,13.6,29.218333333333337,5.8,24.34,10.21
2021-02-18,29.10333333333333,4494770000000000.0,10.34,32.55,5.88,13.03,10.49,3.3,18.45,10.22
2021-02-19,26.61916666666666,5175790000000000.0,14.01,34.69,8.58,15.62,11.89,8.02,24.27,10.24
2021-02-20,24.141666666666666,4042480000000000.0,9.58,40.04,9.58,18.66,13.17,3.71,20.04,10.23
2021-02-21,31.397083333333327,4986612000000000.0,5.92,40.2,5.92,15.86,13.16,3.03,12.34,10.2
2021-02-22,38.69291666666668,6789560000000000.0,17.89,45.83,9.66,16.53,13.04,4.46,17.69,10.21
2021-02-23,45.118750000000006,7823590000000000.0,20.37,34.61,11.14,15.97,12.98,6.87,28.19,10.25
2021-02-24,48.09625,4580284000000000.0,20.98,32.71,11.75,15.04,13.15,8.28,38.31,9.67
2021-02-25,42.02666666666666,6255500000000000.0,20.24,24.26,10.87,16.19,13.11,7.41,32.55,6.67
2021-02-26,33.03000000000001,6012212000000000.0,15.82,20.86,15.07,16.54,13.07,6.94,35.69,3.74
2021-02-27,26.411666666666672,3960040000000000.0,16.51,17.7,11.84,17.73,13.11,6.01,21.71,3.74
2021-02-28,28.515,4253940000000000.0,18.11,30.1,8.65,14.55,12.97,4.63,18.81,3.74
2021-03-01,22.78166666666667,4222350000000000.0,12.1,39.06,10.84,16.46,12.95,5.29,25.53,7.22
2021-03-02,31.088749999999997,5744990000000000.0,16.72,35.29,17.14,17.14,13.23,5.27,25.09,10.22
2021-03-03,34.730000000000004,6136800000000000.0,18.5,47.1,11.0,16.34,13.18,7.78,32.92,10.24
2021-03-04,37.54666666666667,3989600000000000.0,17.0,26.14,9.84,14.18,13.1,6.48,25.84,10.23
2021-03-05,38.500833333333325,4444728000000000.0,15.8,32.02,8.83,14.49,13.24,6.74,30.42,10.22
2021-03-06,21.577916666666663,5009790000000000.0,16.67,29.49,10.13,15.05,13.14,6.55,25.76,10.24
2021-03-07,15.409583333333332,4050810000000000.0,12.77,13.72,6.45,14.13,13.09,3.74,15.87,10.19
2021-03-08,16.105416666666667,4867710000000000.0,11.17,32.35,5.69,12.4,13.09,3.2,13.44,10.25
2021-03-09,20.55,4957970000000000.0,8.45,36.57,5.52,11.27,13.06,2.08,12.5,10.23
2021-03-10,16.21333333333333,4580700000000000.0,9.66,51.21,4.92,12.23,13.08,1.93,12.45,10.22
2021-03-11,19.54208333333333,5673770000000000.0,8.94,24.89,6.75,13.87,13.01,3.5,20.57,10.2
2021-03-12,23.180416666666662,3740654000000000.0,13.07,13.74,8.7,13.59,13.09,4.87,22.3,10.22
2021-03-13,23.8025,4700240000000000.0,14.53,14.58,8.36,12.58,13.15,5.49,27.99,10.22
2021-03-14,25.786521739130432,4672626000000000.0,11.93,22.66,7.63,13.83,13.25,4.93,24.71,10.25
2021-03-15,29.07458333333333,5282760000000000.0,15.05,43.12,8.08,15.74,13.16,5.76,25.82,10.25
2021-03-16,26.846666666666664,5608020000000000.0,12.71,54.71,9.44,13.91,13.18,5.63,25.72,10.24
2021-03-17,25.01958333333333,4881270000000000.0,14.61,51.04,10.72,14.84,12.93,7.26,27.04,10.25
2021-03-18,42.31333333333334,5553790000000000.0,14.93,29.83,9.53,13.78,12.64,6.77,25.91,10.22
2021-03-19,29.375416666666663,4825560000000000.0,10.87,28.43,10.87,15.11,8.49,6.95,25.45,6.18
2021-03-20,23.52,5791800000000000.0,12.38,31.58,12.38,14.94,23.375,10.21,36.58,3.74
2021-03-21,28.167916666666667,4174544000000000.0,8.1,38.25,8.1,14.35,20.271666666666665,2.21,44.01,3.75
2021-03-22,29.80666666666667,4413710000000000.0,7.47,30.37,7.47,14.11,23.02666666666667,4.04,29.89,3.74
2021-03-23,36.985416666666666,4117870000000000.0,7.66,21.01,7.66,14.39,26.191666666666663,4.08,21.7,3.74
2021-03-24,37.15083333333333,5032320000000000.0,8.86,29.96,8.86,14.51,26.85,5.17,25.33,3.74
2021-03-25,38.75708333333334,5400470000000000.0,11.79,37.62,11.79,14.38,28.723333333333333,5.7,24.51,3.73
2021-03-26,22.813749999999995,5290780000000000.0,11.15,51.21,11.15,14.34,35.35666666666667,5.04,22.73,3.74
2021-03-27,19.10416666666666,4360550000000000.0,11.11,38.42,11.11,14.91,46.24333333333333,5.0,26.69,3.74
2021-03-28,12.327083333333336,4201100000000000.0,8.09,25.33,8.09,15.99,31.76666666666667,4.38,24.34,3.74
2021-03-29,15.36625,4425240000000000.0,7.88,16.45,7.88,18.14,12.9,2.58,16.0,3.74
2021-03-30,16.2375,4702994000000000.0,0.2,10.8,10.92,20.62,12.99,2.83,23.7,3.74
2021-03-31,17.830416666666668,4419550000000000.0,12.33,7.94,12.33,20.38,12.94,4.19,18.14,3.72
2021-04-01,15.526666666666664,4938150000000000.0,12.03,28.95,12.03,18.17,12.93,3.29,15.93,3.74
2021-04-02,17.911666666666672,5362260000000000.0,12.77,48.68,12.77,20.22,12.77,4.23,24.22,3.74
2021-04-03,11.279583333333331,5652890000000000.0,11.1,57.66,11.1,19.48,13.16,2.79,16.5,3.74
2021-04-04,12.813333333333334,5757260000000000.0,7.33,56.63,7.33,16.21,12.65,2.16,13.78,3.75
2021-04-05,27.894166666666667,3966060000000000.0,0.44,30.47,5.6,13.89,13.31,1.78,8.37,3.73
2021-04-06,23.00583333333333,4461142000000000.0,0.35,18.47,5.44,13.2,13.39,2.11,12.29,3.72
2021-04-07,16.912083333333335,4486560000000000.0,7.84,23.87,7.84,14.12,13.53,3.67,12.32,3.73
2021-04-08,16.25166666666667,5552510000000000.0,0.41,21.52,8.83,15.64,13.55,4.08,16.4,3.74
2021-04-09,15.402499999999996,4984590000000000.0,0.36,33.29,5.61,15.11,13.47,4.16,16.77,3.74
2021-04-10,12.388750000000002,4146660000000000.0,0.46,37.38,4.82,13.22,13.48,4.95,19.27,3.74
2021-04-11,15.2875,3351050000000000.0,5.74,39.17,5.74,11.56,13.4,3.31,11.88,3.74
2021-04-12,16.905416666666667,4062300000000000.0,4.71,57.95,4.71,13.04,13.55,1.56,6.79,3.74
2021-04-13,15.20916666666667,4475112000000000.0,4.74,38.78,4.74,11.75,14.05,2.46,5.21,3.74
2021-04-14,12.855833333333337,4764244000000000.0,8.79,14.7,8.79,12.27,12.76,3.28,10.08,3.74
2021-04-15,31.302916666666665,4070176000000000.0,0.37,14.79,8.26,13.16,12.98,4.15,14.36,3.74
2021-04-16,19.835416666666664,4794050000000000.0,0.21,14.15,10.21,15.42,12.88,4.92,20.66,3.74
2021-04-17,15.392499999999997,5722140000000000.0,0.15,10.02,7.82,17.76,12.87,3.02,18.94,3.74
2021-04-18,13.28125,4378480000000000.0,0.37,23.64,6.65,17.3,12.85,1.97,8.45,3.74
2021-04-19,17.407916666666665,5232030000000000.0,0.19,31.44,8.33,18.89,12.42,2.6,12.9,3.74
2021-04-20,14.761666666666668,4232190000000000.0,0.13,18.28,8.62,18.79,12.95,2.64,11.55,3.74
2021-04-21,13.647083333333333,3675170000000000.0,0.15,14.25,6.17,17.41,12.95,2.05,10.58,3.74
2021-04-22,15.487083333333336,3924100000000000.0,6.08,27.8,6.08,18.32,12.9,1.98,10.07,3.75
2021-04-23,18.89041666666667,4533590000000000.0,0.69,17.14,6.81,17.1,13.06,2.34,15.94,3.73
2021-04-24,15.727083333333333,4055650000000000.0,0.43,19.09,6.63,16.1,12.96,2.51,15.35,3.75
2021-04-25,11.899583333333334,4232840000000000.0,0.44,32.44,3.51,15.11,13.03,0.79,10.39,3.74
2021-04-26,16.110833333333336,5557330000000000.0,0.34,54.25,4.74,15.78,12.97,1.87,10.66,3.74
2021-04-27,15.712500000000004,5332350000000000.0,0.4,40.68,5.07,16.15,12.92,2.04,8.07,3.74
2021-04-28,16.180416666666666,6027110000000000.0,0.41,12.34,6.65,16.68,12.97,2.49,15.64,3.73
2021-04-29,17.222916666666666,4472784000000000.0,0.35,16.39,6.07,16.46,12.91,2.7,15.45,3.74
2021-04-30,15.765833333333331,5013890000000000.0,0.28,16.46,5.22,14.91,12.91,2.03,18.28,3.74
2021-05-01,12.508333333333333,3664282000000000.0,0.39,13.95,4.93,13.42,13.05,1.78,13.28,3.74
2021-05-02,12.104583333333336,3587110000000000.0,0.22,9.62,3.46,12.43,12.9,2.16,9.36,3.74
2021-05-03,15.852083333333336,4534920000000000.0,0.29,13.69,3.79,12.79,12.94,1.43,8.83,3.74
2021-05-04,14.845,4349080000000000.0,0.33,14.57,4.17,13.96,13.0,1.91,8.31,3.75
2021-05-05,11.655833333333332,4446600000000000.0,0.45,15.62,3.88,13.98,12.91,2.0,8.37,3.74
2021-05-06,9.09,5866810000000000.0,1.11,21.42,3.68,12.96,12.93,1.57,6.14,3.73
2021-05-07,11.681666666666668,5204830000000000.0,1.56,18.43,3.06,13.06,13.16,1.2,8.59,3.74
2021-05-08,11.964999999999998,3785338800000000.0,2.09,23.25,5.34,13.28,13.77,1.96,10.59,3.73
2021-05-09,11.720416666666669,4381960000000000.0,2.13,23.2,4.28,12.83,13.94,1.6,10.83,3.74
2021-05-10,12.89541666666667,3640730000000000.0,1.75,13.23,2.06,15.37,13.43,1.13,8.25,3.74
2021-05-11,15.018749999999995,4439280000000000.0,1.61,8.89,2.62,16.54,13.88,0.99,7.25,3.74
2021-05-12,16.009999999999998,6868810000000000.0,1.96,15.69,3.67,16.15,13.69,1.28,8.09,3.74
2021-05-13,15.39125,5147170000000000.0,1.83,21.65,2.81,15.48,14.08,1.18,6.07,3.74
2021-05-14,13.014583333333327,4500600000000000.0,1.8,22.41,3.27,15.32,14.44,1.27,7.0,3.74
2021-05-15,17.15458333333333,3516728800000000.0,1.68,14.66,2.98,16.38,14.34,1.21,4.22,3.74
2021-05-16,12.2575,4071210000000000.0,1.56,17.21,2.15,16.23,14.26,0.9,2.08,3.74
2021-05-17,10.9175,2649668000000000.0,1.73,16.76,2.71,16.54,14.38,1.06,4.23,3.74
2021-05-18,11.710833333333332,3724300000000000.0,1.54,10.87,2.56,16.73,14.13,0.9,2.74,3.74
2021-05-19,15.65458333333333,4077440000000000.0,1.41,7.79,2.39,16.64,14.61,0.87,3.17,3.74
2021-05-20,21.195833333333333,4244620000000000.0,1.93,25.28,5.94,17.54,12.44,3.2,15.12,3.74
2021-05-21,20.464166666666667,3802438000000000.0,1.32,13.79,7.1,18.5,14.23,3.6,13.17,3.74
2021-05-22,37.02875,3458282800000000.0,0.76,13.73,8.08,16.81,14.22,4.41,18.43,3.73
2021-05-23,23.242916666666662,4095042000000000.0,11.54,16.09,11.54,18.94,14.42,4.23,18.44,3.74
2021-05-24,20.539166666666663,2340630000000000.0,7.81,26.38,7.81,18.55,14.25,3.67,16.37,3.74
2021-05-25,22.6275,4460626000000000.0,6.03,26.45,6.03,19.47,15.63,2.79,10.29,3.74
2021-05-26,19.92125,4244560000000000.0,6.45,13.03,6.45,21.2,15.33,2.61,13.73,3.74
2021-05-27,18.17958333333333,3575990000000000.0,4.76,15.9,4.76,19.41,16.09,2.34,10.48,3.74
2021-05-28,20.24666666666667,4392090000000000.0,4.78,15.05,4.78,17.98,14.91,2.08,8.01,3.74
2021-05-29,15.659166666666664,4895360000000000.0,5.29,14.93,5.29,19.16,14.67,1.98,5.29,3.74
2021-05-30,15.987083333333336,5029720000000000.0,5.49,13.15,5.49,19.51,15.43,2.1,5.49,3.74
2021-05-31,19.25125,4774374000000000.0,4.53,13.62,4.53,18.96,15.82,1.3,6.21,3.74
2021-06-01,30.31083333333333,5523410000000000.0,5.76,13.11,5.76,19.07,15.85,3.74,10.56,3.74
2021-06-02,25.71291666666666,4325396000000000.0,5.27,18.73,5.27,16.57,16.62,3.74,11.45,3.74
2021-06-03,16.001666666666665,3412810000000000.0,3.58,17.85,3.58,18.06,14.66,3.74,12.49,3.74
2021-06-04,20.01125,3516130000000000.0,3.1,17.76,3.1,16.32,15.43,3.74,9.47,3.74
2021-06-05,25.489166666666662,3179490000000000.0,3.11,15.55,3.11,16.04,15.59,3.74,7.46,3.74
2021-06-06,25.040416666666665,4917680000000000.0,4.66,15.4,4.66,15.25,14.38,3.74,9.69,3.74
2021-06-07,18.61583333333333,1438400000000000.0,6.56,14.43,6.56,18.29,16.85,3.38,9.45,3.74
2021-06-08,23.700000000000003,6088870000000000.0,7.59,13.16,7.59,17.3,16.51,2.39,15.03,3.74
2021-06-09,20.506666666666664,3802924000000000.0,7.38,12.22,7.38,16.44,15.74,3.08,14.24,3.74
2021-06-10,30.8025,3758010000000000.0,0.6,19.36,5.97,19.02,14.96,2.36,13.39,3.74
2021-06-11,32.12125,4070872000000000.0,8.99,15.68,8.99,19.19,16.11,4.11,17.93,3.74
2021-06-12,14.579999999999998,3851272000000000.0,7.68,15.66,7.68,18.63,19.92,3.4,14.06,3.74
2021-06-13,10.950416666666667,5178070000000000.0,5.78,13.38,5.78,19.87,12.855555555555556,2.59,9.1,3.73
2021-06-14,13.155833333333334,4549184000000000.0,8.13,13.79,8.13,20.35,13.2,2.21,14.48,3.74
2021-06-15,18.500833333333336,4185580000000000.0,7.58,13.32,7.58,19.32,13.72,2.34,10.97,3.75
2021-06-16,21.96333333333333,4003854000000000.0,8.47,14.12,8.47,20.69,14.86,2.69,18.02,3.74
2021-06-17,18.36458333333333,3685890000000000.0,0.79,11.91,7.7,19.06,13.67,2.37,13.05,3.74
2021-06-18,19.392499999999995,3929902000000000.0,0.71,9.54,7.06,19.12,13.56,3.64,11.46,3.73
2021-06-19,15.562083333333334,3809150000000000.0,0.71,9.33,7.31,18.37,13.34,5.24,15.76,3.74
2021-06-20,18.13291666666667,3785620000000000.0,0.6,9.6,6.27,18.37,13.72,3.74,14.8,3.74
2021-06-21,18.344166666666663,5175520000000000.0,0.6,9.46,7.1,19.62,13.57,2.47,13.15,3.74
2021-06-22,24.255416666666672,5741090000000000.0,0.6,9.38,9.3,19.61,13.6,2.74,13.97,3.75
2021-06-23,26.639166666666657,4319430000000000.0,0.65,9.34,8.46,18.16,13.04,2.82,15.88,3.74
2021-06-24,31.617083333333337,6882970000000000.0,0.69,9.42,6.88,16.9,13.73,2.99,16.76,3.75
2021-06-25,31.211250000000003,3548286000000000.0,0.75,9.49,7.8,17.77,13.05,2.98,17.8,3.74
2021-06-26,21.6275,4652510000000000.0,0.87,9.35,10.45,25.65,13.12,3.89,25.13,3.73
2021-06-27,31.21708333333333,3536560000000000.0,0.57,9.44,6.61,25.28,13.14,3.36,6.61,3.74
2021-06-28,16.93416666666667,4987120000000000.0,0.8,9.57,7.82,22.23,14.57,2.83,19.72,3.74
2021-06-29,17.06541666666667,5514100000000000.0,0.68,9.36,7.89,19.3,12.99,2.68,11.67,3.74
2021-06-30,21.370833333333337,3983460000000000.0,0.5,9.35,7.63,20.37,13.49,1.85,8.83,3.72
2021-07-01,19.86125,6404170000000000.0,0.53,9.28,8.2,19.29,14.02,2.85,12.85,3.74
2021-07-02,33.995416666666664,2665148000000000.0,0.63,9.61,9.35,18.22,12.94,3.6,19.78,3.74
2021-07-03,26.27,3729630000000000.0,0.73,9.47,9.67,16.02,13.11,4.19,23.36,3.73
2021-07-04,31.58125,4383634000000000.0,0.61,9.41,8.91,17.59,12.93,3.07,19.06,3.73
2021-07-05,25.601666666666677,4701680000000000.0,0.52,9.44,6.46,18.31,12.85,2.4,13.15,3.74
2021-07-06,19.40041666666667,5828560000000000.0,0.66,9.24,8.81,20.85,13.03,3.31,13.36,3.74
2021-07-07,26.05458333333334,4641640000000000.0,0.66,9.32,9.84,20.37,13.18,2.98,15.39,3.74
2021-07-08,31.416250000000016,6410740000000000.0,0.61,9.46,9.23,19.16,12.97,4.36,17.58,3.74
2021-07-09,27.097500000000007,2915000000000000.0,0.75,9.46,10.7,18.03,13.23,4.7,22.11,3.74
2021-07-10,15.48375,4807134000000000.0,0.78,9.36,10.56,17.33,12.82,4.5,27.86,3.73
2021-07-11,26.80458333333333,4930282000000000.0,0.64,9.4,7.82,18.6,13.31,4.24,18.09,4.24
2021-07-12,32.79500000000001,3726626000000000.0,0.83,9.59,13.29,18.94,12.83,4.12,28.67,3.73
2021-07-13,23.812500000000004,1243806000000000.0,0.85,9.3,13.86,19.4,13.34,5.75,38.44,3.74
2021-07-14,22.412916666666664,4755956000000000.0,0.66,9.51,10.22,18.1,20.82,4.47,27.59,3.74
2021-07-15,17.192916666666672,6702470000000000.0,0.64,9.39,9.47,17.95,24.94,3.83,23.06,3.74
2021-07-16,28.062083333333337,4341000000000000.0,0.7,9.28,11.03,18.31,12.82,3.95,23.74,3.73
2021-07-17,22.09875,3492130000000000.0,0.82,9.39,10.21,12.47,12.55,4.54,24.39,3.74
2021-07-18,14.02458333333333,3959466000000000.0,0.57,9.42,7.25,9.68,12.5,2.71,17.31,3.74
2021-07-19,24.340833333333336,4359750000000000.0,0.63,9.53,10.26,10.86,12.25,3.46,28.53,3.73
2021-07-20,19.893333333333327,4160492000000000.0,0.75,9.38,8.84,11.38,12.62,5.58,27.65,3.73
2021-07-21,19.989166666666662,3929410000000000.0,0.86,9.54,9.11,11.31,11.93,7.34,29.64,3.74
2021-07-22,14.6625,4318442000000000.0,0.72,9.46,8.96,12.82,12.82,5.48,27.19,3.74
2021-07-23,23.062916666666663,4762240000000000.0,0.6,9.39,9.71,12.54,12.54,3.53,24.73,3.74
2021-07-24,15.74083333333333,5557090000000000.0,0.6,9.43,8.47,12.5,12.5,3.03,16.94,3.74
2021-07-25,17.573333333333334,4802380000000000.0,0.5,10.7,6.57,12.75,12.75,2.7,15.86,3.73
2021-07-26,26.369166666666658,4601610000000000.0,0.54,10.89,6.92,12.06,12.06,3.91,13.42,3.74
2021-07-27,23.677499999999995,4808648000000000.0,0.7,9.29,9.47,12.72,12.72,4.13,19.02,3.74
2021-07-28,25.427083333333325,3427620000000000.0,0.74,9.37,10.88,12.82,12.82,4.7,22.42,3.74
