date,open_SO2,sate_SO2,"Chhoti Gwaltoli, Indore - MPPCB"
2020-11-24,13.2625,0.03084505,10.06
2020-11-25,14.64333333333333,0.0318154738,15.58
2020-11-26,17.734166666666663,-0.0510828785999999,6.4
2020-11-27,7.103333333333334,0.0873436663999999,9.68
2020-11-28,7.002499999999999,-0.092292979,6.22
2020-11-29,7.739166666666667,0.0923505529999999,7.63
2020-11-30,5.975000000000001,-0.131015137,9.28
2020-12-01,5.574166666666667,-0.21450223,10.6
2020-12-02,6.242916666666665,-0.0114008531999999,7.13
2020-12-03,17.61541666666667,0.020826753,12.82
2020-12-04,11.496666666666668,0.0552459419999999,12.98
2020-12-05,12.933333333333332,0.083509363,13.69
2020-12-06,19.95833333333333,-0.2567659174,17.17
2020-12-07,16.2175,0.0042279637999999,17.35
2020-12-08,18.60375,0.820319951,12.56
2020-12-09,13.82875,0.793559074,9.54
2020-12-10,10.022083333333336,0.176127374,11.8
2020-12-11,7.585833333333333,0.0080387713999999,11.35
2020-12-12,8.73,0.0452528188,12.04
2020-12-13,5.544583333333333,0.1266076548,12.1
2020-12-14,8.280416666666667,0.0263936831999999,9.71
2020-12-15,5.286666666666667,0.092578856,11.27
2020-12-16,2.565,-0.129999995,9.83
2020-12-17,3.8375,0.146794066,8.56
2020-12-18,4.215833333333332,0.0162266055999999,9.38
2020-12-19,3.8195833333333327,0.220066264,10.92
2020-12-20,4.24875,-0.0223527298,8.5
2020-12-21,6.864583333333333,0.00644912,10.11
2020-12-22,11.550416666666663,0.0490448502,12.21
2020-12-23,11.88875,0.1131124802,18.13
2020-12-24,10.902916666666668,0.132548362,8.66
2020-12-25,8.150833333333333,0.106830217,16.55
2020-12-26,13.247916666666669,0.237509549,19.34
2020-12-27,6.380000000000002,0.0266387199999999,19.24
2020-12-28,13.93625,-0.039270211,15.78
2020-12-29,7.67625,0.0313390568,13.78
2020-12-30,6.9504166666666665,0.1666720615999999,15.05
2020-12-31,12.674166666666666,0.1411269288,19.78
2021-01-01,19.75041666666667,0.1241293692,19.15
2021-01-02,7.167500000000001,-0.075889029,20.93
2021-01-03,8.262916666666667,-0.0134586898,21.47
2021-01-04,8.536249999999999,0.1328293643999999,19.55
2021-01-05,8.317083333333334,-0.1041553124,14.83
