date,open_SO2,sate_SO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2020-11-24,27.5975,1.27995563,17.974999999999998,17.974999999999998,22.73,22.73,8.615,17.974999999999998
2020-11-25,20.592916666666664,-0.0865957606,15.764,15.764,19.59,19.59,9.246666666666668,15.764
2020-11-26,15.423333333333332,-0.1235675402,10.498,10.498,22.95,22.95,9.463333333333331,10.498
2020-11-27,13.670416666666666,-0.1288875946,8.648,8.648,55.76,55.76,7.085,8.648
2020-11-28,13.760000000000003,0.32215786,13.291999999999998,13.291999999999998,20.05,20.05,10.125,13.291999999999998
2020-11-29,22.2425,-0.0267662028,13.74665892972276,13.74665892972276,28.99,28.99,6.736666666666667,13.74665892972276
2020-11-30,20.53916666666667,1.22192883,6.578658929722761,6.578658929722761,10.645,0.73,11.383333333333333,6.578658929722761
2020-12-01,18.229583333333327,-0.1007725148,12.104,12.104,23.8,23.8,7.036666666666666,12.104
2020-12-02,20.012083333333333,-0.071605608,8.027500000000002,8.027500000000002,58.87,58.87,9.01,8.027500000000002
2020-12-03,23.59416666666667,-0.025036678,10.1275,10.1275,25.49,25.49,6.988333333333333,10.1275
2020-12-04,20.631666666666664,0.0556076758,25.31,25.31,12.465,32.16,12.61,25.31
2020-12-05,14.32125,-0.21586661,14.8925,14.8925,15.47,14.8925,9.509,14.8925
2020-12-06,18.82458333333333,-0.06165142,13.3375,13.3375,14.645,13.3375,13.153,13.3375
2020-12-07,30.487500000000008,-0.560000002,15.7775,15.7775,13.28,15.7775,10.279000000000002,15.7775
2020-12-08,49.69458333333335,0.0021696076,13.9525,13.9525,10.7,13.9525,12.114,13.9525
2020-12-09,34.38791666666667,0.0293081286,12.23,12.23,12.29,12.23,11.931,12.23
2020-12-10,27.01083333333333,0.519933283,13.015,13.015,11.635,13.015,9.459,13.015
2020-12-11,17.65541666666667,-0.1059855506,12.384999999999998,12.384999999999998,14.915,12.384999999999998,9.157,12.384999999999998
2020-12-12,20.084166666666665,-0.092102263,16.9675,16.9675,10.485,16.9675,8.979000000000001,16.9675
2020-12-13,18.36916666666666,-0.0753055156,15.237499999999995,15.237499999999995,12.3,15.237499999999995,7.876,15.237499999999995
