date,open_SO2,sate_SO2,"Arumbakkam, Chennai - TNPCB",Gandhi Nagar,"Kodungaiyur, Chennai - TNPCB","Manali Village, Chennai - TNPCB","Manali, Chennai - CPCB","Perungudi, Chennai - TNPCB","Royapuram, Chennai - TNPCB",Velachery Res
2021-02-20,25.788333333333338,0.145028715,6.77,9.42,5.78,5.78,10.69,6.34,12.77,6.77
2021-02-21,22.60083333333333,0.1399979822,4.66,10.26,6.41,6.41,58.49,2.3,2.91,4.66
2021-02-22,36.677083333333336,-0.1180342483999999,26.88,13.25,6.89,6.89,19.71,3.12,3.75,7.0
2021-02-23,49.57166666666666,-0.050191395,28.5,11.54,7.33,7.33,27.26,4.18,4.13,11.52
2021-02-24,61.065,0.047982874,25.09,9.28,8.58,8.58,36.48,3.35,13.19,9.36
2021-02-25,58.03958333333333,0.2179738082,19.47,10.32,8.81,8.81,21.24,4.11,8.06,4.94
2021-02-26,28.207916666666662,0.2599516436,17.51,8.1,8.78,8.78,13.44,2.97,25.0,2.97
2021-02-27,21.294583333333332,0.330988414,16.86,9.1,8.5,8.5,12.44,1.93,12.98,1.93
2021-02-28,22.03291666666667,-0.069944598,17.36,8.61,9.1,9.1,7.08,2.24,8.0,2.24
2021-03-01,20.7225,0.4780000012,15.15,8.77,8.8,8.8,4.73,4.13,8.2,8.69
2021-03-02,26.777083333333326,0.220090657,16.82,10.24,8.91,8.91,5.12,2.18,5.43,8.69
2021-03-03,31.571249999999992,0.2940020176,17.94,12.38,9.77,9.77,12.58,2.96,4.7,8.7
2021-03-04,40.53083333333333,-0.484962225,17.88,8.91,9.38,9.38,3.51,2.86,5.87,8.71
2021-03-05,43.92416666666667,0.0869773328,21.37,10.56,10.34,10.34,21.6,3.71,6.98,8.71
2021-03-06,23.36958333333333,0.1249954656,18.4,13.11,10.44,10.44,8.59,3.99,14.04,8.69
2021-03-07,21.993333333333336,0.2249632288,17.08,13.51,19.36,19.36,6.61,2.93,4.23,8.73
2021-03-08,31.4325,-0.285083085,17.5,9.85,66.8,66.8,16.66,2.18,5.22,8.71
2021-03-09,26.05666666666667,0.059934519,14.32,8.4,73.82,73.82,15.17,1.54,3.84,8.71
2021-03-10,24.25958333333333,-0.139909342,16.04,10.95,35.1,35.1,5.92,1.2,3.37,8.68
2021-03-11,26.868333333333336,-0.13499245,14.77,8.81,13.3,13.3,1.03,2.47,5.21,8.73
2021-03-12,29.147083333333335,0.4768776152,16.85,9.72,10.88,10.88,4.22,4.75,7.04,8.75
2021-03-13,31.92791666666666,-0.0940715224,19.12,15.66,9.55,9.55,38.12,3.04,6.76,8.7
2021-03-14,37.96521739130434,0.0759687708,17.25,11.97,8.12,8.12,12.88,3.06,5.06,8.69
2021-03-15,34.43750000000001,0.1750347544,20.89,11.86,8.51,8.51,44.61,3.56,6.25,8.66
2021-03-16,33.37458333333334,0.330000013,17.74,12.48,7.31,7.31,13.82,4.14,4.94,8.72
2021-03-17,23.405833333333334,0.5379919348,19.28,16.47,6.98,6.98,3.33,4.15,5.22,8.69
2021-03-18,39.00250000000001,0.2860080564,16.6,13.04,6.47,6.47,22.11,2.65,3.79,2.65
2021-03-19,27.215,0.150000006,17.78,15.4,6.54,6.54,37.21,3.58,4.77,3.58
2021-03-20,20.96625,0.074972294,19.45,8.86,3.4,6.6,10.14,3.19,6.75,3.19
2021-03-21,31.431666666666672,0.1850367695999999,18.28,11.42,0.88,6.29,15.15,2.99,7.61,2.99
2021-03-22,29.027916666666663,0.5970196348,10.53,7.63,3.17,6.12,4.95,4.45,8.01,4.45
2021-03-23,33.35874999999999,0.4800000042,8.77,7.56,8.77,6.51,21.7,3.5,1.96,3.5
2021-03-24,37.044583333333335,0.260010064,11.78,7.53,11.78,7.04,36.26,2.87,2.54,2.87
2021-03-25,41.2375,0.339848876,13.36,7.36,13.36,6.27,0.81,4.05,4.07,4.05
2021-03-26,25.5025,-0.29994458,13.52,11.47,13.52,6.29,20.86666666666667,3.36,2.98,3.36
2021-03-27,23.132916666666663,-0.12977837,13.52,10.45,13.52,6.71,1.87,2.99,4.73,1.29
2021-03-28,14.890833333333337,0.0609914344,12.7,9.46,12.7,5.99,4.05,3.16,1.81,1.38
2021-03-29,20.89625,0.0320302278,13.48,7.58,13.48,5.84,4.82,2.2,2.45,2.09
2021-03-30,20.87708333333333,0.13722901676209476,13.46,6.79,13.84,5.56,4.56,3.77,2.08,2.69
2021-03-31,21.66958333333333,0.1819999994,14.87,6.63,14.87,5.61,4.71,11.35,1.43,6.65
2021-04-01,22.797916666666666,0.219999999,15.83,7.69,15.83,5.89,3.28,8.36,1.98,8.09
2021-04-02,31.11916666666667,0.403038782,14.56,9.3,14.56,5.84,17.36,7.15,1.11,10.87
2021-04-03,15.753749999999997,-0.194947124,15.69,11.69,15.69,5.61,5.34,4.67,1.88,10.0
2021-04-04,18.6575,0.285037786,14.08,9.66,14.08,5.16,2.37,3.57,1.77,20.18
2021-04-05,24.776250000000005,-0.150005043,16.48,8.02,13.99,5.31,2.52,3.41,0.61,13.48
2021-04-06,21.622083333333336,0.0460352599999999,16.98,8.58,12.99,4.84,3.06,3.48,2.24,5.6
2021-04-07,16.405833333333337,0.050956183,14.26,6.68,14.26,4.87,2.86,3.02,1.8,2.78
2021-04-08,15.210000000000004,0.2210095665999999,15.07,7.88,13.44,5.05,3.43,3.8,3.6,2.24
2021-04-09,15.160833333333334,0.48510325,16.25,11.0,12.45,5.11,3.34,2.8,3.0,5.45
2021-04-10,14.37,0.129994959,19.99,9.89,12.13,5.25,8.6,1.98,3.3,6.04
2021-04-11,17.1275,-0.579999983,11.64,12.01,11.64,4.91,10.77,2.76,3.73,9.28
2021-04-12,22.34166666666667,-0.014926967,11.42,13.5,11.42,4.65,11.54,3.32,2.48,5.29
2021-04-13,20.38583333333333,0.0749319992,11.96,12.45,11.96,4.34,10.65,3.81,3.28,5.03
2021-04-14,21.6925,0.1459748164,12.52,8.52,12.52,4.73,15.26,2.9,2.72,5.11
2021-04-15,52.83125000000001,0.2359566838,17.9,8.06,12.55,4.58,11.64,2.76,2.44,5.07
2021-04-16,24.270000000000007,0.099020653,17.89,8.07,12.15,4.31,13.81,5.01,3.03,5.66
2021-04-17,18.34375,0.874861479,20.68,17.69,12.41,4.37,9.29,7.44,6.93,4.42
2021-04-18,15.133333333333336,0.2249743134,18.36,9.75,11.85,4.15,8.02,2.06,4.18,3.5
2021-04-19,20.6575,0.140020147,20.78,9.33,12.16,4.22,6.62,9.66,6.03,3.22
2021-04-20,14.960416666666667,1.14479101,22.43,9.44,12.55,4.63,4.18,8.56,4.79,4.9
2021-04-21,16.138749999999998,0.369949639,17.27,7.54,11.72,4.44,2.8,3.06,3.46,5.66
2021-04-22,15.691250000000004,-0.0150468427999999,11.65,7.41,11.65,4.49,0.94,2.62,3.11,8.14
2021-04-23,16.013333333333335,0.0279848918,13.82,7.89,12.61,4.12,1.59,3.39,4.12,7.18
2021-04-24,14.806666666666668,0.0009662572,17.55,7.82,12.23,4.25,2.55,3.35,3.71,7.57
2021-04-25,13.471666666666664,0.620060444,16.57,12.14,12.02,4.19,3.25,3.32,3.92,5.99
2021-04-26,15.6725,-0.030010074,16.17,10.33,12.24,4.22,4.61,1.37,4.63,8.02
2021-04-27,16.718749999999996,0.675078034,16.77,11.69,12.33,4.14,5.84,3.21,5.64,6.63
2021-04-28,17.77208333333333,-0.054851417,21.02,8.07,12.03,4.17,9.78,7.02,4.11,5.9
2021-04-29,17.82208333333333,0.1019566811999999,18.5,7.94,11.77,4.09,9.18,2.81,3.75,6.26
2021-04-30,15.477083333333328,-0.1060332432,17.37,8.2,12.04,3.47,10.93,2.31,2.76,5.72
2021-05-01,12.706666666666669,-0.0439576907999999,16.49,8.76,12.42,3.62,8.87,3.0,3.67,5.1
2021-05-02,14.300416666666669,0.6100181248,16.27,8.28,12.58,3.39,8.11,4.3,3.42,4.42
2021-05-03,18.33375,-0.045083106,16.34,7.14,11.81,3.6,7.62,3.03,3.62,5.36
2021-05-04,17.598750000000006,0.1029733083999999,16.28,10.86,12.44,3.95,7.84,2.54,4.24,5.38
2021-05-05,18.737083333333327,-0.179939568,16.93,11.14,12.09,4.33,7.27,2.79,4.05,5.04
2021-05-06,14.012083333333337,-0.109999999,15.94,10.0,12.11,4.78,6.52,2.81,4.17,5.36
2021-05-07,18.040000000000003,-0.119823709,16.65,9.38,12.3,4.45,5.98,3.08,4.96,5.52
2021-05-08,17.215833333333332,-0.0430488556,17.12,7.98,12.54,4.31,7.72,4.21,3.87,5.32
2021-05-09,15.18,-0.0750226743999999,16.71,7.68,11.86,4.42,5.64,3.08,4.21,5.4
2021-05-10,16.40583333333333,-0.1320413032,17.34,6.0,11.78,3.92,1.64,3.72,4.41,4.28
2021-05-11,18.988333333333333,-0.084977329,18.09,7.32,11.71,3.98,0.42,5.1,3.4,5.75
2021-05-12,17.862916666666667,0.089959703,16.44,8.81,12.11,3.77,0.37,3.15,3.61,6.39
2021-05-13,15.40791666666666,0.205052882,17.63,14.15,12.06,3.98,0.11,2.86,4.2,7.35
2021-05-14,13.563333333333333,0.2180554048,20.44,6.54,12.27,3.91,5.84,4.92,5.16,6.31
2021-05-15,15.253749999999998,0.0340745488,19.04,8.08,12.31,3.34,6.24,4.75,7.25,4.4
2021-05-16,14.389583333333333,0.2640271974,19.28,6.72,12.32,3.39,6.27,3.01,5.01,4.73
2021-05-17,15.273749999999998,-0.0269753202,19.38,5.87,11.78,3.47,7.25,4.34,7.32,6.0
2021-05-18,14.669166666666667,0.629999997,18.61,8.59,12.34,3.59,6.76,5.5,4.43,4.73
2021-05-19,19.64625,0.134926975,17.57,4.92,12.26,3.58,7.24,3.11,3.87,6.81
2021-05-20,28.675,0.1819919416,17.68,5.64,12.31,3.62,9.87,2.34,1.8,6.23
2021-05-21,21.53291666666667,0.1789853908,16.83,6.66,12.11,3.71,8.86,2.39,3.36,5.76
2021-05-22,26.63333333333333,0.163001509,17.42,6.01,12.34,3.53,7.48,3.57,3.96,5.69
2021-05-23,23.76750000000001,0.1229712898,17.88,6.42,12.58,4.02,20.85,2.39,3.41,7.59
2021-05-24,24.875,-0.0350599361999999,17.82,6.33,12.58,3.97,44.26,3.63,3.87,9.54
2021-05-25,23.52916666666667,0.4639727917999999,18.0,5.95,12.85,4.47,44.15,3.22,3.57,4.65
2021-05-26,18.985416666666666,0.1209974796,17.49,4.5,12.35,4.05,15.34,2.07,4.49,4.76
2021-05-27,21.00125000000001,0.115027703,16.95,6.34,12.11,3.98,18.82,5.1,4.08,5.4
2021-05-28,25.25333333333333,0.440045327,17.6,6.54,11.9,3.89,47.61,2.57,4.58,6.03
2021-05-29,23.39583333333333,0.260050386,19.49,7.33,12.08,3.77,23.54,5.92,12.08,4.82
2021-05-30,23.8275,0.154982373,18.53,7.94,12.98,4.33,21.49,3.56,12.98,4.59
2021-05-31,27.73708333333333,0.1589974836,17.82,7.14,11.92,4.22,45.08,0.93,4.79,5.02
2021-06-01,41.063750000000006,0.274978342,17.98,7.17,12.39,4.42,13.23,6.14,3.64,6.14
2021-06-02,39.30041666666667,-0.0149753172,20.21,7.25,12.07,4.16,24.62,4.66,8.58,4.66
2021-06-03,22.81416666666667,0.107996978,19.5,14.21,12.34,3.84,14.72,5.2,3.9,5.2
2021-06-04,23.425416666666663,0.159999996,16.49,6.62,12.3,3.59,5.25,6.01,3.7,6.01
2021-06-05,23.32083333333333,0.0920251883999999,17.71,8.96,11.85,3.83,11.33,4.81,4.28,4.81
2021-06-06,37.51666666666667,-0.065062963,18.65,12.36,11.53,3.83,35.2,4.8,4.73,4.8
2021-06-07,26.49416666666667,-0.330000013,22.98,9.78,11.62,4.0,42.28,3.14,7.53,4.91
2021-06-08,41.51583333333334,0.559909344,20.76,6.76,11.41,4.2,52.85,4.83,8.09,5.95
2021-06-09,23.986666666666665,0.0180392899999999,23.69,7.49,10.93,5.85,57.23,8.54,16.51,5.68
2021-06-10,23.470416666666665,0.3540342504,18.81,6.82,11.58,10.65,34.24,3.04,3.13,4.69
2021-06-11,22.685416666666665,-0.0359798511999999,18.17,7.6,11.83,8.46,32.55,6.38,4.23,4.85
2021-06-12,14.00125,0.0549823708,17.8,6.54,12.07,9.03,50.99,4.45,2.37,4.73
2021-06-13,15.55375,0.2469924444,17.38,7.47,11.82,8.01,18.715000000000003,2.25,4.46,5.54
2021-06-14,16.317083333333333,-0.0100171313999999,16.81,7.08,12.27,5.91,19.56,2.22,3.4,6.03
2021-06-15,17.8325,0.080040291,17.85,8.19,11.86,5.61,6.29,3.33,3.83,7.07
2021-06-16,26.975833333333338,0.292936027,17.75,2.47,12.1,5.4,7.62,4.49,3.87,6.4
2021-06-17,17.37625,0.1449813574,18.39,2.38,12.37,4.64,8.95,3.8,4.48,7.03
2021-06-18,16.566666666666666,0.1359899168,18.1,2.01,11.83,4.74,10.88,3.87,2.66,7.28
2021-06-19,14.768333333333336,0.1620141031999999,17.55,2.2,11.98,4.91,9.37,4.13,4.39,6.71
2021-06-20,17.8825,-0.25999999,17.27,2.18,12.55,4.8,7.44,6.46,4.14,6.46
2021-06-21,25.297083333333333,0.2420090686,17.5,2.04,12.66,4.39,9.74,2.46,5.92,5.81
2021-06-22,30.101249999999997,-0.209999993,17.72,2.03,11.54,4.63,12.96,7.04,6.6,6.66
2021-06-23,33.00583333333333,0.2079586976,20.39,2.14,10.95,4.72,5.05,4.94,5.48,6.81
2021-06-24,33.915,-0.0039758212,17.59,1.96,12.14,5.28,4.23,4.0,3.9,6.29
2021-06-25,26.172083333333333,-0.0109753153999999,17.51,1.96,13.49,5.47,6.66,2.95,5.01,7.6
2021-06-26,23.405833333333334,0.1380382792,17.0,2.12,13.05,5.29,7.13,3.98,5.81,6.85
2021-06-27,37.54166666666666,0.107042811,17.3,1.89,13.12,5.2,4.91,3.21,13.12,5.43
2021-06-28,23.485,-0.020146063,17.23,2.0,12.06,5.55,8.31,3.21,4.65,6.8
2021-06-29,19.27708333333334,-0.024947112,15.88,2.1,11.12,5.76,4.56,2.25,2.14,6.74
2021-06-30,25.00458333333333,-0.385158658,18.74,2.09,12.93,5.58,4.47,6.26,4.36,6.71
2021-07-01,23.00791666666667,0.2199707874,18.12,2.02,13.35,5.86,7.27,4.84,3.99,7.01
2021-07-02,35.95708333333332,-0.146964242,19.09,1.99,13.31,6.17,6.68,6.02,3.79,7.36
2021-07-03,37.01958333333334,0.0729904284,18.07,2.03,13.18,5.96,4.0,5.89,4.8,6.85
2021-07-04,31.3275,-0.0850206478,17.91,2.15,13.62,6.33,6.41,3.9,4.28,5.32
2021-07-05,32.63458333333333,0.2489854001999999,18.52,2.07,13.12,6.24,5.33,3.36,5.01,6.88
2021-07-06,25.53583333333333,0.115027703,20.07,3.44,13.37,6.33,8.43,8.11,5.93,6.63
2021-07-07,23.882500000000004,0.0080362658,17.72,2.09,13.22,5.94,6.39,5.9,4.68,6.44
2021-07-08,42.19,0.064932004,18.8,2.07,13.72,6.57,9.2,5.29,3.84,5.98
2021-07-09,27.816666666666677,0.33298338,16.61,2.08,12.82,6.17,10.75,3.59,2.51,7.68
2021-07-10,15.532083333333333,0.3510216588,17.78,2.24,12.74,6.01,7.71,3.06,4.41,9.62
2021-07-11,26.41041666666665,0.1790216564,16.76,2.01,13.05,5.99,11.851666666666668,4.78,3.52,8.83
2021-07-12,28.55,0.1519637302,18.49,2.02,13.21,5.87,11.0,4.09,5.31,9.84
2021-07-13,26.379583333333333,0.2199466153999999,18.38,1.95,13.42,6.19,12.54,5.46,7.43,11.73
2021-07-14,21.84958333333334,0.0409592018,17.6,2.05,12.6,6.16,10.11,3.54,3.83,10.44
2021-07-15,17.25583333333333,-0.180000007,14.76,2.05,12.66,6.16,6.39,2.98,3.32,10.43
2021-07-16,26.8975,0.170000002,16.78,2.03,12.77,6.36,7.47,3.83,3.35,10.18
2021-07-17,23.445,0.3969400566,17.51,2.24,12.94,6.68,9.92,2.47,2.27,10.07
2021-07-18,13.245833333333335,0.1620322346,15.72,2.07,12.56,7.73,9.0,3.37,3.46,9.31
2021-07-19,19.357083333333332,0.12898338,16.34,2.13,13.16,7.52,8.21,2.53,4.12,9.51
2021-07-20,20.276666666666667,0.0679415745999999,17.01,2.02,12.25,7.53,7.85,9.41,3.64,10.47
2021-07-21,20.91625000000001,0.0410659821999999,16.33,1.83,12.88,8.25,7.88,3.24,3.22,9.67
2021-07-22,16.084583333333338,0.1500120939999999,17.74,1.92,13.05,4.58,4.58,3.3,3.26,9.23
2021-07-23,17.943749999999994,0.289038788,16.89,1.92,13.12,7.16,7.16,3.69,4.07,9.46
2021-07-24,14.66625,-0.305183858,17.42,1.98,12.97,8.87,8.87,2.38,3.28,9.51
2021-07-25,16.913333333333334,0.74000001,16.93,2.02,12.77,4.18,4.18,3.31,3.4,8.9
2021-07-26,26.02208333333333,0.185098216,17.17,1.92,13.18,6.27,6.27,3.89,4.04,10.71
2021-07-27,22.555416666666662,0.0829551695999999,17.3,2.15,12.7,10.15,10.15,5.45,3.4,10.05
2021-07-28,20.41,0.2260533782,17.05,1.95,12.97,10.92,10.92,3.49,3.68,10.18
2021-07-29,24.139166666666664,0.1320272022,17.04,2.02,13.23,10.64,10.64,2.23,3.9,9.87
2021-07-30,19.16791666666667,0.1800000058,18.59,1.99,13.36,12.65,12.65,2.96,4.45,9.35
2021-07-31,20.335000000000004,0.2649884182,16.98,1.95,13.62,12.89,12.89,3.5,4.62,9.6
2021-08-01,17.271666666666675,-0.035108287,16.2,2.06,13.37,5.03,5.03,4.42,3.44,9.55
2021-08-02,22.88875,0.01,16.73,2.01,14.41,7.06,7.06,5.05,3.95,9.4
2021-08-03,22.09291666666667,0.3500584334,16.58,2.08,12.05,5.34,5.34,3.22,3.81,9.62
2021-08-04,29.21583333333333,0.2899637414,16.33,2.1,13.32,5.12,5.12,4.49,3.92,9.62
2021-08-05,20.469583333333336,0.3239385456,17.48,1.99,14.02,5.21,5.21,3.85,4.37,11.11
2021-08-06,23.8175,0.2109682666,17.19,2.04,13.35,4.54,4.54,4.02,4.81,10.94
