date,open_SO2,sate_SO2,"Arumbakkam, Chennai - TNPCB",Gandhi Nagar,"Kodungaiyur, Chennai - TNPCB","Manali Village, Chennai - TNPCB","Manali, Chennai - CPCB","Perungudi, Chennai - TNPCB","Royapuram, Chennai - TNPCB",Velachery Res
2020-11-24,14.3675,0.320965231,4.26,14.24,3.33,3.33,16.58,4.26,3.33,4.26
2020-11-25,7.808333333333333,0.0439858982,6.01,6.76,14.98,14.98,15.74,6.01,14.98,6.01
2020-11-26,13.109166666666669,0.0900241773999999,4.94,8.89,7.34,7.34,5.67,4.94,7.34,4.94
2020-11-27,44.8625,0.2020040218,18.25,4.39,6.51,6.51,2.92,18.25,6.51,18.25
2020-11-28,25.02,0.227982878,3.51,4.45,6.97,6.97,2.6,3.51,6.97,3.51
2020-11-29,19.77958333333333,0.3590226622,10.58,8.41,6.96,6.96,3.29,10.58,6.96,10.58
2020-11-30,22.66625,0.3170528903999999,8.67,4.41,4.34,4.34,1.67,8.67,4.34,8.67
2020-12-01,23.59375,0.3589612102,2.54,7.33,4.11,4.11,3.74,2.54,4.11,2.54
2020-12-02,17.545416666666657,0.0230438134,7.48,7.93,4.38,4.38,5.42,7.48,4.38,7.48
2020-12-03,13.625833333333334,0.0959999998,5.27,11.62,3.4,3.4,5.47,5.27,3.4,5.27
2020-12-04,13.51791666666667,0.1660443184,6.38,10.53,6.38,2.97,31.67,6.37,3.68,6.37
2020-12-05,11.439583333333331,0.2509733027999999,2.41,10.39,7.26,10.15,8.1,4.97,6.2,4.97
2020-12-06,14.340000000000002,-0.0270992287999999,2.12,5.81,7.17,9.9,7.38,4.56,3.57,4.56
2020-12-07,18.294166666666666,0.1059657462,2.09,6.41,8.56,8.56,8.56,3.36,2.47,3.36
2020-12-08,23.36125,0.1879506303999999,5.92,7.28,11.23,11.23,8.72,5.92,4.28,5.92
2020-12-09,25.907916666666665,0.2990095659999999,4.3,6.24,4.3,11.21,10.75,6.36,6.46,6.36
2020-12-10,32.7825,-0.209999993,5.5,8.45,5.5,10.76,8.19,3.8,16.94,3.8
2020-12-11,28.967916666666657,-0.0170639646,3.96,9.99,9.51,10.55,7.58,5.61,4.0,5.61
2020-12-12,27.453333333333337,-0.435012609,1.89,11.08,10.48,11.05,10.61,23.14,5.79,23.14
2020-12-13,29.167500000000004,0.0270015139999999,2.19,11.21,7.97,10.57,11.16,11.25,4.32,11.25
2020-12-14,31.98708333333333,0.209929481,5.72,11.54,5.72,10.32,9.82,15.0,5.1,15.0
2020-12-15,20.07208333333333,0.2629632188,7.48,11.26,7.48,10.28,9.84,16.47,3.33,16.47
2020-12-16,18.761250000000004,0.31002719,6.91,12.58,6.91,9.83,7.19,12.08,2.31,12.08
2020-12-17,20.34583333333333,0.172008057,6.23,11.67,6.23,9.79,6.62,3.28,2.41,7.07
2020-12-18,18.22541666666667,0.560000002,8.03,14.43,8.03,9.21,6.05,2.66,2.81,10.62
2020-12-19,15.225833333333336,0.352000003,5.68,10.66,5.68,9.81,5.99,3.37,2.62,10.47
2020-12-20,18.49375,0.0570297159999999,6.38,15.64,6.38,9.71,5.92,10.76,3.55,10.76
2020-12-21,25.670000000000005,0.709999979,3.79,10.41,12.66,9.57,5.85,13.04,3.39,13.04
2020-12-22,28.330833333333327,-0.0230146093999999,4.63,9.19,8.09,9.69,7.6,5.75,5.75,15.05
2020-12-23,28.918750000000003,0.0010266914,4.31,12.84,8.0,10.16,10.64,7.91,4.54,19.6
2020-12-24,30.83583333333333,0.0849884168,4.01,11.2,9.99,9.99,11.17,6.62,5.94,17.67
2020-12-25,27.31333333333333,0.5280000034,4.22,10.18,9.93,9.93,12.03,9.49,5.76,18.1
2020-12-26,23.719166666666663,0.569999993,3.69,12.1,9.08,9.08,9.42,7.24,6.19,19.97
2020-12-27,25.133333333333336,0.1970136034,21.6,13.45,8.51,8.51,9.14,6.93,3.36,21.6
2020-12-28,27.38875,-0.079999998,3.98,11.89,9.78,8.69,8.93,8.32,10.47,23.37
2020-12-29,24.766250000000003,-0.1009682715999999,4.73,8.97,10.03,8.44,10.98,7.74,7.44,22.93
2020-12-30,19.58541666666667,0.4909732939999999,2.37,8.98,8.2,8.7,7.53,4.12,3.07,22.33
2020-12-31,19.39666666666667,0.2570377795999999,4.7,9.97,5.16,8.49,7.07,2.71,3.09,23.54
2021-01-01,20.89791666666667,-0.0440040298,4.86,9.15,7.28,8.57,8.07,4.71,2.89,24.85
2021-01-02,14.956250000000002,0.3149591882,5.22,9.47,8.85,8.32,23.508000000000003,4.72,3.66,24.74
2021-01-03,16.197916666666668,0.2089652493999999,5.63,8.86,11.7,8.36,7.78,3.86,2.95,23.84
2021-01-04,20.63416666666667,0.0729934538,5.15,11.63,8.32,8.72,8.76,2.41,4.34,24.8
2021-01-05,20.945833333333336,0.1799889184,6.18,8.84,6.34,8.74,8.39,3.06,4.03,24.69
2021-01-06,34.46125,0.1049833828,2.73,9.31,4.18,9.35,8.21,2.0,7.41,23.81
2021-01-07,27.477500000000003,0.055954671,3.33,6.5,5.71,8.74,8.43,6.13,5.39,25.42
2021-01-08,25.222916666666663,0.2379848914,3.44,6.19,6.35,9.53,7.93,7.11,4.9,25.03
2021-01-09,18.244166666666672,0.3669773206,4.49,7.12,6.29,8.4,8.15,6.44,2.56,21.56
2021-01-10,21.954583333333336,0.1859647364,5.43,6.6,8.57,8.32,7.7,5.24,2.38,22.23
2021-01-11,23.265833333333333,-0.239999995,6.0,8.03,8.43,7.92,7.75,6.21,3.46,19.76
2021-01-12,20.609166666666667,-0.0040100776,6.44,7.49,7.48,8.97,7.54,4.39,3.84,22.45
2021-01-13,21.925,0.3990065372,6.5,11.62,8.1,9.41,9.4,6.02,4.73,27.29
2021-01-14,21.32375,0.1549723058,6.62,7.51,6.09,8.56,5.51,4.95,3.95,20.52
2021-01-15,27.646666666666672,0.269894212,6.3,9.47,5.66,8.31,5.14,5.69,2.49,22.38
2021-01-16,31.968333333333323,-0.1120030254,6.28,6.86,7.41,8.47,5.51,5.21,4.74,21.23
2021-01-17,24.219583333333333,-0.0359999983999999,4.9,9.28,5.63,8.53,5.8,3.77,4.24,22.13
2021-01-18,24.99875,0.310991429,4.98,6.63,6.47,8.32,5.81,3.76,4.36,25.21
2021-01-19,30.36916666666667,0.209939569,5.07,7.82,10.06,8.34,7.0,3.29,2.67,27.26
2021-01-20,36.34875,0.1449632302,6.63,12.07,5.22,7.87,5.65,14.43,8.7,28.46
2021-01-21,49.650416666666665,0.2570135922,6.17,9.56,8.46,8.46,5.56,4.32,3.24,26.96
2021-01-22,36.34416666666666,-0.230000004,6.04,7.9,8.74,8.74,5.16,3.31,3.71,25.89
2021-01-23,40.43208333333333,0.3089632218,6.1,9.52,8.19,8.19,4.43,3.24,3.56,24.99
2021-01-24,53.16833333333332,0.023995974,5.63,9.83,9.04,9.04,10.56,4.4,5.38,25.62
2021-01-25,39.31958333333335,0.1479536624,4.04,11.04,8.59,8.59,9.94,4.41,4.72,26.04
2021-01-26,33.73650000000001,0.6829783368,5.05,10.66,8.72,8.72,10.2,4.94,5.21,26.43
2021-01-27,31.83,0.674740613,5.5,11.14,8.36,8.36,6.26,3.14,4.28,25.18
2021-01-28,21.587499999999995,-0.0910418044,5.8,9.94,8.29,8.29,7.79,7.1,4.88,26.91
2021-01-29,22.87833333333333,0.309884161,6.1,13.76,7.83,7.83,11.19,3.62,6.96,25.96
2021-01-30,22.044166666666666,0.0360030218,6.01,19.56,8.13,8.13,7.75,4.14,3.24,24.89
2021-01-31,20.1225,-0.269979864,5.54,30.79,8.23,8.23,5.98,4.54,2.33,23.87
2021-02-01,25.17291666666667,0.1869864086,5.91,10.06,9.13,9.13,11.17,3.55,2.62,25.37
2021-02-02,24.45375,0.0180130932,6.42,8.4,9.12,9.12,15.43,3.84,2.81,26.31
2021-02-03,27.770416666666677,-0.0499999986,7.23,9.99,10.45,10.45,13.47,3.59,4.71,25.52
2021-02-04,30.4975,0.340231687,6.97,8.17,9.14,9.14,9.23,5.35,7.59,27.86
2021-02-05,31.07833333333333,0.035269465,7.18,7.87,10.17,10.17,10.44,7.55,8.85,32.5
2021-02-06,25.989166666666677,0.138902787,7.32,8.59,10.72,10.72,10.02,5.74,6.75,29.48
2021-02-07,25.83458333333333,-0.090080589,7.49,9.69,9.38,9.38,10.72,8.44,8.05,37.22
2021-02-08,25.13291666666667,0.1260201492,8.5,13.21,8.5,8.5,5.77,3.33,3.89,31.86
2021-02-09,31.67958333333334,0.0639516442,7.53,12.14,10.71,10.71,13.84,3.3,2.81,30.51
2021-02-10,43.552083333333336,0.0520191378,7.79,11.34,14.45,14.45,11.74,4.2,3.42,34.46
2021-02-11,43.49125,0.05597784,7.53,8.85,10.88,10.88,12.12,3.25,7.63,32.62
2021-02-12,36.32833333333334,0.035269465,6.65,13.63,16.69,16.69,10.85,4.82,6.11,4.71
2021-02-13,29.975833333333338,0.2239516406,5.32,10.08,11.18,11.18,7.1,5.61,9.15,6.03
2021-02-14,38.19708333333333,0.230000004,6.81,9.61,8.35,8.35,6.92,9.15,10.65,11.71
2021-02-15,53.38666666666668,0.1429823726,6.31,11.38,8.98,8.98,7.51,5.31,7.16,7.23
2021-02-16,43.775,-0.08494208,5.2,9.85,8.63,8.63,13.15,5.59,5.69,8.34
2021-02-17,26.58375,0.1139526589999999,5.74,8.88,8.4,8.4,12.55,3.39,5.96,5.63
2021-02-18,25.480833333333337,0.05301461,7.59,11.26,8.58,8.58,77.62,4.41,8.34,4.3
2021-02-19,27.239166666666662,0.2289602166,3.84,7.14,7.37,7.37,23.51,9.61,7.91,7.0
