date,open_NO2,sate_NO2,"Indirapuram, Ghaziabad - UPPCB","Sanjay Nagar, Ghaziabad - UPPCB","Vasundhara, Ghaziabad - UPPCB"
2021-11-16,92.85000000000002,6453086000000000.0,3.11,102.1,88.12
2021-11-17,105.14583333333331,9152900000000000.0,8.48,83.56,83.72
2021-11-18,185.44416666666663,8106934000000000.0,7.41,87.65,85.79
2021-11-19,98.84833333333334,5442590000000000.0,8.53,110.97,76.68
2021-11-20,87.08125000000001,2.05e+16,114.6325,128.23,99.03
2021-11-21,57.34958333333332,9059462000000000.0,3.35,87.12,87.61
2021-11-22,52.66625000000001,6990170000000000.0,2.61,52.72,48.99
2021-11-23,94.99291666666666,8149354000000000.0,0.97,90.47,69.18
2021-11-24,92.77875000000002,1.47e+16,128.73,115.95,88.97
2021-11-25,103.98875000000002,7204206000000000.0,114.506,80.13,87.92
2021-11-26,83.21166666666666,6028210000000000.0,115.636,87.59,93.65
2021-11-27,45.77541666666665,1.18e+16,107.636,72.79,68.4
2021-11-28,93.45041666666668,7628362000000000.0,85.716,57.32,69.39
2021-11-29,76.92833333333333,1.49e+16,1.83,102.01,71.5
2021-11-30,75.72708333333334,8134232000000000.0,1.5,88.56,65.65
2021-12-01,96.22083333333332,1.4291138e+16,6.3,110.11,88.78
2021-12-02,80.74083333333333,7507810000000000.0,10.46,90.54,73.11
2021-12-03,105.48833333333334,9353856000000000.0,1.27,83.33,56.64
2021-12-04,123.66750000000002,9632594000000000.0,2.75,102.93,35.89
2021-12-05,83.42541666666668,6340194000000000.0,2.72,80.49,58.76
2021-12-06,58.650000000000006,1.92e+16,21.82,53.87,54.98
2021-12-07,65.71791666666667,7600172000000000.0,36.68,54.48,56.9
2021-12-08,82.76833333333333,9873770000000000.0,35.84,65.99,60.44
2021-12-09,103.50333333333334,6314470000000000.0,38.56,83.42,79.95
2021-12-10,86.40958333333334,9682470000000000.0,35.09,82.41,72.99
2021-12-11,79.87041666666666,6898116000000000.0,31.83,89.8,65.82
