date,open_NO2,sate_NO2,"Palayam, Kozhikode - Kerala PCB"
2020-11-24,36.4125,3548460000000000.0,56.96
2020-11-25,17.66333333333333,2985546000000000.0,25.07
2020-11-26,23.89833333333333,3094084000000000.0,13.62
2020-11-27,18.945833333333333,3333112000000000.0,10.16
2020-11-28,15.573750000000004,3147090000000000.0,10.9
2020-11-29,14.4875,4012330000000000.0,12.04
2020-11-30,31.131250000000005,2516002000000000.0,4.99
2020-12-01,21.977916666666665,3086510000000000.0,6.81
2020-12-02,29.175,2031470000000000.0,6.6
2020-12-03,25.555000000000003,3019460000000000.0,16.81
2020-12-04,38.00791666666667,2935516000000000.0,27.98
2020-12-05,29.08916666666666,3569170000000000.0,25.17
2020-12-06,18.25166666666667,694289000000000.0,26.15
2020-12-07,23.87625,3498058000000000.0,12.55
2020-12-08,34.66958333333333,3618730000000000.0,18.2
2020-12-09,25.651666666666667,2546640000000000.0,23.33
2020-12-10,24.890416666666667,4096590000000000.0,16.96
2020-12-11,16.248750000000005,2822770000000000.0,20.62
2020-12-12,15.162916666666668,3134320000000000.0,21.92
2020-12-13,14.166666666666664,2448022000000000.0,15.12
2020-12-14,22.979999999999997,3127970000000000.0,18.23
2020-12-15,20.24291666666667,3968850000000000.0,23.65
2020-12-16,25.42375,2940056000000000.0,22.04
2020-12-17,31.374583333333334,2577096000000000.0,20.01
2020-12-18,28.197499999999994,3383902000000000.0,19.87
2020-12-19,13.374583333333332,3222000000000000.0,22.85
2020-12-20,16.140833333333337,3117576000000000.0,20.6
2020-12-21,19.870833333333334,3220060000000000.0,29.47
2020-12-22,22.89916666666667,1549250000000000.0,29.97
2020-12-23,30.557916666666667,3463012000000000.0,28.88
2020-12-24,24.324166666666667,3888810000000000.0,25.83
2020-12-25,18.867916666666662,2282736000000000.0,22.81
2020-12-26,13.362916666666663,2671490000000000.0,27.66
2020-12-27,17.825833333333335,3109496000000000.0,20.88
2020-12-28,17.347916666666666,2932830000000000.0,28.67
2020-12-29,18.995833333333334,2817422000000000.0,28.44
2020-12-30,19.365,3404810000000000.0,27.87
2020-12-31,31.75958333333333,2914926000000000.0,19.05
2021-01-01,24.683333333333337,2851336000000000.0,19.44
2021-01-02,18.25625,3319510000000000.0,30.69
2021-01-03,15.735416666666673,3728502000000000.0,19.96
2021-01-04,20.82708333333333,2931450000000000.0,18.46
2021-01-05,27.386666666666667,4030412000000000.0,19.27
2021-01-06,31.41083333333333,2467498000000000.0,18.32
2021-01-07,22.238333333333333,7733390000000000.0,17.55
2021-01-08,28.205,2528300000000000.0,12.59
2021-01-09,28.111666666666675,3885030000000000.0,14.55
2021-01-10,25.07916666666667,3185710000000000.0,12.81
2021-01-11,52.265416666666674,2991832000000000.0,15.95
2021-01-12,38.32791666666667,2614590000000000.0,16.25
2021-01-13,27.2,3086918000000000.0,18.26
2021-01-14,37.85708333333334,2989422000000000.0,17.16
2021-01-15,37.08625,2674400000000000.0,15.85
2021-01-16,22.39833333333333,2921900000000000.0,13.18
2021-01-17,12.920833333333333,2234378000000000.0,8.65
2021-01-18,21.1325,3872630000000000.0,15.93
2021-01-19,22.663750000000004,3253852000000000.0,31.06
2021-01-20,19.679166666666664,3797100000000000.0,21.36
2021-01-21,21.10958333333333,2952240000000000.0,23.48
2021-01-22,17.212083333333336,3274920000000000.0,23.08
2021-01-23,14.480833333333337,3663140000000000.0,23.54
2021-01-24,18.703333333333333,3813440000000000.0,24.24
2021-01-25,17.99416666666667,3581550000000000.0,25.69
2021-01-26,21.6895,2539280000000000.0,26.51
2021-01-27,27.932500000000005,3169300000000000.0,29.13
2021-01-28,19.107916666666668,3007346000000000.0,28.46
2021-01-29,13.622083333333334,3777500000000000.0,29.22
2021-01-30,13.4575,3244656000000000.0,29.79
2021-01-31,13.156666666666666,3637270000000000.0,21.39
2021-02-01,23.0375,4133600000000000.0,25.08
2021-02-02,17.665,2976810000000000.0,28.98
2021-02-03,13.509166666666667,3638090000000000.0,28.72
2021-02-04,14.861666666666665,3028436000000000.0,28.07
2021-02-05,12.757083333333334,3084440000000000.0,27.05
2021-02-06,13.692916666666669,3867266000000000.0,33.15
2021-02-07,14.9075,3150310000000000.0,26.09
2021-02-08,19.891250000000003,2638170000000000.0,19.58
2021-02-09,13.911666666666669,3220900000000000.0,43.04
2021-02-10,14.050416666666663,2964800000000000.0,36.43
2021-02-11,16.357083333333332,2440730000000000.0,31.32
2021-02-12,17.23625,3134050000000000.0,31.38
2021-02-13,14.706666666666662,3123586000000000.0,36.68
2021-02-14,14.687916666666666,3900650000000000.0,27.81
2021-02-15,14.374583333333335,2967368000000000.0,29.81
2021-02-16,11.53875,2970030000000000.0,28.43
2021-02-17,10.877083333333331,3418880000000000.0,23.86
2021-02-18,18.92875,3620150000000000.0,21.15
2021-02-19,10.646666666666668,3643640000000000.0,23.54
2021-02-20,12.791666666666666,1128880000000000.0,32.17
2021-02-21,12.967083333333331,3347020000000000.0,24.16
2021-02-22,13.265000000000002,3552278000000000.0,24.01
2021-02-23,13.834583333333333,3005680000000000.0,23.53
2021-02-24,19.6125,3482850000000000.0,25.82
2021-02-25,11.837916666666668,2498280000000000.0,21.49
