date,open_SO2,sate_SO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2020-11-24,12.2775,0.0779999972,5.73,22.2,5.73,16.4775,5.73
2020-11-25,13.758750000000006,0.0100000038,8.85,17.04,8.85,17.919999999999998,8.85
2020-11-26,14.7925,-0.219999999,9.76,15.81,9.76,10.026,9.76
2020-11-27,21.529166666666665,0.239999995,7.55,10.84,7.55,9.41,7.55
2020-11-28,14.047083333333331,-0.280000001,7.71,15.44,7.71,9.3775,7.71
2020-11-29,22.3275,-0.2559999972,4.72,11.74,4.72,10.222,4.72
2020-11-30,32.41416666666667,0.280000001,7.92,10.51,7.92,8.912500000000001,7.92
2020-12-01,26.659166666666668,0.662000014,7.39,10.29,7.39,7.5075,7.39
2020-12-02,25.14916666666667,0.3579999883999999,13.85,9.39,13.85,12.586000000000002,13.85
2020-12-03,31.133750000000006,0.4800000212,2.44,8.5,2.44,18.766,2.44
2020-12-04,31.662499999999994,0.439999998,7.05,11.14,7.05,19.974,7.05
2020-12-05,26.22125,-0.059999999,8.27,16.08,8.27,17.064,8.27
2020-12-06,26.33083333333333,-0.0819999964,7.72,11.13,7.72,15.489999999999998,7.72
2020-12-07,24.890833333333333,0.3740000034,8.55,13.72,8.55,13.236,8.55
2020-12-08,34.57583333333334,0.1020000017999999,6.78,10.11,6.78,11.902,6.78
2020-12-09,22.35666666666667,0.382000007,8.76,7.41,8.76,11.324,8.76
2020-12-10,22.87333333333333,0.035999999,8.74,7.73,8.74,11.802,8.74
2020-12-11,18.8925,-0.080000001,8.42,7.38,8.42,13.678,8.42
2020-12-12,9.834583333333336,-0.0080000015999999,7.67,11.76,7.67,12.544,7.67
2020-12-13,17.569166666666664,1.48000002,7.22,11.64,7.22,10.698,7.22
2020-12-14,21.804583333333337,0.209999993,6.87,11.32,6.87,11.906,6.87
2020-12-15,22.75375,0.2359999984,8.76,11.36,8.76,14.638,8.76
2020-12-16,29.296666666666667,-0.1400000036,8.55,11.06,8.55,11.078,8.55
2020-12-17,20.29125,0.0779999993999999,6.67,10.93,6.67,10.303999999999998,6.67
2020-12-18,18.547083333333337,0.2240000048,8.17,10.83,8.17,11.372,8.17
2020-12-19,15.95041666666667,0.5080000232,7.37,10.95,7.37,11.81,7.37
2020-12-20,18.477083333333336,-0.02,9.61,10.7,9.61,13.104000000000005,9.61
2020-12-21,26.027916666666663,-0.409999996,12.84,10.43,12.84,15.562,12.84
2020-12-22,16.115,0.0980000048,8.71,9.81,8.71,15.09,8.71
2020-12-23,22.644166666666663,0.230000004,9.31,10.51,9.31,17.648000000000003,9.31
2020-12-24,24.76083333333334,0.0839999977999999,9.85,9.47,9.85,19.265,9.85
2020-12-25,15.400000000000004,-1.35000002,7.82,11.05,7.82,13.6025,7.82
2020-12-26,24.175416666666663,0.6480000184,12.98,11.26,12.98,13.5125,12.98
2020-12-27,14.166249999999998,0.5960000212000001,10.25,10.75,10.25,15.5575,10.25
2020-12-28,16.545416666666664,0.1760000018,8.7,11.14,8.7,12.7325,8.7
2020-12-29,14.399999999999997,-0.1340000006,12.38,11.16,12.38,10.5025,12.38
2020-12-30,16.52625,-0.379999995,17.11,12.02,17.11,9.055,17.11
2020-12-31,21.42833333333333,-0.198000004,15.85,13.16,15.85,10.28,15.85
2021-01-01,44.34916666666666,0.439999998,17.65,15.37,17.65,12.71,17.65
2021-01-02,14.927083333333334,-0.1140000066,15.15,15.85,15.15,13.91,15.15
2021-01-03,12.572500000000003,0.0519999834,11.15,15.94,11.15,12.8525,11.15
