date,open_SO2,sate_SO2,"City Center, Gwalior - MPPCB","Phool Bagh, Gwalior - Mondelez Ind"
2020-11-24,5.9025,0.179553106,22.73,17.974999999999998
2020-11-25,7.574166666666667,0.629999995,19.96,7.37
2020-11-26,9.608333333333334,-0.0775392802,24.69,15.72
2020-11-27,12.08791666666667,-0.1025858668,16.5,10.97
2020-11-28,6.177499999999998,-0.287002563,14.71,31.53
2020-11-29,9.62625,-0.0724803156,24.9,30.94
2020-11-30,10.552499999999998,-0.051874246,11.06,0.73
2020-12-01,7.211250000000001,0.0548517955999999,16.62,35.2
2020-12-02,7.300000000000001,-0.352880418,17.68,8.027500000000002
2020-12-03,7.447916666666667,0.088759303,27.38,10.1275
2020-12-04,11.558333333333332,0.1105627769999999,25.06,32.16
2020-12-05,7.195833333333334,0.441107661,26.7,14.8925
2020-12-06,8.342916666666667,0.034235075,26.63,13.3375
2020-12-07,12.63416666666667,0.102199391,27.65,15.7775
2020-12-08,9.020416666666664,0.242947548,25.86,13.9525
2020-12-09,12.670000000000002,0.055469946,22.38,12.23
2020-12-10,10.035416666666665,0.899499893,29.73,13.015
2020-12-11,4.465000000000001,-0.0510372418,31.36,12.384999999999998
2020-12-12,4.595833333333333,-0.0494092395999999,29.97,16.9675
2020-12-13,13.540416666666667,-0.0220677989999999,22.72,15.237499999999995
2020-12-14,17.609166666666663,0.043076526,19.36,14.3925
2020-12-15,14.245416666666666,0.1570168733999999,23.14,15.675
2020-12-16,16.676250000000007,-0.1833581602,28.06,20.7
2020-12-17,6.268750000000002,-0.0315143627999999,26.29,22.16
2020-12-18,4.115833333333334,-0.51973933,25.32,13.15
2020-12-19,4.7525,0.105849639,27.4,14.920000000000002
2020-12-20,4.56125,0.0421188024,40.28,19.108
2020-12-21,6.196249999999999,0.118639603,30.42,18.84
2020-12-22,9.723333333333333,-0.1624332666,39.69,21.271666666666672
2020-12-23,13.726666666666668,-0.004999992,38.09,20.26333333333333
2020-12-24,16.29041666666667,-3.37759999999937e-05,28.9,20.593333333333334
2020-12-25,17.82125,0.0110389976,32.94,19.56833333333333
2020-12-26,8.51375,-0.174473301,31.61,20.20833333333333
2020-12-27,11.883333333333333,0.620000005,25.25,22.813333333333333
2020-12-28,19.605833333333333,0.179914877,24.07,19.578333333333333
2020-12-29,9.54375,0.0373089302,27.82,18.30666666666667
2020-12-30,9.809999999999995,0.147465423,24.86,17.400000000000002
2020-12-31,10.948750000000002,-0.0525483796,24.04,18.313333333333336
2021-01-01,8.597083333333334,0.0416004285999999,23.93,19.03333333333333
2021-01-02,5.445416666666668,-0.143479883,25.33,23.508000000000003
