date,open_SO2,sate_SO2,"GVM Corporation, Visakhapatnam - APPCB"
2020-11-24,7.362500000000001,0.1341757264,10.29
2020-11-25,8.087083333333334,-0.159728035,8.07
2020-11-26,3.4445833333333336,0.0724164754,10.81
2020-11-27,7.128333333333331,0.1312995822,7.44
2020-11-28,6.872500000000002,-0.150000006,6.46
2020-11-29,8.846249999999998,0.0331195033999999,5.33
2020-11-30,9.837499999999997,-0.098902255,7.87
2020-12-01,9.117916666666668,-0.0411088569999999,9.6
2020-12-02,8.742500000000001,-0.290022701,5.67
2020-12-03,6.164166666666667,0.0866503596,8.88
2020-12-04,5.935416666666665,0.304443181,7.42
2020-12-05,3.886249999999999,-0.054950807,10.09
2020-12-06,4.0145833333333325,-0.0936932758,15.47
2020-12-07,4.355416666666666,0.144126147,18.4
2020-12-08,19.555,0.1500913398,4.49
2020-12-09,22.91125,0.1707775,5.54
2020-12-10,43.5125,0.0859195173999999,19.2
2020-12-11,70.21874999999997,-0.057050962,18.3
2020-12-12,64.71083333333334,0.175465614,14.93
2020-12-13,68.08083333333333,0.193526715,39.58
2020-12-14,27.486666666666668,0.132564425,12.49
2020-12-15,6.978750000000001,0.1370010004,9.22
2020-12-16,9.92041666666667,0.361645818,8.12
2020-12-17,9.125416666666668,0.1073741319999999,8.22
2020-12-18,11.01625,0.1059512429999999,11.26
2020-12-19,9.67,0.1570418402,20.32
2020-12-20,12.350416666666668,-0.140200749,18.66
2020-12-21,15.304166666666664,0.000618139,13.95
2020-12-22,21.175,0.2584014684,8.16
2020-12-23,13.361666666666665,-0.033069808,13.17
2020-12-24,15.23125,0.0993805265999999,8.84
2020-12-25,13.429583333333335,0.127184525,18.89
2020-12-26,14.509583333333332,0.0456213995999999,15.57
2020-12-27,14.656250000000004,-0.35597533,11.92
2020-12-28,16.84708333333333,0.06725812,9.27
2020-12-29,14.6575,0.250191659,7.5
2020-12-30,14.459166666666668,0.079557926,9.3
2020-12-31,14.343333333333334,0.058367835,19.13
2021-01-01,10.026666666666666,-0.100000001,3.63
2021-01-02,11.317916666666669,0.2009712756,3.94
2021-01-03,9.803333333333333,-0.140000001,5.57
2021-01-04,7.90125,0.0899942798,10.88
2021-01-05,6.1275,0.036733061,15.03
2021-01-06,11.275416666666668,-0.051445961,16.81
2021-01-07,3.854583333333333,0.1911820045999999,15.16
2021-01-08,3.6354166666666656,0.216151223,15.72
2021-01-09,3.026250000000001,0.162507341,15.29
2021-01-10,22.980833333333333,0.095315717,17.31
2021-01-11,12.159999999999998,0.0260727606,16.71
2021-01-12,41.63791666666668,0.115948878,13.96
2021-01-13,90.32499999999996,0.324458897,18.08
2021-01-14,39.025,0.254028171,14.49
2021-01-15,86.4666666666667,0.206803888,18.41
2021-01-16,60.74750000000001,0.0428135416,20.77
2021-01-17,32.75375000000001,-0.246498317,18.03
2021-01-18,19.305000000000003,0.1070877627999999,17.4
2021-01-19,83.67416666666666,0.293128163,2.18
