date,open_NO2,sate_NO2,"Ardhali Bazar, Varanasi - UPPCB","Bhelupur, Varanasi - UPPCB","IESD Banaras Hindu University, Varanasi - UPPCB","Maldahiya, Varanasi - UPPCB"
2020-12-24,47.53875,4870406000000000.0,97.76,97.76,97.76,32.548571428571435
2020-12-25,31.34833333333334,4939990000000000.0,99.24,99.24,99.24,31.54
2020-12-26,40.97166666666666,4959446000000000.0,96.95,96.95,96.95,32.97
2020-12-27,49.787500000000016,4578750000000000.0,97.13,97.13,97.13,29.798571428571428
2020-12-28,40.27,6771280000000000.0,109.29,109.29,109.29,29.282857142857143
2020-12-29,36.54500000000001,5141190000000000.0,109.31,109.31,109.31,31.01
2020-12-30,41.62041666666666,1.16e+16,104.2,104.2,104.2,33.18
2020-12-31,41.50958333333333,5611220000000000.0,106.39,106.39,106.39,31.23
2021-01-01,64.53333333333335,5382470000000000.0,107.4,107.4,107.4,30.95
2021-01-02,45.03958333333333,5165686000000000.0,110.5,110.5,110.5,32.5625
2021-01-03,32.227916666666665,4996330000000000.0,114.23,114.23,114.23,33.28142857142857
2021-01-04,32.211666666666666,5762538000000000.0,113.89,113.89,113.89,33.1575
2021-01-05,61.34833333333333,5084176000000000.0,111.25,111.25,111.25,31.72625
2021-01-06,58.50708333333332,1.5e+16,102.8,102.8,102.8,33.83
2021-01-07,40.845416666666665,5015194000000000.0,101.34,101.34,101.34,35.03285714285715
2021-01-08,44.63666666666666,7085010000000000.0,101.14,101.14,101.14,29.34875
