date,open_SO2,sate_SO2,"Ballygunge, Kolkata - WBPCB","Bidhannagar, Kolkata - WBPCB","Fort William, Kolkata - WBPCB","Jadavpur, Kolkata - WBPCB","Rabindra Bharati University, Kolkata - WBPCB","Victoria, Kolkata - WBPCB"
2021-02-27,89.42666666666666,0.689999998,14.64,25.36,14.58,11.1,33.79,13.31
2021-02-28,78.57833333333333,0.0880000068,11.67,21.69,15.48,10.28,25.5,13.96
2021-03-01,109.59333333333336,0.400000006,9.93,19.56,13.57,9.35,20.66,10.94
2021-03-02,90.57875,-0.1619999994,10.19,18.1,12.34,8.72,10.27,11.31
2021-03-03,104.785,-0.07,12.89,21.77,22.36,8.91,17.0,18.53
2021-03-04,118.49458333333332,0.3240000166,20.49,21.91,28.97,12.09,24.26,19.65
2021-03-05,59.08708333333334,0.0279999986,10.56,12.09,10.18,9.98,10.62,11.05
2021-03-06,73.67083333333333,0.2620000236000001,13.66,17.39833333333333,17.0,9.67,33.34,19.26
2021-03-07,106.87166666666668,0.529999971,10.5,19.666,12.58,8.6,8.46,11.28
2021-03-08,59.685,0.029999999,13.59,19.2,12.65,10.98,12.63,14.93
2021-03-09,58.234166666666646,0.0519999994,7.88,12.37,8.4,6.33,12.06,10.29
2021-03-10,101.50708333333334,-0.0919999991999999,8.01,12.79,8.6,6.14,9.94,11.13
2021-03-11,100.93083333333333,0.0440000074,7.42,11.15,8.04,5.45,8.26,8.97
2021-03-12,104.36833333333335,-0.2100000022,7.29,13.39,8.8,6.0,12.23,9.74
2021-03-13,70.42291666666664,0.8200000222,10.94,20.13,13.13,9.38,20.22,13.48
2021-03-14,75.42347826086956,-0.129999995,11.18,18.26,17.19,7.91,12.98,14.27
2021-03-15,95.3475,0.860000014,24.83,33.42,31.97,15.81,46.09,30.49
2021-03-16,117.85916666666668,-0.1920000018,10.63,18.29,14.48,8.56,15.96,13.33
2021-03-17,107.5475,0.129999995,16.88,30.36,19.05,11.14,30.65,16.52
2021-03-18,92.62624999999998,-0.1519999993999999,12.29,23.05,20.41,10.84,24.77,17.7
2021-03-19,97.36500000000002,0.223999995,12.18,20.84,23.43,12.81,20.79,17.64
2021-03-20,82.69208333333334,0.2419999956,15.94,21.35,29.04,15.35,33.54,22.79
2021-03-21,90.40166666666669,-3.200000003866776e-09,14.0,19.54,26.46,17.55,26.21,20.24
2021-03-22,117.48166666666668,0.1039999879999999,11.3,16.37,21.82,14.79,15.08,16.62
2021-03-23,104.5675,0.680000007,16.87,21.07,23.58,20.1,31.72,20.57
2021-03-24,110.46750000000002,-0.0520000041999999,10.8,16.45,21.22,13.93,20.85,17.37
2021-03-25,143.40874999999997,0.140000001,13.57,16.52,21.76,12.86,22.22,22.04
2021-03-26,100.10624999999996,-0.0359999994,17.09,19.36,32.04,13.67,29.21,24.96
2021-03-27,86.22833333333334,-0.0179999989999999,14.25,20.23,25.95,13.24,34.33,29.46
2021-03-28,65.40708333333332,0.180000007,10.35,13.11,16.65,10.97,10.22,18.74
2021-03-29,55.69125,0.1899999916,11.56,11.51,14.02,13.13,4.69,17.96
2021-03-30,47.34666666666666,0.15090773293815463,20.38,25.38,17.23,18.06,6.33,23.9
2021-03-31,65.92291666666665,0.50999999,16.42,16.03,19.08,16.24,12.03,29.75
2021-04-01,77.92375,0.839999974,8.5,9.73,15.83,13.28,12.9,11.5
2021-04-02,61.37375,-0.209999993,6.7,8.49,10.65,8.87,5.26,9.77
2021-04-03,75.73791666666666,0.1219999938,3.28,7.64,11.05,7.99,7.09,9.62
2021-04-04,85.69166666666665,-0.0160000025999999,5.51,7.12,10.3,7.33,8.8,9.06
2021-04-05,83.76541666666667,-0.0859999983999999,7.31,10.97,12.1,7.53,11.98,12.37
2021-04-06,61.772083333333335,0.0659999981999999,6.08,8.78,12.9,7.78,12.27,15.12
2021-04-07,37.2525,0.629999995,4.62,4.12,8.99,5.42,8.89,6.22
2021-04-08,42.717083333333335,0.779999971,3.15,4.53,9.12,6.09,9.01,8.88
2021-04-09,58.03583333333332,-0.0379999981999999,4.01,7.17,11.29,6.63,10.8,10.55
2021-04-10,83.24833333333332,0.720000029,4.59,11.61,11.85,7.18,11.38,12.84
2021-04-11,63.53958333333335,0.870000005,7.88,17.71,13.57,10.27,16.09,10.63
2021-04-12,87.26125000000002,-0.303999996,7.59,21.23,14.75,11.63,24.59,23.79
2021-04-13,69.56041666666668,-0.0120000034,5.09,12.93,11.4,10.44,15.44,12.88
2021-04-14,58.01583333333334,0.4400000129999999,5.8,9.78,10.32,8.02,12.97,9.24
2021-04-15,61.35416666666666,0.0959999976,5.29,14.79,14.02,10.77,13.49,14.37
2021-04-16,89.54666666666668,0.179999995,5.64,13.75,13.32,13.22,20.61,17.15
2021-04-17,42.80583333333334,1.33000004,4.61,10.1,10.4,8.31,12.14,9.29
2021-04-18,45.47833333333333,0.0319999974,6.49,11.02,12.59,8.57,13.76,13.17
2021-04-19,56.16708333333335,-0.1220000043999999,9.15,11.06,11.48,10.14,16.47,12.45
2021-04-20,55.769583333333344,0.479999989,3.94,3.03,10.3,8.19,8.33,8.64
2021-04-21,57.22208333333331,-0.1240000038,4.72,6.98,12.12,10.3,8.56,10.64
2021-04-22,107.05083333333334,0.3020000106,9.25,12.76,12.18,9.36,14.01,9.43
2021-04-23,88.51416666666667,-0.100000001,11.04,14.38,13.97,11.25,14.83,12.82
2021-04-24,62.82374999999999,0.469999999,7.79,17.0,14.89,13.79,16.57,13.6
2021-04-25,53.30708333333334,1.39999998,6.69,16.73,14.66,13.51,13.0,15.05
2021-04-26,54.897083333333335,2.02999997,7.34,13.45,12.31,12.08,15.51,15.66
2021-04-27,73.89166666666667,0.5900000096,4.16,10.6,14.54,9.85,8.79,16.0
2021-04-28,60.43958333333333,-0.1159999963999999,2.28,8.08,11.93,8.93,8.61,14.3
2021-04-29,59.22833333333335,0.419999987,4.55,9.87,13.71,10.94,10.98,14.59
2021-04-30,70.37375000000002,0.5740000088,4.91,9.39,12.21,9.95,12.35,11.27
2021-05-01,44.16875,-0.200000003,9.84,13.29,14.75,11.27,14.07,12.92
2021-05-02,43.055,0.382000008,6.25,10.12,11.61,8.61,11.14,10.75
2021-05-03,90.04374999999999,1.10000002,8.47,14.52,16.47,12.76,15.48,14.66
2021-05-04,78.67833333333333,0.4279999918,4.66,9.06,10.47,7.07,9.44,8.53
2021-05-05,58.69125,0.2060000144,6.61,8.98,10.1,6.75,9.22,8.45
2021-05-06,65.78416666666668,0.5439999992000001,6.72,12.19,15.13,10.19,9.67,12.23
2021-05-07,54.55875,-0.0980000068,7.3,8.32,12.26,8.57,10.5,8.94
2021-05-08,57.99541666666665,0.111999999,7.0,9.39,12.23,8.29,10.68,9.71
2021-05-09,48.16166666666667,-0.1479999911999999,6.07,7.7,8.91,6.92,8.51,7.46
2021-05-10,61.88875,0.3419999988,4.91,9.78,10.78,7.45,8.51,8.34
2021-05-11,67.21541666666667,0.0260000068,4.58,7.47,8.29,6.54,8.17,6.61
2021-05-12,76.95041666666667,0.850000024,5.46,7.92,9.04,6.07,9.01,8.12
2021-05-13,77.30708333333335,-0.1400000024,4.27,8.45,10.07,7.82,66.74,9.01
2021-05-14,63.28000000000001,0.0640000078,4.73,9.12,12.84,9.09,10.04,9.82
2021-05-15,35.21666666666666,0.3320000006,5.44,5.28,9.69,7.59,8.08,8.43
2021-05-16,38.7625,0.2280000008,5.74,5.03,9.59,5.2,8.37,9.57
2021-05-17,45.65708333333334,0.349999994,6.29,6.71,8.85,5.7,7.93,8.95
2021-05-18,43.24458333333334,0.079999998,6.01,4.0,8.48,5.98,8.25,7.92
2021-05-19,42.598333333333336,0.4840000128,6.59,4.75,7.92,6.19,7.97,7.53
2021-05-20,35.434583333333336,-0.150000006,6.13,5.01,7.46,6.67,7.98,8.04
2021-05-21,42.12041666666666,0.3799999908,4.99,5.14,8.87,9.45,7.72,10.1
2021-05-22,48.34,0.0679999952,2.25,3.09,8.25,7.77,8.09,7.54
2021-05-23,77.56583333333334,-0.1080000011999999,3.26,3.3,7.55,6.99,8.23,7.51
2021-05-24,29.175833333333333,0.001999995,3.24,3.17,7.68,6.31,8.32,6.99
2021-05-25,11.185833333333337,0.1420000136,5.21,6.02,8.05,5.95,8.06,7.47
2021-05-26,17.99666666666667,0.1659999966,5.34,7.03,8.5,5.9,8.17,6.56
2021-05-27,20.98083333333334,0.0180000164,5.01,3.79,7.32,5.64,8.06,6.44
2021-05-28,31.460833333333337,0.150000006,5.41,3.11,6.87,5.34,8.74,6.0
2021-05-29,35.782916666666665,0.0279999976,5.09,2.25,7.38,5.97,7.05,5.62
2021-05-30,30.160416666666677,-0.0700000001999999,4.96,2.82,8.19,5.56,7.99,6.05
2021-05-31,55.41291666666667,0.4400000116,5.36,4.38,8.66,5.83,7.96,6.14
2021-06-01,48.81583333333332,0.049999994,2.41,3.63,8.38,3.43,7.93,6.07
2021-06-02,59.287500000000016,0.1420000132,5.65,6.11,8.97,2.62,8.25,6.68
2021-06-03,55.83083333333333,0.1499999954,9.2,4.37,9.48,4.7,5.65,7.15
2021-06-04,53.65416666666667,-0.0460000038,8.66,5.87,10.2,4.5,2.32,5.99
2021-06-05,47.01791666666668,-0.1659999994,7.45,7.78,9.15,4.82,3.63,6.06
2021-06-06,54.16083333333333,0.0700000236,7.13,7.69,10.59,4.76,4.11,7.35
2021-06-07,66.67833333333333,-0.0440000016,7.63,7.17,9.35,4.62,3.52,6.22
2021-06-08,73.57416666666667,0.045999998,9.1,7.49,9.55,4.88,3.98,7.58
2021-06-09,102.79833333333332,-0.0779999949999999,8.13,6.68,10.83,4.8,5.19,7.82
2021-06-10,48.31958333333333,0.2120000004,7.43,21.93,8.35,4.57,7.48,6.51
2021-06-11,48.2,-0.1439999996,4.09,7.03,7.86,5.26,7.13,6.48
2021-06-12,36.5175,0.1900000052,5.47,3.52,8.0,4.47,6.85,6.6
2021-06-13,46.36458333333334,-0.1579999997999999,5.79,4.79,7.47,4.32,7.17,5.9
2021-06-14,47.306249999999984,-0.0479999938,6.93,3.17,7.91,4.11,7.46,5.93
2021-06-15,64.295,-0.133999997,6.41,3.71,7.94,4.2,7.39,5.85
2021-06-16,66.97583333333334,0.0919999955999999,4.91,5.0,8.29,4.3,6.95,4.08
2021-06-17,71.30708333333334,-0.1980000017999999,4.73,6.81,8.66,4.72,6.93,6.93
2021-06-18,61.31333333333333,-0.1180000028,5.48,4.93,7.92,4.62,7.44,9.13
2021-06-19,47.56583333333334,0.1659999995999999,9.0,5.42,7.66,4.21,7.32,8.82
2021-06-20,68.04916666666666,0.2079999966,9.0,4.32,8.52,4.61,6.81,8.62
2021-06-21,93.67958333333333,0.0600000024,8.97,4.98,10.83,4.87,8.02,9.16
2021-06-22,61.67124999999999,-0.0979999972,8.75,4.62,7.99,4.48,7.08,7.53
2021-06-23,52.37375,0.0779999942,8.23,5.01,10.2,4.44,8.01,8.35
2021-06-24,53.14833333333334,-0.0039999991999999,6.42,4.08,9.69,5.1,8.2,8.27
2021-06-25,44.78249999999999,0.1799999954,5.32,3.79,8.36,4.87,8.08,8.12
2021-06-26,37.31208333333334,-0.0659999981999999,6.54,3.13,7.91,4.5,6.9,7.67
2021-06-27,37.60041666666666,0.5760000086000001,6.33,4.03,7.15,4.25,5.69,7.61
2021-06-28,36.65791666666667,0.6500000088,5.58,4.24,10.48,4.3,6.88,7.91
2021-06-29,38.902083333333344,-0.1740000004,5.07,5.27,11.14,5.08,7.27,7.99
2021-06-30,46.908750000000005,0.7080000068000001,7.06,8.96,10.64,4.33,6.87,7.93
2021-07-01,43.03416666666667,-0.265999993,7.56,8.98,9.58,4.22,6.27,7.73
2021-07-02,65.16791666666667,0.164000011,6.99,7.96,10.08,4.74,6.5,8.78
2021-07-03,51.18083333333333,0.41200001,8.85,7.49,11.0,5.08,6.97,8.02
2021-07-04,69.83791666666666,-0.2360000042,4.84,6.32,8.59,4.61,8.11,7.77
2021-07-05,67.71166666666666,0.5840000112,7.41,6.83,13.49,4.57,7.62,7.72
2021-07-06,64.335,-0.1479999958,6.43,5.74,5.65,4.53,8.89,8.47
2021-07-07,70.79,0.118000001,2.15,3.96,4.956666666666667,4.16,8.64,8.61
2021-07-08,64.29416666666667,0.4239999966,3.42,4.84,5.843333333333334,4.31,8.57,8.62
2021-07-09,48.6475,0.0899999975999999,3.52,3.39,7.54,4.39,8.62,8.76
2021-07-10,35.48541666666667,0.131999995,4.6,3.26,8.04,4.2,8.71,8.87
2021-07-11,32.484166666666674,0.1139999986,3.75,3.1,8.16,3.85,8.1,8.11
2021-07-12,41.68333333333333,-0.0419999835999999,5.32,2.89,7.85,4.39,8.88,8.51
2021-07-13,35.72291666666666,-0.0600000052,5.63,4.12,7.68,4.4,8.03,9.55
2021-07-14,41.03875,0.1279999942,5.22,4.59,7.96,4.21,7.18,8.91
2021-07-15,55.01458333333333,-0.2140000019999999,7.61,5.77,8.48,4.5,7.6,9.07
2021-07-16,52.92874999999999,0.2479999952,5.96,6.08,12.98,7.52,7.56,12.32
2021-07-17,38.48458333333333,0.4619999922,7.46,3.06,9.52,4.94,8.1,10.62
2021-07-18,38.68375,0.4660000122,6.44,4.06,10.95,4.75,8.38,11.37
2021-07-19,65.22749999999999,0.5280000146000001,5.54,2.63,8.88,4.43,8.2,8.94
2021-07-20,108.3029166666667,-0.2419999995999999,5.38,3.35,11.71,4.88,8.77,8.88
2021-07-21,81.38083333333333,0.4540000022,6.93,2.96,8.0,3.98,7.56,8.93
2021-07-22,25.710000000000004,0.2620000064,4.84,3.23,6.18,4.1,9.42,9.1
2021-07-23,31.18208333333334,0.5740000131999999,4.89,4.94,6.53,4.09,9.71,9.22
2021-07-24,42.49916666666668,0.1540000044,5.81,2.43,6.16,4.59,8.58,9.08
2021-07-25,74.88374999999998,-0.1020000026,5.44,3.4,7.4,4.17,8.73,8.95
2021-07-26,66.67833333333333,0.002000001,4.34,5.61,6.99,4.05,8.71,9.0
2021-07-27,51.59791666666666,0.2899999997999999,3.58,7.59,7.23,4.75,8.42,9.08
2021-07-28,42.62708333333334,0.4200000001999999,4.99,8.87,8.66,4.86,8.09,8.98
2021-07-29,43.73083333333333,0.0499999891999999,11.08,9.06,6.67,5.1,7.55,9.32
2021-07-30,39.74708333333334,0.2220000014,12.29,10.32,10.98,6.04,9.06,8.79
2021-07-31,40.78875000000001,0.177999997,11.26,10.53,11.02,6.02,8.79,8.9
2021-08-01,62.44708333333333,0.3220000124,8.73,11.15,12.32,6.69,8.75,9.54
2021-08-02,79.71166666666667,0.3739999995999999,9.64,10.85,11.64,6.33,7.17,9.48
2021-08-03,105.02291666666667,0.2099999981999999,5.95,9.68,10.15,5.18,10.07,9.49
2021-08-04,86.62541666666665,-0.0459999993999999,7.86,9.0,8.81,4.54,9.1,8.61
2021-08-05,102.56041666666668,-0.3899999962,7.37,8.52,9.67,5.32,8.69,8.94
2021-08-06,80.60541666666667,0.25999999,11.44,9.07,7.62,4.4,9.36,8.92
2021-08-07,49.55124999999999,0.2140000021999999,6.03,8.9,8.78,4.44,9.31,8.72
2021-08-08,50.605833333333344,-0.051999999,6.51,8.42,10.2,5.38,9.35,8.6
2021-08-09,57.14166666666666,-0.319999998,10.96,10.46,11.65,4.48,9.24,8.0
2021-08-10,59.94499999999999,0.254000005,6.24,8.85,9.59,4.25,9.49,8.62
2021-08-11,60.08124999999999,-0.2419999895999999,5.39,7.85,16.73,4.27,10.06,9.08
2021-08-12,59.58458333333334,0.0899999996,4.83,7.05,7.26,4.15,9.52,9.03
2021-08-13,67.92083333333333,0.0340000064,1.91,7.77,11.05,4.52,17.87,9.2
2021-08-14,53.50541666666666,0.5280000032000001,4.56,7.4,8.11,4.46,10.74,9.1
2021-08-15,44.465,-0.048000002,6.59,8.0,8.52,4.14,10.7,9.45
2021-08-16,45.87500000000001,-0.243999998,4.38,6.82,7.11,4.4,10.44,8.66
2021-08-17,42.31958333333333,0.3920000126,7.53,8.23,6.85,4.07,10.99,8.51
2021-08-18,40.13416666666667,0.194000012,5.13,9.39,8.77,4.52,11.27,8.7
2021-08-19,40.74958333333333,0.5959999856,8.32,9.66,8.47,4.17,10.85,10.09
2021-08-20,38.177083333333336,-0.0939999884,5.88,9.82,7.47,4.6,10.3,9.06
2021-08-21,40.29291666666666,-0.0080000008,7.89,8.63,8.08,4.47,10.61,9.54
2021-08-22,39.71666666666668,0.1099999963999999,7.18,10.52,11.97,6.69,10.1,10.19
2021-08-23,62.80416666666665,0.0219999951999999,7.33,9.8,12.87,4.53,10.2,9.69
2021-08-24,72.16208333333333,0.716000015,7.65,11.31,13.85,4.73,10.27,9.89
2021-08-25,70.85041666666666,-0.317999983,4.62,13.6,18.01,7.48,9.54,11.84
2021-08-26,161.76625,0.2880000152,10.15,11.34,9.44,4.79,44.16,9.09
2021-08-27,48.09083333333332,-0.1060000033999999,5.21,8.88,8.23,4.23,10.39,9.17
2021-08-28,28.28375,0.4700000068,6.42,10.16,7.0,4.36,10.29,8.25
2021-08-29,31.48208333333333,0.2139999986,4.36,8.71,8.16,4.32,10.94,8.47
2021-08-30,42.21916666666666,0.2420000122,4.7,9.63,8.3,4.16,10.35,8.68
2021-08-31,63.30083333333332,-0.5240000034000001,7.33,8.27,7.2,4.04,11.0,8.36
2021-09-01,74.28958333333331,0.129999995,7.39,9.8,11.66,6.82,10.53,11.59
2021-09-02,84.04291666666666,0.108000001,5.71,10.09,9.55,4.82,9.91,9.58
2021-09-03,92.66625,0.3180000058,5.33,9.22,11.83,7.77,9.89,9.5
2021-09-04,76.71208333333333,0.4140000095999999,5.35,9.61,9.9,6.28,10.39,10.13
2021-09-05,35.41458333333334,-0.3879999963999999,5.79,9.25,6.582222222222223,5.35,10.44,9.57
2021-09-06,25.859583333333337,-0.1040000024,5.95,10.57,2.05,4.77,10.77,9.65
2021-09-07,39.59708333333334,0.3040000049999999,8.29,9.89,7.91,4.47,11.13,8.81
2021-09-08,69.89625,0.1860000014,8.54,10.17,7.76,4.88,10.71,8.75
2021-09-09,96.67833333333334,0.0840000018,8.37,8.12,7.93,4.9,11.24,9.13
2021-09-10,49.65124999999998,0.3399999916,8.22,9.36,14.5,6.97,10.39,11.41
2021-09-11,21.850416666666664,0.4520000117999999,8.9,5.82,8.31,4.21,10.4,8.8
2021-09-12,17.186249999999998,0.0240000064,8.54,7.4,9.31,4.28,10.45,9.47
2021-09-13,27.328750000000003,-0.0940000011999999,7.8,8.79,7.28,4.7,10.13,8.59
2021-09-14,31.74,0.4660000086,4.48,8.7,8.13,4.56,11.16,9.61
2021-09-15,50.565000000000005,0.2460000038,4.52,4.99,7.91,4.92,10.6,9.05
2021-09-16,87.61958333333331,-2.599999995855917e-09,6.9,5.47,7.74,4.46,11.12,6.95
2021-09-17,84.1425,0.4759999892000001,7.26,4.08,6.507,4.55,10.51,4.6
