date,open_SO2,sate_SO2,"Ballygunge, Kolkata - WBPCB","Bidhannagar, Kolkata - WBPCB","Fort William, Kolkata - WBPCB","Jadavpur, Kolkata - WBPCB","Rabindra Bharati University, Kolkata - WBPCB","Victoria, Kolkata - WBPCB"
2020-11-24,62.1075,0.2620000098,9.69,32.43,8.86,8.51,24.09,7.49
2020-11-25,66.84625000000001,0.1800000056,9.27,24.55,12.37,10.35,13.525,13.49
2020-11-26,69.22124999999998,0.1340000022,7.62,16.76,10.61,8.17,22.54,14.03
2020-11-27,61.11458333333334,0.187999995,2.94,8.9,4.83,5.82,12.82,7.4
2020-11-28,59.58500000000001,0.0700000048,7.66,11.34,9.79,12.71,17.115000000000002,9.79
2020-11-29,69.30000000000001,0.1119999974,4.2,12.34,2.69,4.75,20.48,1.7
2020-11-30,112.45500000000004,0.0840000096,25.68,10.14,10.27,8.35,9.12,10.27
2020-12-01,107.82624999999996,-0.920000017,5.48,6.15,8.67,5.67,8.32,3.48
2020-12-02,127.83333333333336,0.370000005,7.4,8.84,5.61,4.27,7.46,4.54
2020-12-03,170.64833333333334,0.3079999972,10.38,10.12,6.8,5.21,7.3,9.43
2020-12-04,152.70833333333331,0.2200000032,23.03,21.66,20.66,11.37,15.89,22.38
2020-12-05,94.43291666666669,-0.320000003,10.58,17.02,25.78,5.91,15.79,16.92
2020-12-06,89.54708333333333,0.1079999946,13.04,16.87,37.14,7.16,15.71,20.93
2020-12-07,114.28249999999996,0.5020000118000001,16.24,17.04,35.21,6.23,16.81,22.13
2020-12-08,98.50625,-0.1360000043999999,16.11,15.38,29.86,6.79,16.42,20.8
2020-12-09,91.19583333333333,0.2039999926,12.95,10.73,29.84,6.47,18.47,21.38
2020-12-10,100.45333333333332,-0.1060000003999999,13.32,11.54,23.63,6.43,17.71,15.85
2020-12-11,93.25249999999998,0.4399999945999999,15.59,9.66,32.34,8.65,18.42,20.93
2020-12-12,75.40166666666669,-0.0839999927999999,12.08,18.82,21.48,7.51,16.07,13.71
2020-12-13,75.97666666666667,0.0699999942,9.48,17.38,16.91,8.18,21.42,9.53
2020-12-14,71.56625,0.7060000260000001,8.21,13.01,13.9,9.02,10.9,8.43
2020-12-15,74.06958333333334,-0.3520000032,10.63,16.98,17.82,7.08,14.82,11.71
2020-12-16,86.76708333333335,0.2560000096,13.86,19.79,31.26,8.95,20.15,20.03
2020-12-17,78.56041666666665,-0.1100000039999999,12.32,15.45,25.45,7.1,17.82,16.25
2020-12-18,61.41208333333332,-1.16999996,13.46,17.87,30.06,6.95,27.39,19.65
2020-12-19,47.56458333333333,0.0319999978,10.94,14.19,24.38,6.48,15.71,15.12
2020-12-20,51.8175,0.790000021,11.21,13.94,25.99,6.52,15.61,13.77
2020-12-21,75.78833333333334,0.0839999989999999,11.9,15.84,26.75,6.94,20.95,15.41
2020-12-22,91.75166666666668,0.1360000074,13.56,34.89,30.4,7.45,21.26,17.84
2020-12-23,87.08375000000001,0.158000017,9.48,26.43,31.53,7.02,20.65,14.58
2020-12-24,81.20166666666667,0.0839999974,8.9,26.46,26.27,7.59,13.64,14.14
2020-12-25,78.83833333333334,-0.50999999,9.62,30.63,26.12,6.8,15.15,14.89
2020-12-26,64.49249999999999,0.0079999982,9.39,30.61,28.03,7.03,15.92,15.3
2020-12-27,67.90958333333332,0.479999989,10.97,31.37,25.86,7.02,18.95,14.44
2020-12-28,115.81166666666664,0.0759999999999999,7.15,31.68,27.05,7.2,19.16,13.68
2020-12-29,85.66208333333334,0.026000004,11.56,25.35,33.01,11.09,21.99,19.71
2020-12-30,63.77666666666665,0.4500000112,7.73,21.14,23.68,7.61,17.92,13.49
2020-12-31,70.25583333333334,0.1659999906,13.32,23.07,37.26,8.34,28.82,22.61
2021-01-01,75.29208333333334,0.0699999958,12.35,23.81,35.08,7.61,30.53,20.63
2021-01-02,76.135,0.400000006,13.53,24.69,31.47,8.41,27.15,17.71
2021-01-03,71.32624999999999,-0.039999999,8.11,21.01,23.35,8.06,20.24,12.66
2021-01-04,97.06583333333336,-0.0260000021999999,10.03,20.99,32.8,11.18,19.67,16.76
2021-01-05,84.26125,1.19000006,10.43,21.54,24.27,9.76,17.9,14.04
2021-01-06,151.87291666666667,-0.0699999907999999,8.88,22.63,24.55,9.29,20.08,17.06
2021-01-07,148.77416666666667,0.379999995,18.76,29.42,37.42,12.88,39.67,27.32
2021-01-08,69.34083333333335,0.3260000162,14.16,26.13,31.45,8.79,26.82,21.87
2021-01-09,99.74875000000002,0.0979999928,10.78,26.63,22.8,8.33,18.46,16.7
2021-01-10,95.72583333333336,0.649999976,10.38,28.04,17.26,7.72,32.06,13.09
2021-01-11,72.28166666666665,0.1919999938,14.64,30.28,20.96,8.91,49.22,17.45
2021-01-12,76.47333333333334,0.1799999974,8.98,24.01,19.45,6.99,15.87,14.65
2021-01-13,80.94416666666667,0.217999993,4.98,21.23,16.71,6.21,22.0,9.52
2021-01-14,71.66499999999998,0.1359999998,7.13,20.69,16.0,5.93,20.73,10.42
2021-01-15,84.30125,0.3560000112,10.0,22.13,20.18,6.77,35.31,14.79
2021-01-16,71.65500000000002,0.2500000079999999,9.18,19.69,17.57,5.94,26.41,11.64
2021-01-17,58.185,0.1600000006,8.98,20.29,17.58,6.02,29.85,11.39
2021-01-18,117.44166666666663,0.2639999978,10.35,20.58,18.96,6.4,29.12,10.9
2021-01-19,69.18124999999999,0.216000011,8.44,18.51,15.93,6.68,32.99,15.76
2021-01-20,78.57875,-0.0040000009999999,13.17,22.44,22.72,5.9,37.59,14.13
2021-01-21,83.88374999999998,0.200000003,13.83,26.64,21.76,4.87,36.39,17.94
2021-01-22,79.03583333333334,-0.1939999968,8.82,23.17,16.86,4.12,29.26,11.55
2021-01-23,80.53625000000001,-0.0239999947999999,12.17,21.76,18.16,4.62,28.58,11.52
2021-01-24,89.94458333333336,0.5620000108,14.73,22.98,21.38,4.73,34.7,17.71
2021-01-25,230.25333333333336,0.1479999987999999,17.66,26.47,27.82,6.38,37.4,22.75
2021-01-26,58.56700000000001,0.1699999996,12.65,21.34,15.66,6.35,31.29,12.42
2021-01-27,80.825,0.0899999974,16.57,20.96,21.57,6.55,32.76,17.66
2021-01-28,74.27791666666667,0.560000002,13.1,19.39,26.02,6.78,30.78,20.96
2021-01-29,75.97583333333331,0.1939999962,11.66,19.14,21.9,7.41,35.44,15.49
2021-01-30,55.06625,0.1399999945999999,17.73,18.12,27.81,7.46,39.4,24.33
2021-01-31,64.17416666666666,-0.0259999991999999,11.18,20.7,21.77,6.77,36.62,16.86
2021-02-01,104.28875,-0.1180000008,10.59,16.34,17.04,6.91,34.29,11.83
2021-02-02,92.74583333333332,0.4160000062,11.02,15.28,22.61,9.67,30.04,16.67
2021-02-03,96.73875,-0.100000001,15.39,17.0,34.58,8.06,31.21,26.95
2021-02-04,89.38708333333334,-0.670000017,13.99,16.81,26.78,8.63,26.7,19.15
2021-02-05,154.45749999999995,0.3619999898,13.36,14.33,23.85,9.12,25.42,17.71
2021-02-06,72.51833333333332,0.1119999974,21.4,19.54,30.56,11.74,41.18,25.51
2021-02-07,48.558333333333344,0.4660000148000001,12.52,14.72,18.12,6.56,23.82,13.15
2021-02-08,88.29499999999997,0.170000002,14.6,15.09,23.36,5.56,23.92,10.22
2021-02-09,130.75416666666663,0.6380000206,14.35,16.37,26.46,7.8,28.48,19.23
2021-02-10,141.16374999999996,-0.0300000012,13.77,15.71,24.62,8.69,32.59,19.61
2021-02-11,179.41041666666672,0.379999995,13.27,15.28,30.6,9.64,51.09,17.81
2021-02-12,102.42125,-0.0180000022,11.71,14.94,23.42,8.99,36.2,16.89
2021-02-13,152.92583333333332,1.10000002,12.28,21.76,19.02,9.26,41.04,16.1
2021-02-14,117.18291666666666,-0.1540000012,8.44,18.46,17.8,8.58,27.81,12.22
2021-02-15,121.99125000000004,0.0819999992,10.05,18.91,21.73,8.53,24.21,15.98
2021-02-16,132.02541666666664,0.9300000178,13.66,23.72,22.84,9.14,34.87,19.57
2021-02-17,91.90999999999998,-3.000000009523163e-09,17.09,26.11,25.6,10.73,40.25,21.96
2021-02-18,94.93041666666666,-0.0739999969999999,11.82,21.42,20.56,9.42,30.33,15.43
2021-02-19,61.56250000000001,-0.024000006,11.79,18.96,21.12,9.96,20.74,17.08
2021-02-20,84.24208333333333,-0.1340000053999999,11.63,19.76,20.38,9.28,25.76,16.49
2021-02-21,111.34250000000002,-0.086,15.45,25.69,23.87,9.9,41.92,20.96
2021-02-22,132.86041666666668,0.800000012,16.38,23.72,28.46,11.4,39.29,22.07
2021-02-23,111.73916666666668,-0.1319999947999999,16.5,26.91,26.2,11.64,43.44,20.7
2021-02-24,126.08374999999997,-0.119999997,12.74,23.99,20.76,9.96,33.36,17.23
2021-02-25,118.35583333333334,0.422000009,16.29,27.27,21.19,12.29,43.96,19.47
2021-02-26,102.40083333333337,0.689999998,12.64,20.44,18.39,11.47,34.91,16.97
