date,open_NO2,sate_NO2,"Asansol Court Area, Asansol - WBPCB"
2020-11-24,15.68,7351828000000000.0,30.89
2020-11-25,15.203333333333337,9045110000000000.0,17.96
2020-11-26,15.807916666666666,7112840000000000.0,43.31
2020-11-27,11.966666666666669,9866532000000000.0,22.4
2020-11-28,10.540833333333332,1.1681548e+16,17.42
2020-11-29,12.590833333333334,7624130000000000.0,10.35
2020-11-30,17.5125,8320180000000000.0,8.12
2020-12-01,26.690833333333345,1.3754602e+16,9.48
2020-12-02,33.76624999999999,1.41e+16,14.14
2020-12-03,30.175833333333333,6229770000000000.0,29.83
2020-12-04,48.025000000000006,1.34e+16,29.03
2020-12-05,26.96375,1.1444306e+16,29.01
2020-12-06,29.517916666666665,1.21e+16,37.98
2020-12-07,25.336250000000007,8617536000000000.0,12.36
2020-12-08,25.848333333333333,7852770000000000.0,7.74
2020-12-09,31.725416666666664,1.36e+16,8.69
2020-12-10,36.21541666666666,1.0189562e+16,18.91
2020-12-11,32.4875,8880130000000000.0,30.73
2020-12-12,25.815416666666668,7073872000000000.0,31.7
2020-12-13,17.823749999999997,7491636000000000.0,32.87
2020-12-14,28.43083333333333,6889948000000000.0,35.98
2020-12-15,18.578750000000003,9504958000000000.0,30.96
2020-12-16,25.50916666666667,1.16e+16,29.61
2020-12-17,13.995416666666667,7806664000000000.0,29.52
2020-12-18,17.5525,1.16e+16,31.79
2020-12-19,16.37166666666667,7192900000000000.0,30.81
2020-12-20,9.713333333333336,6900510000000000.0,26.49
2020-12-21,14.866250000000004,8275290000000000.0,31.86
2020-12-22,26.375833333333336,7891460000000000.0,33.44
2020-12-23,24.49541666666667,7685806000000000.0,36.73
2020-12-24,31.326250000000005,1.7697506e+16,37.74
2020-12-25,22.21041666666667,1.13e+16,30.39
2020-12-26,21.13083333333333,7443126000000000.0,26.69
2020-12-27,22.49291666666666,1.22e+16,31.4
2020-12-28,41.85416666666666,6531110000000000.0,40.37
2020-12-29,26.479166666666668,8509650000000000.0,41.47
2020-12-30,12.428333333333336,7043868000000000.0,41.11
2020-12-31,12.118333333333334,7410690000000000.0,33.85
2021-01-01,12.96583333333333,1.07e+16,25.31
2021-01-02,24.157083333333333,1.1186308e+16,43.19
2021-01-03,27.500833333333333,9955730000000000.0,38.37
2021-01-04,48.14374999999999,1.2661524e+16,50.53
2021-01-05,35.06791666666667,1.04e+16,48.68
2021-01-06,47.73583333333334,6148764000000000.0,53.57
2021-01-07,26.11833333333333,9626610000000000.0,48.25
2021-01-08,35.18666666666666,7848854000000000.0,45.41
2021-01-09,20.38958333333333,1.049218e+16,51.82
2021-01-10,17.10333333333333,1.22e+16,38.1
2021-01-11,19.277916666666663,7208036000000000.0,36.19
2021-01-12,12.727500000000004,7901580000000000.0,31.85
2021-01-13,23.134999999999994,7475776000000000.0,31.72
2021-01-14,26.77833333333334,1.29e+16,45.65
2021-01-15,19.14958333333333,4045128000000000.0,38.08
2021-01-16,19.58,7694520000000000.0,30.98
2021-01-17,28.558333333333326,2.53e+16,30.36
2021-01-18,36.71958333333334,8237674000000000.0,41.9
2021-01-19,36.54791666666666,1.94e+16,46.82
2021-01-20,19.49875,7917470000000000.0,43.04
2021-01-21,18.629166666666663,8491860000000000.0,35.08
2021-01-22,26.65833333333333,7456018000000000.0,35.52
2021-01-23,24.67375,9670340000000000.0,34.01
2021-01-24,36.429166666666674,8198860000000000.0,29.22
2021-01-25,13.895000000000003,9025362000000000.0,32.98
2021-01-26,21.6395,5872620000000000.0,27.79
2021-01-27,14.437500000000002,9291180000000000.0,29.33
2021-01-28,14.372083333333334,9758190000000000.0,44.38
2021-01-29,20.9175,8560466000000000.0,40.91
2021-01-30,14.60458333333333,6457620000000000.0,33.16
2021-01-31,19.9675,7035588000000000.0,29.58
2021-02-01,26.97791666666667,8017730000000000.0,38.61
2021-02-02,27.191666666666663,1.32e+16,38.98
2021-02-03,29.23541666666667,1.038713e+16,53.58
2021-02-04,41.49458333333333,1.32e+16,42.59
2021-02-05,64.51291666666667,6904706000000000.0,42.72
2021-02-06,10.4875,1.27e+16,42.41
2021-02-07,9.527916666666668,6144716000000000.0,29.89
2021-02-08,22.680000000000003,7023150000000000.0,27.33
2021-02-09,27.335000000000008,6950386000000000.0,47.26
2021-02-10,35.01624999999999,1.3410796e+16,61.88
2021-02-11,22.52833333333333,1.06e+16,40.45
2021-02-12,24.11333333333333,8095708000000000.0,44.34
2021-02-13,19.09291666666667,9759490000000000.0,36.0
2021-02-14,23.55916666666667,6232602000000000.0,18.5
