date,open_NO2,sate_NO2,"Hebbal 1st Stage, Mysuru - KSPCB"
2020-11-24,14.845,4248290000000000.0,4.08
2020-11-25,5.748333333333334,3490856000000000.0,37.8
2020-11-26,12.968333333333332,3728212000000000.0,27.47
2020-11-27,13.147083333333336,4940846000000000.0,11.85
2020-11-28,6.3016666666666685,4972900000000000.0,27.38
2020-11-29,6.610833333333335,4054856000000000.0,15.7
2020-11-30,12.187083333333332,3850960000000000.0,6.24
2020-12-01,14.917500000000002,7018990000000000.0,3.98
2020-12-02,10.509583333333335,3395246200000000.0,3.83
2020-12-03,6.578333333333334,3296588000000000.0,3.79
2020-12-04,9.1575,2858654000000000.0,25.19
2020-12-05,6.184583333333332,3132238000000000.0,24.4
2020-12-06,7.985833333333332,3731074000000000.0,25.49
2020-12-07,9.440416666666668,2814652000000000.0,22.47
2020-12-08,7.463333333333336,2966230000000000.0,19.96
2020-12-09,6.808750000000001,3973850000000000.0,17.65
2020-12-10,10.370416666666667,2064250000000000.0,16.74
2020-12-11,14.692916666666669,3026714000000000.0,17.01
2020-12-12,22.56375,4014450000000000.0,23.66
2020-12-13,19.157083333333333,2826014200000000.0,28.61
2020-12-14,14.029166666666669,3813250000000000.0,28.72
2020-12-15,12.943333333333332,2717580000000000.0,27.2
2020-12-16,8.39875,4171860000000000.0,20.41
2020-12-17,10.354583333333334,3802370000000000.0,20.93
2020-12-18,11.651250000000005,3884052000000000.0,23.12
2020-12-19,5.2975,3351930000000000.0,25.36
2020-12-20,6.542499999999998,3931472000000000.0,28.84
2020-12-21,8.502916666666668,3007800000000000.0,26.4
2020-12-22,8.686250000000001,4052774000000000.0,26.51
2020-12-23,10.53041666666667,3887892000000000.0,25.05
2020-12-24,8.161249999999999,3740180000000000.0,27.44
2020-12-25,10.286666666666669,2698690200000000.0,27.72
2020-12-26,10.5375,2654950000000000.0,33.5
2020-12-27,9.163333333333334,3677926000000000.0,31.43
2020-12-28,15.787916666666666,3957620000000000.0,37.99
2020-12-29,6.615416666666666,3383322200000000.0,31.38
2020-12-30,5.0008333333333335,2639360000000000.0,15.64
2020-12-31,5.955416666666667,3119626000000000.0,22.04
2021-01-01,5.314583333333334,3656910000000000.0,17.17
2021-01-02,4.17,4235040000000000.0,18.59
2021-01-03,5.541666666666667,3325158000000000.0,12.74
2021-01-04,6.461666666666666,4128220000000000.0,17.76
2021-01-05,6.763333333333335,3618224000000000.0,17.86
2021-01-06,11.107500000000002,4791504000000000.0,15.21
2021-01-07,9.902083333333334,4098794000000000.0,15.06
2021-01-08,18.25166666666666,3664136000000000.0,15.79
2021-01-09,6.888333333333333,3336994000000000.0,12.88
2021-01-10,9.97125,3402814000000000.0,18.45
2021-01-11,19.75208333333333,4177852000000000.0,18.0
2021-01-12,11.74,4248654000000000.0,72.59
2021-01-13,6.823333333333333,2622350000000000.0,31.66
2021-01-14,5.795833333333333,3723580000000000.0,20.68
2021-01-15,6.638750000000001,4319018000000000.0,21.3
2021-01-16,7.797500000000002,2046520000000000.0,33.64
2021-01-17,6.523333333333334,4312030000000000.0,32.21
2021-01-18,7.892500000000001,3568430000000000.0,30.57
2021-01-19,13.682916666666666,3946214000000000.0,46.3
2021-01-20,17.155833333333334,2958770000000000.0,43.2
2021-01-21,24.854583333333338,3468508000000000.0,33.53
2021-01-22,14.869166666666668,4478300000000000.0,44.86
2021-01-23,8.596666666666666,3122502000000000.0,34.94
2021-01-24,11.467083333333331,3058390000000000.0,62.65
2021-01-25,11.956666666666663,2554510000000000.0,40.65
2021-01-26,13.2285,4328680000000000.0,49.95
2021-01-27,12.81,3341010000000000.0,46.16
2021-01-28,6.669583333333333,3506284000000000.0,36.51
2021-01-29,10.630833333333332,3968980000000000.0,40.32
2021-01-30,5.000000000000001,3953070000000000.0,42.19
2021-01-31,4.784166666666668,3162150000000000.0,32.19
2021-02-01,7.434583333333333,3334570000000000.0,35.28
2021-02-02,5.682916666666666,3868410000000000.0,32.13
2021-02-03,6.346250000000001,3491400000000000.0,33.76
2021-02-04,7.646666666666667,3722070000000000.0,39.05
2021-02-05,16.049583333333334,4192910000000000.0,47.49
