date,open_NO2,sate_NO2,"GIFT City, Gandhinagar - IITM","IIPHG Lekawada, Gandhinagar - IITM"
2020-11-24,22.2775,5884220000000000.0,32.71,22.62
2020-11-25,37.3075,5231400000000000.0,41.99,40.77
2020-11-26,7.857500000000001,4682550000000000.0,16.855,32.57
2020-11-27,6.477083333333336,5267968000000000.0,11.197500000000002,19.93
2020-11-28,7.396250000000001,4957660000000000.0,8.105,32.72
2020-11-29,13.241666666666664,4579150000000000.0,13.1125,27.99
2020-11-30,30.22083333333333,5161916000000000.0,10.845,12.07
2020-12-01,29.21749999999999,4441910000000000.0,7.1975,17.02
2020-12-02,30.524583333333336,4289786000000000.0,15.9625,20.98
2020-12-03,39.46375,7866110000000000.0,15.1125,54.27
2020-12-04,71.95791666666666,5339774000000000.0,28.612500000000004,55.19
2020-12-05,43.86249999999999,7248140000000000.0,26.225,46.31
2020-12-06,27.9325,7497960000000000.0,26.558333333333334,26.88
2020-12-07,37.806666666666665,6833380000000000.0,36.51499999999999,23.03
2020-12-08,52.85041666666667,7960900000000000.0,32.181666666666665,24.5
2020-12-09,42.355,5662038000000000.0,24.865,29.86
2020-12-10,20.52458333333333,5753970000000000.0,20.96833333333333,43.05
2020-12-11,24.72,4431454000000000.0,23.408,47.76
2020-12-12,24.96625,4973010000000000.0,21.012,18.96
2020-12-13,27.961250000000003,4731042000000000.0,20.396,18.07
2020-12-14,29.41333333333333,4943952000000000.0,20.698,21.12
2020-12-15,15.50125,6314030000000000.0,21.55,20.06
2020-12-16,8.65625,5280668000000000.0,22.457142857142856,19.5
2020-12-17,10.746666666666668,6211050000000000.0,24.415000000000003,21.44
2020-12-18,10.384583333333332,5825624000000000.0,26.78,29.42
2020-12-19,8.985833333333334,5488620000000000.0,34.05166666666666,29.91
2020-12-20,10.375833333333334,5419370000000000.0,32.9625,37.41
2020-12-21,19.31125,4902630000000000.0,35.136,44.35
2020-12-22,26.57291666666667,9297690000000000.0,35.562,36.78
2020-12-23,32.32083333333334,6103936000000000.0,29.43428571428572,39.19
2020-12-24,21.7925,7850250000000000.0,32.548571428571435,31.53
2020-12-25,12.116666666666667,4965406000000000.0,31.54,28.74
2020-12-26,48.48499999999999,6119740000000000.0,32.97,37.91
2020-12-27,12.95,4994992000000000.0,29.798571428571428,24.44
2020-12-28,20.85333333333333,5995330000000000.0,29.282857142857143,34.15
2020-12-29,10.172083333333331,5318942000000000.0,31.01,28.37
2020-12-30,8.759583333333333,5990800000000000.0,33.18,21.6
2020-12-31,10.689166666666669,5802100000000000.0,31.23,21.87
2021-01-01,21.67083333333333,5340898000000000.0,30.95,25.18
2021-01-02,15.555833333333334,5238180000000000.0,32.5625,21.2
2021-01-03,22.227916666666665,5384456000000000.0,33.28142857142857,19.21
2021-01-04,23.809166666666677,3189350000000000.0,33.1575,29.02
2021-01-05,16.430000000000003,5783584000000000.0,31.72625,15.6
2021-01-06,21.081666666666667,5940240000000000.0,33.83,18.93
