date,open_SO2,sate_SO2,"Asansol Court Area, Asansol - WBPCB"
2020-11-24,6.3625,0.1560000076,8.69
2020-11-25,7.756249999999999,-0.319999993,23.7
2020-11-26,7.1675,0.2820000044,10.47
2020-11-27,6.353750000000002,0.3819999941999999,10.41
2020-11-28,5.805833333333333,0.3639999972,6.91
2020-11-29,8.643750000000002,0.129999995,2.69
2020-11-30,9.509583333333332,-0.389999986,1.89
2020-12-01,11.489166666666668,0.1779999978,3.11
2020-12-02,15.9175,0.189999998,2.03
2020-12-03,14.024166666666666,0.3480000032,4.14
2020-12-04,18.428750000000004,0.4340000036,4.66
2020-12-05,14.893750000000002,0.2820000065999999,3.85
2020-12-06,18.21916666666667,0.2959999963999999,3.87
2020-12-07,10.092916666666667,0.561999993,4.14
2020-12-08,17.694583333333334,-0.140000001,3.97
2020-12-09,8.103333333333335,-0.360000014,3.76
2020-12-10,13.417500000000002,0.2859999954,3.87
2020-12-11,14.212916666666665,0.4679999991999999,4.4
2020-12-12,7.389583333333332,0.3699999986,4.88
2020-12-13,5.114166666666667,0.5879999886,5.06
2020-12-14,6.5183333333333335,-0.4379999796,4.81
2020-12-15,8.161666666666664,0.0080000072,4.73
2020-12-16,8.235416666666667,0.0799999988,4.41
2020-12-17,6.2804166666666665,-0.2739999956,4.75
2020-12-18,7.377083333333331,0.400000006,5.19
2020-12-19,7.694583333333333,0.4080000056,4.73
2020-12-20,11.554999999999998,0.519999981,4.58
2020-12-21,7.994166666666666,0.6579999782,4.68
2020-12-22,7.240833333333335,-0.1179999978,4.77
2020-12-23,7.709166666666666,-0.069999991,7.16
2020-12-24,9.491666666666664,0.01,6.01
2020-12-25,7.761249999999999,0.119999997,6.4
2020-12-26,9.055416666666666,0.4439999858,6.27
2020-12-27,8.297500000000001,-0.800000012,7.23
2020-12-28,23.046666666666663,0.2479999959999999,8.83
2020-12-29,12.972916666666668,0.5619999862,7.89
2020-12-30,10.524583333333332,0.2399999904,6.92
2020-12-31,8.650416666666668,-0.038000001,5.68
2021-01-01,9.535,0.330000013,5.25
2021-01-02,6.728333333333335,0.1359999975999999,6.62
2021-01-03,7.5675,0.720000029,8.91
