date,open_SO2,sate_SO2,"Kadri, Mangalore - KSPCB"
2020-11-24,2.7825,0.310000002,27.35
2020-11-25,3.843333333333333,-0.0960000023999999,4.29
2020-11-26,4.512083333333334,0.0319999998,0.92
2020-11-27,3.617500000000001,-0.0179999945999999,0.41
2020-11-28,3.7829166666666674,-0.039999999,0.48
2020-11-29,2.9620833333333327,-0.170000002,0.38
2020-11-30,2.7879166666666677,0.0900000022,3.53
2020-12-01,3.212916666666667,-0.02,5.01
2020-12-02,3.612083333333334,0.035999997,4.99
2020-12-03,5.293333333333332,0.0920000015999999,4.99
2020-12-04,4.264166666666667,-0.0360000012,5.77
2020-12-05,3.1550000000000007,0.0620000007999999,5.92
2020-12-06,2.33,-0.07,6.38
2020-12-07,3.228750000000001,-0.0459999978,6.95
2020-12-08,3.554166666666666,-0.409999996,6.92
2020-12-09,3.509583333333333,-0.207999996,6.9
2020-12-10,3.7266666666666666,0.49000001,6.88
2020-12-11,3.41,0.2760000058,6.39
2020-12-12,3.181666666666667,-0.0660000016,5.9
2020-12-13,2.942083333333334,0.0680000012,5.91
2020-12-14,3.597916666666667,-0.209999993,5.9
2020-12-15,4.027499999999999,-0.25,5.92
2020-12-16,3.335833333333334,0.2899999956,5.9
2020-12-17,3.168333333333333,0.800000012,5.9
2020-12-18,3.0195833333333337,-0.2359999955999999,5.91
2020-12-19,1.924583333333333,0.769999981,6.66
2020-12-20,2.132083333333333,-0.0059999988,6.92
2020-12-21,3.087916666666666,0.0480000004,6.88
2020-12-22,3.6491666666666673,0.310000002,6.85
2020-12-23,4.144583333333332,-0.589999974,6.85
2020-12-24,3.1154166666666665,0.200000003,6.86
2020-12-25,2.983333333333334,0.0979999954,6.89
2020-12-26,3.109166666666667,0.310000002,6.86
2020-12-27,3.239583333333333,0.1039999989999999,6.88
2020-12-28,3.6841666666666666,0.1280000016,6.9
2020-12-29,4.211666666666668,-0.038000003,6.92
2020-12-30,3.3083333333333336,-0.439999998,6.88
2020-12-31,3.3129166666666663,0.430000007,6.94
2021-01-01,2.8100000000000005,0.2520000024,1.49
2021-01-02,2.9025,0.140000001,2.22
2021-01-03,2.6875000000000004,-0.3640000014,1.33
2021-01-04,2.215,0.1259999962,1.33
2021-01-05,3.125833333333333,0.1460000032,1.64
2021-01-06,2.5537500000000004,0.0659999994,1.32
2021-01-07,3.5020833333333337,-0.140000001,1.37
2021-01-08,3.259583333333333,-0.1859999954,1.31
2021-01-09,2.762916666666666,0.0500000008,1.63
2021-01-10,2.5195833333333337,-0.0119999976,1.57
2021-01-11,4.385833333333333,0.0160000004,1.64
2021-01-12,3.8554166666666663,-0.0819999982,2.27
2021-01-13,3.3195833333333336,0.1359999986,2.84
2021-01-14,3.306666666666666,0.1840000006,2.18
2021-01-15,2.2949999999999995,0.109999999,1.95
2021-01-16,2.7500000000000004,0.140000001,1.76
2021-01-17,2.778333333333333,-0.0400000009999999,1.53
2021-01-18,3.5004166666666667,0.540000021,1.77
2021-01-19,3.629166666666667,0.0279999996,1.95
2021-01-20,3.9870833333333344,-0.01,2.07
2021-01-21,4.088333333333334,-0.106000001,2.24
2021-01-22,4.351250000000002,0.1039999984,1.88
2021-01-23,3.2433333333333327,-0.540000021,2.46
2021-01-24,3.3174999999999994,0.200000003,2.42
2021-01-25,2.925416666666667,-0.280000001,2.23
2021-01-26,3.788499999999999,0.1400000028,2.19
2021-01-27,2.285,0.819999993,2.07
2021-01-28,3.571666666666666,-0.0960000043999999,2.12
2021-01-29,3.68375,0.0560000006,2.35
2021-01-30,3.407083333333333,0.1319999987999999,2.5
2021-01-31,3.4233333333333342,-0.829999983,2.47
2021-02-01,3.9362500000000007,-0.100000001,2.22
2021-02-02,3.3375000000000004,0.2180000022,1.89
