date,open_SO2,sate_SO2,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB"
2020-11-24,11.8325,0.2085829048,16.93
2020-11-25,20.14875,-0.371745795,10.93
2020-11-26,14.038333333333329,0.10382737,31.2
2020-11-27,12.639583333333334,0.062254936,31.01
2020-11-28,11.3325,0.232163966,39.4
2020-11-29,12.736666666666672,-0.0087862459999999,54.92
2020-11-30,14.230833333333337,-0.022304215,18.69
2020-12-01,19.357916666666664,-0.1980510106,3.02
2020-12-02,21.234166666666667,1.66339195,3.68
2020-12-03,22.736666666666668,0.001648268,4.81
2020-12-04,27.119583333333345,-0.1477616212,6.49
2020-12-05,20.4325,-0.0089308701999999,5.96
2020-12-06,17.82291666666667,-0.319999993,6.66
2020-12-07,24.15791666666667,-0.0252541987999999,7.02
2020-12-08,19.46208333333333,-0.0733712778,6.27
2020-12-09,14.643333333333336,0.0733742377999999,5.66
2020-12-10,15.366250000000006,0.2278857775999999,5.24
2020-12-11,12.045416666666666,-0.0438061974,6.52
2020-12-12,10.301666666666668,0.2153172478,5.35
2020-12-13,9.239166666666664,0.194895536,4.93
2020-12-14,11.660833333333333,-0.11899133,5.98
2020-12-15,10.54625,-0.0650799591999999,6.51
2020-12-16,13.996249999999998,-0.705000043,5.96
2020-12-17,17.038333333333334,0.1138727331999999,5.03
2020-12-18,12.751666666666663,-0.0272136391999999,4.14
2020-12-19,19.1925,0.016788886,6.02
2020-12-20,10.610416666666667,-0.1829835016,4.73
2020-12-21,13.432083333333336,0.0175346284,12.24
2020-12-22,12.831666666666663,-0.032139223,12.76
2020-12-23,19.40541666666667,-0.465638041,11.38
2020-12-24,11.972916666666665,0.1670089236,9.68
2020-12-25,12.732083333333335,-0.433448672,8.64
2020-12-26,14.518749999999995,0.0570110128,9.64
2020-12-27,12.055416666666668,-0.595756233,9.25
2020-12-28,13.135416666666666,0.0982356252,8.98
2020-12-29,10.19125,-0.629999995,5.47
2020-12-30,15.96,-0.17987667,7.49
2020-12-31,12.917916666666663,-0.0633398604,7.22
2021-01-01,15.971666666666671,0.067226306,7.1
2021-01-02,10.492083333333335,-0.2199805366,7.44
2021-01-03,23.089583333333334,0.0935732687999999,10.43
2021-01-04,23.03791666666667,-0.0364652262,11.36
2021-01-05,10.267083333333334,-0.0607884814,7.8
2021-01-06,7.937916666666666,0.1800178072,11.33
2021-01-07,8.149583333333334,-0.07777667,8.74
2021-01-08,10.459583333333336,-0.062010653,8.24
2021-01-09,9.1025,-0.0446599079999999,7.91
2021-01-10,11.665416666666667,0.1489637122,7.53
2021-01-11,10.89333333333333,-0.0275070666,7.81
2021-01-12,11.857083333333334,0.0250385935999999,4.79
2021-01-13,20.385,0.162714873,6.1
2021-01-14,20.7825,0.1513664572,4.87
2021-01-15,9.746666666666668,0.1219043478,4.35
2021-01-16,12.240833333333336,0.051564318,4.94
2021-01-17,18.02625,-0.034885787,4.85
2021-01-18,10.714166666666666,0.1712470516,5.51
2021-01-19,9.05125,-0.1059074778,6.65
2021-01-20,12.25875,0.084458068,6.49
2021-01-21,13.066666666666665,-0.063706752,4.61
2021-01-22,19.26,0.1790298551999999,4.56
2021-01-23,13.550416666666663,-0.202068467,4.42
2021-01-24,12.140833333333331,-0.2226976064,5.24
2021-01-25,9.9325,0.1123446807999999,5.01
2021-01-26,12.3505,0.1488794566,4.81
2021-01-27,12.6675,0.0011087783999999,4.16
2021-01-28,18.66208333333333,-0.0199317076,4.13
2021-01-29,9.51375,0.0700045036,4.29
2021-01-30,9.655,-0.349999994,4.32
2021-01-31,11.423333333333334,0.046793785,6.74
2021-02-01,9.9425,0.1051681162,6.3
2021-02-02,21.49916666666667,-0.1117797234,7.6
2021-02-03,17.335416666666664,0.102060572,6.73
2021-02-04,29.25125,-0.46596843,8.71
2021-02-05,9.0825,0.1082886458,12.68
2021-02-06,7.077500000000001,-0.0066036196,8.11
2021-02-07,12.48666666666667,-0.1981706616,6.26
2021-02-08,15.05791666666667,0.147124469,5.41
2021-02-09,22.7025,-0.092130005,9.5
2021-02-10,13.401250000000005,0.1085351784,7.5
2021-02-11,14.634166666666667,0.519999981,7.41
2021-02-12,11.022083333333336,0.1382491766,8.08
2021-02-13,8.417083333333334,-0.0848018976,7.42
2021-02-14,8.767083333333332,-0.0183326828,7.69
2021-02-15,12.45625,-0.264966726,8.55
2021-02-16,13.570416666666665,-0.361615419,9.41
2021-02-17,15.008333333333333,-0.1364205808,18.76
2021-02-18,23.22625,0.085980572,13.94
2021-02-19,11.582916666666668,0.0635146158,7.64
2021-02-20,10.568333333333335,-0.490045369,5.98
2021-02-21,14.247916666666669,-0.082345243,10.67
2021-02-22,21.750416666666663,0.0975136506,10.75
2021-02-23,16.951249999999995,0.0699138648,10.74
2021-02-24,27.016666666666666,-0.151366428,10.94
2021-02-25,18.786666666666665,-0.115489453,9.71
2021-02-26,14.93916666666667,-0.0490240387999999,6.77
2021-02-27,15.651250000000005,0.051162273,8.25
2021-02-28,10.51,0.0700996874,6.85
2021-03-01,15.760416666666664,-0.073867083,6.92
2021-03-02,13.538333333333336,0.138605395,8.28
2021-03-03,15.83375,0.206192553,14.99
2021-03-04,22.942916666666672,-0.078040592,12.68
2021-03-05,19.366666666666664,0.000372578,8.0
2021-03-06,17.310833333333328,0.146056369,8.09
2021-03-07,18.59291666666667,-0.0123277143999999,8.4
2021-03-08,12.214583333333332,0.434126496,7.36
2021-03-09,18.49208333333333,0.1834639844,7.17
2021-03-10,17.250833333333333,0.0410604678,7.02
2021-03-11,12.864999999999997,0.1930385901999999,5.62
2021-03-12,14.847499999999997,0.418329924,5.05
2021-03-13,8.426250000000001,0.1261877536,4.3
2021-03-14,14.032173913043476,0.0532711854,4.04
2021-03-15,12.707916666666668,0.057668064,5.08
2021-03-16,13.645416666666664,0.1434558566,6.01
2021-03-17,13.652499999999998,0.14109841,27.79
2021-03-18,13.503750000000002,0.0504011102,23.99
2021-03-19,10.057916666666667,0.745126605,12.05
2021-03-20,8.533333333333333,0.13447845,13.11
2021-03-21,11.407916666666669,0.1413022316,14.8
2021-03-22,14.676666666666664,-0.101026379,14.55
2021-03-23,10.5475,0.1839790836,13.24
2021-03-24,15.18625,0.068232328,12.42
2021-03-25,17.001250000000002,-0.0253310485999999,12.19
2021-03-26,13.103333333333332,0.0806379226,11.23
2021-03-27,15.225,-0.0004872463999999,10.11
2021-03-28,16.2525,0.211093932,8.54
2021-03-29,15.944583333333336,-0.038940419,10.57
2021-03-30,17.80166666666667,0.026040388018453868,7.46
2021-03-31,23.12833333333333,-0.044426896,7.07
2021-04-01,18.030416666666667,0.1868322104,7.34
2021-04-02,16.2575,0.477678955,15.61
2021-04-03,13.595,0.13173373,24.27
2021-04-04,15.369583333333331,-0.039941415,23.84
2021-04-05,26.53916666666667,-0.046644948,27.27
2021-04-06,20.99,0.629999995,21.7
2021-04-07,20.18291666666666,0.147885501,22.74
2021-04-08,16.29583333333333,-0.096695811,21.42
2021-04-09,17.24625,0.151591271,22.95
2021-04-10,14.47375,0.0010120567999999,22.67
2021-04-11,13.128749999999998,0.1092693011999999,23.81
2021-04-12,15.02375,-0.0017606272,24.07
2021-04-13,15.452916666666662,0.190230414,27.47
2021-04-14,22.05875,0.134308279,26.71
2021-04-15,12.630833333333335,0.230000004,27.99
2021-04-16,13.374166666666666,0.146750063,30.54
2021-04-17,15.160000000000002,0.0208148432,27.71
2021-04-18,15.260833333333336,0.182566121,23.46
2021-04-19,12.892083333333332,0.093623214,30.53
2021-04-20,14.55166666666667,0.224351615,37.54
2021-04-21,9.017916666666666,-0.0658907622,32.84
2021-04-22,10.69875,-0.270000011,31.09
2021-04-23,10.024583333333332,0.1319599,33.22
2021-04-24,11.937916666666666,-0.336382627,34.52
2021-04-25,13.038333333333334,0.44309479,29.24
2021-04-26,16.157500000000002,0.0273157684,28.32
2021-04-27,23.400833333333328,0.1308202274,30.6
2021-04-28,20.395416666666662,0.046965909,39.59
2021-04-29,16.614583333333332,0.30609405,27.79
2021-04-30,9.53875,0.0604637578,24.85
2021-05-01,11.588750000000005,0.069994181,24.47
2021-05-02,8.176666666666664,-0.0047689258,22.89
2021-05-03,12.225,0.0869422734,21.97
2021-05-04,8.082499999999998,0.2557373666,23.64
2021-05-05,8.310416666666669,0.0279025283999999,23.62
2021-05-06,9.395416666666668,-0.01310603,23.35
2021-05-07,7.689999999999999,0.029990045,23.5
2021-05-08,9.004999999999999,0.454657346,24.27
2021-05-09,9.006666666666666,-0.0010340884,23.77
2021-05-10,10.104166666666664,0.129999995,22.52
2021-05-11,10.937916666666668,0.214951053,22.62
2021-05-12,6.87,0.0648639344,23.13
2021-05-13,8.46125,0.0010798238,23.23
2021-05-14,8.168333333333333,0.1779967386,23.05
2021-05-15,9.157083333333333,0.156425327,24.09
2021-05-16,9.080833333333334,-0.241191193,22.82
2021-05-17,14.112500000000002,0.0658203622,22.65
2021-05-18,9.55625,0.1429666674,23.07
2021-05-19,7.94375,0.0093351112,21.9
2021-05-20,8.740833333333333,0.1093333776,23.2
2021-05-21,10.695,0.1357368118,22.9
2021-05-22,5.772916666666667,-0.072662167,23.01
2021-05-23,10.543333333333331,-0.024507305,24.04
2021-05-24,13.90833333333333,0.639999986,23.47
2021-05-25,9.69625,0.204766124,25.58
2021-05-26,8.325833333333334,0.0700549996,23.61
2021-05-27,4.414583333333333,0.2746134394,22.26
2021-05-28,10.309166666666666,-0.0037505288,22.12
2021-05-29,9.324166666666668,-0.0449796662,22.29
2021-05-30,7.902083333333336,0.195037426,23.97
2021-05-31,9.98875,0.340000004,22.88
2021-06-01,11.454583333333336,-0.024793937,22.21
2021-06-02,11.86,0.046727482,22.79
2021-06-03,19.495833333333334,-0.154488131,21.8
2021-06-04,12.187916666666672,0.1207729028,22.78
2021-06-05,9.232916666666668,0.137944952,22.99
2021-06-06,8.417499999999999,-0.0384839278,22.67
2021-06-07,12.187083333333334,0.200153351,22.79
2021-06-08,16.590416666666666,0.127973095,18.91
2021-06-09,10.4125,-0.3615363866,15.15
2021-06-10,9.012083333333331,0.009947555,15.22
2021-06-11,10.069166666666666,0.300000012,18.03
2021-06-12,4.767916666666667,0.065898421,15.36
2021-06-13,4.973333333333334,0.2095713952,16.93
2021-06-14,6.536666666666666,0.1182082116,17.09
2021-06-15,14.370000000000005,0.1084735738,15.84
2021-06-16,6.936666666666667,-0.0510878273999999,16.28
2021-06-17,5.828333333333332,0.0764304734,17.26
2021-06-18,7.657916666666666,-0.050000001,21.14
2021-06-19,6.837916666666666,0.1483416758,22.63
2021-06-20,9.44,0.008153297,23.68
2021-06-21,9.929583333333335,0.10767956,24.21
2021-06-22,9.800833333333337,0.1509078234,24.12
2021-06-23,9.785000000000002,-0.1551533336,23.07
2021-06-24,9.682083333333331,-0.0139855813999999,22.41
2021-06-25,9.309166666666668,-0.1146388296,18.27
2021-06-26,8.163333333333336,0.090010993,16.0
2021-06-27,9.383333333333336,0.469999999,16.12
2021-06-28,11.710416666666667,0.0815004484,18.83
2021-06-29,9.61125,0.1257823318,16.16
2021-06-30,11.3625,0.2890789104,1.92
2021-07-01,12.62,-0.0099688516,2.72
2021-07-02,10.885833333333336,0.1123132301999999,2.24
2021-07-03,7.947499999999998,0.010000001,0.58
2021-07-04,9.170416666666666,-0.137153104,2.46
2021-07-05,10.000416666666666,0.0595978618,2.19
2021-07-06,13.237916666666663,0.334897779,2.25
2021-07-07,11.286666666666664,0.0789776266,2.1
2021-07-08,9.72125,0.0099762679999999,2.25
2021-07-09,9.0775,0.0262619168,3.4
2021-07-10,7.324166666666667,0.129999995,3.65
2021-07-11,5.612083333333334,0.108751686,2.48
2021-07-12,9.139583333333333,-0.0088572583999999,2.41
2021-07-13,9.760833333333334,-0.210043684,2.9
2021-07-14,9.460416666666664,0.0650977724,2.83
2021-07-15,10.202916666666663,0.2450517417999999,3.65
2021-07-16,10.543333333333337,-0.1207210866,3.61
2021-07-17,6.979583333333333,-0.0055762247999999,4.25
2021-07-18,10.495833333333335,-0.0233813888,4.52
2021-07-19,12.19,-0.0492261047999999,3.88
2021-07-20,14.961666666666671,-0.0002580193999999,4.39
2021-07-21,10.431666666666668,-0.0097922531999999,5.44
2021-07-22,9.786666666666669,-0.0145988284,4.69
2021-07-23,6.890416666666668,0.050000001,4.24
