file_name,label
"Uttarakhand_Dehradun_Doon University, Dehradun - UKPCB.csv",0
"Chhattisgarh_Bhilai_Civic Center, Bhilai - Bhilai Steel Plant.csv",0
"Tamil Nadu_Chennai_Kodungaiyur, Chennai - TNPCB.csv",0
"Kerala_Thiruvananthapuram_Plammoodu, Thiruvananthapuram - Kerala PCB.csv",0
"Telangana_Hyderabad_ECIL Kapra, Hyderabad - TSPCB.csv",0
"Tamil Nadu_Chennai_Manali Village, Chennai - TNPCB.csv",0
"Jammu and Kashmir_Srinagar_Rajbagh, Srinagar - JKSPCB.csv",0
"Delhi_Delhi_Sirifort, Delhi - CPCB.csv",1
"Delhi_Delhi_NSIT Dwarka, Delhi - CPCB.csv",1
"Haryana_Faridabad_Sector 11, Faridabad - HSPCB.csv",1
"Delhi_Delhi_IHBAS, Dilshad Garden, Delhi - CPCB.csv",1
"Delhi_Delhi_Major Dhyan Chand National Stadium, Delhi - DPCC.csv",1
"Uttar Pradesh_Lucknow_Lalbagh, Lucknow - CPCB.csv",1
"Delhi_Delhi_Bawana, Delhi - DPCC.csv",2
"Delhi_Delhi_Mundka, Delhi - DPCC.csv",2
"Delhi_Delhi_Rohini, Delhi - DPCC.csv",2
"Uttar Pradesh_Meerut_Ganga Nagar, Meerut - UPPCB.csv",3
"Haryana_Faridabad_New Industrial Town, Faridabad - HSPCB.csv",3
"Rajasthan_Jodhpur_Collectorate, Jodhpur - RSPCB.csv",3
"Bihar_Patna_Rajbansi Nagar, Patna - BSPCB.csv",3
"Delhi_Delhi_Chandni Chowk, Delhi - IITM.csv",3
"Bihar_Patna_DRM Office Danapur, Patna - BSPCB.csv",3
"Maharashtra_Mumbai_Mazgaon, Mumbai - IITM.csv",3
"Uttar Pradesh_Varanasi_Ardhali Bazar, Varanasi - UPPCB.csv",3
"Haryana_Faridabad_Sector 30, Faridabad - HSPCB.csv",3
"Uttar Pradesh_Lucknow_Central School, Lucknow - CPCB.csv",3
"Maharashtra_Mumbai_Mulund West, Mumbai - MPCB.csv",4
"Punjab_Jalandhar_Civil Line, Jalandhar - PPCB.csv",4
"West Bengal_Kolkata_Bidhannagar, Kolkata - WBPCB.csv",4
"Uttar Pradesh_Agra_Shastripuram, Agra - UPPCB.csv",4
"Maharashtra_Pune_Alandi, Pune - IITM.csv",4
"Uttar Pradesh_Agra_Rohta, Agra - UPPCB.csv",4
"Uttar Pradesh_Kanpur_NSI Kalyanpur, Kanpur - UPPCB.csv",4
"Madhya Pradesh_Bhopal_T T Nagar, Bhopal - MPPCB.csv",4
"Madhya Pradesh_Gwalior_Phool Bagh, Gwalior - Mondelez Ind. Food.csv",4
"Gujarat_Gandhinagar_GIFT City, Gandhinagar - IITM.csv",4
