date,open_NO2,sate_NO2,"Jhunsi, Prayagraj - UPPCB","Motilal Nehru NIT, Prayagraj - UPPCB"
2021-01-29,12.777083333333332,6035778000000000.0,36.59,36.59
2021-01-30,14.364583333333334,5225790000000000.0,41.91,41.91
2021-01-31,26.301666666666662,7970760000000000.0,53.37,53.37
2021-02-01,30.115,5366782000000000.0,52.15,52.15
2021-02-02,38.314166666666665,5348050000000000.0,51.13,51.13
2021-02-03,35.43666666666667,5987904000000000.0,41.95,41.95
2021-02-04,37.61416666666667,6470770000000000.0,40.55,40.55
2021-02-05,16.671666666666663,4975312000000000.0,35.14,35.14
2021-02-06,13.587083333333334,6409220000000000.0,38.11,38.11
2021-02-07,17.487916666666663,5983210000000000.0,49.57,49.57
2021-02-08,17.94458333333333,7306942000000000.0,53.38,53.38
2021-02-09,27.095416666666665,5682140000000000.0,53.15,53.15
2021-02-10,47.73624999999999,5341118000000000.0,61.86,61.86
2021-02-11,52.50208333333333,5879200000000000.0,60.38,60.38
2021-02-12,54.83375000000001,5511392000000000.0,50.68,50.68
2021-02-13,29.13541666666667,5533680000000000.0,62.33,62.33
2021-02-14,27.581666666666663,5482208000000000.0,52.67,52.67
2021-02-15,41.95541666666667,5542250000000000.0,64.6,64.6
2021-02-16,45.79041666666668,4887984000000000.0,58.81,58.81
2021-02-17,28.618333333333325,4889082000000000.0,54.89,54.89
2021-02-18,29.90958333333333,5152130000000000.0,58.32,58.32
2021-02-19,33.96666666666666,4866240000000000.0,42.01,42.01
2021-02-20,22.257916666666663,6416570000000000.0,69.23,69.23
2021-02-21,14.78041666666667,3662297000000000.0,54.18,54.18
2021-02-22,17.145000000000003,5792230000000000.0,68.89,68.89
2021-02-23,17.97291666666667,5121210000000000.0,60.11,60.11
2021-02-24,14.653333333333336,6908684000000000.0,58.46,58.46
2021-02-25,11.450833333333335,4806650000000000.0,45.07,45.07
2021-02-26,13.363749999999996,5592916000000000.0,23.4,23.4
2021-02-27,16.20875,4576620000000000.0,8.1,8.1
2021-02-28,16.332916666666666,5894966000000000.0,8.1,8.1
2021-03-01,11.031249999999998,7596120000000000.0,28.5,28.5
2021-03-02,10.611666666666666,5190082000000000.0,44.94,44.94
2021-03-03,22.465416666666663,5939310000000000.0,53.92,53.92
2021-03-04,25.24791666666667,3359390000000000.0,66.07,66.07
2021-03-05,9.100416666666666,5146812000000000.0,59.26,59.26
2021-03-06,15.557083333333336,4868990000000000.0,50.74,50.74
2021-03-07,18.961250000000003,4851792000000000.0,44.21,44.21
2021-03-08,20.785833333333333,7360890000000000.0,21.14,21.14
2021-03-09,27.662083333333342,5297284000000000.0,36.31,36.31
2021-03-10,21.916666666666668,6593040000000000.0,54.43,54.43
2021-03-11,27.664166666666663,5944120000000000.0,52.38,52.38
2021-03-12,23.481250000000003,4916726000000000.0,45.87,45.87
2021-03-13,23.432083333333328,4396220000000000.0,41.35,41.35
2021-03-14,14.089130434782607,5505880000000000.0,44.07,44.07
2021-03-15,17.02708333333333,5154930000000000.0,46.21,46.21
2021-03-16,16.21041666666667,5263250000000000.0,36.84,36.84
2021-03-17,24.08791666666667,5392480000000000.0,48.51,48.51
2021-03-18,22.425833333333333,4346598000000000.0,65.79,65.79
2021-03-19,12.785416666666665,5935350000000000.0,61.8,61.8
2021-03-20,8.180416666666668,7403680000000000.0,49.42,49.42
2021-03-21,15.92041666666667,7190040000000000.0,47.38,47.38
2021-03-22,16.6225,1.23e+16,64.79,64.79
2021-03-23,17.894583333333333,5730648000000000.0,37.59,37.59
2021-03-24,9.663333333333332,6579350000000000.0,30.3,30.3
2021-03-25,12.880833333333332,4656354000000000.0,43.89,43.89
2021-03-26,16.635416666666664,6509770000000000.0,35.57,35.57
2021-03-27,19.64416666666667,5164440000000000.0,56.41,56.41
2021-03-28,24.22708333333334,6756950000000000.0,29.17,29.17
2021-03-29,18.44833333333333,6627690000000000.0,8.1,8.1
2021-03-30,6.016666666666667,202989000000000.0,29.96,29.96
2021-03-31,8.653333333333334,5554850000000000.0,33.55,33.55
2021-04-01,16.874583333333334,5976558000000000.0,34.91,34.91
2021-04-02,21.242916666666662,5841550000000000.0,33.21,33.21
2021-04-03,22.71625,6098760000000000.0,38.37,38.37
2021-04-04,17.035,6157460000000000.0,41.74,41.74
2021-04-05,39.66166666666667,6997270000000000.0,36.88,36.88
2021-04-06,15.825,8239820000000000.0,26.38,26.38
2021-04-07,18.02958333333333,6747220000000000.0,35.71,35.71
2021-04-08,37.615,5661196000000000.0,42.28,42.28
2021-04-09,17.567916666666665,6108910000000000.0,35.16,35.16
2021-04-10,17.169166666666666,5160372000000000.0,42.8,42.8
2021-04-11,7.068333333333335,6664480000000000.0,9.27,9.27
2021-04-12,18.91958333333334,5822170000000000.0,28.32,28.32
2021-04-13,20.22375,6423860000000000.0,37.46,37.46
2021-04-14,22.146666666666665,6051190000000000.0,34.15,34.15
2021-04-15,18.526666666666664,-331115000000000.0,39.4,39.4
2021-04-16,19.92875,5915930000000000.0,42.47,42.47
2021-04-17,16.575000000000003,5376234000000000.0,21.2,21.2
2021-04-18,10.686666666666666,7225120000000000.0,16.43,16.43
2021-04-19,21.34708333333333,5141690000000000.0,30.72,30.72
2021-04-20,20.82958333333333,4818780000000000.0,29.94,29.94
2021-04-21,14.540416666666667,5559678000000000.0,20.71,20.71
2021-04-22,18.28166666666667,5846730000000000.0,23.66,23.66
2021-04-23,23.69541666666667,5207310000000000.0,27.45,27.45
2021-04-24,6.245,6396396000000000.0,19.96,19.96
2021-04-25,14.306666666666668,6056060000000000.0,22.67,22.67
2021-04-26,24.20500000000001,3306996000000000.0,35.53,35.53
2021-04-27,21.039166666666663,7074360000000000.0,49.89,49.89
2021-04-28,17.659166666666668,6491240000000000.0,42.03,42.03
2021-04-29,15.747916666666663,5676390000000000.0,29.85,29.85
2021-04-30,11.21375,6830290000000000.0,20.53,20.53
2021-05-01,11.562083333333334,1106820000000000.0,25.18,25.18
2021-05-02,16.045,3924050000000000.0,19.08,19.08
2021-05-03,25.787916666666675,5415210000000000.0,20.21,20.21
2021-05-04,10.048749999999998,7035320000000000.0,21.2,21.2
2021-05-05,8.581666666666665,5653710000000000.0,16.55,16.55
2021-05-06,11.6425,6632530000000000.0,17.69,17.69
2021-05-07,14.222500000000004,7916060000000000.0,17.74,17.74
2021-05-08,11.607083333333335,7302270000000000.0,24.37,24.37
2021-05-09,13.100416666666668,7419490000000000.0,19.27,19.27
2021-05-10,17.0275,5959778000000000.0,18.41,18.41
2021-05-11,13.414583333333333,7520800000000000.0,21.31,21.31
2021-05-12,18.957083333333333,5025110000000000.0,28.64,28.64
2021-05-13,25.845416666666665,7625340000000000.0,21.79,21.79
2021-05-14,32.755833333333335,6573920000000000.0,25.85,25.85
2021-05-15,27.210416666666664,5727870000000000.0,26.59,26.59
2021-05-16,17.544166666666666,6968500000000000.0,17.69,17.69
2021-05-17,18.640416666666667,-3720490000000000.0,21.09,21.09
2021-05-18,11.832083333333332,4762170000000000.0,10.95,10.95
2021-05-19,11.199999999999998,5369580000000000.0,9.33,9.33
2021-05-20,17.130416666666665,6024480000000000.0,6.52,6.52
2021-05-21,22.33583333333333,5189720000000000.0,12.76,12.76
2021-05-22,25.419166666666666,5926940000000000.0,14.1,14.1
2021-05-23,11.938333333333333,5891810000000000.0,21.19,21.19
2021-05-24,10.374999999999998,6372140000000000.0,24.65,24.65
2021-05-25,14.771666666666668,7037990000000000.0,17.55,17.55
2021-05-26,9.64,4486098000000000.0,11.47,11.47
2021-05-27,8.936666666666667,5423916000000000.0,10.55,10.55
2021-05-28,10.265,5314238000000000.0,9.32,9.32
2021-05-29,7.619583333333334,3328884600000000.0,12.51,12.51
2021-05-30,17.312083333333334,5318720000000000.0,12.44,12.44
2021-05-31,15.8525,5729290000000000.0,14.87,14.87
2021-06-01,22.12833333333333,4358060000000000.0,14.45,14.45
2021-06-02,16.45625,3304120000000000.0,15.03,6.15
2021-06-03,15.10166666666666,5864280000000000.0,9.44,7.26
2021-06-04,5.917916666666666,6321496000000000.0,9.27,7.18
2021-06-05,5.377083333333334,5706370000000000.0,5.74,6.93
2021-06-06,3.5137500000000004,4748380000000000.0,7.78,8.34
2021-06-07,3.947083333333334,6015800000000000.0,5.69,7.36
2021-06-08,7.512916666666666,6112460000000000.0,5.44,9.56
2021-06-09,7.1000000000000005,5481360000000000.0,5.47,6.12
2021-06-10,18.962916666666665,4944312000000000.0,4.2,6.48
2021-06-11,17.247916666666672,5629714000000000.0,5.62,4.05
2021-06-12,8.955416666666666,6174370000000000.0,4.6,2.65
2021-06-13,13.53875,5445830000000000.0,7.16,1.16
2021-06-14,24.00541666666666,5650312000000000.0,6.39,2.84
2021-06-15,22.905833333333334,4435830000000000.0,8.49,2.32
2021-06-16,21.17,6796590000000000.0,4.35,1.82
2021-06-17,13.496249999999998,4349694600000000.0,9.3,5.03
2021-06-18,13.908333333333331,4929250000000000.0,7.4,3.07
2021-06-19,6.51625,4998247520000000.0,4.77,2.73
2021-06-20,7.53875,4793118000000000.0,10.71,2.79
2021-06-21,17.331666666666667,5341420000000000.0,9.27,7.01
2021-06-22,21.641666666666666,4177370000000000.0,9.89,4.47
2021-06-23,16.66541666666667,5668120000000000.0,6.57,1.49
2021-06-24,23.68458333333333,5123390000000000.0,5.68,1.28
2021-06-25,17.444999999999997,5945270000000000.0,8.52,1.75
2021-06-26,16.470833333333335,3757110000000000.0,7.94,1.21
2021-06-27,14.520416666666668,5160354000000000.0,8.35,2.31
2021-06-28,17.508333333333336,4943800000000000.0,6.57,2.51
2021-06-29,7.667499999999999,3135654000000000.0,7.4,3.77
2021-06-30,4.535,6604830000000000.0,6.18,2.65
2021-07-01,5.662916666666667,4434260000000000.0,6.43,2.67
2021-07-02,5.1425,7472780000000000.0,4.59,2.51
2021-07-03,6.567083333333335,5083100000000000.0,6.75,2.66
2021-07-04,13.00583333333333,5294550000000000.0,5.54,2.6
2021-07-05,10.986666666666666,5789480000000000.0,5.74,2.41
2021-07-06,7.492500000000001,5597686000000000.0,4.3,2.64
2021-07-07,7.979166666666665,5751310000000000.0,4.98,5.71
2021-07-08,10.281666666666668,5152342000000000.0,6.97,4.23
2021-07-09,23.991249999999997,4637860000000000.0,5.32,1.19
2021-07-10,13.052916666666668,4966590000000000.0,6.39,1.27
2021-07-11,14.689166666666663,5579480000000000.0,8.36,0.88
2021-07-12,11.924583333333333,4797940000000000.0,8.79,0.81
2021-07-13,10.976666666666668,4885018000000000.0,6.06,1.15
2021-07-14,9.574166666666663,6158530000000000.0,5.99,0.8
2021-07-15,12.874999999999998,3327998600000000.0,7.94,1.37
2021-07-16,10.799583333333333,4939950000000000.0,5.74,2.3
2021-07-17,9.09125,4501074000000000.0,4.87,2.12
2021-07-18,8.764166666666666,4011558200000000.0,3.45,1.82
2021-07-19,15.669166666666662,4657110000000000.0,4.83,2.18
2021-07-20,8.297083333333333,1668280000000000.0,1.65,1.52
2021-07-21,26.26833333333333,5718006000000000.0,4.0,1.11
2021-07-22,24.19083333333333,3430806600000000.0,5.85,2.12
2021-07-23,12.085,4651500000000000.0,5.34,1.55
2021-07-24,10.159583333333332,5177744000000000.0,4.4,1.32
2021-07-25,8.219166666666666,3919952000000000.0,3.95,0.87
2021-07-26,8.323333333333332,3943910000000000.0,2.67,1.07
2021-07-27,13.36208333333333,5790286000000000.0,2.66,0.7
2021-07-28,5.348333333333334,5041190000000000.0,1.02,0.35
2021-07-29,6.653333333333335,5557394000000000.0,1.13,1.04
2021-07-30,17.854166666666668,4531166000000000.0,0.95,1.27
2021-07-31,8.836666666666666,3401990000000000.0,2.56,1.18
2021-08-01,5.0683333333333325,5181332000000000.0,0.79,0.3
2021-08-02,6.477916666666666,4839374000000000.0,0.54,0.82
2021-08-03,6.584166666666668,5010660000000000.0,0.95,0.97
2021-08-04,9.195416666666668,6034266000000000.0,1.53,2.25
2021-08-05,8.375416666666668,4742530000000000.0,2.18,1.0
2021-08-06,10.04,4418590000000000.0,0.77,1.6
2021-08-07,7.765416666666667,6766626000000000.0,0.61,1.84
2021-08-08,8.582083333333332,6254366000000000.0,0.39,1.35
2021-08-09,9.761666666666668,5492140000000000.0,0.36,1.15
2021-08-10,8.96625,4746104000000000.0,1.16,1.04
2021-08-11,9.310416666666669,5764780000000000.0,1.15,3.48
2021-08-12,10.135833333333332,4998972000000000.0,3.92,3.21
2021-08-13,10.762916666666667,4522500000000000.0,4.05,2.81
2021-08-14,5.86875,5234386000000000.0,1.91,2.27
2021-08-15,8.836666666666668,5029080000000000.0,3.64,2.76
2021-08-16,20.58875,5902128000000000.0,1.51,4.92
2021-08-17,26.02583333333333,5320742000000000.0,2.09,1.65
2021-08-18,19.965416666666663,4682070000000000.0,1.63,1.01
2021-08-19,28.97625,3731660000000000.0,1.43,1.17
2021-08-20,25.506249999999994,7068670000000000.0,7.31,1.14
2021-08-21,12.655,-300097000000000.0,2.74,0.62
2021-08-22,10.961249999999998,4553250000000000.0,1.28,2.01
2021-08-23,7.084583333333334,4347540000000000.0,1.52,1.93
2021-08-24,5.671666666666666,4279590000000000.0,0.99,3.46
2021-08-25,6.077500000000001,4043762200000000.0,0.13,0.4
2021-08-26,8.556666666666667,3515620000000000.0,0.52,1.57
2021-08-27,18.571666666666665,4450700000000000.0,1.72,0.82
2021-08-28,17.276666666666667,6197210000000000.0,2.25,0.49
2021-08-29,17.473333333333333,4525480000000000.0,2.42,0.35
2021-08-30,17.27875,4830502000000000.0,1.5,0.14
2021-08-31,14.22,4677140000000000.0,1.71,0.21
2021-09-01,17.03333333333333,4808166000000000.0,4.05,0.94
2021-09-02,15.01625,6600420000000000.0,2.51,2.62
2021-09-03,19.120833333333334,4346380000000000.0,2.99,3.18
2021-09-04,12.399583333333334,5839550000000000.0,1.94,4.4
2021-09-05,26.14375,8060860000000000.0,1.82,4.01
2021-09-06,13.595833333333331,68837600000000.0,3.93,6.88
2021-09-07,13.9,4430160000000000.0,1.19,2.31
2021-09-08,17.536666666666672,4699274600000000.0,1.04,2.65
2021-09-09,22.780833333333334,5655950000000000.0,1.35,3.89
2021-09-10,21.450833333333332,5663010000000000.0,1.2,4.23
2021-09-11,12.23875,3619790000000000.0,2.6,3.98
2021-09-12,14.185416666666669,6153710000000000.0,3.2,3.89
2021-09-13,10.97541666666667,5143760000000000.0,2.66,4.04
2021-09-14,11.960416666666667,6820954000000000.0,0.97,2.9
2021-09-15,24.88458333333333,5270200000000000.0,0.28,3.08
2021-09-16,19.992916666666662,5118158000000000.0,0.54,4.81
2021-09-17,13.7925,5480842000000000.0,0.42,4.71
2021-09-18,9.8825,5157410000000000.0,1.34,5.33
2021-09-19,13.765416666666663,5806060000000000.0,3.49,10.36
2021-09-20,15.202083333333334,4509970000000000.0,2.79,6.24
2021-09-21,13.948750000000002,5439920000000000.0,3.55,3.68
2021-09-22,10.295,5803760000000000.0,3.3,2.96
2021-09-23,15.16625,5440468000000000.0,3.13,2.91
2021-09-24,23.45,6256732000000000.0,2.07,3.88
2021-09-25,21.163750000000004,5180870000000000.0,2.71,4.75
2021-09-26,14.103333333333332,3999256000000000.0,3.59,4.34
2021-09-27,10.310416666666663,4760470000000000.0,3.59,3.27
2021-09-28,11.61125,5237030000000000.0,2.84,3.06
2021-09-29,12.216249999999995,5300014000000000.0,2.82,2.99
2021-09-30,15.416250000000003,4238760000000000.0,3.55,3.12
2021-10-01,9.149166666666668,5761118000000000.0,2.27,4.88
2021-10-02,10.765,5149956000000000.0,3.64,7.6
2021-10-03,7.732500000000002,5161894000000000.0,1.58,9.81
2021-10-04,17.047916666666666,5422540000000000.0,2.91,7.98
2021-10-05,23.291666666666668,4493670000000000.0,3.75,10.35
2021-10-06,33.66291666666667,6510270000000000.0,4.59,10.94
2021-10-07,19.74125,6474250000000000.0,5.79,13.65
2021-10-08,16.399583333333332,4996178000000000.0,5.09,17.86
2021-10-09,15.535416666666665,5077200000000000.0,6.78,19.49
2021-10-10,24.416249999999994,5715770000000000.0,7.35,19.15
2021-10-11,28.596666666666668,4524010000000000.0,8.26,21.83
2021-10-12,26.365833333333335,4659198000000000.0,6.81,14.16
2021-10-13,33.69166666666667,5139030000000000.0,6.93,17.32
2021-10-14,19.487499999999997,4857130000000000.0,7.41,16.48
2021-10-15,28.110833333333336,4411506000000000.0,9.63,13.94
2021-10-16,9.962916666666668,5728430000000000.0,6.8,9.11
2021-10-17,9.374999999999998,5157774000000000.0,4.72,5.14
2021-10-18,14.547916666666666,4630502000000000.0,3.3,3.19
2021-10-19,9.535416666666665,3984630000000000.0,1.31,4.04
2021-10-20,10.897916666666667,5038830000000000.0,3.79,10.24
2021-10-21,8.967916666666666,5234160000000000.0,2.65,12.59
2021-10-22,14.062499999999998,7470996000000000.0,4.78,12.98
2021-10-23,20.75666666666667,5350990000000000.0,9.28,18.88
2021-10-24,19.41625,4851158000000000.0,11.49,17.96
2021-10-25,20.723333333333333,4108760000000000.0,10.85,19.66
2021-10-26,17.39166666666667,6320590000000000.0,10.57,21.06
2021-10-27,17.809583333333332,3985270000000000.0,11.27,20.19
2021-10-28,34.92916666666666,5408754000000000.0,13.11,23.09
2021-10-29,25.69208333333333,5154670000000000.0,16.46,26.59
2021-10-30,11.27875,4593570000000000.0,13.98,23.48
2021-10-31,20.22875,4408466000000000.0,11.52,21.09
2021-11-01,47.65333333333333,6345830000000000.0,16.07,34.23
2021-11-02,41.70125,5085724000000000.0,23.64,22.87
2021-11-03,33.268750000000004,6590750000000000.0,26.59,21.67
2021-11-04,39.21375,5151302000000000.0,22.4,27.63
2021-11-05,29.206666666666667,5640440000000000.0,14.28,17.91
2021-11-06,13.419166666666664,5677720000000000.0,13.48,19.57
2021-11-07,19.6348,4911898000000000.0,15.81,29.0
2021-11-08,20.965833333333336,6751830000000000.0,26.78,33.48
2021-11-09,24.64375,4715336000000000.0,23.21,26.94
2021-11-10,29.88583333333333,3789240000000000.0,26.6,29.7
2021-11-11,42.06166666666667,4800640000000000.0,26.04,27.37
2021-11-12,50.77000000000001,5870110000000000.0,27.71,30.67
2021-11-13,24.090833333333336,4343078000000000.0,30.41,34.29
2021-11-14,25.030416666666664,4726340000000000.0,39.27,30.52
2021-11-15,25.0475,7702820000000000.0,29.72,32.27
2021-11-16,33.88958333333334,4707158000000000.0,28.12,31.08
2021-11-17,47.460416666666674,5155200000000000.0,32.69,24.19
2021-11-18,37.87458333333334,5261500000000000.0,31.05,31.33
2021-11-19,28.602916666666676,4517582000000000.0,25.65,20.47
2021-11-20,23.965416666666677,3977706600000000.0,23.59,24.54
2021-11-21,13.275416666666668,4491250000000000.0,20.31,22.58
2021-11-22,10.50375,6512770000000000.0,17.7,21.99
2021-11-23,33.874583333333334,7186448000000000.0,19.38,22.54
2021-11-24,48.00333333333333,6872040000000000.0,26.68,21.45
2021-11-25,36.87833333333333,5433102000000000.0,34.93,28.88
2021-11-26,37.46416666666666,4562970000000000.0,32.4,36.29
2021-11-27,38.52458333333334,5288014000000000.0,34.89,29.41
2021-11-28,29.62041666666667,4317950000000000.0,37.07,37.35
2021-11-29,26.567916666666665,5505194000000000.0,28.06,29.16
2021-11-30,47.23916666666667,5100830000000000.0,27.06,31.18
2021-12-01,34.37291666666668,7173060000000000.0,28.69,36.76
2021-12-02,34.12375000000001,5802118000000000.0,25.45,33.49
2021-12-03,20.602916666666665,6411000000000000.0,23.06,24.91
2021-12-04,29.27125000000001,5262122000000000.0,27.42,25.16
2021-12-05,25.161666666666672,6377880000000000.0,32.5,25.78
2021-12-06,16.64375,5927102000000000.0,24.09,23.38
2021-12-07,19.120833333333334,6207940000000000.0,19.57,20.81
2021-12-08,29.2025,1.1e+16,22.3,27.16
2021-12-09,31.537916666666664,6084282000000000.0,29.48,30.71
2021-12-10,14.882083333333334,7686640000000000.0,25.99,26.76
2021-12-11,26.54166666666667,5206396000000000.0,17.79,25.89
2021-12-12,43.42541666666667,6459790000000000.0,27.81,33.95
2021-12-13,55.32916666666667,7096220000000000.0,34.58,39.67
2021-12-14,42.71916666666666,6091050000000000.0,32.54,38.78
2021-12-15,38.212916666666665,3463194600000000.0,29.76,35.97
2021-12-16,50.22458333333335,4769950000000000.0,27.71,32.76
2021-12-17,15.51333333333333,5335240000000000.0,24.22,25.9
2021-12-18,8.572916666666666,6914794000000000.0,14.06,17.37
2021-12-19,13.103750000000003,5575790000000000.0,16.3,20.07
2021-12-20,23.58750000000001,5658986000000000.0,22.13,29.59
2021-12-21,21.412500000000005,5323950000000000.0,23.52,27.18
2021-12-22,31.24000000000001,5145842000000000.0,22.61,37.33
2021-12-23,55.101250000000014,7433290000000000.0,28.34,41.79
2021-12-24,38.54166666666666,6767690000000000.0,29.77,24.79
2021-12-25,34.525,6030260000000000.0,30.75,27.09
2021-12-26,32.40250000000001,4761070000000000.0,28.59,32.45
2021-12-27,29.98875,4992148000000000.0,25.04,15.42
2021-12-28,21.620416666666667,4991976000000000.0,20.57,12.59
2021-12-29,19.18375,4204298000000000.0,16.26,13.67
2021-12-30,24.72958333333333,3248996600000000.0,19.15,15.8
2021-12-31,27.084583333333335,5425276000000000.0,14.67,17.34
