date,open_NO2,sate_NO2,"Jhunsi, Prayagraj - UPPCB","Motilal Nehru NIT, Prayagraj - UPPCB"
2020-11-24,35.815,4732542000000000.0,49.94,49.94
2020-11-25,34.53625,5676700000000000.0,56.94,56.94
2020-11-26,37.74958333333333,4831154000000000.0,19.31,19.31
2020-11-27,33.19458333333334,5754110000000000.0,13.83,13.83
2020-11-28,26.232916666666664,7642130000000000.0,14.25,14.25
2020-11-29,23.41708333333333,5079520000000000.0,10.1,10.1
2020-11-30,31.542083333333338,6106120000000000.0,6.77,6.77
2020-12-01,32.34583333333333,5551082000000000.0,9.02,9.02
2020-12-02,23.22083333333333,4681860000000000.0,10.81,10.81
2020-12-03,36.19375,5490016000000000.0,24.74,24.74
2020-12-04,49.79541666666668,7880850000000000.0,44.75,44.75
2020-12-05,41.69791666666666,1.13e+16,84.19,84.19
2020-12-06,35.302083333333336,5586162000000000.0,55.18,55.18
2020-12-07,30.12750000000001,6761830000000000.0,43.36,43.36
2020-12-08,34.69416666666666,5348532000000000.0,68.82,68.82
2020-12-09,32.52375,4673920000000000.0,56.49,56.49
2020-12-10,27.194166666666675,5115190000000000.0,64.63,64.63
2020-12-11,25.126666666666665,4713142000000000.0,45.32,45.32
2020-12-12,18.864583333333336,4563443600000000.0,50.01,50.01
2020-12-13,16.46166666666667,4388700000000000.0,37.04,37.04
2020-12-14,45.01874999999999,3230460000000000.0,39.25,39.25
2020-12-15,18.16541666666667,5852818000000000.0,31.09,31.09
2020-12-16,20.73583333333333,3309076600000000.0,48.96,48.96
2020-12-17,10.452916666666669,3741124600000000.0,41.81,41.81
2020-12-18,13.440416666666666,4709950000000000.0,39.64,39.64
2020-12-19,19.71625,5503074000000000.0,45.27,45.27
2020-12-20,20.28458333333333,5873680000000000.0,45.32,45.32
2020-12-21,25.01,6481980000000000.0,70.39,70.39
2020-12-22,27.38958333333333,5506572000000000.0,66.65,66.65
2020-12-23,36.80791666666666,6623160000000000.0,59.68,59.68
2020-12-24,32.27708333333334,5163678000000000.0,79.98,79.98
2020-12-25,18.65833333333333,5090760000000000.0,50.25,50.25
2020-12-26,30.679166666666664,7930698000000000.0,56.15,56.15
2020-12-27,29.441666666666663,4615120000000000.0,43.54,43.54
2020-12-28,34.25958333333333,6355704000000000.0,50.86,50.86
2020-12-29,20.3575,4695800000000000.0,51.5,51.5
2020-12-30,26.28708333333333,1e+16,45.05,45.05
2020-12-31,33.25875,4759518000000000.0,44.48,44.48
2021-01-01,50.49500000000001,6028440000000000.0,71.91,71.91
2021-01-02,35.19041666666667,6138780000000000.0,80.48,80.48
2021-01-03,22.71625,4966790000000000.0,66.02,66.02
2021-01-04,19.69333333333333,4056540600000000.0,58.5,58.5
2021-01-05,49.46750000000001,5928032000000000.0,55.04,55.04
2021-01-06,27.21833333333333,1.41e+16,51.97,51.97
2021-01-07,26.425833333333333,4961446000000000.0,41.9,41.9
2021-01-08,40.65583333333334,6189790000000000.0,31.95,31.95
2021-01-09,13.33041666666667,5177416000000000.0,43.63,43.63
2021-01-10,8.114166666666668,4676790000000000.0,32.56,32.56
2021-01-11,10.626666666666663,3791340600000000.0,30.61,30.61
2021-01-12,15.12375,4594090000000000.0,34.69,34.69
2021-01-13,21.37125,5536196000000000.0,48.21,48.21
2021-01-14,29.317083333333333,5266050000000000.0,44.54,44.54
2021-01-15,33.76541666666667,4785640000000000.0,45.9,45.9
2021-01-16,27.879166666666677,4704270000000000.0,48.66,48.66
2021-01-17,21.29083333333333,4437960000000000.0,38.56,38.56
2021-01-18,43.01250000000001,5747768000000000.0,47.89,47.89
2021-01-19,25.732916666666668,5009000000000000.0,64.58,64.58
2021-01-20,10.128333333333332,5570720000000000.0,43.38,43.38
2021-01-21,20.544166666666666,6541750000000000.0,33.95,33.95
2021-01-22,33.78083333333333,8445610000000000.0,46.03,46.03
2021-01-23,25.858333333333334,5600442000000000.0,35.25,35.25
2021-01-24,25.901249999999997,2.02e+16,42.61,42.61
2021-01-25,23.10291666666667,4565886000000000.0,34.69,34.69
2021-01-26,25.465,5604812000000000.0,31.84,31.84
2021-01-27,37.015,5009086000000000.0,49.12,49.12
2021-01-28,36.497083333333336,4216610000000000.0,46.71,46.71
