date,open_NO2,sate_NO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2021-08-03,6.875416666666667,4513600000000000.0,25.59,7.4,5.08,38.73,25.59
2021-08-04,9.164999999999996,5971690000000000.0,23.42,8.45,4.27,39.21,23.42
2021-08-05,7.070833333333333,4145010000000000.0,18.91,7.24,5.3,21.0,18.91
2021-08-06,10.60125,4201976000000000.0,18.38,11.67,6.96,15.02,18.38
2021-08-07,9.567916666666664,4529710000000000.0,23.56,8.75,6.01,10.24,23.56
2021-08-08,8.595833333333333,5624870000000000.0,28.91,7.73,5.49,9.03,28.91
2021-08-09,16.99875,4985370000000000.0,20.06,14.33,3.79,12.33,20.06
2021-08-10,15.462083333333338,5425706000000000.0,14.0,17.73,3.32,8.32,14.0
2021-08-11,25.240416666666665,5283958000000000.0,17.53,17.77,2.82,12.89,17.53
2021-08-12,22.095416666666665,4494684000000000.0,21.19,17.06,4.58,10.11,21.19
2021-08-13,15.401666666666667,4840708000000000.0,26.57,16.05,3.64,24.57,26.57
2021-08-14,10.415833333333332,5823528000000000.0,28.89,20.04,2.68,7.71,28.89
2021-08-15,13.130833333333332,4415060000000000.0,28.72,17.94,2.06,9.66,28.72
2021-08-16,19.96375,5294498000000000.0,27.98,18.8,0.88,11.56,27.98
2021-08-17,8.314583333333335,4778010000000000.0,26.93,14.27,0.49,8.73,26.93
2021-08-18,9.950416666666666,4623822000000000.0,27.18,10.38,0.2,8.14,27.18
2021-08-19,10.064583333333331,4730826000000000.0,27.88,8.77,0.18,8.56,27.88
2021-08-20,9.299583333333336,5041740000000000.0,27.2,5.85,0.11,12.14,27.2
2021-08-21,7.399166666666665,5458586000000000.0,27.21,6.32,0.06,23.5,27.21
2021-08-22,13.75625,4337710000000000.0,26.14,7.41,0.09,21.68,26.14
2021-08-23,17.000833333333336,5127696000000000.0,23.65,12.64,0.37,14.85,23.65
2021-08-24,16.074583333333333,4905568000000000.0,18.42,15.87,0.3,12.8,18.42
2021-08-25,11.480833333333337,3479180000000000.0,18.81,18.47,0.32,16.22,18.81
2021-08-26,15.116666666666667,4876194000000000.0,17.79,10.3,0.55,15.13,17.79
2021-08-27,11.785416666666668,4945754000000000.0,18.15,9.77,0.53,14.77,18.15
2021-08-28,10.634999999999998,3576680000000000.0,18.47,8.2,0.12,13.94,18.47
2021-08-29,6.542083333333335,5409514000000000.0,18.09,7.72,0.11,12.99,18.09
2021-08-30,8.328333333333335,5458410000000000.0,18.7,10.12,0.06,10.07,18.7
2021-08-31,12.002916666666664,4875350000000000.0,18.65,6.68,0.05,9.93,18.65
2021-09-01,14.874583333333334,5393548000000000.0,18.58,9.58,1.31,15.42,18.58
2021-09-02,14.362500000000002,4538400000000000.0,18.09,17.12,1.51,15.5,18.09
2021-09-03,16.605,5105888000000000.0,18.25,14.22,2.32,9.0,18.25
2021-09-04,14.525,6372450000000000.0,18.46,20.13,2.0,11.86,18.46
2021-09-05,17.537499999999998,5957550000000000.0,18.26,18.62,2.16,9.66,18.26
2021-09-06,7.565416666666667,4559012000000000.0,18.46,13.65,2.83,10.4,18.46
2021-09-07,5.350833333333333,5399800000000000.0,17.71,6.24,1.2,17.25,17.71
2021-09-08,7.911666666666668,4933232000000000.0,17.68,5.71,1.6,8.81,17.68
2021-09-09,8.515,3745850000000000.0,17.26,5.11,1.67,11.38,17.26
2021-09-10,8.079166666666667,6816130000000000.0,16.39,8.53,1.19,58.55,16.39
2021-09-11,6.604583333333332,4164180000000000.0,15.76,14.37,1.11,29.64,15.76
2021-09-12,8.730416666666668,5320040000000000.0,16.02,11.26,0.64,57.17,16.02
2021-09-13,5.974166666666668,5220650000000000.0,16.23,11.41,1.25,77.31,16.23
2021-09-14,3.770416666666667,4780670000000000.0,16.63,7.23,1.4,66.15,16.63
2021-09-15,6.571666666666666,5489768000000000.0,16.43,5.7,0.65,49.81,16.43
2021-09-16,14.452916666666663,5327612000000000.0,17.26,4.95,0.15,34.09,17.26
2021-09-17,18.307500000000005,4089428000000000.0,16.27,4.36,2.77,44.71,16.27
2021-09-18,8.922083333333333,4782410000000000.0,16.2,1.9,1.9,69.32,16.2
2021-09-19,11.128333333333332,4973130000000000.0,16.47,18.82,2.94,62.24,16.47
2021-09-20,8.303333333333336,5176160000000000.0,17.47,12.95,1.48,49.53,17.47
2021-09-21,9.115416666666668,5379170000000000.0,18.07,11.59,0.86,29.49,18.07
2021-09-22,8.040416666666667,4914596000000000.0,18.25,13.59,1.99,18.25,18.25
2021-09-23,5.835416666666667,5243980000000000.0,17.74,8.74,0.97,17.74,17.74
2021-09-24,12.185,5549810000000000.0,17.66,15.3,1.11,17.66,17.66
2021-09-25,9.995833333333335,4415768000000000.0,17.49,13.15,1.12,38.93,17.49
