date,open_SO2,sate_SO2,"Alandi, Pune - IITM","Bhosari, Pune - IITM","Hadapsar, Pune - IITM","Karve Road, Pune - MPCB","Mhada Colony, Pune - IITM","MIT-Kothrud, Pune - IITM","Revenue Colony-Shivajinagar, Pune - IITM"
2021-02-23,27.205416666666668,0.0637577216,12.76,12.76,12.76,12.76,12.76,12.76,12.76
2021-02-24,36.10125,0.03623379,9.25,9.25,9.25,9.25,9.25,9.25,9.25
2021-02-25,24.434166666666663,-0.011991445,28.95,28.95,28.95,28.95,28.95,28.95,28.95
2021-02-26,30.72125000000001,0.015858948,9.5,9.5,9.5,9.5,9.5,9.5,9.5
2021-02-27,15.673333333333334,0.1437083936,7.16,7.16,7.16,7.16,7.16,7.16,7.16
2021-02-28,19.789166666666663,0.01343558,7.09,7.09,7.09,7.09,7.09,7.09,7.09
2021-03-01,16.988333333333333,0.0316652648,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021-03-02,21.646666666666665,-0.029710768,6.9,6.9,6.9,6.9,6.9,6.9,6.9
2021-03-03,19.167916666666667,-0.017237589,7.05,7.05,7.05,7.05,7.05,7.05,7.05
2021-03-04,23.420000000000005,0.281907976,47.01,47.01,23.5,23.5,23.5,23.5,23.5
2021-03-05,23.66291666666667,0.104905128,47.8,47.8,5.55,5.55,5.55,5.55,5.55
2021-03-06,22.877916666666668,0.410541624,0.53,0.53,0.53,0.53,0.53,0.53,0.53
2021-03-07,17.005416666666665,0.041528959,3.79,3.79,3.79,3.79,3.79,3.79,3.79
2021-03-08,26.937083333333337,-0.1317503648,5.55,5.55,5.55,5.55,5.55,5.55,5.55
2021-03-09,22.9175,0.245081648,4.33,4.33,4.33,4.33,4.33,4.33,4.33
2021-03-10,26.34125,0.0878715076,8.15,8.15,8.15,8.15,8.15,8.15,8.15
2021-03-11,34.90916666666667,0.0234448749999999,2.56,2.56,2.56,2.56,2.56,2.56,2.56
2021-03-12,18.715833333333336,0.2414518,4.99,4.99,4.99,4.99,4.99,4.99,4.99
2021-03-13,11.832083333333337,0.175482452,9.28,9.28,9.28,9.28,9.28,9.28,9.28
2021-03-14,20.82565217391305,0.210414365,10.17,10.17,10.17,10.17,10.17,10.17,10.17
2021-03-15,30.47875,-0.0033107726,20.93,20.93,20.93,20.93,20.93,20.93,20.93
2021-03-16,21.349166666666665,0.124163069,7.39,7.39,7.39,7.39,7.39,7.39,7.39
2021-03-17,24.65625,0.0234711713999999,8.98,8.98,8.98,8.98,8.98,8.98,8.98
2021-03-18,24.875833333333333,-0.270000011,3.29,3.29,3.29,3.29,3.29,3.29,3.29
2021-03-19,25.02291666666667,0.0717729664,7.96,7.96,7.96,7.96,7.96,7.96,7.96
2021-03-20,18.28,-0.63815105,7.47,7.47,7.47,7.47,7.47,7.47,7.47
2021-03-21,22.63125,0.058098257,8.69,8.69,8.69,8.69,8.69,8.69,8.69
2021-03-22,21.15541666666667,0.003821329,11.9,11.9,11.9,11.9,11.9,11.9,11.9
2021-03-23,19.610416666666666,-0.15843007,6.2,6.2,6.2,6.2,6.2,6.2,6.2
2021-03-24,20.787500000000005,0.10640502,4.33,4.33,4.33,4.33,4.33,4.33,4.33
2021-03-25,15.579166666666667,0.114980102,2.13,2.13,2.13,2.13,2.13,2.13,2.13
2021-03-26,20.12708333333333,-0.0242683702,2.92,2.92,2.92,2.92,2.92,2.92,2.92
2021-03-27,16.285416666666666,0.0715043934,8.62,8.62,8.62,8.62,8.62,8.62,8.62
2021-03-28,16.659583333333334,0.499218166,9.6,9.6,9.6,9.6,9.6,9.6,9.6
2021-03-29,24.497916666666672,-0.066913843,7.77,7.77,7.77,7.77,7.77,7.77,7.77
2021-03-30,13.910416666666668,0.041509277157605974,7.78,7.78,7.78,7.78,7.78,7.78,7.78
2021-03-31,21.24416666666667,0.016600249,12.55,12.55,12.55,12.55,12.55,12.55,12.55
2021-04-01,9.659166666666666,0.118263751,10.98,10.98,10.98,10.98,10.98,10.98,10.98
2021-04-02,6.7525,0.0708804858,9.76,9.76,9.76,9.76,9.76,9.76,9.76
2021-04-03,6.849999999999999,0.359197885,15.46,15.46,15.46,15.46,15.46,15.46,15.46
2021-04-04,14.329583333333332,0.0434565062,31.56,31.56,31.56,31.56,31.56,31.56,31.56
2021-04-05,23.605833333333333,-0.173266068,11.92,11.92,11.92,11.92,11.92,11.92,11.92
2021-04-06,24.899583333333336,0.20776704,13.25,13.25,13.25,13.25,13.25,13.25,13.25
2021-04-07,32.18208333333333,0.319491178,24.68,24.68,24.68,24.68,24.68,24.68,24.68
2021-04-08,12.317916666666669,-0.055019047,8.85,8.85,8.85,8.85,8.85,8.85,8.85
2021-04-09,27.13958333333333,0.148412377,0.76,0.76,0.76,0.76,0.76,0.76,0.76
2021-04-10,26.732916666666664,-0.360000014,2.74,2.74,2.74,2.74,2.74,2.74,2.74
2021-04-11,17.47958333333333,-0.0119729214,25.68,25.68,25.68,25.68,25.68,25.68,25.68
2021-04-12,47.24041666666667,0.0184820671999999,26.47,26.47,26.47,26.47,26.47,26.47,26.47
2021-04-13,26.25500000000001,0.125940159,10.62,10.62,10.62,10.62,10.62,10.62,10.62
2021-04-14,21.304166666666667,-0.11895024,11.27,11.27,11.27,11.27,11.27,11.27,11.27
2021-04-15,20.956666666666663,0.030149909,11.22,11.22,11.22,11.22,11.22,11.22,11.22
2021-04-16,20.649166666666662,0.04737528,12.55,12.55,12.55,12.55,12.55,12.55,12.55
2021-04-17,12.8425,0.19085452,3.47,3.47,3.47,3.47,3.47,3.47,3.47
2021-04-18,23.17708333333333,0.1621588162,12.31,12.31,12.31,12.31,12.31,12.31,12.31
2021-04-19,10.845833333333331,0.967541456,9.73,9.73,9.73,9.73,9.73,9.73,9.73
2021-04-20,17.140416666666667,0.0197637372,13.99,13.99,13.99,13.99,13.99,13.99,13.99
2021-04-21,18.830416666666668,-0.143165231,8.02,8.02,8.02,8.02,8.02,8.02,8.02
2021-04-22,22.31041666666667,0.098264262,20.57,20.57,20.57,20.57,20.57,20.57,20.57
2021-04-23,21.360416666666666,0.235303238,20.96,20.96,20.96,20.96,20.96,20.96,20.96
2021-04-24,20.205833333333334,0.137796521,7.12,7.12,7.12,7.12,7.12,7.12,7.12
2021-04-25,16.1975,0.053316426,5.18,5.18,5.18,5.18,5.18,5.18,5.18
2021-04-26,22.9125,0.211912051,5.32,5.32,5.32,5.32,5.32,5.32,5.32
2021-04-27,21.875,-0.0228631466,5.13,5.13,5.13,5.13,5.13,5.13,5.13
2021-04-28,18.860000000000003,0.0673262672,21.26,21.26,21.26,21.26,21.26,21.26,21.26
2021-04-29,19.947916666666668,0.022721987,29.99,29.99,29.99,29.99,29.99,29.99,29.99
2021-04-30,17.105416666666663,0.053239368,7.87,7.87,7.87,7.87,7.87,7.87,7.87
2021-05-01,18.006666666666664,0.272145659,18.26,18.26,18.26,18.26,18.26,18.26,18.26
2021-05-02,27.66708333333333,0.038044125,6.61,6.61,6.61,6.61,6.61,6.61,6.61
2021-05-03,19.52375,0.015312333,13.1,13.1,13.1,13.1,13.1,13.1,13.1
2021-05-04,17.42125,0.1512340986,5.85,5.85,5.85,5.85,5.85,5.85,5.85
2021-05-05,20.313333333333333,0.263376564,7.77,7.77,7.77,7.77,7.77,7.77,7.77
2021-05-06,13.529166666666669,-0.0163559203999999,3.28,3.28,3.28,3.28,3.28,3.28,3.28
2021-05-07,25.242083333333337,0.039870508,4.08,4.08,4.08,4.08,4.08,4.08,4.08
2021-05-08,18.15458333333333,0.185314104,2.19,2.19,2.19,2.19,2.19,2.19,2.19
2021-05-09,8.987916666666669,-0.086766206,1.34,1.34,1.34,1.34,1.34,1.34,1.34
2021-05-10,9.175416666666663,-0.021604024,1.55,1.55,1.55,1.55,1.55,1.55,1.55
2021-05-11,13.041250000000003,-0.21498628,1.89,1.89,1.89,1.89,1.89,1.89,1.89
2021-05-12,8.265000000000002,0.017452348,6.02,6.02,6.02,6.02,6.02,6.02,6.02
2021-05-13,10.695000000000002,-0.000888463,4.25,4.25,4.25,4.25,4.25,4.25,4.25
2021-05-14,27.433750000000003,0.1038432544,1.04,1.04,1.04,1.04,1.04,1.04,1.04
2021-05-15,6.5325,0.0163938833999999,1.64,1.64,1.64,1.64,1.64,1.64,1.64
2021-05-16,4.927083333333333,0.133597217,1.03,1.03,1.03,1.03,1.03,1.03,1.03
2021-05-17,4.949166666666668,0.0994069234,0.94,0.94,0.94,0.94,0.94,0.94,0.94
2021-05-18,6.111250000000001,0.1699195088,1.13,1.13,1.13,1.13,1.13,1.13,1.13
2021-05-19,7.622916666666666,0.0123588941999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2021-05-20,8.1425,0.0676934598,1.97,1.97,1.97,1.97,1.97,1.97,1.97
2021-05-21,7.710833333333336,0.01,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2021-05-22,3.785833333333333,-0.0095552506,2.33,2.33,2.33,2.33,2.33,2.33,2.33
2021-05-23,13.425000000000004,0.03493885,1.55,1.55,1.55,1.55,1.55,1.55,1.55
2021-05-24,18.3575,0.066980243,0.88,0.88,0.88,0.88,0.88,0.88,0.88
2021-05-25,15.885416666666664,-0.110167615,4.98,4.98,4.98,4.98,4.98,4.98,4.98
2021-05-26,5.199166666666667,-0.034169801,1.13,1.13,1.13,1.13,1.13,1.13,1.13
2021-05-27,4.336666666666667,0.077249363,2.61,2.61,2.61,2.61,2.61,2.61,2.61
2021-05-28,3.427083333333334,-0.084224813,6.45,6.45,6.45,6.45,6.45,6.45,6.45
2021-05-29,3.1041666666666674,0.10535912,3.01,3.01,3.01,3.01,3.01,3.01,3.01
2021-05-30,5.162916666666667,0.0823412154,2.24,2.24,2.24,2.24,2.24,2.24,2.24
2021-05-31,8.230833333333333,-0.0058939476,15.45,15.45,15.45,15.45,15.45,15.45,15.45
2021-06-01,11.017916666666666,0.050000001,10.37,10.37,10.37,10.37,10.37,10.37,10.37
2021-06-02,9.396250000000002,0.052415006,2.72,2.72,2.72,2.72,2.72,2.72,2.72
2021-06-03,18.29166666666666,0.027061958,5.28,5.28,5.28,5.28,5.28,5.28,5.28
2021-06-04,17.342499999999998,0.0294422024,2.1,2.1,2.1,2.1,2.1,2.1,2.1
2021-06-05,10.692499999999995,-0.0096085307999999,2.21,2.21,2.21,2.21,2.21,2.21,2.21
2021-06-06,5.892500000000001,0.0793349266,5.54,5.54,5.54,5.54,5.54,5.54,5.54
2021-06-07,6.506249999999999,0.003628853,1.42,1.42,1.42,1.42,1.42,1.42,1.42
2021-06-08,3.7391666666666654,-0.0059110312,10.42,10.42,10.42,10.42,10.42,10.42,10.42
2021-06-09,3.5941666666666667,0.0204048274,0.12,0.12,0.12,0.12,0.12,0.12,0.12
2021-06-10,3.289166666666666,-0.0054383278,2.13,2.13,2.13,2.13,2.13,2.13,2.13
2021-06-11,4.103750000000001,-0.0566596924,1.17,1.17,1.17,1.17,1.17,1.17,1.17
2021-06-12,2.1354166666666665,0.083382547,3.92,3.92,3.92,3.92,3.92,3.92,3.92
2021-06-13,2.89875,0.0762308316,1.81,1.81,1.81,1.81,1.81,1.81,1.81
2021-06-14,4.322916666666667,0.0603715983999999,6.35,6.35,6.35,6.35,6.35,6.35,6.35
2021-06-15,6.1620833333333325,0.0826255008,2.84,2.84,2.84,2.84,2.84,2.84,2.84
2021-06-16,7.5575,0.0485807913999999,0.88,0.88,0.88,0.88,0.88,0.88,0.88
2021-06-17,6.679166666666667,0.0833588966,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021-06-18,4.8979166666666645,-0.0193376238,4.57,4.57,4.57,4.57,4.57,4.57,4.57
2021-06-19,4.337499999999998,0.0336485171999999,4.03,4.03,4.03,4.03,4.03,4.03,4.03
2021-06-20,4.647083333333332,0.101109877,3.28,3.28,3.28,3.28,3.28,3.28,3.28
2021-06-21,3.827083333333334,0.071971551,4.37,4.37,4.37,4.37,4.37,4.37,4.37
2021-06-22,3.598333333333333,0.1100730796,8.38,8.38,8.38,8.38,8.38,8.38,8.38
2021-06-23,4.539583333333333,0.0551119147999999,1.56,1.56,1.56,1.56,1.56,1.56,1.56
2021-06-24,5.1425,-0.1435288718,4.72,4.72,4.72,4.72,4.72,4.72,4.72
2021-06-25,3.1991666666666667,-0.0689414354,0.45,0.45,0.45,0.45,0.45,0.45,0.45
2021-06-26,3.650416666666666,-0.555562615,15.41,15.41,15.41,15.41,15.41,15.41,15.41
2021-06-27,7.570416666666669,-0.006435147,6.92,6.92,6.92,6.92,6.92,6.92,6.92
2021-06-28,9.23625,0.111216336,4.85,4.85,4.85,4.85,4.85,4.85,4.85
2021-06-29,6.375416666666667,0.050726734,19.83,19.83,19.83,19.83,19.83,19.83,19.83
2021-06-30,4.3,0.132182156,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-07-01,4.073333333333333,0.0804498506,4.73,4.73,4.73,4.73,4.73,4.73,4.73
2021-07-02,5.445833333333333,0.0234367077999999,2.18,2.18,2.18,2.18,2.18,2.18,2.18
2021-07-03,3.4712499999999995,-0.050309278,6.06,6.06,6.06,6.06,6.06,6.06,6.06
2021-07-04,3.640833333333333,-0.02213745,2.94,2.94,2.94,2.94,2.94,2.94,2.94
2021-07-05,7.842916666666666,0.040174931,6.91,6.91,6.91,6.91,6.91,6.91,6.91
2021-07-06,8.61125,0.469919711,7.16,7.16,7.16,7.16,7.16,7.16,7.16
2021-07-07,11.097500000000002,0.0683207566,3.63,3.63,3.63,3.63,3.63,3.63,3.63
2021-07-08,4.67125,0.0182967022,6.72,6.72,6.72,6.72,6.72,6.72,6.72
2021-07-09,4.952083333333333,0.0315544051999999,2.7,2.7,2.7,2.7,2.7,2.7,2.7
2021-07-10,3.738750000000001,-0.0016594117999999,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-07-11,7.091666666666666,0.0326809833999999,3.27,3.27,3.27,3.27,3.27,3.27,3.27
2021-07-12,5.991666666666666,0.083338298,6.6,6.6,6.6,6.6,6.6,6.6,6.6
2021-07-13,3.205,0.033200254,7.53,7.53,7.53,7.53,7.53,7.53,7.53
2021-07-14,3.527916666666666,-0.0318315032,6.62,6.62,6.62,6.62,6.62,6.62,6.62
2021-07-15,4.72625,0.1275729565999999,3.09,3.09,3.09,3.09,3.09,3.09,3.09
2021-07-16,3.1550000000000007,0.0792706272,7.72,7.72,7.72,7.72,7.72,7.72,7.72
2021-07-17,2.5841666666666665,0.0616115902,7.84,7.84,7.84,7.84,7.84,7.84,7.84
2021-07-18,4.907083333333334,0.2439836665999999,3.67,3.67,3.67,3.67,3.67,3.67,3.67
2021-07-19,3.2887500000000003,-0.2304178721999999,3.99,3.99,3.99,3.99,3.99,3.99,3.99
2021-07-20,2.1750000000000007,0.0681832343999999,6.73,6.73,4.28,4.28,4.28,4.28,4.28
2021-07-21,1.8954166666666663,0.1143655985999999,6.54,6.54,3.38,3.38,3.38,3.38,3.38
2021-07-22,2.4737499999999994,0.0847787244,6.42,6.42,4.75,4.75,4.75,4.75,4.75
2021-07-23,2.385416666666667,0.0311230095999999,6.45,6.45,4.49,4.49,4.49,4.49,4.49
2021-07-24,2.0066666666666664,0.0557053098,6.06,6.06,4.06,4.06,4.06,4.06,4.06
2021-07-25,2.043333333333333,0.092806159,5.54,5.54,3.54,3.54,3.54,3.54,3.54
2021-07-26,2.8920833333333333,-0.0207374468,3.34,3.34,3.34,3.34,3.34,3.34,3.34
2021-07-27,3.435833333333333,0.012695271,2.28,2.28,2.28,2.28,2.28,2.28,2.28
2021-07-28,3.126666666666667,0.0553720408,4.26,4.26,4.26,4.26,4.26,4.26,4.26
2021-07-29,2.3079166666666664,0.0492538542,2.74,2.74,2.74,2.74,2.74,2.74,2.74
2021-07-30,1.9899999999999995,-0.281163839,2.37,2.37,2.37,2.37,2.37,2.37,2.37
2021-07-31,1.4691666666666665,0.0213196743999999,3.32,3.32,3.32,3.32,3.32,3.32,3.32
2021-08-01,1.8529166666666672,-0.095446065,3.49,3.49,3.49,3.49,3.49,3.49,3.49
2021-08-02,2.299583333333334,0.066301085,6.12,6.12,6.12,6.12,6.12,6.12,6.12
2021-08-03,2.1908333333333334,-0.0531962527999999,10.27,10.27,10.27,10.27,10.27,10.27,10.27
2021-08-04,2.1629166666666677,0.073941341,3.82,3.82,3.82,3.82,3.82,3.82,3.82
2021-08-05,2.3941666666666666,0.0451873431999999,7.57,7.57,7.57,7.57,7.57,7.57,7.57
2021-08-06,3.0812500000000003,0.0079623173999999,2.63,2.63,2.63,2.63,2.63,2.63,2.63
2021-08-07,3.7570833333333336,-0.0428306882,3.14,3.14,3.14,3.14,3.14,3.14,3.14
2021-08-08,6.010416666666667,0.0184408276,3.25,3.25,3.25,3.25,3.25,3.25,3.25
2021-08-09,5.246666666666666,0.0908861726,3.76,3.76,3.76,3.76,3.76,3.76,3.76
2021-08-10,4.424166666666667,0.0195790664,6.34,6.34,6.34,6.34,6.34,6.34,6.34
2021-08-11,4.406249999999999,-0.0595300882,2.58,2.58,2.58,2.58,2.58,2.58,2.58
2021-08-12,4.802499999999999,0.1125741142,3.73,3.73,3.73,3.73,3.73,3.73,3.73
2021-08-13,3.641666666666667,0.180000007,3.08,3.08,3.08,3.08,3.08,3.08,3.08
2021-08-14,2.7520833333333337,0.0307462432,7.96,7.96,7.96,7.96,7.96,7.96,7.96
2021-08-15,3.352500000000001,0.0230473099999999,6.9,6.9,6.9,6.9,6.9,6.9,6.9
2021-08-16,4.632499999999999,0.0977091436,2.73,2.73,2.73,2.73,2.73,2.73,2.73
2021-08-17,5.122916666666668,0.0560921354,3.25,3.25,3.25,3.25,3.25,3.25,3.25
2021-08-18,4.522083333333332,0.12405059,6.7,6.7,6.7,6.7,6.7,6.7,6.7
2021-08-19,3.942083333333334,-0.0074114433999999,3.12,3.12,3.12,3.12,3.12,3.12,3.12
2021-08-20,4.384166666666666,0.0391737726,3.15,3.15,3.15,3.15,3.15,3.15,3.15
2021-08-21,3.97375,-0.0696460833999999,3.58,3.58,3.58,3.58,3.58,3.58,3.58
2021-08-22,5.9383333333333335,-0.103298455,6.13,6.13,6.13,6.13,6.13,6.13,6.13
2021-08-23,7.602083333333333,0.135039568,6.87,6.87,6.87,6.87,6.87,6.87,6.87
2021-08-24,6.535833333333334,0.1445118275999999,5.3,5.3,5.3,5.3,5.3,5.3,5.3
2021-08-25,5.302083333333333,0.0411413278,7.5,7.5,7.5,7.5,7.5,7.5,7.5
2021-08-26,5.5975,0.0456281867999999,6.35,6.35,6.35,6.35,6.35,6.35,6.35
2021-08-27,5.125416666666667,-0.0085886149999999,2.79,2.79,2.79,2.79,2.79,2.79,2.79
